KEGG pathway	Protein accession	KEGG KO No.	G2/G3 Ratio	Regulated Type
map04360 Axon guidance	A0A8V0ZNY6	K06820	0.20549359842013004	Down
map04360 Axon guidance	A0A8V0ZPH9	K05102	0.6139311723032884	Down
map04360 Axon guidance	A0A8V1A8M1	K06840	0.6286607587127335	Down
map04360 Axon guidance	A0A8V1ABC9	K02677	0.34891123858404405	Down
map04360 Axon guidance	A0A8V1ACD6	K06840	0.5310332320805187	Down
map04360 Axon guidance	A0A8V1AG56	K00444	0.3196116689366824	Down
map04360 Axon guidance	Q0PVE4	K06093	0.35353799773319605	Down
map04360 Axon guidance	A0A1D5NW03	K07522	0.22347896093323652	Down
map04360 Axon guidance	A0A1L1RM08	K12757	4.343871077617406	Up
map04360 Axon guidance	A0A3Q3A4U3	K06753	0.5148594875413955	Down
map04360 Axon guidance	A0A8V0ZB91	K06529	0.5029381621924516	Down
map04974 Protein digestion and absorption	P02460	K19719	0.5314654196560312	Down
map04974 Protein digestion and absorption	A0A8V0ZY91	K04926	0.18301839831149694	Down
map04974 Protein digestion and absorption	A0A8V0XTC5	K01540	4.157497354862108	Up
map04974 Protein digestion and absorption	A0A8V0ZX85	K01538	0.5068385326963691	Down
map04974 Protein digestion and absorption	A0A8V0ZX92	K01539	3.0467804768606337	Up
map04974 Protein digestion and absorption	A0A8V1AFR2	K16628	0.2773218199626388	Down
map04974 Protein digestion and absorption	P01875	K19720	0.04597809963393284	Down
map04974 Protein digestion and absorption	A0A1D5PE57	K19720	0.6231511109277175	Down
map04974 Protein digestion and absorption	A0A8V0XXK8	K08133	0.3335091604169714	Down
map04974 Protein digestion and absorption	A0A8V0YA97	K19479	0.2124202714644085	Down
map04974 Protein digestion and absorption	A0A8V0YIC4	K19721	2.35610543302851	Up
map04974 Protein digestion and absorption	A0A8V0ZMD5	K19721	0.35316327672774955	Down
map04624 Toll and Imd signaling pathway	A0A1D5PIQ5	K04441	2.12837583062896	Up
map04624 Toll and Imd signaling pathway	A0A1D5PD64	K04432	3.6861081577596004	Up
map04624 Toll and Imd signaling pathway	A0A1D5PNL3	K10580	0.640308495501657	Down
map04624 Toll and Imd signaling pathway	A0A8V0YFD4	K06689	0.6016951336703473	Down
map04624 Toll and Imd signaling pathway	A0A8V1ABC8	K04729	0.3388744512391729	Down
map04624 Toll and Imd signaling pathway	A0A8V0XNV9	K10704	2.0163751309895317	Up
map04624 Toll and Imd signaling pathway	A0A8V0XYK6	K10380	1.6415919965107164	Up
map04624 Toll and Imd signaling pathway	A0A8V0YI20	K10704	1.5914266797261878	Up
map04624 Toll and Imd signaling pathway	A0A8V0Z687	K03362	5.081888874408096	Up
