Desc	Family ID	Anas	Gallus	Columba
(null)	cluster211	3	1	1
(null)	cluster212	2	1	2
(null)	cluster213	3	1	1
(null)	cluster214	1	2	2
(null)	cluster215	1	1	3
(null)	cluster216	2	2	1
(null)	cluster217	1	1	3
(null)	cluster218	2	1	2
(null)	cluster219	2	2	1
(null)	cluster220	3	1	1
(null)	cluster221	2	1	2
(null)	cluster222	3	1	1
(null)	cluster223	3	1	1
(null)	cluster224	3	1	1
(null)	cluster225	1	1	3
(null)	cluster226	2	1	2
(null)	cluster227	2	2	1
(null)	cluster228	1	1	3
(null)	cluster229	2	1	2
(null)	cluster230	1	1	3
(null)	cluster231	1	2	2
(null)	cluster232	1	1	3
(null)	cluster233	3	1	1
(null)	cluster234	2	2	1
(null)	cluster235	2	0	3
(null)	cluster236	3	1	1
(null)	cluster237	3	1	1
(null)	cluster238	2	1	2
(null)	cluster239	2	2	1
(null)	cluster240	2	1	2
(null)	cluster241	2	1	2
(null)	cluster242	2	0	3
(null)	cluster243	1	2	2
(null)	cluster244	2	2	1
(null)	cluster245	3	1	1
(null)	cluster246	2	1	2
(null)	cluster247	2	1	2
(null)	cluster248	4	0	1
(null)	cluster249	3	1	1
(null)	cluster250	2	2	1
(null)	cluster251	1	3	1
(null)	cluster252	1	2	2
(null)	cluster253	3	1	1
(null)	cluster254	1	2	2
(null)	cluster255	2	2	1
(null)	cluster256	1	0	4
(null)	cluster257	2	2	1
(null)	cluster258	1	1	3
(null)	cluster259	2	1	2
(null)	cluster260	2	1	2
(null)	cluster261	3	1	1
(null)	cluster262	1	1	3
(null)	cluster263	2	2	1
(null)	cluster264	3	0	2
(null)	cluster265	1	1	3
(null)	cluster266	2	1	2
(null)	cluster267	2	1	2
(null)	cluster268	3	1	1
(null)	cluster269	2	2	1
(null)	cluster270	2	2	1
(null)	cluster271	2	2	1
(null)	cluster272	1	1	3
(null)	cluster273	1	2	2
(null)	cluster274	1	3	1
(null)	cluster275	4	1	0
(null)	cluster276	2	1	2
(null)	cluster277	2	1	2
(null)	cluster278	1	0	4
(null)	cluster279	2	2	1
(null)	cluster280	2	1	2
(null)	cluster281	2	1	2
(null)	cluster282	1	0	4
(null)	cluster283	2	1	2
(null)	cluster284	3	1	1
(null)	cluster285	1	1	3
(null)	cluster286	2	1	2
(null)	cluster287	1	0	4
(null)	cluster288	1	2	2
(null)	cluster289	3	1	1
(null)	cluster290	2	2	1
(null)	cluster291	2	1	2
(null)	cluster292	1	2	2
(null)	cluster293	3	0	2
(null)	cluster294	2	1	2
(null)	cluster295	1	2	2
(null)	cluster296	2	2	1
(null)	cluster297	2	1	2
(null)	cluster298	1	3	1
(null)	cluster299	1	3	1
(null)	cluster300	2	1	2
(null)	cluster301	2	0	3
(null)	cluster302	2	2	1
(null)	cluster303	1	2	2
(null)	cluster304	1	3	1
(null)	cluster305	2	0	3
(null)	cluster306	1	1	3
(null)	cluster307	1	1	3
(null)	cluster308	2	1	2
(null)	cluster309	3	1	1
(null)	cluster310	1	1	3
(null)	cluster311	2	1	2
(null)	cluster312	1	2	2
(null)	cluster313	1	1	3
(null)	cluster314	1	1	3
(null)	cluster315	3	1	1
(null)	cluster316	2	1	2
(null)	cluster317	3	1	1
(null)	cluster318	3	1	1
(null)	cluster319	3	1	1
(null)	cluster320	2	1	2
(null)	cluster321	3	1	1
(null)	cluster322	3	1	1
(null)	cluster323	2	0	3
(null)	cluster324	3	1	1
(null)	cluster325	2	2	1
(null)	cluster326	1	0	4
(null)	cluster327	3	1	1
(null)	cluster328	3	0	2
(null)	cluster329	1	2	2
(null)	cluster330	2	2	1
(null)	cluster331	1	1	3
(null)	cluster332	3	1	1
(null)	cluster333	1	1	3
(null)	cluster334	1	1	3
(null)	cluster335	5	0	0
(null)	cluster336	3	1	1
(null)	cluster337	1	3	1
(null)	cluster338	2	2	1
(null)	cluster339	1	2	2
(null)	cluster340	1	0	4
(null)	cluster341	2	1	2
(null)	cluster342	2	1	2
(null)	cluster343	3	1	1
(null)	cluster344	1	2	2
(null)	cluster345	1	1	3
(null)	cluster346	2	1	2
(null)	cluster347	1	1	3
(null)	cluster348	2	1	2
(null)	cluster349	1	0	4
(null)	cluster350	2	2	1
(null)	cluster351	1	1	3
(null)	cluster352	1	1	3
(null)	cluster353	1	3	1
(null)	cluster354	3	1	1
(null)	cluster355	3	1	1
(null)	cluster356	2	2	1
(null)	cluster357	1	3	1
(null)	cluster358	2	1	2
(null)	cluster359	3	1	1
(null)	cluster360	1	0	4
(null)	cluster361	1	1	3
(null)	cluster362	0	1	4
(null)	cluster363	0	0	5
(null)	cluster364	0	2	3
(null)	cluster365	0	0	5
(null)	cluster366	0	0	5
(null)	cluster367	0	2	3
(null)	cluster368	0	0	5
(null)	cluster369	0	5	0
(null)	cluster370	1	0	3
(null)	cluster371	1	1	2
(null)	cluster372	1	1	2
(null)	cluster373	1	2	1
(null)	cluster374	2	1	1
(null)	cluster375	1	1	2
(null)	cluster376	2	1	1
(null)	cluster377	2	1	1
(null)	cluster378	2	1	1
(null)	cluster379	2	1	1
(null)	cluster380	1	1	2
(null)	cluster381	2	1	1
(null)	cluster382	1	2	1
(null)	cluster383	2	1	1
(null)	cluster384	2	1	1
(null)	cluster385	2	1	1
(null)	cluster386	1	1	2
(null)	cluster387	1	2	1
(null)	cluster388	2	1	1
(null)	cluster389	1	1	2
(null)	cluster390	1	1	2
(null)	cluster391	1	1	2
(null)	cluster392	2	1	1
(null)	cluster393	2	1	1
(null)	cluster394	2	1	1
(null)	cluster395	1	1	2
(null)	cluster396	2	1	1
(null)	cluster397	1	1	2
(null)	cluster398	2	1	1
(null)	cluster399	1	1	2
(null)	cluster400	1	1	2
(null)	cluster401	1	1	2
(null)	cluster402	1	2	1
(null)	cluster403	1	2	1
(null)	cluster404	1	1	2
(null)	cluster405	2	0	2
(null)	cluster406	2	0	2
(null)	cluster407	1	1	2
(null)	cluster408	1	1	2
(null)	cluster409	2	1	1
(null)	cluster410	2	1	1
(null)	cluster411	2	1	1
(null)	cluster412	2	1	1
(null)	cluster413	2	1	1
(null)	cluster414	1	1	2
(null)	cluster415	1	1	2
(null)	cluster416	1	1	2
(null)	cluster417	1	2	1
(null)	cluster418	1	1	2
(null)	cluster419	2	1	1
(null)	cluster420	2	0	2
(null)	cluster421	1	1	2
(null)	cluster422	2	2	0
(null)	cluster423	1	2	1
(null)	cluster424	2	1	1
(null)	cluster425	1	1	2
(null)	cluster426	1	2	1
(null)	cluster427	1	1	2
(null)	cluster428	1	1	2
(null)	cluster429	1	1	2
(null)	cluster430	1	1	2
(null)	cluster431	2	1	1
(null)	cluster432	1	2	1
(null)	cluster433	1	1	2
(null)	cluster434	1	1	2
(null)	cluster435	2	1	1
(null)	cluster436	2	1	1
(null)	cluster437	1	1	2
(null)	cluster438	1	1	2
(null)	cluster439	1	2	1
(null)	cluster440	1	1	2
(null)	cluster441	1	2	1
(null)	cluster442	2	1	1
(null)	cluster443	2	1	1
(null)	cluster444	1	1	2
(null)	cluster445	2	1	1
(null)	cluster446	1	1	2
(null)	cluster447	1	1	2
(null)	cluster448	2	1	1
(null)	cluster449	2	1	1
(null)	cluster450	1	2	1
(null)	cluster451	2	1	1
(null)	cluster452	1	1	2
(null)	cluster453	1	2	1
(null)	cluster454	2	0	2
(null)	cluster455	2	1	1
(null)	cluster456	1	1	2
(null)	cluster457	2	1	1
(null)	cluster458	2	1	1
(null)	cluster459	2	1	1
(null)	cluster460	1	0	3
(null)	cluster461	2	1	1
(null)	cluster462	1	1	2
(null)	cluster463	1	1	2
(null)	cluster464	2	1	1
(null)	cluster465	1	2	1
(null)	cluster466	1	1	2
(null)	cluster467	2	1	1
(null)	cluster468	2	1	1
(null)	cluster469	1	1	2
(null)	cluster470	1	1	2
(null)	cluster471	1	2	1
(null)	cluster472	2	1	1
(null)	cluster473	2	1	1
(null)	cluster474	2	1	1
(null)	cluster475	1	1	2
(null)	cluster476	1	1	2
(null)	cluster477	2	1	1
(null)	cluster478	1	1	2
(null)	cluster479	2	1	1
(null)	cluster480	2	1	1
(null)	cluster481	1	0	3
(null)	cluster482	1	1	2
(null)	cluster483	2	1	1
(null)	cluster484	2	1	1
(null)	cluster485	1	1	2
(null)	cluster486	1	1	2
(null)	cluster487	1	1	2
(null)	cluster488	1	1	2
(null)	cluster489	1	1	2
(null)	cluster490	1	1	2
(null)	cluster491	2	0	2
(null)	cluster492	1	1	2
(null)	cluster493	1	1	2
(null)	cluster494	1	1	2
(null)	cluster495	3	1	0
(null)	cluster496	2	1	1
(null)	cluster497	1	1	2
(null)	cluster498	1	1	2
(null)	cluster499	2	0	2
(null)	cluster500	2	1	1
(null)	cluster501	4	0	0
(null)	cluster502	2	1	1
(null)	cluster503	1	1	2
(null)	cluster504	1	1	2
(null)	cluster505	2	1	1
(null)	cluster506	2	1	1
(null)	cluster507	1	1	2
(null)	cluster508	1	2	1
(null)	cluster509	1	1	2
(null)	cluster510	1	1	2
(null)	cluster511	2	1	1
(null)	cluster512	1	1	2
(null)	cluster513	2	0	2
(null)	cluster514	2	1	1
(null)	cluster515	2	1	1
(null)	cluster516	1	1	2
(null)	cluster517	1	1	2
(null)	cluster518	2	1	1
(null)	cluster519	1	0	3
(null)	cluster520	2	1	1
(null)	cluster521	2	1	1
(null)	cluster522	1	1	2
(null)	cluster523	2	1	1
(null)	cluster524	2	1	1
(null)	cluster525	2	1	1
(null)	cluster526	1	1	2
(null)	cluster527	1	1	2
(null)	cluster528	1	1	2
(null)	cluster529	2	1	1
(null)	cluster530	2	1	1
(null)	cluster531	1	1	2
(null)	cluster532	2	1	1
(null)	cluster533	1	1	2
(null)	cluster534	2	1	1
(null)	cluster535	2	1	1
(null)	cluster536	1	1	2
(null)	cluster537	1	1	2
(null)	cluster538	2	1	1
(null)	cluster539	1	1	2
(null)	cluster540	1	0	3
(null)	cluster541	1	1	2
(null)	cluster542	1	1	2
(null)	cluster543	1	1	2
(null)	cluster544	2	1	1
(null)	cluster545	2	1	1
(null)	cluster546	1	0	3
(null)	cluster547	2	0	2
(null)	cluster548	3	1	0
(null)	cluster549	1	1	2
(null)	cluster550	1	1	2
(null)	cluster551	2	1	1
(null)	cluster552	1	1	2
(null)	cluster553	2	1	1
(null)	cluster554	2	1	1
(null)	cluster555	2	1	1
(null)	cluster556	1	2	1
(null)	cluster557	1	1	2
(null)	cluster558	1	1	2
(null)	cluster559	2	1	1
(null)	cluster560	2	1	1
(null)	cluster561	1	1	2
(null)	cluster562	2	1	1
(null)	cluster563	1	1	2
(null)	cluster564	2	1	1
(null)	cluster565	2	0	2
(null)	cluster566	1	1	2
(null)	cluster567	1	0	3
(null)	cluster568	1	1	2
(null)	cluster569	1	1	2
(null)	cluster570	2	1	1
(null)	cluster571	2	1	1
(null)	cluster572	2	0	2
(null)	cluster573	1	2	1
(null)	cluster574	2	0	2
(null)	cluster575	2	2	0
(null)	cluster576	1	1	2
(null)	cluster577	1	1	2
(null)	cluster578	2	1	1
(null)	cluster579	1	0	3
(null)	cluster580	1	1	2
(null)	cluster581	1	1	2
(null)	cluster582	1	2	1
(null)	cluster583	1	2	1
(null)	cluster584	2	2	0
(null)	cluster585	1	1	2
(null)	cluster586	2	1	1
(null)	cluster587	2	1	1
(null)	cluster588	2	1	1
(null)	cluster589	2	1	1
(null)	cluster590	2	0	2
(null)	cluster591	2	1	1
(null)	cluster592	1	1	2
(null)	cluster593	2	1	1
(null)	cluster594	2	1	1
(null)	cluster595	2	1	1
(null)	cluster596	2	1	1
(null)	cluster597	1	1	2
(null)	cluster598	1	2	1
(null)	cluster599	1	1	2
(null)	cluster600	1	2	1
(null)	cluster601	2	1	1
(null)	cluster602	2	1	1
(null)	cluster603	1	0	3
(null)	cluster604	1	2	1
(null)	cluster605	2	1	1
(null)	cluster606	2	1	1
(null)	cluster607	1	2	1
(null)	cluster608	2	1	1
(null)	cluster609	2	1	1
(null)	cluster610	2	1	1
(null)	cluster611	2	1	1
(null)	cluster612	2	1	1
(null)	cluster613	1	1	2
(null)	cluster614	2	1	1
(null)	cluster615	2	1	1
(null)	cluster616	1	1	2
(null)	cluster617	2	1	1
(null)	cluster618	2	1	1
(null)	cluster619	1	1	2
(null)	cluster620	2	1	1
(null)	cluster621	1	2	1
(null)	cluster622	2	1	1
(null)	cluster623	2	1	1
(null)	cluster624	2	1	1
(null)	cluster625	2	1	1
(null)	cluster626	1	1	2
(null)	cluster627	1	1	2
(null)	cluster628	1	1	2
(null)	cluster629	1	2	1
(null)	cluster630	1	1	2
(null)	cluster631	1	1	2
(null)	cluster632	1	1	2
(null)	cluster633	2	1	1
(null)	cluster634	1	2	1
(null)	cluster635	1	2	1
(null)	cluster636	2	1	1
(null)	cluster637	1	1	2
(null)	cluster638	2	1	1
(null)	cluster639	1	1	2
(null)	cluster640	1	1	2
(null)	cluster641	2	1	1
(null)	cluster642	2	1	1
(null)	cluster643	1	2	1
(null)	cluster644	1	0	3
(null)	cluster645	1	1	2
(null)	cluster646	1	1	2
(null)	cluster647	1	0	3
(null)	cluster648	1	1	2
(null)	cluster649	1	1	2
(null)	cluster650	1	2	1
(null)	cluster651	1	1	2
(null)	cluster652	2	1	1
(null)	cluster653	1	1	2
(null)	cluster654	2	1	1
(null)	cluster655	2	1	1
(null)	cluster656	1	2	1
(null)	cluster657	2	1	1
(null)	cluster658	2	1	1
(null)	cluster659	2	1	1
(null)	cluster660	2	1	1
(null)	cluster661	1	2	1
(null)	cluster662	2	1	1
(null)	cluster663	1	1	2
(null)	cluster664	2	1	1
(null)	cluster665	1	1	2
(null)	cluster666	1	1	2
(null)	cluster667	2	1	1
(null)	cluster668	1	2	1
(null)	cluster669	1	1	2
(null)	cluster670	2	1	1
(null)	cluster671	2	1	1
(null)	cluster672	2	1	1
(null)	cluster673	1	1	2
(null)	cluster674	2	1	1
(null)	cluster675	2	1	1
(null)	cluster676	2	1	1
(null)	cluster677	2	1	1
(null)	cluster678	2	1	1
(null)	cluster679	1	1	2
(null)	cluster680	1	1	2
(null)	cluster681	2	1	1
(null)	cluster682	2	1	1
(null)	cluster683	2	1	1
(null)	cluster684	1	1	2
(null)	cluster685	3	1	0
(null)	cluster686	2	1	1
(null)	cluster687	2	1	1
(null)	cluster688	1	0	3
(null)	cluster689	2	1	1
(null)	cluster690	2	1	1
(null)	cluster691	2	1	1
(null)	cluster692	2	1	1
(null)	cluster693	2	1	1
(null)	cluster694	1	2	1
(null)	cluster695	2	1	1
(null)	cluster696	1	1	2
(null)	cluster697	1	1	2
(null)	cluster698	1	2	1
(null)	cluster699	1	1	2
(null)	cluster700	2	1	1
(null)	cluster701	1	1	2
(null)	cluster702	1	1	2
(null)	cluster703	2	1	1
(null)	cluster704	1	1	2
(null)	cluster705	2	1	1
(null)	cluster706	1	0	3
(null)	cluster707	1	2	1
(null)	cluster708	2	1	1
(null)	cluster709	1	0	3
(null)	cluster710	2	1	1
(null)	cluster711	2	1	1
