KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell growth and death	12	A0A8V0XB58;Q05744;A0A8V0X637;A0A8V1AFH0;A0A8V1A9R2;A0A8V0ZDZ5;A0A8V0XLN9;A0A8V0XJ84;A0A8V0YRF2;A0A8V1A7R0;A0A8V0X8D5;A0A8V0YWM3
Cellular Processes	Cell motility	7	A0A3Q2TU24;A0A1D5P655;Q5ZJ58;A0A8V0YDD6;A0A8V0X852;A0A8V1AAH7;Q9I946
Cellular Processes	Cellular community - eukaryotes	22	A0A8V1AG56;A0A1D5PZV7;A0A8V0XCT3;A0A8V0ZI29;A0A8V0YM05;A0A8V1AAN6;P02460;A0A8V0X8P6;A0A8V0YRF2;A0A8V1A7R0;A0A8V1AAH7;Q0PVE4;A0A8V0ZTP1;Q5ZJ58;A0A8V1ABC9;Q9I946;A0A3Q2TU24;A0A8V1A9R2;A0A8V0Y413;A0A8V0YDD6;A0A8V1AJV5;A0A8V0Z4M1
Cellular Processes	Transport and catabolism	35	A0A1D5PCU0;A0A8V0XXM5;A0A1D5NVM6;A0A8V0ZIF0;A0A8V0XEJ0;A0A8V0YC98;A0A8V0Z4J0;E1BS94;A0A8V0YB43;A0A8V1ACS0;A0A8V0ZZG2;A0A8V0X637;A0A8V0YLN5;A0A8V0ZSX6;A0A1L1RSD2;A0A8V0XL71;Q0PVE4;A0A8V0ZZU1;A0A8V0XDM2;A0A8V0Y7Y9;A0A8V0Z1E9;Q5ZJ58;A0A8V0YZJ3;A0A8V0Z086;A0A8V0ZH54;A0A8V0XX49;A0A8V0XA34;A0A8V0X8D5;A0A8V0XDT2;Q05744;A0A8V1AFH0;A0A8V0Y413;A0A8V0XK27;A0A8V0Z9Y8;Q5ZHL0
Environmental Information Processing	Signal transduction	68	A0A8V1AG56;A0A8V0XCX4;Q98938;A0A8V0XCT3;A0A8V0Y999;A0A8V0YM05;A0A8V1A9A7;A0A8V0ZYM1;A0A8V0YVT3;A0A8V0YEZ4;A0A8V0XEJ0;A0A8V0YW12;A0A8V0XYR2;A0A8V0ZEJ3;A0A8V1AAN6;P02460;A0A8V0YB43;A0A8V1A3H9;A0A8V0YC57;A0A8V0ZZG2;A0A8V0X8P6;E1C9E0;A0A8V0ZKS6;A0A8V0X637;A0A8V1ABC8;A0A8V0ZQS2;A0A8V0XK73;A0A1L1RX77;A0A8V1A6U2;A0A8V0XPE8;A0A8V0YHH6;A0A8V0ZX85;A0A8V0YRF2;A0A8V1A7R0;A0A1D5P1F1;A0A8V0XL71;A0A8V0ZRN1;A0A1D5P0D7;A0A8V1AAH7;A0A8V1AJ90;Q0PVE4;A0A8V0XB58;A0A8V0ZZU1;A0A8V0Y7Y9;A0A8V1A3N1;A0A8V0ZTP1;Q5ZJ58;Q00649;A0A8V0XJ84;A0A8V0YMS7;A0A8V1ABC9;A0A1D5NWP2;A0A8V0YRK4;A0A8V0XA34;Q9I946;A0A8V0XDT2;A0A1D5PHW5;A0A8V0ZKI8;A0A3Q2TU24;Q05744;O12971;A0A8V1A9R2;A0A8V0Y413;A0A8V0ZDZ5;A0A8V0YMM6;A0A8V0YDD6;A0A8V0Z4M1;A0A8V0YFD4
Environmental Information Processing	Signaling molecules and interaction	25	A0A1D5PZV7;A0A8V0XCT3;A0A8V0ZI29;A0A8V0XRC4;A0A1D5NW03;A0A8V0Y4R7;A0A8V0YEZ4;A0A8V0YXG4;A0A8V0XRN3;A0A8V0XUJ8;A0A8V0XYR2;A0A8V1AAN6;P02460;A0A8V0X8P6;A0A8V0ZKS6;A0A8V1AM71;A0A3Q2UGW3;E1C733;A0A1D5P0D7;A0A8V0ZTP1;A0A8V0XJ84;A0A8V0X8D5;A0A8V0Y413;A0A8V0ZDZ5;A0A8V0YDD6
Genetic Information Processing	Folding, sorting and degradation	15	A0A8V0XF68;A0A8V1ACS0;A0A8V0ZZG2;A0A8V0ZW46;A0A1D5PNL3;A0A8V0ZY42;A0A8V0X2C5;A0A8V0ZSX6;A0A8V0XQS7;A0A8V0YRF2;A0A8V0ZE30;P28687;A0A8V0Z4J0;A0A8V0YFD4;A0A3Q2UNH8
Genetic Information Processing	Replication and repair	2	A0A8V1AP07;A0A8V0YW57
Genetic Information Processing	Transcription	2	A0A8V0ZJ97;A0A8V0XXW6
Genetic Information Processing	Translation	7	A0A8V1ACS0;A0A8V1A6A3;A0A8V0XPN5;A0A8V0YQC4;A0A8V0Z865;A0A1D5PNG3;A0A8V0Z4J0
Metabolism	Amino acid metabolism	5	A0A1D5PNB8;A0A8V0Z4R1;E1BYF1;A0A8V0ZHL4;A0A8V0Y513
Metabolism	Carbohydrate metabolism	14	A0A8V0YKA1;A0A8V0XCX4;A0A8V0ZLV3;A0A8V0YJV4;Q5ZJ58;A0A1D5PQV0;A0A8V0YZJ3;A0A8V0ZYM1;A0A8V1A4P2;A0A1L1RSD2;P07032;A0A8V0Z832;A0A8V0XMD4;A0A8V0ZQS2
Metabolism	Energy metabolism	5	A0A1D5PCU0;A0A8V0YLT1;Q5ZHL0;A0A8V1AEM5;A0A8V0Y513
Metabolism	Global and overview maps	70	A0A8V1A9L3;A0A1D5PCU0;A0A8V0ZWX9;A0A8V0XCX4;A0A8V0XXM5;A0A8V0XDL7;A0A1D5PNB8;A0A8V0Z4R1;A0A8V0ZYM1;A0A8V0ZHL4;A0A8V0ZR84;A0A8V0ZIF0;P07032;A0A1D5PA74;A0A8V0Y8L6;A0A8V0YC98;A0A8V1AEM5;A0A8V0ZIZ5;A0A8V0YC57;A0A8V0ZWH1;A0A8V0ZY61;A0A8V1AHJ8;F1NB63;A0A8V0ZG46;A0A8V0X637;A0A8V0WZN3;E1C3Z8;A0A1D5PQV0;E1BYF1;A0A8V0YLN5;A0A8V0X2C5;A0A8V0Y7C8;A0A8V0Z1C5;A0A8V0XT35;A0A1L1RSD2;E1C2T4;A0A8V0ZYN6;A0A8V0ZWC9;A0A1D5P1F1;A0A8V0ZXC9;A0A8V1A4P2;A0A8V0Z0B9;A0A8V0YKA1;A0A8V0YS46;A0A8V0WZJ4;A0A8V0Z6S1;A0A8V0ZLV3;A0A1D5PJE0;A0A8V1AK88;Q5ZJ58;A0A3Q2UEL1;A0A8V0YZJ3;A0A8V1A2F4;A0A8V0XWZ8;A0A8V0ZBJ8;A0A8V0Y218;A0A8V0Z832;A0A8V0YYQ9;A0A8V1AFP1;A0A8V0Y513;F1NGB8;A0A8V0YJV4;A0A8V1ACQ8;A0A8V0ZFH4;A0A8V0Y6W2;A0A8V0YLT1;Q5ZHL0;A0A8V1A0M8;A0A8V0XMD4;A0A8V0ZQS2
Metabolism	Glycan biosynthesis and metabolism	40	A0A8V0XDL7;A0A8V0XMA2;A0A8V0ZR84;A0A8V0ZIF0;A0A1D5PA74;A0A8V0Y8L6;A0A8V0YC98;E1BS94;A0A8V0ZWH1;A0A8V0ZY61;F1NB63;E1C3Z8;A0A8V0YLN5;A0A8V0X2C5;A0A8V0Y7C8;A0A8V0ZXC9;A0A8V0XT35;A0A1L1RSD2;E1C2T4;A0A8V0ZYN6;A0A8V0ZWC9;Q8AWB4;A0A8V0Z0B9;A0A8V0YS46;A0A8V0WZJ4;A0A8V0Z6S1;A0A1D5PJE0;A0A8V0Z1E9;A0A8V1A2F4;A0A8V0YZJ3;A0A8V0ZBJ8;A0A8V0Y218;A0A8V0YYQ9;A0A8V1AFP1;F1NGB8;O12971;A0A8V1ACQ8;A0A8V0ZFH4;A0A8V0Y6W2;Q76KB2
