COG/KOG category	Category description	Number of proteins
INFORMATION STORAGE AND PROCESSING	[A] RNA processing and modification	27
INFORMATION STORAGE AND PROCESSING	[B] Chromatin structure and dynamics	6
METABOLISM	[C] Energy production and conversion	67
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	19
METABOLISM	[E] Amino acid transport and metabolism	25
METABOLISM	[F] Nucleotide transport and metabolism	14
METABOLISM	[G] Carbohydrate transport and metabolism	20
METABOLISM	[H] Coenzyme transport and metabolism	7
METABOLISM	[I] Lipid transport and metabolism	26
INFORMATION STORAGE AND PROCESSING	[J] Translation, ribosomal structure and biogenesis	67
INFORMATION STORAGE AND PROCESSING	[K] Transcription	8
INFORMATION STORAGE AND PROCESSING	[L] Replication, recombination and repair	3
CELLULAR PROCESSES AND SIGNALING	[M] Cell wall/membrane/envelope biogenesis	6
CELLULAR PROCESSES AND SIGNALING	[N] Cell motility	4
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	106
METABOLISM	[P] Inorganic ion transport and metabolism	12
METABOLISM	[Q] Secondary metabolites biosynthesis, transport and catabolism	9
POORLY CHARACTERIZED	[R] General function prediction only	67
POORLY CHARACTERIZED	[S] Function unknown	27
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	81
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	67
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	18
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	18
CELLULAR PROCESSES AND SIGNALING	[Y] Nuclear structure	10
CELLULAR PROCESSES AND SIGNALING	[Z] Cytoskeleton	64
