KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Metabolism	Amino acid metabolism	33	A0A8V0X3M7;A0A1D5PXH4;A0A8V0Y492;A0A8V0ZT56;P00337;A0A8V0XVT5;A0A8V0X2T8;A0A8V0X9K8;Q5ZLN1;A0A1D5NY06;A0A1L1RIY4;P05122;A0A1D5PQV3;A0A8V0ZJT8;A0A8V1A1S6;Q5F3M8;A0A8V1AKL9;A0A8V1ABW1;A0A8V0XM35;E1BTT8;A0A8V0ZTF7;A0A8V0X354;A0A8V0XE68;A0A1D5PL45;A0A8V0YKJ7;F1NDP5;A0A1D5NT61;E1BVT3;Q5ZJ23;A0A8V0ZV32;A0A8V0XIM8;A0A8V0YB71;A0A8V0XYL0
Metabolism	Biosynthesis of other secondary metabolites	3	A0A8V0ZJD3;A0A8V0XTM2;A0A8V0ZM20
Metabolism	Carbohydrate metabolism	46	A0A8V0ZUI9;A0A1D5PHE2;A0A1D5PEH3;A0A1D5PXH4;A0A8V0Y492;A0A8V0ZT56;A0A8V1ACH5;P00337;A0A8V0YGM0;Q5F3B9;A0A8V0XVT5;A0A8V1AIR0;A0A8V0X9K8;A0A8V0XHN0;A0A8V0ZVS5;A0A8V0XM79;Q5ZMH8;A0A8V0YA67;A0A8V1AMB6;P00356;Q5ZLN1;A0A8V0ZM20;A0A1D5P9I3;A0A8V0ZAI6;E1BVD1;A0A1D5PQV3;A0A8V0ZTG8;Q5F3M8;A0A8V0Z0B1;A0A8V1AKL9;A0A1D5PD70;A0A8V0ZWH3;A0A8V1ABW1;A0A1D5P8I7;E1BTT8;E1BSN7;A0A8V0YHD4;A0A1L1RZK1;A0A1D5NWL4;A0A8V1A5Y9;E1BVT3;A0A1D5PC23;A0A8V0X6I8;A0A8V0XIM8;A0A8V0YBE2;A0A8V0XE68
Metabolism	Energy metabolism	46	A0A1D5PNM0;A0A3Q2UJ64;A0A8V0ZRZ8;A0A8V1AA37;A0A8V0Z2Y8;A0A8V0YZL1;E1C658;A0A8V1A840;A0A8V0XW68;A0A8V0XCD2;A0A8V0X535;A0A8V1A4N7;A0A1D5PP57;A0A8V0Y8W7;A0A1D5P179;A0A8V0YC52;A0A8V1AH40;A0A8V0Z863;A0A8V0ZVA2;F1NIL3;A0A1D5NW93;A0A8V0Y9V7;A0A8V1A3B4;A0A8V0Y6X8;A0A8V1A624;A0A8V0Z7C7;A0A8V0YFF3;A0A8V0Y9X9;A0A8V0X6I3;A0A8V1AAC8;A0A8V0Z382;P18944;A0A8V0ZJD3;F1NDP5;A0A8V0ZU95;A0A1D5NT61;F1NBW2;A0A8V0ZC01;Q9YH14;A0A8V0XTM2;A0A8V0ZBC9;A0A1D5P0U8;A0A8V0YCL9;A0A1D5PN54;R4GGZ2;A0A8V0ZI98
Metabolism	Global and overview maps	149	A0A8V0ZRZ8;A0A8V0YBC7;A0A8V0X675;A0A1D5PMU2;A0A8V0Z2Y8;A0A8V0ZT56;A0A8V0X9K8;A0A1D5PZJ5;A0A8V0XM79;A0A8V0XAH5;Q5ZLN1;A0A8V0ZAI6;A0A8V0Y8W7;A0A1D5P179;A0A8V0YEN4;A0A8V0Z0B1;A0A1D5PD70;Q8QFM7;A0A8V0Y9V7;A0A8V1ABW1;A0A8V0Y6X8;A0A8V0XM46;A0A8V1AAC8;A0A8V0Z382;A0A8V0ZJD3;A0A8V0XX21;A0A8V0XAV4;Q5ZJ23;A0A8V0ZZL0;P05122;A0A1D5PSI2;A0A3Q2UHG8;A0A1D5PHE2;A0A8V0YP51;A0A1D5PK92;P00337;A0A8V0YGM0;A0A8V0XVT5;A0A8V0X2T8;A0A8V0ZI24;A0A8V1A0C2;A0A8V0XHN0;A0A8V0YU69;A0A8V0ZVS5;A0A8V0Z2F8;A0A8V0XW68;A0A8V1AMB6;A0A1D5NY06;A0A8V0ZM20;A0A1D5P9I3;A0A1L1RIY4;A0A8V0ZJT8;A0A1D5PP57;A0A8V1A1S6;A0A8V0Z863;A0A8V0ZVA2;Q5F3M8;A0A8V1AC34;A0A1D5NW93;A0A8V0ZWH3;A0A8V0XM35;A0A1D5P8I7;A0A8V0Z7C7;A0A8V0X354;A0A8V0X868;A0A1D5NWL4;E1C3J7;A0A8V0Y4M6;F1NDP5;A0A8V0YBE2;P18944;A0A8V0YB71;A0A8V0XE68;A0A8V0Z310;A0A8V0XYL0;O57579;A0A8V0ZUI9;A0A1D5PEH3;A0A8V0X6H2;A0A8V0Y492;A0A8V0YZL1;Q5F3B9;A0A8V1AIR0;A0A8V1A840;A0A8V0XCD2;A0A8V0YA67;Q5ZMH8;P00356;A0A8V0YBU4;A0A8V0X535;A0A1D5P9Z1;A0A8V0ZTG8;A0A8V0YC52;A0A8V1AH40;F1NIL3;A0A8V1A3B4;A0A8V0YFF3;E1BSN7;A0A8V0Y9X9;F1NC58;A0A8V0YKJ7;A0A8V0ZU95;A0A8V0ZC01;E1BVT3;Q9YH14;A0A1D5PC23;A0A8V0X6I8;A0A8V0ZV32;A0A1D5P0U8;A0A8V0ZHZ7;A0A1D5PN54;A0A8V0Z5M1;R4GGZ2;A0A8V0ZI98;A0A1D5PNM0;A0A3Q2UJ64;A0A1D5NWL9;A0A8V1AA37;A0A8V0X3M7;A0A1D5PXH4;A0A8V1ACH5;A0A8V1AJB6;E1C658;A0A8V1AB74;A0A8V1A8C9;A0A8V1A4N7;E1BVD1;A0A1D5PQV3;A0A8V1AKL9;A0A8V0ZAL2;A0A8V1A624;E1BTT8;O13113;A0A8V0ZTF7;A0A8V0Z420;A0A8V0X6I3;A0A1D5PL45;A0A3Q2U7H6;A0A1L1RZK1;A0A1D5NT61;F1NBW2;A0A8V1A5Y9;A0A8V0XTM2;A0A8V0ZBC9;A0A8V0XIM8;A0A8V0YCL9;A0A3Q2TSP8;A0A8V1A102;A0A8V0ZJ84
Metabolism	Glycan biosynthesis and metabolism	6	A0A8V0Y664;A0A8V1A8C9;A0A8V0YBC7;O13113;A0A8V0ZHZ7;A0A8V0ZI24
Metabolism	Lipid metabolism	26	A0A1D5NWL9;A0A8V0X3M7;A0A1D5PMU2;A0A8V0Y492;A0A8V0ZT56;A0A1D5PK92;A0A8V1AJB6;A0A8V0Y8S2;A0A8V0YYX3;A0A8V0X9K8;A0A8V0ZJ84;E1BVD1;A0A8V0X548;A0A8V0Z2X9;A0A8V1AKL9;Q8QFM7;A0A8V1ABW1;A0A8V0ZAL2;F1NCA2;A0A8V0Z420;A0A8V0XE68;A0A3Q2U7H6;A0A8V0Y4M6;A0A8V0XIM8;A0A8V0YB71;A0A8V0ZZL0
Metabolism	Metabolism of cofactors and vitamins	19	A0A8V0X453;A0A8V0X675;A0A8V0YP51;A0A8V0Z2F8;A0A8V1AB74;A0A8V0YBU4;E1BVD1;A0A1D5P9Z1;A0A8V1AC34;A0A8V1AKL9;A0A8V1ABW1;A0A8V0XM46;F1NC58;A0A8V0X868;A0A8V0YKJ7;E1C3J7;A0A3Q2TSP8;A0A8V0Z5M1;A0A8V0Z310
Metabolism	Metabolism of other amino acids	17	A0A8V0ZJD3;A0A8V1AKL9;A0A8V0XX21;A0A8V0YU69;A0A8V1ABW1;A0A8V0ZHY3;A0A1D5P8I7;A0A8V0XTM2;A0A8V0ZV32;A0A1D5NY06;A0A8V0Y492;A0A8V0ZT56;A0A8V0XVT5;A0A8V0YEN4;A0A8V1A0C2;A0A8V0X9K8;O57579
Metabolism	Metabolism of terpenoids and polyketides	3	A0A8V1AKL9;A0A8V0XE68;A0A8V1ABW1
Metabolism	Nucleotide metabolism	11	A0A8V0ZJD3;A0A1D5PSI2;A0A3Q2UHG8;A0A8V0X675;A0A8V0XAH5;A0A8V0XTM2;A0A1D5PZJ5;A0A8V0X6H2;A0A1D5PL45;A0A8V1AC34;A0A8V0Z310
Metabolism	Xenobiotics biodegradation and metabolism	5	A0A8V0ZF25;A0A1D5PSI2;A0A8V0XM79;A0A8V1AJ29;A0A8V1A0C2
Organismal Systems	Aging	10	A0A1D5PFJ6;F1NZ86;Q5ZL72;Q5ZLQ6;A0A8V0YJ41;P08642;A0A8V0XKF3;F1NUX4;A0A1D5PIQ5;A0A8V0Z8E9
Organismal Systems	Circulatory system	27	A0A3Q2UJ64;Q5ZM47;A0A1D5P2H5;A0A8V1A472;A0A8V0Z2Y8;A0A8V0YZL1;A0A8V0XW68;A0A8V0Z5C6;A0A8V0ZX92;A0A8V1A3B4;A0A1L1RLN6;A0A1D5PM19;A0A1L1RKB7;A0A8V0X6I3;A0A8V0XTT7;A0A8V0ZU95;A0A8V0ZQN3;A0A8V0ZC01;A0A1L1RPJ2;A0A8V0XTC5;A0A8V0ZYC2;A0A8V1AHP5;A0A8V0YCL9;A0A8V0X829;A0A1D5PIQ5;P18944;A0A8V0Z153
Organismal Systems	Development and regeneration	12	A0A8V0YFT7;F1NUX4;A0A3Q2U211;A0A8V0Z6R7;A0A8V0XMT9;E1BS97;P08642;A0A1L1RPJ2;A0A3S5ZPV2;A0A1L1RM08;A0A1D5PIQ5;A0A8V0ZZL0
Organismal Systems	Digestive system	27	A0A1D5P2H5;A0A8V0YXU7;A0A8V1AGP0;A0A8V0ZHE8;A0A8V0ZM20;A0A8V0ZJT8;A0A8V0ZX92;A0A8V0YXE7;A0A8V0ZQV5;A0A8V0XR98;A0A8V1AEU3;A0A1L1RKB7;A0A8V0YIC4;A0A8V0XV56;A0A8V0X354;A0A8V1A7V4;A0A8V0XEL0;A0A8V0YBR3;A0A8V0ZZT2;E1C3J7;A0A8V0Z0Y0;A0A8V0ZZN4;A0A8V0X6S4;A0A8V0XTC5;A0A8V0ZIN3;A0A8V0XE68;A0A8V0Z153
Organismal Systems	Endocrine system	67	A0A1D5PFJ6;A0A8V0YS93;A0A8V1A8R0;F1NUX4;A0A1D5P2H5;A0A1D5PEH3;A0A1D5PK92;A0A8V0XKR3;P00337;A0A8V0XHN0;A0A1D5PD64;A0A1D5PS29;A0A8V0YFT7;Q5ZLN1;A0A8V0ZM20;A0A8V0XZQ2;P08642;A0A8V0Z5C6;A0A8V0ZAI6;A0A8V0ZTG8;A0A8V0ZX92;A0A1D5NW68;A0A8V0Z5C2;A0A8V0ZK24;A0A1D5PP34;A0A8V0Z8E9;A0A1D5PUL6;A0A8V0ZAL2;A0A1L1RLN6;A0A1L1RWR0;A0A8V1A178;A0A8V0YXL9;A0A1D5PPN9;E1BTT8;A0A8V1A4H0;A0A8V1AEU3;A0A1L1RKB7;E1BSN7;A0A3Q2U9P1;A0A8V0X354;A0A8V0X5E1;A0A8V0XS64;A0A8V0XTT7;A0A8V0Z1Z1;A0A8V1ACT0;A0A8V0ZVD2;A0A8V1A8U0;A0A8V0ZQ00;A0A8V0ZZT2;F1NLV4;A0A1D5NYE8;A0A8V0Y4M6;A0A8V0XJ14;A0A8V1A5Y9;A0A8V0ZQN3;O93256;A0A1L1RPJ2;A0A8V0XTC5;A0A8V0Z8R3;E1BW98;A0A1I7Q422;A0A8V0ZIN3;A0A8V1A8T0;A0A8V0Y7A6;A0A1D5PIQ5;A0A8V0Z153;O57579
Organismal Systems	Environmental adaptation	50	A0A1D5PNM0;A0A3Q2UJ64;A0A8V0ZRZ8;A0A8V1AA37;A0A1D5P2H5;A0A1D5PK92;A0A8V0Z2Y8;A0A8V0YZL1;E1C658;A0A8V0Z687;A0A1D5PD64;A0A8V0XW68;A0A8V0XCD2;A0A8V0X535;A0A8V1A4N7;P08642;A0A1D5P179;A0A8V0YC52;A0A8V0Z863;A0A8V0ZVA2;A0A8V1AH40;F1NIL3;A0A1D5NW93;A0A8V0Y9V7;A0A8V1A3B4;A0A8V0ZAL2;A0A8V0Y6X8;A0A8V1A624;A0A8V0Z7C7;A0A8V0YFF3;A0A8V0Y9X9;A0A8V0X6I3;A0A8V0X354;A0A8V0XS64;A0A8V0Z1Z1;A0A8V0Z382;F1NLV4;P18944;A0A8V0ZU95;A0A8V0ZC01;Q9YH14;A0A1D5PN54;A0A1D5P0U8;E1BW98;A0A8V0ZIN3;A0A8V0YCL9;F1NUX4;A0A1D5PIQ5;R4GGZ2;A0A8V0ZI98
Organismal Systems	Excretory system	21	A0A8V0YRF1;A0A8V0ZZU2;A0A8V0XJW7;A0A8V0Z958;A0A8V0YCH8;A0A8V0ZVE0;A0A8V0ZX92;A0A1D5PP57;A0A8V0Y8W7;A0A8V1AJR8;A0A1D5PL88;A0A8V1AAC8;A0A8V0ZRT5;A0A8V1ABS2;A0A1D5NT61;F1NBW2;A0A8V0ZBC9;A0A8V0XTC5;A0A1D5PFB8;A0A8V0ZBP0;A0A8V0ZJ84
Organismal Systems	Immune system	82	A0A8V0Z687;P84229;P81475;Q5ZMV5;E1BS97;A0A3Q2U0S7;A0A8V1A3U0;A0A1D5PPN9;A0A8V0ZY87;A0A8V0XW00;A0A8V0Y699;F1NLV4;A0A8V0XH43;A0A1D5NYE8;Q5ZLG7;A0A8V0ZIN3;A0A1D5PFJ6;A0A8V0XKE8;A0A8V0YS93;A0A8V1A3Y0;A0A8V0X8L8;A0A1D5P2H5;A0A8V0XGQ4;Q5ZMJ6;A0A1D5PFR7;A0A8V0YCY1;A0A8V0YXU7;A0A1D5PPF8;A0A8V0XWR2;A0A1D5P7C1;P08642;A0A8V0X8U3;A0A8V0YIZ9;H9L0D7;A0A3Q2U1A5;A0A8V0YXL9;A0A8V1AHK4;A0A3Q2UDI2;A0A8V0ZKI9;A0A8V0ZQN3;A0A8V1A184;A0A8V0YUC6;P62801;A0A8V0XTR4;A0A1D5PIQ5;O57579;A0A8V0ZD41;A0A1D5PLZ2;A0A8V0XYK6;A0A8V0ZHE8;A0A8V0YFT7;A0A8V0XMT9;A0A8V0Z5C6;A0A8V0ZZC5;A0A1L1RM08;A0A8V0Z8E9;A0A8V0XHF1;A0A1D5PUL6;A0A8V0XNV9;A0A8V0XS64;A0A8V0Z0Y0;A0A8V0YS27;A0A1L1RPJ2;A0A8V0YI20;A0A8V0Z153;A0A8V0YNC4;A0A3Q2UHM4;Q90WD0;A0A8V0Z0M2;A0A1D5PD64;A0A8V0Y9D6;A0A8V0XHB9;A0A8V0Y5A6;A0A8V1AG73;A0A8V1AJ29;P25155;F1NYJ1;P53488;A0A8V1AH61;P14448;E1BW98;F1NUX4
Organismal Systems	Nervous system	40	A0A1D5PNM0;A0A8V0ZRZ8;Q5ZM47;A0A8V1AA37;A0A1D5P2H5;A0A1D5PK92;A0A8V0ZZU2;A0A8V0XCD2;A0A8V0YCH8;A0A8V0X535;P08642;A0A8V0Z5C6;A0A1D5PP57;A0A8V0Y8W7;A0A1D5P179;A0A8V1AH40;A0A8V0ZVA2;A0A8V0YC52;A0A8V0Z863;A0A8V0Y9V7;A0A8V0Y6X8;A0A8V1AJR8;A0A8V0Z7C7;A0A8V0YFF3;A0A8V0XS64;A0A8V1AHK4;A0A8V0X354;A0A1D5PL88;A0A8V1AAC8;A0A8V0Z382;A0A1D5NV75;F1NLV4;A0A8V1ABS2;F1NBW2;A0A8V0ZQN3;A0A8V0ZBC9;A0A1L1RPJ2;E1BW98;A0A1D5PIQ5;R4GGZ2
Organismal Systems	Sensory system	8	A0A1D5PD64;A0A8V0YNC4;A0A8V0ZQN3;A0A1D5P2H5;A0A8V0Z5C6;A0A8V0ZIN3;A0A1D5PIQ5;F1NLV4
