COG/KOG category	Category description	Number of proteins
INFORMATION STORAGE AND PROCESSING	[A] RNA processing and modification	6
INFORMATION STORAGE AND PROCESSING	[B] Chromatin structure and dynamics	1
METABOLISM	[C] Energy production and conversion	4
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	9
METABOLISM	[E] Amino acid transport and metabolism	10
METABOLISM	[F] Nucleotide transport and metabolism	3
METABOLISM	[G] Carbohydrate transport and metabolism	23
METABOLISM	[H] Coenzyme transport and metabolism	4
METABOLISM	[I] Lipid transport and metabolism	6
INFORMATION STORAGE AND PROCESSING	[J] Translation, ribosomal structure and biogenesis	9
INFORMATION STORAGE AND PROCESSING	[K] Transcription	9
INFORMATION STORAGE AND PROCESSING	[L] Replication, recombination and repair	3
CELLULAR PROCESSES AND SIGNALING	[M] Cell wall/membrane/envelope biogenesis	10
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	53
METABOLISM	[P] Inorganic ion transport and metabolism	9
POORLY CHARACTERIZED	[R] General function prediction only	66
POORLY CHARACTERIZED	[S] Function unknown	22
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	71
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	16
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	11
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	23
CELLULAR PROCESSES AND SIGNALING	[Y] Nuclear structure	1
CELLULAR PROCESSES AND SIGNALING	[Z] Cytoskeleton	24
