KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell growth and death	64	A0A8V1A9H2;A0A3Q2UHM4;A0A8V0X453;Q5ZM47;A0A1D5P2H5;A0A8V0XGQ4;P09644;Q5ZMJ6;A0A1D5PFR7;A0A8V0ZHF5;A0A8V0ZX20;A0A3Q2U596;A0A1D5PA08;A0A8V0YXU7;A0A8V0Z0M2;A0A8V0Z687;E1BSI4;A0A1D5PD64;A0A8V0ZHE8;A0A8V1AKZ9;A0A8V0YFT7;F1NWX0;A0A8V0X637;Q5ZLQ6;A0A1D5PT47;A0A1D5P7C1;P08642;A0A8V0XR85;A0A8V0XAS9;A0A8V0Z5C6;A0A8V0ZAI6;A0A8V0YRF2;A0A8V1A7R0;P13648;A0A1D5PUL6;A0A8V0ZAL2;A0A8V0XB58;A0A8V0ZCS2;A0A8V0YJ41;A0A8V0XKF3;E1BSN7;A0A8V1AHK4;A0A8V0XJ84;A0A8V0YY54;A0A8V0YBR3;A0A8V0ZQ95;P00789;A0A8V0X8D5;F1NYJ1;A0A1D5NT61;Q05744;A0A8V0ZQN3;A0A8V0Z0Y0;A0A8V1A9R2;A0A8V0ZDZ5;A0A8V1AFH0;A0A8V0ZV32;A0A8V0XLN9;A0A1L1RPJ2;Q5ZLG7;A0A8V0ZIN3;F1NUX4;A0A1D5PIQ5;A0A8V0YWM3
Cellular Processes	Cell motility	34	A0A8V0YNC4;A0A8V0ZUI9;A0A8V0YY47;Q90WD0;A0A8V0ZD41;A0A1D5PIZ8;A0A8V0X5B9;Q5ZMV5;A0A8V0XMT9;E1BS97;P08642;A0A3S5ZPV2;A0A8V0Z5C6;A0A8V0X852;A0A1L1RM08;A0A8V1AAH7;A0A8V1A3U0;H9L0D7;A0A8V0Y5A6;A0A1D5PM19;Q5ZJ58;A0A8V0ZY87;A0A3Q2UAP0;Q9I946;A0A3Q2TU24;A0A8V0ZQN3;A0A1D5P655;A0A3Q2UGG0;P53488;A0A1L1RPJ2;A0A8V1AHP5;A0A8V0YDD6;A0A8V0ZIN3;A0A8V0Z153
Cellular Processes	Cellular community - eukaryotes	66	A0A8V1AG56;A0A8V1AEW4;A0A1D5PZV7;Q5ZM47;A0A8V0ZI29;A0A8V0XCT3;A0A8V1A2W0;A0A8V0YM05;Q90WD0;A0A8V0ZD41;A0A1D5PIZ8;P09644;A0A8V0ZHF5;A0A8V1AAN6;P02460;A0A8V0X5B9;A0A1D5PPF8;A0A8V0X8P6;F1NWX0;A0A8V0XWR2;Q5ZMV5;P32882;E1BS97;P08642;A0A8V0XMT9;A0A1D5P9Z1;A0A8V0XCW4;A0A8V0Z5C6;A0A8V0YRF2;A0A1L1RM08;A0A8V0Z5C2;A0A8V1A7R0;A0A8V1AAH7;A0A8V1A3U0;H9L0D7;A0A8V0Y5A6;Q0PVE4;A0A1D5PM19;A0A3Q2U1A5;A0A8V0ZTP1;A0A1L1RLN6;Q5ZJ58;P09244;A0A8V0Y699;A0A8V1ABC9;A0A8V0WZJ7;A0A8V0ZQ95;A0A1D5NYG3;Q9I946;A0A1D5NYE8;A0A3Q2TU24;A0A8V0ZQN3;A0A8V1A9R2;A0A8V0Y413;P53488;A0A8V0YW34;A0A1L1RPJ2;A0A8V1AH61;A0A8V0YDD6;A0A8V0XTR4;A0A8V1AHP5;A0A8V1AJV5;A0A8V0ZIN3;A0A8V0Z4M1;A0A1D5PIQ5;A0A8V0Z153
Cellular Processes	Transport and catabolism	104	A0A1D5PXH0;P28497;A0A8V0YRF1;P09644;A0A8V0XEJ0;A0A8V0YB43;P14315;A0A8V1ACS0;A0A8V0ZZG2;Q5ZMV5;A0A1D5PT47;A0A8V0Y8B8;P32882;A0A8V0Y8W7;A0A8V1A3U0;A0A8V0ZPS9;A0A8V0Z086;A0A8V0YQL8;P09244;A0A8V1AAC8;A0A8V0XA34;A0A8V0X8D5;A0A8V0XDT2;A0A8V1ABS2;A0A8V0Y079;A0A8V0ZIN3;A0A1D5PCU0;A0A1D5PFJ6;A0A8V0YS93;A0A8V0X8L8;A0A8V0XXM5;A0A1D5PFR7;A0A8V1A0C2;E1BS94;F1NN08;A0A8V0X637;A0A8V0YAM9;P08642;A0A1D5PP57;A0A1L1RSD2;A0A8V0X8U3;A0A1L1S0C5;Q0PVE4;A0A8V0Y7Y9;A0A1D5P8I7;A0A8V0ZKQ8;A0A8V0YZJ3;A0A8V0XJG4;A0A8V0X354;Q05744;A0A8V1AFH0;A0A8V0Y413;Q5ZHL0;A0A1D5NVM6;A0A8V0ZIF0;A0A8V0YC98;P13127;A0A8V0Z4J0;A0A8V0YCH8;A0A1L1RWX8;A0A8V0XMT9;A0A8V0YLN5;A0A8V0ZSX6;A0A8V0XL71;A0A8V0Z8E9;A0A8V0ZCS2;A0A8V0Z1E9;A0A1D5PL88;A0A8V0ZQ95;A0A8V0ZRT5;A0A1L1RPJ2;A0A8V0XK27;A0A8V0Z9Y8;P0CB50;A0A8V1AEW4;Q5ZKR9;Q5ZM47;A0A1D5NWL9;Q90WD0;A0A8V0Y8S2;A0A8V0ZHF5;A0A8V0Z958;A0A8V0X5B9;E1BSI4;F1NWX0;A0A8V0XR85;A0A8V0XHB9;A0A8V0ZEP8;A0A3Q2U511;A0A8V0ZZU1;A0A8V0ZAL2;A0A8V0XDM2;Q5ZJ58;A0A8V0Y8A2;A0A3Q2U2K2;A0A8V0ZH54;A0A8V1AJ29;A0A8V0XX49;A0A8V1AIF1;F1NYJ1;F1NBW2;A0A8V0ZBC9;P53488;F1NUX4
Environmental Information Processing	Signal transduction	164	A0A8V0YVT3;A0A8V0YEZ4;A0A8V0XEJ0;A0A8V0YW12;A0A8V0ZEJ3;A0A8V0Z687;A0A8V0YB43;A0A8V0ZZC8;A0A8V0ZZG2;A0A8V1AE58;A0A8V0YQ13;A0A8V1ABC8;E1BS97;A0A1L1RX77;A0A8V0XPE8;A0A8V0Y8W7;A0A8V1A7R0;A0A8V1A3N1;A0A8V0ZTP1;A0A1D5PPN9;A0A8V0ZY87;A0A8V0YJ41;A0A8V0X5E1;A0A8V0XJ84;A0A8V1AAC8;A0A8V0Y699;A0A1D5NWP2;A0A1D5NYG3;A0A8V0XA34;F1NLV4;A0A8V0XDT2;A0A1D5NYE8;A0A3Q2TU24;A0A1D5P770;A0A8V1A9R2;A0A8V0ZDZ5;A0A8V0YW34;Q5ZLG7;A0A8V0ZIN3;A0A8V0Y7A6;A0A8V0ZQS2;A0A8V0ZZL0;A0A8V1AG56;A0A1D5PFJ6;A0A8V0XCX4;A0A1D5PHE2;A0A8V1A8R0;A0A8V0YM05;A0A1D5P2H5;A0A8V1A9A7;P00337;Q5ZMJ6;A0A1D5PFR7;A0A8V0YXU7;P02460;A0A8V0XHN0;F1NN08;A0A8V0XWR2;A0A8V0X637;A0A8V0ZM20;A0A8V0XK73;A0A8V0XCW4;P08642;A0A8V1A6U2;A0A3S5ZPV2;A0A1D5PP57;A0A8V0ZX85;A0A8V0YRF2;A0A8V1AAH7;A0A1D5P0D7;Q0PVE4;A0A8V0Y7Y9;A0A3Q2U1A5;A0A8V0YXL9;A0A8V1AHK4;Q00649;A0A8V0X354;A0A8V1ABC9;A0A8V0WZJ7;A0A8V0Z1Z1;A0A8V0YRK4;Q5ZJT7;Q05744;A0A8V0ZQN3;A0A8V0Y413;A0A8V0YMM6;A0A8V0XTR4;A0A1D5PIQ5;A0A8V0ZUI9;A0A8V1A1U8;A0A8V1A2W0;A0A1D5PEH3;A0A8V0ZYM1;A0A8V0XKR3;A0A8V1AIR0;A0A8V0YC57;A0A1D5PS29;A0A8V0ZHE8;A0A8V0YFT7;A0A8V0ZKS6;P00356;A0A8V0XMT9;A0A8V0Z5C6;A0A8V0ZTG8;A0A8V0Z5C2;A0A8V0XL71;A0A8V0Z8E9;A0A8V0Z7Z5;S4VGQ1;A0A1D5PUL6;A0A1L1RKB7;A0A8V0XKF3;A0A8V0XS64;A0A8V0ZKI8;A0A1D5P9D0;O12971;A0A8V0X6I8;A0A8V0Z0Y0;A0A1L1RPJ2;A0A1D5P8H7;A0A8V0Z4M1;A0A8V0YFD4;A0A8V0Z153;A0A8V0YNC4;A0A3Q2UHM4;Q98938;Q5ZM47;A0A8V0XCT3;A0A8V0Y999;A0A8V1ACH5;A0A8V0ZHF5;A0A1D5PA08;A0A8V0Z0M2;A0A8V0XBS7;A0A8V0XYR2;A0A8V1A3H9;A0A8V0X5B9;A0A8V1AAN6;A0A1D5PD64;A0A8V0X8P6;E1C9E0;Q5ZLQ6;A0A8V0YHH6;A0A8V0ZX92;A0A8V0XHB9;A0A1D5P1F1;A0A3Q2U511;A0A8V1AJ90;A0A8V0ZRN1;A0A8V0XB58;A0A8V0ZZU1;E1BTT8;Q5ZJ58;A0A8V0YMS7;A0A8V0XTT7;Q9I946;A0A1D5PHW5;A0A8V1A5Y9;F1NBW2;A0A8V0ZBC9;A0A8V0XTC5;A0A8V0YDD6;E1BW98;F1NUX4
Environmental Information Processing	Signaling molecules and interaction	44	A0A8V0YNC4;A0A1D5PZV7;A0A8V0X8L8;A0A8V0XCT3;A0A8V0ZI29;A0A8V0XRC4;A0A1D5NW03;A0A8V1A2W0;A0A8V1A8R0;A0A8V0Y4R7;A0A8V0YEZ4;A0A8V0YXG4;A0A8V0XRN3;A0A8V0ZHF5;A0A8V0XUJ8;A0A8V0Z0M2;A0A8V0XYR2;A0A8V1AAN6;P02460;A0A8V0X8P6;A0A8V0ZKS6;A0A8V1AM71;A0A3Q2UGW3;A0A8V0YAJ1;E1C733;A0A8V0XMT9;A0A8V0XCW4;A0A452J7Z2;A0A8V0Z5C2;A0A1D5P0D7;A0A8V0ZTP1;A0A8V0ZY87;A0A8V0X5E1;A0A8V0XJ84;A0A8V0XTT7;A0A8V0YBR3;A0A8V0X8D5;A0A8V0Y413;A0A8V0ZDZ5;A0A3Q2U211;A0A8V1AH61;A0A8V0YDD6;A0A8V0Y7A6;A0A8V1A3I2
Genetic Information Processing	Folding, sorting and degradation	83	A0A8V0YFA7;A0A8V1APZ6;A0A8V0Z687;A0A8V1ACS0;A0A8V0ZZG2;Q5ZLI2;A0A8V0X2C5;A0A8V0ZNX9;A0A3Q2TZD8;Q5ZL72;A0A1D5PPN9;A0A8V0XWA8;A0A1D5PNL3;A0A8V0ZRZ2;A0A8V0XRD5;R4GLB3;A0A1D5P624;A0A8V0ZH27;P28687;A0A8V0XGH4;A0A1D5PFJ6;A0A8V0Z3K2;A0A8V0YS93;A0A8V0Z7B5;A0A8V0ZI24;A0A8V0ZH96;A0A8V0XHN0;A0A8V0YRF2;A0A3Q2UAA1;A0A8V0ZW46;A0A8V0ZE30;Q5ZJT7;F1NDP5;A0A8V0YSB5;A0A1L1RP66;A0A8V0ZNG4;Q7ZT63;F1NR71;A0A8V0YD10;A0A8V0YQY8;A0A8V0ZNG1;A0A8V0Z4J0;F1NU79;A0A8V0XY82;A0A8V0XZQ2;A0A8V0XAS9;A0A8V0ZTG8;A0A8V0ZSX6;A0A8V0Z8S4;A0A8V0XB82;A0A8V0Z8E9;A0A8V0XHF1;A0A1D5PUL6;A0A8V0ZCS2;A0A8V0ZY42;A0A8V0X7N6;A0A1D5PJW4;A0A1L1RZR2;A0A8V0XQS7;A0A8V0ZHZ7;A0A8V0YFD4;A0A8V0Y2X7;F1NZ86;F1NC02;A0A8V0XTL7;A0A8V1A582;A0A1D5NXL7;A0A8V0Z0G8;A0A8V0ZEY1;A0A8V0ZMT8;A0A8V1A8C9;A0A8V0XB52;A0A8V0XF68;O13113;A0A8V1ABH8;P00789;A0A8V0XW93;A0A3Q2UGR5;A0A8V0Y4P5;A0A1D5NTY5;A0A1D5NTD3;A0A8V0YCZ5;A0A3Q2UNH8
Genetic Information Processing	Replication and repair	4	A0A8V1AP07;A0A8V0YW57;A0A3Q2TZD8;A0A8V1A3Y9
Genetic Information Processing	Transcription	18	A0A1D5PFJ6;A0A8V0Z9Y2;A0A8V0ZJ97;A0A8V0Y8F5;A0A8V0XZ63;A0A8V0YZ41;A0A8V0YM29;A0A8V0XXW6;A0A8V1A0R9;Q5ZHZ0;E1C2C3;A0A8V1AEL1;A0A8V0XYP5;A0A3S5ZPN3;A0A8V1AFZ6;A0A8V0YUR4;A0A8V0Z8E9;F1NAC8
Genetic Information Processing	Translation	71	A0A8V0YD10;A0A1D5PYQ3;A0A8V0Y207;Q5ZM47;A0A8V1A6A3;A0A8V0ZVA8;A0A8V0XXX0;A0A8V0XBW1;A0A8V0ZEK6;A0A8V0XY40;A0A8V0YZ41;Q5ZHZ0;A0A8V0ZNA1;A0A8V0XJK4;A0A8V1A7D7;Q6ITC7;A0A8V0Z4J0;A0A8V0ZWY9;A0A8V1ACS0;A0A8V0YV66;A0A1D5P1W7;F1NN16;A0A8V1A9M2;P41125;A0A1D5P3B1;A0A8V0Y121;A0A8V1A8R2;A0A8V0Z5C6;F1NIX0;F1NH93;A0A8V0Z083;A0A8V1AAU9;A0A1D5PNG3;A0A8V0YH08;E1C2Z5;E1C4N0;A0A8V0ZJP1;A0A8V0Y4V6;A0A8V0XRE7;A0A8V0X1D0;F1NJU7;A0A8V0Z891;E1BTG1;A0A8V0YR80;P42558;A0A8V0XPN5;A0A8V0Y879;A0A8V0Z865;A0A8V0ZGP2;F1NRZ6;A0A1L1S0X5;A0A8V0Z1Z1;A0A3Q2UCR0;A0A1L1RX26;A0A8V0Z4U8;A0A8V0ZL98;A0A1D5PMT8;A0A8V0YG12;A0A8V0ZQN3;A0A8V0YKT5;A0A8V0XP09;A0A3Q3A7P6;A0A8V0ZE87;P50890;A0A8V0YQC4;A0A8V1A7Y9;A0A1D5P8H7;A0A3Q2TSP8;R4GGJ0;A0A8V0ZUX8;F1NPA9
