GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Molecular Function,carbohydrate derivative binding,2,GO:0097367,4,9,6,40,2.96,0.01630375314585844,1.79,A0A8V0Z5X2 A0A8V0ZA93 A0A1D5PT25 A0A8V0YDD6
Molecular Function,anion binding,3,GO:0043168,4,9,6,40,2.96,0.01630375314585844,1.79,A0A8V0Z5X2 A0A8V0ZA93 A0A1D5PT25 A0A8V0YDD6
Molecular Function,"hydrolase activity, acting on glycosyl bonds",3,GO:0016798,2,2,6,40,6.67,0.019230769230769287,1.72,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",4,GO:0004553,2,2,6,40,6.67,0.019230769230769287,1.72,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,protein-folding chaperone binding,3,GO:0051087,2,2,6,40,6.67,0.019230769230769287,1.72,A0A8V0Y0J2 A0A8V0YDD6
Molecular Function,phospholipid binding,3,GO:0005543,2,2,6,40,6.67,0.019230769230769287,1.72,A0A8V0Z5X2 A0A1D5PT25
Molecular Function,peptide binding,3,GO:0042277,2,3,6,40,4.44,0.05364372469635637,1.27,A0A8V0ZA93 A0A8V0Y0J2
Molecular Function,carboxylic acid binding,4,GO:0031406,2,3,6,40,4.44,0.05364372469635637,1.27,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,organic acid binding,3,GO:0043177,2,3,6,40,4.44,0.05364372469635637,1.27,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,enzyme activator activity,3,GO:0008047,2,3,6,40,4.44,0.05364372469635637,1.27,A0A8V0Z5X2 A0A8V0YDD6
Molecular Function,ion binding,2,GO:0043167,4,13,6,40,2.05,0.07488315383052238,1.13,A0A8V0Z5X2 A0A8V0ZA93 A0A1D5PT25 A0A8V0YDD6
Molecular Function,hydrolase activity,2,GO:0016787,3,8,6,40,2.5,0.08188350293613475,1.09,A0A8V0Z5X2 A0A8V0ZV19 A0A8V0ZA93
Molecular Function,lipid binding,2,GO:0008289,2,4,6,40,3.33,0.09968267863004707,1.0,A0A8V0Z5X2 A0A1D5PT25
Molecular Function,small molecule binding,2,GO:0036094,2,4,6,40,3.33,0.09968267863004707,1.0,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,glycosaminoglycan binding,3,GO:0005539,2,5,6,40,2.67,0.15424736477368106,0.81,A0A8V0ZA93 A0A8V0YDD6
Molecular Function,protein-containing complex binding,2,GO:0044877,2,7,6,40,1.9,0.2786227523069631,0.55,A0A8V0Y0J2 A0A8V0YDD6
Molecular Function,identical protein binding,3,GO:0042802,2,7,6,40,1.9,0.2786227523069631,0.55,A0A8V0Z5X2 A0A8V0YDD6
Molecular Function,enzyme regulator activity,2,GO:0030234,2,7,6,40,1.9,0.2786227523069631,0.55,A0A8V0Z5X2 A0A8V0YDD6
Molecular Function,signaling receptor binding,3,GO:0005102,3,12,6,40,1.67,0.34068278805120944,0.47,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Molecular Function,protein dimerization activity,3,GO:0046983,2,8,6,40,1.67,0.5802896013422347,0.24,A0A8V0Z5X2 A0A8V0Y0J2
Molecular Function,molecular function regulator activity,1,GO:0098772,2,8,6,40,1.67,0.5802896013422347,0.24,A0A8V0Z5X2 A0A8V0YDD6
Molecular Function,enzyme binding,3,GO:0019899,2,9,6,40,1.48,0.6016030200240735,0.22,A0A8V0Y0J2 A0A8V0YDD6
Molecular Function,catalytic activity,1,GO:0003824,3,15,6,40,1.33,0.6539555750082082,0.18,A0A8V0Z5X2 A0A8V0ZV19 A0A8V0ZA93
Molecular Function,protein binding,2,GO:0005515,4,26,6,40,1.03,1.0,-0.0,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Molecular Function,binding,1,GO:0005488,5,32,6,40,1.04,1.0,-0.0,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A1D5PT25 A0A8V0YDD6
Biological Process,regulation of phosphate metabolic process,6,GO:0019220,4,5,5,43,6.88,0.00019842135553990335,3.7,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of protein modification process,6,GO:0031399,4,5,5,43,6.88,0.00019842135553990335,3.7,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of phosphorus metabolic process,5,GO:0051174,4,5,5,43,6.88,0.00019842135553990335,3.7,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of phosphorylation,7,GO:0042325,4,5,5,43,6.88,0.00019842135553990335,3.7,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of protein metabolic process,6,GO:0051247,4,5,5,43,6.88,0.00019842135553990335,3.7,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of protein phosphorylation,7,GO:0001932,4,5,5,43,6.88,0.00019842135553990335,3.7,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of nitrogen compound metabolic process,5,GO:0051173,4,6,5,43,5.73,0.0005827978034444296,3.23,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of macromolecule metabolic process,5,GO:0010604,4,6,5,43,5.73,0.0005827978034444296,3.23,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of cellular metabolic process,5,GO:0031325,4,7,5,43,4.91,0.0013307735939613425,2.88,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of catalytic activity,4,GO:0043085,4,7,5,43,4.91,0.0013307735939613425,2.88,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of metabolic process,4,GO:0009893,4,7,5,43,4.91,0.0013307735939613425,2.88,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of molecular function,3,GO:0044093,4,8,5,43,4.3,0.0026033712931047043,2.58,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of phosphorus metabolic process,6,GO:0010562,3,4,5,43,6.45,0.0031196823596142914,2.51,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93
Biological Process,positive regulation of phosphate metabolic process,7,GO:0045937,3,4,5,43,6.45,0.0031196823596142914,2.51,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93
Biological Process,positive regulation of protein phosphorylation,8,GO:0001934,3,4,5,43,6.45,0.0031196823596142914,2.51,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93
Biological Process,positive regulation of protein modification process,7,GO:0031401,3,4,5,43,6.45,0.0031196823596142914,2.51,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93
Biological Process,positive regulation of phosphorylation,8,GO:0042327,3,4,5,43,6.45,0.0031196823596142914,2.51,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93
Biological Process,regulation of protein metabolic process,5,GO:0051246,4,10,5,43,3.44,0.007461058510406217,2.13,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of cytokine production,4,GO:0001817,3,5,5,43,5.16,0.0075015738657258834,2.12,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,positive regulation of proteolysis,7,GO:0045862,2,2,5,43,8.6,0.01107419712070877,1.96,A0A8V0Y0J2 A0A8V0YDD6
Biological Process,mucopolysaccharide metabolic process,6,GO:1903510,2,2,5,43,8.6,0.01107419712070877,1.96,A0A8V0ZA93 A0A8V0ZV19
Biological Process,gliogenesis,5,GO:0042063,2,2,5,43,8.6,0.01107419712070877,1.96,A0A8V0Y0J2 A0A8V0YDD6
Biological Process,response to wounding,3,GO:0009611,3,6,5,43,4.3,0.014420349928007378,1.84,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,regulation of intracellular signal transduction,5,GO:1902531,3,6,5,43,4.3,0.014420349928007378,1.84,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Biological Process,regulation of transport,4,GO:0051049,3,6,5,43,4.3,0.014420349928007378,1.84,A0A8V0ZA93 A0A8V0Y0J2 A0A8V0YDD6
Biological Process,positive regulation of cellular process,4,GO:0048522,5,20,5,43,2.15,0.01610641202246422,1.79,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,positive regulation of response to stimulus,4,GO:0048584,4,12,5,43,2.87,0.016764007404960285,1.78,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,regulation of catalytic activity,3,GO:0050790,4,12,5,43,2.87,0.016764007404960285,1.78,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of signal transduction,4,GO:0009966,4,13,5,43,2.65,0.023620452151365372,1.63,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,platelet degranulation,4,GO:0002576,3,7,5,43,3.69,0.024237532178541805,1.62,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Biological Process,homeostatic process,1,GO:0042592,3,7,5,43,3.69,0.024237532178541805,1.62,A0A8V0Z5X2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,chemical homeostasis,2,GO:0048878,3,7,5,43,3.69,0.024237532178541805,1.62,A0A8V0Z5X2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of establishment of protein localization,6,GO:0070201,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0YDD6
Biological Process,glycosaminoglycan metabolic process,5,GO:0030203,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0ZV19
Biological Process,regulation of transferase activity,4,GO:0051338,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0Y0J2
Biological Process,intracellular chemical homeostasis,3,GO:0055082,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of protein transport,5,GO:0051223,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0YDD6
Biological Process,response to metal ion,4,GO:0010038,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0Y0J2 A0A8V0YDD6
Biological Process,cellular homeostasis,2,GO:0019725,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0YDD6
Biological Process,negative regulation of programmed cell death,5,GO:0043069,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0Y0J2 A0A8V0YDD6
Biological Process,regulation of protein kinase activity,6,GO:0045859,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0Y0J2
Biological Process,positive regulation of protein kinase activity,7,GO:0045860,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0Y0J2
Biological Process,positive regulation of cytokine production,5,GO:0001819,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0Y0J2 A0A8V0ZV19
Biological Process,regulation of kinase activity,5,GO:0043549,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0Y0J2
Biological Process,aminoglycan metabolic process,4,GO:0006022,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0ZV19
Biological Process,regulation of MAPK cascade,6,GO:0043408,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0Z5X2 A0A8V0YDD6
Biological Process,positive regulation of cell migration,6,GO:0030335,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of protein localization,5,GO:0032880,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of peptide transport,5,GO:0090087,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0YDD6
Biological Process,positive regulation of kinase activity,6,GO:0033674,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0Y0J2
Biological Process,positive regulation of transferase activity,5,GO:0051347,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0ZA93 A0A8V0Y0J2
Biological Process,negative regulation of apoptotic process,6,GO:0043066,2,3,5,43,5.73,0.03160197714933959,1.5,A0A8V0Y0J2 A0A8V0YDD6
Biological Process,regulation of biological quality,2,GO:0065008,4,14,5,43,2.46,0.032236717716014406,1.49,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of signaling,3,GO:0023051,4,14,5,43,2.46,0.032236717716014406,1.49,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,regulation of cell communication,4,GO:0010646,4,14,5,43,2.46,0.032236717716014406,1.49,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,regulation of nitrogen compound metabolic process,4,GO:0051171,4,14,5,43,2.46,0.032236717716014406,1.49,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of primary metabolic process,4,GO:0080090,4,14,5,43,2.46,0.032236717716014406,1.49,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,regulation of cellular metabolic process,4,GO:0031323,4,14,5,43,2.46,0.032236717716014406,1.49,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,negative regulation of response to stimulus,4,GO:0048585,3,8,5,43,3.22,0.037218028709803994,1.43,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19
Biological Process,regulated exocytosis,4,GO:0045055,3,8,5,43,3.22,0.037218028709803994,1.43,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Biological Process,exocytosis,3,GO:0006887,3,8,5,43,3.22,0.037218028709803994,1.43,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Biological Process,positive regulation of signal transduction,5,GO:0009967,3,8,5,43,3.22,0.037218028709803994,1.43,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19
Biological Process,regulation of molecular function,2,GO:0065009,4,15,5,43,2.29,0.042824730572887104,1.37,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,cellular metabolic process,2,GO:0044237,5,22,5,43,1.95,0.04849688031764039,1.31,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,positive regulation of biological process,3,GO:0048518,5,23,5,43,1.87,0.05106285282121925,1.29,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,secretion by cell,3,GO:0032940,3,9,5,43,2.87,0.053536367206248194,1.27,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Biological Process,secretion,4,GO:0046903,3,9,5,43,2.87,0.053536367206248194,1.27,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Biological Process,positive regulation of signaling,4,GO:0023056,3,9,5,43,2.87,0.053536367206248194,1.27,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19
Biological Process,positive regulation of cell communication,5,GO:0010647,3,9,5,43,2.87,0.053536367206248194,1.27,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19
Biological Process,regulation of cell population proliferation,4,GO:0042127,3,9,5,43,2.87,0.053536367206248194,1.27,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,cell activation,2,GO:0001775,3,9,5,43,2.87,0.053536367206248194,1.27,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6
Biological Process,cell communication,2,GO:0007154,4,16,5,43,2.15,0.05558706749858186,1.26,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,regulation of macromolecule metabolic process,4,GO:0060255,4,16,5,43,2.15,0.05558706749858186,1.26,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZA93 A0A8V0YDD6
Biological Process,signal transduction,2,GO:0007165,4,16,5,43,2.15,0.05558706749858186,1.26,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,regulation of response to stimulus,3,GO:0048583,4,16,5,43,2.15,0.05558706749858186,1.26,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,signaling,3,GO:0023052,4,16,5,43,2.15,0.05558706749858186,1.26,A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,nitrogen compound metabolic process,2,GO:0006807,5,24,5,43,1.79,0.05623531318369669,1.25,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,organonitrogen compound metabolic process,3,GO:1901564,5,24,5,43,1.79,0.05623531318369669,1.25,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,organic substance metabolic process,2,GO:0071704,5,24,5,43,1.79,0.05623531318369669,1.25,A0A8V0ZA93 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Biological Process,macromolecule catabolic process,4,GO:0009057,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0ZA93 A0A8V0Y0J2
Biological Process,regulation of cellular response to stress,4,GO:0080135,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0Z5X2 A0A8V0Y0J2
Biological Process,amide transport,5,GO:0042886,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0Z5X2 A0A8V0Y0J2
Biological Process,regulation of response to external stimulus,4,GO:0032101,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0Y0J2 A0A8V0YDD6
Biological Process,lipid transport,5,GO:0006869,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0Z5X2 A0A8V0Y0J2
Biological Process,positive regulation of cell motility,5,GO:2000147,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0ZA93 A0A8V0YDD6
Biological Process,organic acid metabolic process,3,GO:0006082,2,4,5,43,4.3,0.0600842719390648,1.22,A0A8V0ZA93 A0A8V0ZV19
