KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00600 Sphingolipid metabolism,1,2,1,22,11.0,0.09090909090909073,1.04,A0A8V0Z5X2
map04142 Lysosome,1,3,1,22,7.33,0.13636363636363624,0.87,A0A8V0Z5X2
