KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04350 TGF-beta signaling pathway,1,1,2,22,11.0,0.0909090909090909,1.04,A0A8V0YMM6
map04610 Complement and coagulation cascades,1,1,2,22,11.0,0.0909090909090909,1.04,A0A8V0Y0J2
