KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell growth and death	37	A0A1D5NTC1;A0A3Q2UHM4;Q5ZM47;A0A8V0YSD6;A0A1D5P2H5;A0A1D5PFR7;A0A8V0ZBD1;A0A8V0ZHF5;P02552;A0A3Q2U596;A0A8V0YXU7;A0A8V0YCF4;E1BSI4;A0A8V0ZHE8;A0A8V1AKZ9;Q5ZHP5;A0A1D5P7C1;P08642;A0A8V0XY43;P13648;A0A8V1A9K2;A0A1D5PUL6;A0A8V0ZAL2;A0A1D5PCX2;A0A8V0YJ41;A0A3Q3ACS4;A0A8V0YY54;A0A8V0YBR3;A0A8V1ADL7;P02789;A0A8V0XL89;F1NYJ1;A0A8V0Z0Y0;A0A1L1RPJ2;A0A8V0ZIN3;F1NUX4;A0A1D5P420
Cellular Processes	Cell motility	19	Q90WD0;A0A8V0X163;E1BS97;P08642;A0A3S5ZPV2;A0A1L1RM08;A0A8V1A3U0;H9L0D7;A0A8V0Y5A6;A0A8V0YYZ7;A0A1D5PM19;A0A8V1AKR7;A0A3Q3ACS4;A0A8V0ZG81;A0A8V0X6F7;A0A1L1RPJ2;A0A8V1AHP5;A0A8V0ZIN3;A0A8V0Z153
Cellular Processes	Cellular community - eukaryotes	37	A0A8V1AEW4;A0A8V0XIV7;Q5ZM47;A0A8V0XHT1;Q90WD0;A0A8V0ZHF5;P02552;A0A1D5NZL7;A0A8V0XWR2;E1BS97;P08642;A0A1D5P9Z1;A0A8V1A229;A0A1L1RM08;A0A8V0XY43;A0A8V0Z535;A0A8V1A3U0;H9L0D7;A0A8V0Y5A6;A0A8V0YYZ7;A0A1D5PM19;A0A3Q2U1A5;A0A8V0YHC1;A0A8V1AKR7;A0A3Q3ACS4;P09244;A0A8V0YZ32;A0A8V0ZG81;A0A1D5NYE8;A0A8V0X6F7;A0A1L1RPJ2;A0A8V1AH61;A0A8V1AHP5;A0A8V0XTR4;A0A8V1AJV5;A0A8V0ZIN3;A0A8V0Z153
Cellular Processes	Transport and catabolism	62	A0A1D5PXH0;A0A8V1AEW4;Q5ZKR9;Q5ZM47;Q8AXV0;A0A8V0Z6U6;A0A8V0YSD6;Q90WD0;A0A1D5PFR7;A0A8V0ZHF5;A0A8V0Z958;P02552;A0A8V1A0C2;F1NN08;E1BSI4;Q5ZHP5;F1P4I3;A0A8V0YMC5;A0A8V0XXX2;P08642;A0A1D5PP57;A0A3Q2U263;A0A8V0ZPJ9;A0A8V0X8U3;A0A8V0XHB9;A0A8V0Y8W7;A0A8V0ZEP8;A0A3Q2U511;A0A140T8H8;A0A8V0Z8E9;A0A8V1A3U0;A0A8V0ZAL2;A0A8V0YYZ7;A0A1D5PCX2;A0A8V0ZKQ8;A0A8V0XLB9;A0A8V0XL80;A0A3Q3ACS4;A0A8V0YQL8;P09244;A0A8V0X354;A0A3Q2U2K2;A0A8V0Y2J1;A0A8V0ZPS9;A0A8V1AJ29;A0A8V1AIF1;A0A8V0XA34;A0A8V0Z5I7;A0A8V1ADL7;Q98932;F1NGM0;F1NYJ1;A0A8V0X6F7;A0A1L1RPJ2;A0A8V0XK27;A0A1D5NWR3;A0A8V0Y6Z6;A0A8V0ZIN3;Q5ZIP7;F1NUX4;A0A1D5P420;P0CB50
Environmental Information Processing	Membrane transport	1	A0A8V0ZF15
Environmental Information Processing	Signal transduction	89	A0A1L1RWI9;A0A8V1ABC8;E1BS97;A0A8V0Y8W7;A0A1D5PHP9;A0A8V0YJ41;A0A8V0Y2J1;A0A8V0YZ32;A0A8V0XA34;F1NJR9;A0A8V0Z0S2;F1NLV4;A0A1D5NYE8;A0A8V0XL89;A0A1D5P770;A0A8V0ZIN3;Q98932;A0A8V0Y7A6;A0A8V0ZZL0;A0A1D5NTC1;A0A1D5PHE2;A0A8V0YSE9;A0A8V1A8R0;A0A1D5P2H5;A0A1D5PFR7;A0A8V0YXU7;F1NN08;A0A8V0XWR2;A0A8V0ZM20;A0A8V0XK73;P08642;A0A3S5ZPV2;A0A1D5PP57;A0A3Q2U1A5;R4GKD1;A0A3Q3ACS4;A0A8V0X354;A0A8V0X381;A0A8V0ZG81;Q5ZJT7;A0A8V1A555;A0A8V0XTR4;A0A8V0Z6U6;A0A8V0XKR3;A0A8V0X2V3;A0A8V1AIR0;A0A8V0ZHE8;A0A1D5NZL7;A0A8V1AAZ4;P00356;A0A8V0X163;A0A8V1A229;A0A8V0Z8E9;A0A1D5P4S3;S4VGQ1;A0A1D5PUL6;A0A8V0YHC1;A0A8V0XLB9;A0A8V0XS64;A0A1D5P9D0;A0A8V0ZE99;A0A8V0X6I8;A0A8V0Z0Y0;A0A1L1RPJ2;A0A1D5P8H7;A0A8V0Z153;A0A3Q2UHM4;A0A8V0XIV7;Q5ZM47;A0A8V0YA55;A0A8V0ZBD1;A0A8V0ZHF5;A0A8V0XBS7;A0A8V0XHB9;A0A8V0XY43;A0A3Q2U511;A0A8V1A1T0;A0A8V0YYZ7;A0A8V0YQA1;E1BTT8;A0A8V1A9K7;A0A8V0Z5I7;P02789;A0A1D5P1T0;A0A8V1A5Y9;E1BW98;A0A8V0Y6Z6;Q5ZIP7;F1NUX4
Environmental Information Processing	Signaling molecules and interaction	22	A0A3Q2UGT3;A0A8V0XIV7;A0A8V0YSE9;A0A8V1A8R0;A0A8V1A134;A0A8V0ZJX2;A0A8V0ZHF5;A0A8V1A5A3;A0A8V1AAN2;A0A8V0YAJ1;A0A452J7Z2;Q03696;A0A8V1A1T0;A0A1D5P4S3;A0A8V0YHC1;A0A8V0Y2J1;A0A8V0ZG81;A0A8V0YBR3;A0A8V1AF44;A0A8V1AH61;A0A8V0Y7A6;A0A8V1A3I2
Genetic Information Processing	Folding, sorting and degradation	30	A0A8V0YD10;F1NZ86;F1NC02;A0A8V1A582;A0A8V0ZNG1;A0A8V0Z0G8;A0A8V0Y726;F1NU79;A0A1D5PH43;F1P4I3;A0A1L1RR91;A0A8V0ZNX9;A0A3Q2UAA1;A0A8V0Z8E9;A0A8V0XHF1;P09102;A0A1D5PUL6;Q5ZL72;A0A3Q2TZD8;A0A8V0YPT3;A0A1D5PNL3;Q90593;A0A8V0Z0S2;Q5ZJT7;A0A8V0XW93;A0A8V0X7N6;A0A1D5P624;A0A8V0XFV9;A0A8V0ZNG4;Q7ZT63
Genetic Information Processing	Replication and repair	2	A0A3Q2TZD8;A0A8V1A3Y9
Genetic Information Processing	Transcription	6	A0A8V0XKJ6;A0A8V0YZ41;A0A8V1AEL1;A0A8V1AFZ6;A0A3S5ZPN3;A0A8V0Z8E9
