KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell growth and death	16	A0A8V0YFT7;A0A1D5NT61;Q05744;A0A8V0ZSN8;A0A8V0X637;A0A8V1A9R2;A0A1L4FLS3;A0A8V0XWD4;A0A8V0XMI5;A0A8V0YVB6;A0A8V0X8Q3;A0A8V0YRF2;A0A8V0XKW4;A0A8V1A7R0;A0A8V0X8D5;A0A8V0YWM3
Cellular Processes	Cell motility	5	A0A3Q2TU24;A0A8V0YDD6;A0A3Q2UHS2;A0A8V0XE48;A0A1I7Q3Z0
Cellular Processes	Cellular community - eukaryotes	18	A0A8V1AG56;A0A1D5P6T3;A0A3Q2TU24;Q0PVE4;A0A8V0ZSN8;A0A8V1A9R2;A0A8V0XCW4;A0A8V0XDR8;A0A8V0YDD6;A0A8V1A0B4;A0A8V0XE48;A0A8V0Y699;A0A8V0YRF2;A0A8V1ABC9;A0A8V1A7R0;A0A1I7Q3Z0;A0A8V1AAN6;P02460
Cellular Processes	Transport and catabolism	32	A0A8V1ABA3;A0A8V0XXM5;A0A8V0XEP8;A0A8V0YC89;A0A8V0XMI5;A0A8V0ZSD7;A0A8V0ZIF0;A0A8V0XEJ0;A0A8V0YC98;A0A1I7Q3Z0;A0A8V0ZYI9;A0A8V0ZSC5;A0A8V0X637;F1NTQ2;A0A8V0XWD4;A0A8V0ZSX6;A0A8V0YVB6;A0A8V1A6B5;A0A8V0XL71;Q0PVE4;A0A8V0ZRV9;A0A8V0YZJ3;A0A8V0ZR93;Q5ZJW4;A0A8V0Z086;A0A8V0YSF6;A0A8V0X8Q3;A0A8V1ALI6;A0A8V0ZRP2;A0A8V0X8D5;A0A8V0XDT2;Q05744
Environmental Information Processing	Signal transduction	39	A0A8V1AG56;Q98938;A0A8V0Y999;A0A8V0XDR8;A0A8V1ACH5;A0A8V0XEJ0;P15120;A0A1I7Q3Z0;A0A8V0ZEJ3;A0A8V1AAN6;A0A8V1A3H9;P02460;A0A1D5P6T3;A0A1I7Q421;A0A8V0YFT7;A0A8V0X637;A0A1L1RX77;A0A8V0XCW4;A0A8V0XPE8;A0A8V0YRF2;A0A8V1A7R0;A0A8V0XL71;A0A1D5P0D7;A0A8V0YIC3;Q0PVE4;A0A8V1A3N1;Q00649;A0A8V0XE48;A0A8V0Y699;A0A8V1ABC9;K9JA28;A0A8V0XDT2;A0A8V0ZKI8;A0A3Q2TU24;Q05744;A0A8V0ZSN8;A0A8V1A9R2;A0A8V0Y652;A0A8V0YDD6
Environmental Information Processing	Signaling molecules and interaction	16	A0A8V0YWI5;A0A3Q2UGW3;A0A8V0Y652;E1C733;A0A8V1AAN6;A0A8V0XCW4;A0A8V0XDR8;A0A8V0YDD6;P02460;A0A8V0X8D5;A0A8V0X8Q3;A0A1D5PBZ8;A0A8V0XS21;A0A8V0XUJ8;K9JA28;A0A1D5P0D7
Genetic Information Processing	Folding, sorting and degradation	7	A0A8V0ZY42;Q5ZJW4;A0A8V0ZSX6;A0A8V0YRF2;A0A8V0ZE30;P28687;A0A8V0ZH96
Genetic Information Processing	Replication and repair	2	A0A8V0YW57;A0A8V0XMI5
Genetic Information Processing	Transcription	3	A0A8V0ZJ97;A0A1D5PSI3;A0A8V0XXW6
Genetic Information Processing	Translation	7	A0A8V0XPN5;A0A8V1A8R2;A0A8V0YQC4;A0A8V0Z865;A0A8V1A7Y9;Q6ITC7;A0A1L1S0X5
Metabolism	Amino acid metabolism	8	F1NXR0;A0A1D5NT61;A0A1D5P692;A0A8V0YC20;A0A8V0Z4R1;A0A8V0ZHL4;A0A8V0X7J6;A0A1D5PXI1
Metabolism	Biosynthesis of other secondary metabolites	1	A0A8V0ZJD3
Metabolism	Carbohydrate metabolism	7	F1NTQ2;A0A8V0YZJ3;A0A8V0YBE2;A0A8V1ACH5;A0A8V1ALI6;A0A8V0Y9B0;A0A8V0YXI7
Metabolism	Energy metabolism	6	A0A8V0ZJD3;A0A8V0ZRZ8;A0A8V0XCD2;A0A1D5NT61;A0A8V0X535;A0A8V1AEM5
Metabolism	Global and overview maps	42	A0A8V1A9L3;A0A8V0ZRZ8;A0A8V1ABA3;A0A8V0XXM5;A0A8V0YC89;A0A8V0Z4R1;A0A8V0YGN2;A0A8V0ZSD7;A0A8V0ZHL4;A0A8V0ZIF0;A0A8V0Y9B0;A0A8V1ACH5;A0A8V0YC98;A0A8V1AEM5;A0A1D5PXI1;F1NXR0;A0A8V0XCD2;A0A8V0X637;F1NTQ2;A0A8V0X535;E1C3Z8;A0A8V0WZN3;A0A8V0ZXC9;A0A8V0X7J6;E1C2T4;A0A8V0Z0B9;A0A8V0Z6S1;A0A1D5P692;A0A8V0YZJ3;A0A8V1ALI6;A0A8V0YXI7;A0A8V0YYQ9;A0A8V1AFP1;Q92182;A0A8V0Y4M6;A0A8V0ZJD3;F1NGB8;A0A1D5NT61;A0A1D5PMN7;A0A8V0YC20;A0A8V0YBE2;A0A8V0Z938
Metabolism	Glycan biosynthesis and metabolism	16	Q92182;F1NGB8;A0A8V0Z6S1;A0A8V1ABA3;A0A8V1AFP1;F1NTQ2;E1C3Z8;A0A8V0YZJ3;A0A8V0YC89;A0A8V0Z938;A0A8V0ZIF0;A0A8V0ZXC9;E1C2T4;A0A8V0YC98;A0A8V0YYQ9;A0A8V0Z0B9
Metabolism	Lipid metabolism	7	A0A8V0Y4M6;A0A8V0ZSC5;A0A8V0X637;A0A8V0XXM5;A0A8V1ABA3;A0A8V0WZN3;A0A8V0YZJ3
Metabolism	Metabolism of cofactors and vitamins	2	A0A8V0ZSD7;A0A1D5PMN7
Metabolism	Metabolism of other amino acids	4	A0A8V0ZJD3;A0A8V0YGN2;A0A1D5PMN7;A0A8V0X7J6
Metabolism	Nucleotide metabolism	4	A0A8V0ZJD3;A0A8V1A9L3;A0A1D5PMN7;A0A8V0YC20
Metabolism	Xenobiotics biodegradation and metabolism	3	A0A8V0Y9F8;A0A1D5PMN7;A0A8V0YGN2
Organismal Systems	Aging	2	A0A1D5P6T3;A0A8V0YGN2
Organismal Systems	Circulatory system	4	A0A8V1ABC9;A0A1L1RKY9;A0A8V0XE48;A0A8V0ZY91
Organismal Systems	Development and regeneration	14	A0A8V1AG56;A0A1D5P6T3;A0A8V0Z8V4;Q0PVE4;A0A8V0YFT7;A0A1D5PBU5;A0A8V0ZSN8;A0A8V1ACD6;A0A8V0XE48;A0A8V1ABC9;A0A8V0YRG2;A0A1I7Q3Z0;A0A1D5PZ68;A0A8V0ZEJ3
Organismal Systems	Digestive system	11	A0A8V1AHP7;A0A8V0YWI5;A0A8V0XXK8;A0A8V1AFR2;A0A1D5NYS2;A0A8V0ZY91;A0A8V0X9L0;A0A8V1ABC9;P01875;A0A1D5P8I8;P02460
Organismal Systems	Endocrine system	18	A0A8V0Y4M6;A0A1D5P6T3;A0A8V0Y4Q2;A0A8V0ZKI8;A0A8V0XA92;A0A8V0YFT7;Q05744;A0A8V1AG56;A0A8V0YWI5;A0A8V0Z6E4;A0A8V1AHP7;A0A8V0XE48;A0A8V1ABC9;A0A8V0XUJ8;A0A1D5PLP1;A0A8V1A7R0;A0A1I7Q3Z0;P01875
Organismal Systems	Environmental adaptation	4	A0A8V0ZRZ8;A0A8V0X535;A0A8V0XCD2;A0A8V1ABC9
Organismal Systems	Excretory system	5	A0A1D5P6T3;A0A1D5NT61;A0A1D5NYS2;A0A8V1ABC9;A0A8V0ZRP2
Organismal Systems	Immune system	29	A0A8V0Y8Q2;A0A8V0XMI5;A0A8V0XEJ0;P15120;A0A1I7Q3Z0;A0A8V0ZEJ3;A0A8V1ACV0;A0A8V0XYK6;A0A8V0YFT7;A0A8V0ZSG8;A0A8V1A8N2;E1C733;A0A8V0YRF2;A0A8V1A7R0;A0A8V0XL71;A0A8V0ZZZ5;A0A1L4FLS3;A0A8V0XW00;A0A8V0YSF6;A0A8V0XE48;A0A8V0X8Q3;A0A8V0Y699;A0A8V1ABC9;A0A8V0X8D5;A0A8V0XDT2;A0A8V0ZSN8;A0A8V1A9R2;P01875;A0A8V0YHS1
Organismal Systems	Nervous system	7	A0A8V0XCD2;A0A8V0ZRZ8;A0A8V0X535;A0A8V0ZY91;A0A8V1ABC9;A0A8V0ZRP2;A0A1I7Q3Z0
Organismal Systems	Sensory system	2	A0A1I7Q3Z0;A0A8V1ABC9
