GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	regulation of biological process	181	F1NTQ2 P02460 Q00649 Q92182 Q98938 A0A1D5PZ68 A0A8V0Y4M6 A0A8V1ABA3 K9JA28 P15120 P26652 Q5ZJW4 A0A1D5NYS2 A0A1D5P0D7 A0A1D5PBU5 A0A8V0X4D8 A0A8V0XBD4 A0A8V0XE48 A0A8V0YDL8 A0A8V0YK18 A0A8V0YLZ8 A0A8V0Z938 A0A8V0ZJJ7 A0A8V0ZSG8 A0A8V0ZY91 A0A8V1A3N1 A0A8V1A9R2 F1NXR0 P33005 Q6ITC7 Q9W6H0 A0A1D5NT61 A0A1D5NTR5 A0A1D5NYA8 A0A1D5P201 A0A1D5P480 A0A1D5P6Q1 A0A1D5P6T3 A0A1D5PSI3 A0A1D5PXI1 A0A1I7Q3Z0 A0A1L1RP76 A0A1L1RX77 A0A1L4FLS3 A0A3Q2UHS2 A0A8V0X637 A0A8V0XCW4 A0A8V0XDR8 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0XPE8 A0A8V0Y070 A0A8V0Y357 A0A8V0Y4Q2 A0A8V0Y699 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YDU6 A0A8V0YFT7 A0A8V0YHS1 A0A8V0YIC3 A0A8V0YRF2 A0A8V0YRG2 A0A8V0YSF6 A0A8V0YVB6 A0A8V0YVI8 A0A8V0YW57 A0A8V0YWM3 A0A8V0YXI7 A0A8V0Z4R1 A0A8V0Z8V4 A0A8V0ZCF7 A0A8V0ZE58 A0A8V0ZF83 A0A8V0ZJ97 A0A8V0ZKI8 A0A8V0ZP32 A0A8V0ZRP2 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZTC0 A0A8V0ZUA4 A0A8V0ZUU4 A0A8V0ZZZ5 A0A8V1A6B5 A0A8V1A7R0 A0A8V1A8L5 A0A8V1A8N2 A0A8V1ABC9 A0A8V1ACD6 A0A8V1ADF6 A0A8V1AEJ0 A0A8V1AG56 A0A8V1ALI6 E1C0K5 E1C733 F1NGB8 P01875 Q0PVE4 Q5ZJ73 A0A1D5P7Y2 A0A1D5PBZ8 A0A1D5PDV9 A0A1D5PEW1 A0A1D5PLP1 A0A1D5PMN7 A0A1D5PT01 A0A1I7Q421 A0A3Q2TT95 A0A3Q2TU24 A0A3Q2UGW3 A0A8V0X097 A0A8V0X1T3 A0A8V0X7P4 A0A8V0XEJ0 A0A8V0XKW4 A0A8V0XM02 A0A8V0XM98 A0A8V0XMV0 A0A8V0XPN5 A0A8V0XUJ8 A0A8V0XW00 A0A8V0XWF0 A0A8V0XXK8 A0A8V0XXW6 A0A8V0XXZ4 A0A8V0XYK6 A0A8V0Y0F3 A0A8V0Y0X2 A0A8V0Y290 A0A8V0Y652 A0A8V0Y8I0 A0A8V0Y8Q2 A0A8V0Y999 A0A8V0YBZ6 A0A8V0YF36 A0A8V0YG24 A0A8V0YGQ5 A0A8V0YLI1 A0A8V0YLX0 A0A8V0YMR1 A0A8V0YPB9 A0A8V0YQ88 A0A8V0YQU2 A0A8V0YWI5 A0A8V0YY90 A0A8V0Z189 A0A8V0Z3U6 A0A8V0Z6E4 A0A8V0Z8N6 A0A8V0Z9Z7 A0A8V0ZDW7 A0A8V0ZE30 A0A8V0ZEJ3 A0A8V0ZFG7 A0A8V0ZH96 A0A8V0ZHL4 A0A8V0ZHX5 A0A8V0ZRV9 A0A8V0ZTR7 A0A8V0ZXC9 A0A8V0ZY56 A0A8V0ZYI9 A0A8V0ZZD4 A0A8V1A0B4 A0A8V1A3H9 A0A8V1A3S8 A0A8V1A8R2 A0A8V1A9L3 A0A8V1AAN6 A0A8V1ACH5 A0A8V1ACV0 A0A8V1ADS4 A0A8V1AEJ4 A0A8V1AFP7 A0A8V1AHP7 A0A8V1AJI2 A0A8V1AM47
Biological Process	anatomical structure development	155	F1NTQ2 P02460 Q00649 Q05744 Q98938 A0A1D5PZ68 A0A8V1ABA3 P15120 P26652 A0A1D5P0D7 A0A1D5PBU5 A0A8V0X4D8 A0A8V0XA92 A0A8V0XBD4 A0A8V0XE48 A0A8V0YDL8 A0A8V0YLZ8 A0A8V0Z938 A0A8V0ZJJ7 A0A8V0ZSG8 A0A8V0ZY91 A0A8V1A9R2 F1NXR0 P33005 Q9W6H0 A0A1D5NT61 A0A1D5NTR5 A0A1D5P480 A0A1D5P6T3 A0A1D5PSI3 A0A1I7Q3Z0 A0A1L1RX77 A0A3Q2UHS2 A0A8V0X637 A0A8V0X9N1 A0A8V0XCW4 A0A8V0XDR8 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0XPE8 A0A8V0XS21 A0A8V0Y070 A0A8V0Y357 A0A8V0Y478 A0A8V0Y4Q2 A0A8V0Y699 A0A8V0Y6D2 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YDU6 A0A8V0YFT7 A0A8V0YGN2 A0A8V0YIC3 A0A8V0YQC4 A0A8V0YRG2 A0A8V0YVB6 A0A8V0YVI8 A0A8V0YW57 A0A8V0YWM3 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0Z3Q9 A0A8V0Z4R1 A0A8V0Z8V4 A0A8V0ZBR8 A0A8V0ZCF7 A0A8V0ZE58 A0A8V0ZEC1 A0A8V0ZF83 A0A8V0ZJ97 A0A8V0ZJD3 A0A8V0ZKI8 A0A8V0ZRP2 A0A8V0ZSD7 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZUA4 A0A8V0ZUU4 A0A8V0ZY42 A0A8V0ZZZ5 A0A8V1A7R0 A0A8V1ABC9 A0A8V1ACD6 A0A8V1ADF6 A0A8V1AFR2 A0A8V1AG56 A0A8V1ALI6 E1C733 F1NGB8 Q0PVE4 Q5ZJ73 A0A1D5P692 A0A1D5P8I8 A0A1D5PBZ8 A0A1D5PDV9 A0A1D5PEW1 A0A1D5PGC2 A0A1D5PLP1 A0A1D5PT01 A0A1I7Q421 A0A3Q2TT95 A0A3Q2TU24 A0A3Q2UGW3 A0A8V0WZN3 A0A8V0XKW4 A0A8V0XM02 A0A8V0XM98 A0A8V0XUJ8 A0A8V0XXK8 A0A8V0XXM5 A0A8V0XXW6 A0A8V0XXZ4 A0A8V0XYK6 A0A8V0Y0F3 A0A8V0Y0X2 A0A8V0Y290 A0A8V0Y579 A0A8V0YE20 A0A8V0YF36 A0A8V0YG88 A0A8V0YHL6 A0A8V0YIR4 A0A8V0YMR1 A0A8V0YPB9 A0A8V0YQU2 A0A8V0YRN1 A0A8V0YTK5 A0A8V0YUF6 A0A8V0YWI5 A0A8V0Z189 A0A8V0Z3U6 A0A8V0Z8N6 A0A8V0Z9Z7 A0A8V0ZD24 A0A8V0ZDW7 A0A8V0ZE30 A0A8V0ZEJ3 A0A8V0ZFG7 A0A8V0ZH96 A0A8V0ZHL4 A0A8V0ZIF0 A0A8V0ZTR7 A0A8V0ZY56 A0A8V1A0B4 A0A8V1A3H9 A0A8V1A3S8 A0A8V1A8R2 A0A8V1A9L3 A0A8V1AAN6 A0A8V1AEJ4 A0A8V1AJI2 A0A8V1AM47
Biological Process	multicellular organism development	151	F1NTQ2 P02460 Q00649 Q98938 A0A1D5PZ68 A0A8V1ABA3 P15120 P26652 A0A1D5P0D7 A0A8V0X4D8 A0A8V0XA92 A0A8V0XBD4 A0A8V0XE48 A0A8V0YDL8 A0A8V0YLZ8 A0A8V0Z938 A0A8V0ZJJ7 A0A8V0ZSG8 A0A8V0ZY91 A0A8V1A9R2 F1NXR0 P33005 Q9W6H0 A0A1D5NT61 A0A1D5NTR5 A0A1D5P480 A0A1D5P6T3 A0A1D5PSI3 A0A1I7Q3Z0 A0A1L1RX77 A0A3Q2UHS2 A0A8V0X637 A0A8V0X9N1 A0A8V0XCW4 A0A8V0XDR8 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0XPE8 A0A8V0XS21 A0A8V0Y070 A0A8V0Y357 A0A8V0Y478 A0A8V0Y4Q2 A0A8V0Y699 A0A8V0Y6D2 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YDU6 A0A8V0YFT7 A0A8V0YGN2 A0A8V0YIC3 A0A8V0YQC4 A0A8V0YRG2 A0A8V0YVB6 A0A8V0YVI8 A0A8V0YW57 A0A8V0YWM3 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0Z3Q9 A0A8V0Z4R1 A0A8V0Z8V4 A0A8V0ZBR8 A0A8V0ZCF7 A0A8V0ZE58 A0A8V0ZF83 A0A8V0ZJ97 A0A8V0ZJD3 A0A8V0ZKI8 A0A8V0ZRP2 A0A8V0ZSD7 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZUA4 A0A8V0ZUU4 A0A8V0ZY42 A0A8V0ZZZ5 A0A8V1A7R0 A0A8V1ABC9 A0A8V1ACD6 A0A8V1ADF6 A0A8V1AFR2 A0A8V1AG56 A0A8V1ALI6 E1C733 F1NGB8 Q0PVE4 Q5ZJ73 A0A1D5P692 A0A1D5P8I8 A0A1D5PBZ8 A0A1D5PDV9 A0A1D5PEW1 A0A1D5PGC2 A0A1D5PLP1 A0A1D5PT01 A0A1I7Q421 A0A3Q2TT95 A0A3Q2TU24 A0A3Q2UGW3 A0A8V0WZN3 A0A8V0XKW4 A0A8V0XM02 A0A8V0XM98 A0A8V0XUJ8 A0A8V0XXK8 A0A8V0XXM5 A0A8V0XXZ4 A0A8V0XYK6 A0A8V0Y0F3 A0A8V0Y0X2 A0A8V0Y290 A0A8V0Y579 A0A8V0YE20 A0A8V0YF36 A0A8V0YG88 A0A8V0YHL6 A0A8V0YIR4 A0A8V0YMR1 A0A8V0YPB9 A0A8V0YQU2 A0A8V0YRN1 A0A8V0YTK5 A0A8V0YUF6 A0A8V0YWI5 A0A8V0Z189 A0A8V0Z3U6 A0A8V0Z8N6 A0A8V0Z9Z7 A0A8V0ZD24 A0A8V0ZDW7 A0A8V0ZE30 A0A8V0ZEJ3 A0A8V0ZFG7 A0A8V0ZH96 A0A8V0ZHL4 A0A8V0ZIF0 A0A8V0ZTR7 A0A8V0ZY56 A0A8V1A0B4 A0A8V1A3H9 A0A8V1A3S8 A0A8V1A8R2 A0A8V1A9L3 A0A8V1AAN6 A0A8V1AEJ4 A0A8V1AJI2 A0A8V1AM47
Biological Process	cellular component organization or biogenesis	141	A0A3Q2TTB3 F1NTQ2 P02460 Q00649 Q05744 Q98938 A0A1D5PZ68 A0A8V0Y4M6 A0A8V1ABA3 P26652 Q5ZJW4 A0A1D5P0D7 A0A1D5PBU5 A0A8V0X4D8 A0A8V0XBD4 A0A8V0XE48 A0A8V0YK18 A0A8V0YLZ8 A0A8V0ZJJ7 A0A8V0ZSG8 A0A8V1A9R2 P33005 Q9W6H0 A0A1D5NTR5 A0A1D5P6Q1 A0A1D5P6T3 A0A1I7Q3Z0 A0A1L1RX77 A0A1L1S0X5 A0A3Q2UHS2 A0A8V0X535 A0A8V0XCD2 A0A8V0XCW4 A0A8V0XDR8 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0Y070 A0A8V0Y357 A0A8V0Y699 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YDU6 A0A8V0YGN2 A0A8V0YIC3 A0A8V0YRG2 A0A8V0YSF6 A0A8V0YVB6 A0A8V0YVI8 A0A8V0YW57 A0A8V0YWM3 A0A8V0Z4R1 A0A8V0Z865 A0A8V0Z8V4 A0A8V0ZBR8 A0A8V0ZCF7 A0A8V0ZE58 A0A8V0ZEC1 A0A8V0ZF83 A0A8V0ZGF6 A0A8V0ZJ97 A0A8V0ZKI8 A0A8V0ZRP2 A0A8V0ZSD7 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZUA4 A0A8V0ZUU4 A0A8V0ZY42 A0A8V0ZZZ5 A0A8V1A6B5 A0A8V1A7R0 A0A8V1A803 A0A8V1ABC9 A0A8V1ACD6 A0A8V1ADF6 A0A8V1AEJ0 A0A8V1AFR2 A0A8V1AG56 A0A8V1ALI6 E1C0K5 E1C733 P01875 Q0PVE4 R4GGQ4 A0A1D5P8I8 A0A1D5PBZ8 A0A1D5PGC2 A0A1D5PLP1 A0A1D5PMN7 A0A1D5PT01 A0A1L1RKY9 A0A3Q2TU24 A0A3Q2UGW3 A0A8V0X7P4 A0A8V0XEJ0 A0A8V0XKW4 A0A8V0XM02 A0A8V0XM98 A0A8V0XMV0 A0A8V0XPN5 A0A8V0XUJ8 A0A8V0XXK8 A0A8V0XXW6 A0A8V0XYK6 A0A8V0XZH4 A0A8V0Y0F3 A0A8V0Y0X2 A0A8V0Y290 A0A8V0YC20 A0A8V0YE20 A0A8V0YG88 A0A8V0YGQ5 A0A8V0YIR4 A0A8V0YLI1 A0A8V0YMR1 A0A8V0YQU2 A0A8V0YRN1 A0A8V0YTK5 A0A8V0YUF6 A0A8V0YWI5 A0A8V0Z3U6 A0A8V0Z8N6 A0A8V0Z9Z7 A0A8V0ZBM0 A0A8V0ZDW7 A0A8V0ZE30 A0A8V0ZHL4 A0A8V0ZHX5 A0A8V0ZRZ8 A0A8V0ZY56 A0A8V0ZYI9 A0A8V1A0B4 A0A8V1A3S8 A0A8V1A8R2 A0A8V1AAN6 A0A8V1ADS4 A0A8V1AHP7 F1NJI3
Biological Process	organic substance metabolic process	139	A0A3Q2TTB3 A0A8V0ZSC5 F1NTQ2 P02460 Q05744 Q92182 Q98938 A0A8V0Y4M6 A0A8V1ABA3 P15120 A0A1D5P0D7 A0A8V0X4D8 A0A8V0X7J6 A0A8V0XA92 A0A8V0XE48 A0A8V0YC98 A0A8V0YDL8 A0A8V0YK18 A0A8V0Z938 A0A8V0ZJJ7 A0A8V0ZSG8 A0A8V0ZY91 A0A8V1A3N1 A0A8V1A9R2 F1NXR0 P28687 Q6ITC7 Q9W6H0 A0A1D5NT61 A0A1D5P201 A0A1D5P480 A0A1D5P6Q1 A0A1D5P6T3 A0A1D5PSI3 A0A1D5PXI1 A0A1I7Q3Z0 A0A1L1RP76 A0A1L1RX77 A0A1L1S0X5 A0A1L4FLS3 A0A8V0X637 A0A8V0XCD2 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0XPE8 A0A8V0Y070 A0A8V0Y4Q2 A0A8V0Y9B0 A0A8V0Y9F8 A0A8V0YBE2 A0A8V0YC89 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YFT7 A0A8V0YGN2 A0A8V0YHS1 A0A8V0YQC4 A0A8V0YRF2 A0A8V0YRG2 A0A8V0YSF6 A0A8V0YVB6 A0A8V0YW57 A0A8V0YWM3 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0YZJ3 A0A8V0Z4R1 A0A8V0Z6S1 A0A8V0Z865 A0A8V0ZCF7 A0A8V0ZE58 A0A8V0ZEC1 A0A8V0ZF83 A0A8V0ZJ97 A0A8V0ZJD3 A0A8V0ZP32 A0A8V0ZRP2 A0A8V0ZSD7 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZTC0 A0A8V0ZY42 A0A8V0ZZZ5 A0A8V1A7R0 A0A8V1A7Y9 A0A8V1A8L5 A0A8V1A8N2 A0A8V1ABC9 A0A8V1ADF6 A0A8V1AG56 A0A8V1ALI6 E1C0K5 E1C2T4 E1C3Z8 E1C733 E1C744 F1NBR3 F1NGB8 P01875 A0A1D5P692 A0A1D5PBZ8 A0A1D5PMN7 A0A1D5PT01 A0A3Q2TU24 A0A8V0WZN3 A0A8V0XEJ0 A0A8V0XKW4 A0A8V0XPN5 A0A8V0XWD4 A0A8V0XXM5 A0A8V0XXW6 A0A8V0XXZ4 A0A8V0Y579 A0A8V0YC20 A0A8V0YLI1 A0A8V0Z086 A0A8V0Z0B9 A0A8V0Z189 A0A8V0Z6E4 A0A8V0ZE30 A0A8V0ZFG7 A0A8V0ZH96 A0A8V0ZHL4 A0A8V0ZI47 A0A8V0ZIF0 A0A8V0ZRZ8 A0A8V0ZXC9 A0A8V0ZY56 A0A8V0ZZD4 A0A8V1A0B4 A0A8V1A3H7 A0A8V1A6Z0 A0A8V1A8R2 A0A8V1A9L3 A0A8V1AAN6 A0A8V1ACH5 F1NNN0
Biological Process	nitrogen compound metabolic process	131	A0A3Q2TTB3 A0A8V0ZSC5 F1NTQ2 P02460 Q05744 Q92182 Q98938 A0A8V0Y4M6 A0A8V1ABA3 P15120 A0A1D5P0D7 A0A8V0X4D8 A0A8V0X7J6 A0A8V0XA92 A0A8V0XE48 A0A8V0YC98 A0A8V0YDL8 A0A8V0YK18 A0A8V0Z938 A0A8V0ZSG8 A0A8V0ZY91 A0A8V1A3N1 A0A8V1A9R2 F1NXR0 P28687 Q6ITC7 Q9W6H0 A0A1D5NT61 A0A1D5P201 A0A1D5P480 A0A1D5P6Q1 A0A1D5P6T3 A0A1D5PSI3 A0A1D5PXI1 A0A1I7Q3Z0 A0A1L1RP76 A0A1L1RX77 A0A1L1S0X5 A0A1L4FLS3 A0A8V0X637 A0A8V0XCD2 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0XPE8 A0A8V0Y070 A0A8V0Y4Q2 A0A8V0Y9F8 A0A8V0YBE2 A0A8V0YC89 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YFT7 A0A8V0YGN2 A0A8V0YHS1 A0A8V0YQC4 A0A8V0YRF2 A0A8V0YRG2 A0A8V0YSF6 A0A8V0YVB6 A0A8V0YW57 A0A8V0YWM3 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0YZJ3 A0A8V0Z6S1 A0A8V0Z865 A0A8V0ZCF7 A0A8V0ZE58 A0A8V0ZEC1 A0A8V0ZF83 A0A8V0ZJ97 A0A8V0ZJD3 A0A8V0ZP32 A0A8V0ZRP2 A0A8V0ZSD7 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZTC0 A0A8V0ZY42 A0A8V0ZZZ5 A0A8V1A7R0 A0A8V1A7Y9 A0A8V1A8L5 A0A8V1A8N2 A0A8V1ABC9 A0A8V1ADF6 A0A8V1AG56 E1C0K5 E1C2T4 E1C3Z8 E1C733 E1C744 F1NBR3 F1NGB8 P01875 A0A1D5P692 A0A1D5PMN7 A0A1D5PT01 A0A3Q2TU24 A0A8V0WZN3 A0A8V0XEJ0 A0A8V0XKW4 A0A8V0XPN5 A0A8V0XWD4 A0A8V0XXM5 A0A8V0XXW6 A0A8V0XXZ4 A0A8V0Y579 A0A8V0YC20 A0A8V0YLI1 A0A8V0Z086 A0A8V0Z0B9 A0A8V0Z189 A0A8V0Z6E4 A0A8V0ZE30 A0A8V0ZFG7 A0A8V0ZH96 A0A8V0ZHL4 A0A8V0ZIF0 A0A8V0ZRZ8 A0A8V0ZXC9 A0A8V0ZY56 A0A8V0ZZD4 A0A8V1A0B4 A0A8V1A6Z0 A0A8V1A8R2 A0A8V1A9L3 A0A8V1AAN6 F1NNN0
Biological Process	primary metabolic process	131	A0A3Q2TTB3 A0A8V0ZSC5 F1NTQ2 P02460 Q05744 Q92182 Q98938 A0A8V0Y4M6 A0A8V1ABA3 P15120 A0A1D5P0D7 A0A8V0X4D8 A0A8V0X7J6 A0A8V0XA92 A0A8V0XE48 A0A8V0YC98 A0A8V0YDL8 A0A8V0YK18 A0A8V0Z938 A0A8V0ZJJ7 A0A8V0ZSG8 A0A8V0ZY91 A0A8V1A3N1 A0A8V1A9R2 F1NXR0 P28687 Q6ITC7 A0A1D5NT61 A0A1D5P201 A0A1D5P480 A0A1D5P6Q1 A0A1D5P6T3 A0A1D5PSI3 A0A1D5PXI1 A0A1I7Q3Z0 A0A1L1RP76 A0A1L1RX77 A0A1L1S0X5 A0A1L4FLS3 A0A8V0X637 A0A8V0XCD2 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0XPE8 A0A8V0Y070 A0A8V0Y9B0 A0A8V0Y9F8 A0A8V0YBE2 A0A8V0YDD6 A0A8V0YDT4 A0A8V0YDT5 A0A8V0YFT7 A0A8V0YHS1 A0A8V0YQC4 A0A8V0YRF2 A0A8V0YRG2 A0A8V0YSF6 A0A8V0YVB6 A0A8V0YW57 A0A8V0YWM3 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0YZJ3 A0A8V0Z6S1 A0A8V0Z865 A0A8V0ZCF7 A0A8V0ZE58 A0A8V0ZEC1 A0A8V0ZF83 A0A8V0ZJ97 A0A8V0ZJD3 A0A8V0ZP32 A0A8V0ZRP2 A0A8V0ZSD7 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZTC0 A0A8V0ZY42 A0A8V0ZZZ5 A0A8V1A7R0 A0A8V1A7Y9 A0A8V1A8L5 A0A8V1A8N2 A0A8V1ABC9 A0A8V1ADF6 A0A8V1AG56 A0A8V1ALI6 E1C0K5 E1C2T4 E1C3Z8 E1C733 E1C744 F1NGB8 P01875 A0A1D5P692 A0A1D5PMN7 A0A1D5PT01 A0A3Q2TU24 A0A8V0WZN3 A0A8V0XEJ0 A0A8V0XKW4 A0A8V0XPN5 A0A8V0XWD4 A0A8V0XXM5 A0A8V0XXW6 A0A8V0XXZ4 A0A8V0Y579 A0A8V0YC20 A0A8V0YLI1 A0A8V0Z086 A0A8V0Z0B9 A0A8V0Z189 A0A8V0Z6E4 A0A8V0ZE30 A0A8V0ZFG7 A0A8V0ZH96 A0A8V0ZHL4 A0A8V0ZI47 A0A8V0ZRZ8 A0A8V0ZXC9 A0A8V0ZY56 A0A8V0ZZD4 A0A8V1A0B4 A0A8V1A3H7 A0A8V1A6Z0 A0A8V1A8R2 A0A8V1A9L3 A0A8V1AAN6 A0A8V1ACH5 F1NNN0
Biological Process	cellular metabolic process	129	A0A3Q2TTB3 A0A8V0ZSC5 F1NTQ2 P02460 Q05744 Q92182 Q98938 A0A8V0Y4M6 A0A8V1ABA3 A0A1D5P0D7 A0A8V0X4D8 A0A8V0X7J6 A0A8V0XA92 A0A8V0XE48 A0A8V0YC98 A0A8V0YDL8 A0A8V0YK18 A0A8V0Z938 A0A8V0ZJJ7 A0A8V0ZSG8 A0A8V0ZY91 A0A8V1A3N1 A0A8V1A9R2 F1NXR0 P28687 Q6ITC7 Q9W6H0 A0A1D5NT61 A0A1D5P201 A0A1D5P480 A0A1D5P6Q1 A0A1D5P6T3 A0A1D5PSI3 A0A1D5PXI1 A0A1I7Q3Z0 A0A1L1RP76 A0A1L1RX77 A0A1L1S0X5 A0A1L4FLS3 A0A8V0X535 A0A8V0X637 A0A8V0XCD2 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0XPE8 A0A8V0Y3L3 A0A8V0Y4Q2 A0A8V0Y9B0 A0A8V0Y9F8 A0A8V0YBE2 A0A8V0YC89 A0A8V0YDD6 A0A8V0YDT5 A0A8V0YFT7 A0A8V0YGN2 A0A8V0YQC4 A0A8V0YRF2 A0A8V0YRG2 A0A8V0YSF6 A0A8V0YVB6 A0A8V0YW57 A0A8V0YWM3 A0A8V0YXI7 A0A8V0YYQ9 A0A8V0YZJ3 A0A8V0Z4R1 A0A8V0Z6S1 A0A8V0Z865 A0A8V0ZCF7 A0A8V0ZE58 A0A8V0ZEC1 A0A8V0ZJ97 A0A8V0ZJD3 A0A8V0ZP32 A0A8V0ZRP2 A0A8V0ZSD7 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZTC0 A0A8V0ZY42 A0A8V0ZZZ5 A0A8V1A7R0 A0A8V1A7Y9 A0A8V1A8L5 A0A8V1ABC9 A0A8V1ADF6 A0A8V1AG56 A0A8V1ALI6 E1C0K5 E1C2T4 E1C3Z8 E1C733 E1C744 F1NBR3 F1NGB8 A0A1D5P692 A0A1D5PBZ8 A0A1D5PMN7 A0A1D5PT01 A0A3Q2TU24 A0A8V0WZN3 A0A8V0XKW4 A0A8V0XPN5 A0A8V0XWD4 A0A8V0XXM5 A0A8V0XXW6 A0A8V0XXZ4 A0A8V0Y579 A0A8V0YC20 A0A8V0YPB9 A0A8V0Z086 A0A8V0Z0B9 A0A8V0Z189 A0A8V0Z6E4 A0A8V0ZE30 A0A8V0ZFG7 A0A8V0ZH96 A0A8V0ZHL4 A0A8V0ZRZ8 A0A8V0ZXC9 A0A8V0ZY56 A0A8V1A0B4 A0A8V1A3H7 A0A8V1A8R2 A0A8V1A9L3 A0A8V1AAN6 A0A8V1ACH5 F1NNN0
Biological Process	cellular response to stimulus	116	A0A3Q2TTB3 P02460 Q00649 Q98938 A0A1D5PZ68 A0A8V1ABA3 K9JA28 P15120 P26652 A0A1D5P0D7 A0A8V0X4D8 A0A8V0XBD4 A0A8V0XE48 A0A8V0YK18 A0A8V0YLZ8 A0A8V0Z938 A0A8V0ZSG8 A0A8V0ZY91 A0A8V1A3N1 A0A8V1A9R2 P33005 A0A1D5NTR5 A0A1D5P480 A0A1D5P6T3 A0A1D5PSI3 A0A1D5PXI1 A0A1I7Q3Z0 A0A1L1RX77 A0A1L4FLS3 A0A3Q2UHS2 A0A8V0X637 A0A8V0XCW4 A0A8V0XEP8 A0A8V0XH99 A0A8V0XMI5 A0A8V0XPE8 A0A8V0Y070 A0A8V0Y3L3 A0A8V0Y4Q2 A0A8V0Y699 A0A8V0Y9F8 A0A8V0YDD6 A0A8V0YDT5 A0A8V0YFT7 A0A8V0YGN2 A0A8V0YRF2 A0A8V0YRG2 A0A8V0YSF6 A0A8V0YW57 A0A8V0YWM3 A0A8V0YXI7 A0A8V0Z4R1 A0A8V0Z8V4 A0A8V0ZE58 A0A8V0ZEC1 A0A8V0ZF83 A0A8V0ZJ97 A0A8V0ZKI8 A0A8V0ZRP2 A0A8V0ZSN8 A0A8V0ZSX6 A0A8V0ZTC0 A0A8V0ZUU4 A0A8V0ZZZ5 A0A8V1A7R0 A0A8V1A803 A0A8V1ABC9 A0A8V1ACD6 A0A8V1ADF6 A0A8V1AG56 E1C733 F1NGB8 P01875 A0A1D5P7Y2 A0A1D5PBZ8 A0A1D5PDV9 A0A1D5PEW1 A0A1D5PMN7 A0A1D5PT01 A0A1I7Q421 A0A3Q2TU24 A0A8V0X7P4 A0A8V0XEJ0 A0A8V0XKW4 A0A8V0XM98 A0A8V0XUJ8 A0A8V0XW00 A0A8V0XWF0 A0A8V0XXZ4 A0A8V0XYK6 A0A8V0Y652 A0A8V0Y8I0 A0A8V0Y8Q2 A0A8V0Y999 A0A8V0YBZ6 A0A8V0YE20 A0A8V0YF36 A0A8V0YIR4 A0A8V0YLI1 A0A8V0YQ88 A0A8V0YWI5 A0A8V0Z6E4 A0A8V0Z8N6 A0A8V0ZEJ3 A0A8V0ZH96 A0A8V0ZRV9 A0A8V0ZTR7 A0A8V0ZXC9 A0A8V0ZYI9 A0A8V1A0B4 A0A8V1A3H9 A0A8V1AAN6 A0A8V1ACV0 A0A8V1AEJ4 A0A8V1AHP7 A0A8V1AJI2
