COG/KOG category	Category description	Number of proteins
INFORMATION STORAGE AND PROCESSING	[A] RNA processing and modification	3
INFORMATION STORAGE AND PROCESSING	[B] Chromatin structure and dynamics	1
METABOLISM	[C] Energy production and conversion	5
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	4
METABOLISM	[E] Amino acid transport and metabolism	9
METABOLISM	[F] Nucleotide transport and metabolism	6
METABOLISM	[G] Carbohydrate transport and metabolism	15
METABOLISM	[H] Coenzyme transport and metabolism	2
METABOLISM	[I] Lipid transport and metabolism	8
INFORMATION STORAGE AND PROCESSING	[J] Translation, ribosomal structure and biogenesis	8
INFORMATION STORAGE AND PROCESSING	[K] Transcription	8
INFORMATION STORAGE AND PROCESSING	[L] Replication, recombination and repair	1
CELLULAR PROCESSES AND SIGNALING	[M] Cell wall/membrane/envelope biogenesis	5
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	28
METABOLISM	[P] Inorganic ion transport and metabolism	8
METABOLISM	[Q] Secondary metabolites biosynthesis, transport and catabolism	1
POORLY CHARACTERIZED	[R] General function prediction only	32
POORLY CHARACTERIZED	[S] Function unknown	10
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	55
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	14
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	7
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	17
CELLULAR PROCESSES AND SIGNALING	[Z] Cytoskeleton	6
