COG/KOG category	Category description	Number of proteins
INFORMATION STORAGE AND PROCESSING	[A] RNA processing and modification	14
INFORMATION STORAGE AND PROCESSING	[B] Chromatin structure and dynamics	3
METABOLISM	[C] Energy production and conversion	50
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	19
METABOLISM	[E] Amino acid transport and metabolism	25
METABOLISM	[F] Nucleotide transport and metabolism	21
METABOLISM	[G] Carbohydrate transport and metabolism	35
METABOLISM	[H] Coenzyme transport and metabolism	3
METABOLISM	[I] Lipid transport and metabolism	29
INFORMATION STORAGE AND PROCESSING	[J] Translation, ribosomal structure and biogenesis	35
INFORMATION STORAGE AND PROCESSING	[K] Transcription	13
INFORMATION STORAGE AND PROCESSING	[L] Replication, recombination and repair	3
CELLULAR PROCESSES AND SIGNALING	[M] Cell wall/membrane/envelope biogenesis	9
CELLULAR PROCESSES AND SIGNALING	[N] Cell motility	2
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	94
METABOLISM	[P] Inorganic ion transport and metabolism	20
METABOLISM	[Q] Secondary metabolites biosynthesis, transport and catabolism	6
POORLY CHARACTERIZED	[R] General function prediction only	103
POORLY CHARACTERIZED	[S] Function unknown	37
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	150
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	72
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	26
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	36
CELLULAR PROCESSES AND SIGNALING	[Y] Nuclear structure	4
CELLULAR PROCESSES AND SIGNALING	[Z] Cytoskeleton	56
