KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00310 Lysine degradation,1,2,4,22,2.75,0.3376623376623381,0.47,A0A8V0Z1W6
map00600 Sphingolipid metabolism,1,2,4,22,2.75,0.3376623376623381,0.47,A0A8V0Z5X2
map01100 Metabolic pathways,1,4,4,22,1.38,1.0,-0.0,A0A8V0Z1W6
map04142 Lysosome,1,3,4,22,1.83,0.4701298701298712,0.33,A0A8V0Z5X2
map04350 TGF-beta signaling pathway,1,1,4,22,5.5,0.18181818181818182,0.74,A0A8V0YMM6
map04610 Complement and coagulation cascades,1,1,4,22,5.5,0.18181818181818182,0.74,A0A8V0Y0J2
