GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Molecular Function	amide binding	2	GO:0033218	3	4	5	40	6.0	0.0038844512528722975	2.41	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2	2.584962500721156
Molecular Function	anion binding	3	GO:0043168	4	9	5	40	3.56	0.006127585074953502	2.21	A0A1D5PT25 A0A8V0Z1W6 A0A8V0YMM6 A0A8V0Z5X2	1.831877241191673
Molecular Function	phospholipid binding	3	GO:0005543	2	2	5	40	8.0	0.012820512820512844	1.89	A0A1D5PT25 A0A8V0Z5X2	3.0
Molecular Function	ion binding	2	GO:0043167	4	13	5	40	2.46	0.03129445234708391	1.5	A0A1D5PT25 A0A8V0Z1W6 A0A8V0YMM6 A0A8V0Z5X2	1.298658315564515
Molecular Function	organic acid binding	3	GO:0043177	2	3	5	40	5.33	0.036437246963562785	1.44	A0A8V0Z1W6 A0A8V0Z5X2	2.414135532984451
Molecular Function	peptide binding	3	GO:0042277	2	3	5	40	5.33	0.036437246963562785	1.44	A0A8V0Z1W6 A0A8V0Y0J2	2.414135532984451
Molecular Function	carboxylic acid binding	4	GO:0031406	2	3	5	40	5.33	0.036437246963562785	1.44	A0A8V0Z1W6 A0A8V0Z5X2	2.414135532984451
Molecular Function	protein dimerization activity	3	GO:0046983	3	8	5	40	3.0	0.045701572017361546	1.34	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2	1.584962500721156
