KEGG pathway	Protein accession	KEGG KO No.	G3/G1 Ratio	Regulated Type
map00330 Arginine and proline metabolism	A0A8V0X354	K13240	0.6454917063903132	Down
map00330 Arginine and proline metabolism	A0A8V0X7J6	K08660	1.5630806972942626	Up
map00330 Arginine and proline metabolism	F1NXR0	K00933	1.9644616821087408	Up
map00330 Arginine and proline metabolism	A0A1D5PXI1	K00294	1.5077016210398868	Up
map00330 Arginine and proline metabolism	A0A8V0ZJT8	K14455	0.5814803927332588	Down
map00330 Arginine and proline metabolism	A0A8V1ABW1	K00128	0.3905570633166392	Down
map00330 Arginine and proline metabolism	A0A1D5NY06	K00797	0.5593431677398276	Down
map00330 Arginine and proline metabolism	A0A8V0X9K8	K14085	0.5691712579254548	Down
map00330 Arginine and proline metabolism	A0A8V0ZHL4	K00472	1.6531402763916847	Up
map00531 Glycosaminoglycan degradation	F1NTQ2	K12373	2.0203924496605143	Up
map00531 Glycosaminoglycan degradation	A0A8V0YC89	K01137	1.7736656039897731	Up
map00531 Glycosaminoglycan degradation	A0A8V0YZJ3	K12309	6.9489078954582455	Up
map00531 Glycosaminoglycan degradation	A0A8V0ZIF0	K01205	2.9102792745658888	Up
map00600 Sphingolipid metabolism	A0A8V1ABA3	K01201	1.5161058943099313	Up
map00600 Sphingolipid metabolism	A0A8V0X637	K12350	2.0010524246244232	Up
map00600 Sphingolipid metabolism	A0A8V0YZJ3	K12309	6.9489078954582455	Up
map00600 Sphingolipid metabolism	A0A8V0WZN3	K01019	1.6551983615090409	Up
map00600 Sphingolipid metabolism	A0A8V0XXM5	K01134	1.8204179631036088	Up
map00603 Glycosphingolipid biosynthesis - globo and isoglobo series	F1NTQ2	K12373	2.0203924496605143	Up
map00603 Glycosphingolipid biosynthesis - globo and isoglobo series	A0A8V0YC98	K01204	1.5563260053055972	Up
map00603 Glycosphingolipid biosynthesis - globo and isoglobo series	A0A8V1AFP1	K00722	1.6353468651770269	Up
map04064 NF-kappa B signaling pathway	P15120	K01348	3.5716263909182864	Up
map04064 NF-kappa B signaling pathway	A0A8V0YRF2	K04725	8.27852188016356	Up
map04064 NF-kappa B signaling pathway	A0A8V1ABC8	K04729	0.4831062010054534	Down
map04064 NF-kappa B signaling pathway	A0A8V0XA34	K06856	0.3883552104922635	Down
map04064 NF-kappa B signaling pathway	A0A8V0XDT2	K06856	1.7161581794857494	Up
map04064 NF-kappa B signaling pathway	A0A8V0XEJ0	K06856	2.6080606186056143	Up
map04064 NF-kappa B signaling pathway	A0A8V0XHB9	K06856	0.5646641866129778	Down
map04064 NF-kappa B signaling pathway	A0A8V0XL71	K06856	1.7479247289592623	Up
