GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,endocytic vesicle,7,GO:0030139,2,3,4,43,7.17,0.019285309132161105,1.71,A0A8V0ZA93 P01012
Cellular Component,vacuole,5,GO:0005773,2,5,4,43,4.3,0.0600842719390648,1.22,A0A8V0Z5X2 P01012
Cellular Component,lysosome,7,GO:0005764,2,5,4,43,4.3,0.0600842719390648,1.22,A0A8V0Z5X2 P01012
Cellular Component,lytic vacuole,6,GO:0000323,2,5,4,43,4.3,0.0600842719390648,1.22,A0A8V0Z5X2 P01012
Cellular Component,endosome,7,GO:0005768,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0Z5X2 P01012
Cellular Component,cytoplasmic vesicle membrane,5,GO:0030659,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,vesicle membrane,4,GO:0012506,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,vesicle,4,GO:0031982,3,15,4,43,2.15,0.11429381735677821,0.94,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,cytoplasmic vesicle,6,GO:0031410,3,15,4,43,2.15,0.11429381735677821,0.94,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,intracellular vesicle,5,GO:0097708,3,15,4,43,2.15,0.11429381735677821,0.94,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,bounding membrane of organelle,4,GO:0098588,2,8,4,43,2.69,0.15144639818491207,0.82,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,organelle membrane,3,GO:0031090,2,9,4,43,2.39,0.18781298111984426,0.73,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,plasma membrane,3,GO:0005886,2,15,4,43,1.43,0.6018150879183206,0.22,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,cell periphery,2,GO:0071944,2,15,4,43,1.43,0.6018150879183206,0.22,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,membrane,2,GO:0016020,2,21,4,43,1.02,1.0,-0.0,A0A8V0Z5X2 A0A8V0ZA93
Cellular Component,endoplasmic reticulum,5,GO:0005783,2,17,4,43,1.26,1.0,-0.0,A0A8V0ZA93 P01012
Cellular Component,intracellular anatomical structure,2,GO:0005622,3,32,4,43,1.01,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,extracellular region,2,GO:0005576,4,35,4,43,1.23,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZTX8 A0A8V0ZA93
Cellular Component,membrane-enclosed lumen,2,GO:0031974,2,20,4,43,1.08,1.0,-0.0,A0A8V0Z5X2 P01012
Cellular Component,extracellular space,2,GO:0005615,2,25,4,43,0.86,1.0,-0.0,A0A8V0Z5X2 P01012
Cellular Component,organelle,2,GO:0043226,3,31,4,43,1.04,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,membrane-bounded organelle,3,GO:0043227,3,31,4,43,1.04,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,intracellular organelle,3,GO:0043229,3,31,4,43,1.04,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,intracellular membrane-bounded organelle,4,GO:0043231,3,29,4,43,1.11,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,organelle lumen,3,GO:0043233,2,20,4,43,1.08,1.0,-0.0,A0A8V0Z5X2 P01012
Cellular Component,intracellular organelle lumen,4,GO:0070013,2,20,4,43,1.08,1.0,-0.0,A0A8V0Z5X2 P01012
Cellular Component,endomembrane system,2,GO:0012505,3,27,4,43,1.19,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZA93
Cellular Component,cytoplasm,2,GO:0005737,3,29,4,43,1.11,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZA93
Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",4,GO:0004553,2,2,4,40,10.0,0.007692307692307681,2.11,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,phospholipid binding,3,GO:0005543,2,2,4,40,10.0,0.007692307692307681,2.11,A0A8V0Z5X2 A0A1D5PT25
Molecular Function,"hydrolase activity, acting on glycosyl bonds",3,GO:0016798,2,2,4,40,10.0,0.007692307692307681,2.11,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,ion binding,2,GO:0043167,4,13,4,40,3.08,0.007823613086770953,2.11,A0A8V0Z5X2 P01012 A0A1D5PT25 A0A8V0ZA93
Molecular Function,organic acid binding,3,GO:0043177,2,3,4,40,6.67,0.022267206477732806,1.65,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,carboxylic acid binding,4,GO:0031406,2,3,4,40,6.67,0.022267206477732806,1.65,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,anion binding,3,GO:0043168,3,9,4,40,3.33,0.029871977240398313,1.52,A0A8V0Z5X2 A0A1D5PT25 A0A8V0ZA93
Molecular Function,carbohydrate derivative binding,2,GO:0097367,3,9,4,40,3.33,0.029871977240398313,1.52,A0A8V0Z5X2 A0A1D5PT25 A0A8V0ZA93
Molecular Function,lipid binding,2,GO:0008289,2,4,4,40,5.0,0.04294780610570072,1.37,A0A8V0Z5X2 A0A1D5PT25
Molecular Function,amide binding,2,GO:0033218,2,4,4,40,5.0,0.04294780610570072,1.37,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,small molecule binding,2,GO:0036094,2,4,4,40,5.0,0.04294780610570072,1.37,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,enzyme regulator activity,2,GO:0030234,2,7,4,40,2.86,0.13434730276835524,0.87,A0A8V0Z5X2 P01012
Molecular Function,molecular function regulator activity,1,GO:0098772,2,8,4,40,2.5,0.17233833023306683,0.76,A0A8V0Z5X2 P01012
Molecular Function,hydrolase activity,2,GO:0016787,2,8,4,40,2.5,0.17233833023306683,0.76,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,binding,1,GO:0005488,4,32,4,40,1.25,0.5658168289747227,0.25,A0A8V0Z5X2 P01012 A0A1D5PT25 A0A8V0ZA93
Molecular Function,catalytic activity,1,GO:0003824,2,15,4,40,1.33,0.6224969909180416,0.21,A0A8V0Z5X2 A0A8V0ZA93
Molecular Function,protein binding,2,GO:0005515,3,26,4,40,1.15,1.0,-0.0,A0A8V0Z5X2 P01012 A0A8V0ZA93
Biological Process,chemical homeostasis,2,GO:0048878,3,7,3,43,6.14,0.002836074872376632,2.55,A0A8V0Z5X2 P01012 A0A8V0ZA93
Biological Process,homeostatic process,1,GO:0042592,3,7,3,43,6.14,0.002836074872376632,2.55,A0A8V0Z5X2 P01012 A0A8V0ZA93
Biological Process,regulation of protein metabolic process,5,GO:0051246,3,10,3,43,4.3,0.009723685276719895,2.01,A0A8V0Z5X2 P01012 A0A8V0ZA93
Biological Process,monoatomic ion homeostasis,3,GO:0050801,2,3,3,43,9.56,0.009804715987359228,2.01,A0A8V0ZA93 P01012
Biological Process,regulation of catalytic activity,3,GO:0050790,3,12,3,43,3.58,0.01782675634065315,1.75,A0A8V0Z5X2 P01012 A0A8V0ZA93
