Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00052 Laminin B (Domain IV),2,3,15,46,2.04,0.24440052700922293,0.61,A0A8V0ZKI3 A0A8V0Z3S9
PF00053 Laminin EGF domain,2,3,15,46,2.04,0.24440052700922293,0.61,A0A8V0ZKI3 A0A8V0Z3S9
PF00054 Laminin G domain,2,2,15,46,3.07,0.10144927536231846,0.99,A0A8V0ZKI3 A0A8V0Z3S9
PF00094 von Willebrand factor type D domain,2,4,15,46,1.53,0.586818641419249,0.23,A0A8V0Z932 A0A8V1A049
