Source	Target
A0A1D5NVI1	A0A8V0YCP2
A0A1D5NVI1	A0A3Q2TSP8
A0A1D5NVI1	A0A1D5PR40
A0A1D5NVI1	A0A8V0ZUX8
A0A1D5NVI1	A0A8V1AAB0
A0A1D5NVI1	Q5ZHZ0
A0A1D5NVI1	A0A8V0YUW3
A0A1D5NVI1	A0A8V0YYI8
A0A1D5NVI1	P32429
A0A1D5NVI1	A0A8V0Z891
A0A1D5NVI1	P41125
A0A1D5NVI1	A0A8V0ZCS2
A0A1D5NVI1	F1NH93
A0A1D5NVI1	A0A8V0Z4J0
A0A1D5NVI1	A0A8V0ZL98
A0A1D5NVI1	A0A8V0YR80
A0A8V0Y795	A0A8V0YBE2
A0A8V1AAP1	A0A8V0Z8U4
A0A8V1AAP1	A0A160F7C1
A0A8V1AAP1	Q90694
A0A8V1AAP1	A0A8V1A8N2
A0A8V1A1S6	A0A1D5NYS2
A0A8V1A1S6	E1BYF1
A0A8V1A1S6	A0A8V0ZT84
F1NU79	A0A8V0ZNX9
F1NU79	A0A8V0ZNG4
F1NU79	A0A8V0ZY42
F1NU79	A0A8V0XJK4
F1NU79	Q7ZT63
F1NU79	A0A1D5NXL7
F1NU79	A0A8V0Z4J0
F1NU79	A0A8V0ZEY1
F1NU79	A0A8V0ZNG1
F1NU79	A0A1D5NTY5
F1NU79	A0A8V0YQY8
F1NU79	A0A1L1RP66
F1NU79	A0A8V0YGG7
F1NU79	A0A8V0XIX2
F1NU79	Q5F411
F1NU79	F1NN16
F1NU79	A0A8V0ZH96
F1NU79	A0A8V0XRD5
F1NU79	A0A1D5PJW4
F1NU79	A0A8V0XK64
F1NU79	Q5ZLI2
F1NU79	A0A8V1ABH8
F1NU79	A0A8V0ZGP2
F1NU79	F1NR71
F1NU79	A0A8V1AF05
F1NU79	A0A3Q3A7P6
F1NU79	Q98TH5
F1NU79	F1NC02
F1NU79	R4GLB3
F1NU79	A0A8V0Y2X7
F1NU79	P84175
F1NU79	A0A8V0Z3K2
A0A8V1AFZ6	A0A1D5PXH1
A0A8V1AFZ6	A0A1D5PR23
A0A8V1AFZ6	A0A1D6UPS9
A0A8V1AFZ6	A0A1D5P8I3
A0A8V1AFZ6	E1C8Y9
A0A8V1AFZ6	A0A8V0XYP5
A0A8V1AFZ6	A0A8V1A7Y0
A0A8V1AFZ6	A0A1D5PSI3
A0A8V1AFZ6	A0A8V0XTL6
A0A8V1AFZ6	A0A8V0YJ12
A0A8V1AFZ6	A0A8V0YZ19
A0A8V1AFZ6	A0A8V0YGA1
A0A8V1AFZ6	A0A8V1ABY0
A0A1D5P1W7	E1C6P7
A0A1D5P1W7	A0A8V0YBU5
A0A1D5P1W7	A0A8V0YYI8
A0A1D5P1W7	A0A1D5NXL7
A0A1D5P1W7	A0A8V0YG12
A0A1D5P1W7	A0A8V0ZC55
A0A1D5P1W7	A0A8V0XP09
A0A1D5P1W7	A0A8V0X5U3
A0A1D5P1W7	Q9I8D6
P13648	A0A8V0YY54
A0A8V1AH32	A0A8V0XRE7
A0A8V1AH32	A0A8V0ZJP1
A0A8V1AH32	A0A8V0ZGP2
A0A8V1AH32	P32429
A0A8V1AH32	P41125
A0A8V1AH32	A0A8V0Z891
A0A8V1AH32	A0A8V0ZL98
A0A8V1AH32	A0A8V0Z4J0
A0A8V1AH32	F1NH93
A0A8V1AH32	A0A8V0X9X8
A0A8V1AH32	A0A8V0YR80
A0A8V1AH32	A0A1L1S0X5
A0A8V1AH32	A0A8V0Y4V6
A0A8V1AH32	A0A1D5PR40
A0A8V1AH32	P50890
A0A8V1AH32	A0A3Q2TSP8
A0A8V1AH32	A0A8V0XJK4
A0A8V1AH32	A0A1D5PNG3
A0A8V1AH32	A0A8V1AAB0
A0A8V1AH32	A0A8V1A9M2
A0A8V1AH32	A0A8V0ZUX8
A0A8V1AH32	A0A1D5PMT8
A0A8V1AH32	R4GGJ0
A0A8V1AH32	P84175
A0A8V1AH32	F1NQG5
A0A8V1AH32	F1NN16
A0A8V1AH32	Q6ITC7
A0A8V1AH32	A0A1D5P7C6
