GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Biological Process,regulation of metabolic process,3,GO:0019222,2,17,2,43,2.53,0.15060908084163924,0.82,A0A8V0X522 A0A8V0Y0J2
Biological Process,cellular component organization,3,GO:0016043,2,20,2,43,2.15,0.21040974529346615,0.68,A0A8V0X522 A0A8V0Y0J2
Biological Process,cellular component organization or biogenesis,2,GO:0071840,2,20,2,43,2.15,0.21040974529346615,0.68,A0A8V0X522 A0A8V0Y0J2
Biological Process,positive regulation of cellular process,4,GO:0048522,2,20,2,43,2.15,0.21040974529346615,0.68,A0A8V0X522 A0A8V0Y0J2
Biological Process,protein metabolic process,3,GO:0019538,2,21,2,43,2.05,0.23255813953488316,0.63,A0A8V0X522 A0A8V0Y0J2
Biological Process,macromolecule metabolic process,3,GO:0043170,2,22,2,43,1.95,0.4883720930232548,0.31,A0A8V0X522 A0A8V0Y0J2
Biological Process,cellular metabolic process,2,GO:0044237,2,22,2,43,1.95,0.4883720930232548,0.31,A0A8V0X522 A0A8V0Y0J2
Biological Process,positive regulation of biological process,3,GO:0048518,2,23,2,43,1.87,0.49058693244739715,0.31,A0A8V0X522 A0A8V0Y0J2
Biological Process,primary metabolic process,2,GO:0044238,2,23,2,43,1.87,0.49058693244739715,0.31,A0A8V0X522 A0A8V0Y0J2
Biological Process,nitrogen compound metabolic process,2,GO:0006807,2,24,2,43,1.79,0.4950166112956812,0.31,A0A8V0X522 A0A8V0Y0J2
Biological Process,organonitrogen compound metabolic process,3,GO:1901564,2,24,2,43,1.79,0.4950166112956812,0.31,A0A8V0X522 A0A8V0Y0J2
Biological Process,organic substance metabolic process,2,GO:0071704,2,24,2,43,1.79,0.4950166112956812,0.31,A0A8V0X522 A0A8V0Y0J2
Biological Process,metabolic process,1,GO:0008152,2,25,2,43,1.72,0.5016611295681056,0.3,A0A8V0X522 A0A8V0Y0J2
Biological Process,regulation of biological process,2,GO:0050789,2,32,2,43,1.34,1.0,-0.0,A0A8V0X522 A0A8V0Y0J2
Biological Process,cellular process,1,GO:0009987,2,36,2,43,1.19,1.0,-0.0,A0A8V0X522 A0A8V0Y0J2
Biological Process,biological regulation,1,GO:0065007,2,33,2,43,1.3,1.0,-0.0,A0A8V0X522 A0A8V0Y0J2
Biological Process,regulation of cellular process,3,GO:0050794,2,30,2,43,1.43,1.0,-0.0,A0A8V0X522 A0A8V0Y0J2
