KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00600 Sphingolipid metabolism,1,2,2,22,5.5,0.1774891774891776,0.75,A0A8V0Z5X2
map04142 Lysosome,1,3,2,22,3.67,0.2597402597402598,0.59,A0A8V0Z5X2
map04610 Complement and coagulation cascades,1,1,2,22,11.0,0.0909090909090909,1.04,A0A8V0Y0J2
