COG/KOG category	Category description	Number of proteins
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	1
METABOLISM	[G] Carbohydrate transport and metabolism	1
METABOLISM	[I] Lipid transport and metabolism	2
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	1
POORLY CHARACTERIZED	[R] General function prediction only	3
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	4
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	1
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	4
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	2
