KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04145 Phagosome,23,80,491,1633,0.96,0.9005961891742378,0.05,A0A8V1AEW4 A0A8V0YS93 A0A8V0X8L8 A0A8V0YRF1 P09644 A0A8V0ZHF5 A0A8V0Z958 F1NWX0 P32882 A0A8V0XMT9 A0A1D5PP57 A0A8V0Y8W7 A0A8V0XHB9 P09244 A0A8V0X354 A0A8V1AAC8 A0A8V1AJ29 A0A8V0ZQ95 A0A8V0ZRT5 F1NYJ1 F1NBW2 A0A8V0ZBC9 A0A8V0ZIN3
map04146 Peroxisome,6,13,491,1633,1.54,0.2282180187918729,0.64,A0A8V0ZAL2 A0A1D5NWL9 A0A1D5P8I7 A0A8V0Y8S2 A0A8V1A0C2 P0CB50
map04150 mTOR signaling pathway,10,38,491,1633,0.88,0.7216186662113913,0.14,F1NBW2 A0A8V1A1U8 A0A8V0ZBC9 A0A1L1RPJ2 P08642 A0A1D5PP57 A0A8V1AAC8 A0A8V0Y8W7 F1NUX4 A0A8V0Z1Z1
map04151 PI3K-Akt signaling pathway,21,111,491,1633,0.63,0.007242865944324167,2.14,Q5ZM47 A0A8V1A2W0 A0A8V0ZHF5 A0A8V0XBS7 A0A8V0X5B9 Q5ZLQ6 A0A8V0XMT9 A0A8V0XCW4 P08642 A0A8V0XHB9 A0A1D5PUL6 A0A1D5PPN9 A0A8V0YJ41 A0A8V0XKF3 A0A8V0XS64 A0A8V1AHK4 A0A8V0Z1Z1 F1NLV4 A0A1L1RPJ2 E1BW98 F1NUX4
map04152 AMPK signaling pathway,5,22,491,1633,0.76,0.6400229746192752,0.19,A0A1D5PS29 Q5ZM47 A0A8V0ZTG8 F1NUX4 A0A8V0XHN0
map04210 Apoptosis,16,44,491,1633,1.21,0.4044987673529494,0.39,P13648 A0A8V1A9H2 A0A8V1AKZ9 F1NYJ1 F1NWX0 A0A8V0ZCS2 A0A1L1RPJ2 P08642 P09644 A0A8V0XAS9 A0A8V0YY54 A0A8V0Z0M2 A0A8V0ZIN3 A0A3Q2U596 A0A8V0ZQ95 P00789
map04211 Longevity regulating pathway,2,14,491,1633,0.48,0.25172180555546003,0.6,F1NUX4 P08642
map04212 Longevity regulating pathway - worm,7,28,491,1633,0.83,0.6795878443506849,0.17,F1NZ86 Q5ZL72 Q5ZLQ6 A0A8V0YJ41 A0A8V0XKF3 F1NUX4 A0A1D5PIQ5
map04213 Longevity regulating pathway - multiple species,4,15,491,1633,0.89,1.0,-0.0,F1NUX4 P08642 A0A1D5PFJ6 A0A8V0Z8E9
map04214 Apoptosis - fly,5,14,491,1633,1.19,0.7701723557118807,0.11,A0A3Q2UHM4 A0A8V0YY54 A0A3Q2U596 A0A1D5PA08 A0A8V0YBR3
map04216 Ferroptosis,7,19,491,1633,1.23,0.614943080045466,0.21,A0A8V0ZHE8 A0A8V0X453 A0A8V0ZAL2 A0A8V0ZV32 A0A8V0ZX20 A0A1D5PFR7 A0A8V0YXU7
map04217 Necroptosis,19,47,491,1633,1.34,0.14502988403763256,0.84,A0A3Q2UHM4 A0A8V0XGQ4 Q5ZMJ6 A0A8V0YXU7 A0A8V0Z0M2 E1BSI4 A0A8V0ZHE8 A0A8V0YFT7 A0A1D5PT47 A0A1D5P7C1 A0A8V0XR85 A0A8V0ZAI6 A0A8V0XAS9 A0A1D5PUL6 E1BSN7 P00789 A0A1D5NT61 A0A8V0Z0Y0 Q5ZLG7
map04218 Cellular senescence,16,38,491,1633,1.4,0.108825642018129,0.96,A0A1D5PD64 A0A8V0ZHE8 A0A8V0ZQN3 A0A8V0Z0Y0 A0A1D5P2H5 A0A1L1RPJ2 P08642 Q5ZLG7 A0A8V0XAS9 Q5ZMJ6 A0A8V0Z5C6 F1NUX4 A0A1D5PIQ5 A0A8V0YXU7 P00789 A0A8V0Z687
map04260 Cardiac muscle contraction,15,23,491,1633,2.17,0.0007287365922909999,3.14,A0A8V0ZU95 A0A8V0XW68 A0A3Q2UJ64 A0A8V1A3B4 A0A8V0ZC01 A0A8V1A472 A0A1L1RKB7 A0A8V0Z2Y8 A0A8V0XTC5 A0A8V0ZYC2 A0A8V0ZX92 A0A8V0X6I3 A0A8V0YCL9 A0A8V0YZL1 P18944
map04261 Adrenergic signaling in cardiomyocytes,12,34,491,1633,1.17,0.5707917807554468,0.24,A0A8V0ZQN3 A0A8V0XTT7 Q5ZM47 A0A1D5P2H5 A0A8V1A472 A0A1L1RKB7 A0A8V0XTC5 A0A8V0Z5C6 A0A8V0ZX92 A0A8V0ZYC2 A0A8V0X829 A0A1D5PIQ5
map04270 Vascular smooth muscle contraction,9,35,491,1633,0.86,0.7100328960171162,0.15,A0A1L1RLN6 A0A8V0ZQN3 A0A1D5PM19 A0A1D5P2H5 A0A1L1RPJ2 A0A8V1AHP5 A0A8V0Z5C6 A0A8V0XTT7 A0A8V0Z153
map04310 Wnt signaling pathway,5,32,491,1633,0.52,0.08057873435564991,1.09,A0A1D5NYE8 A0A8V1AE58 A0A1D5P770 A0A8V0YQ13 A0A8V0Z687
map04341 Hedgehog signaling pathway - fly,2,7,491,1633,0.95,1.0,-0.0,A0A8V0Z5C2 A0A8V0Z687
map04350 TGF-beta signaling pathway,3,27,491,1633,0.37,0.03295241357316715,1.48,A0A8V0Z5C2 Q5ZM47 A0A8V0ZHF5
map04360 Axon guidance,6,65,491,1633,0.31,7.896897415412594e-05,4.1,A0A8V0Z6R7 A0A8V0XMT9 E1BS97 P08642 A0A3S5ZPV2 A0A1L1RM08
map04361 Axon regeneration,3,19,491,1633,0.53,0.21409625737775873,0.67,F1NUX4 A0A1D5PIQ5 A0A8V0ZZL0
map04370 VEGF signaling pathway,3,19,491,1633,0.53,0.21409625737775873,0.67,A0A1L1RPJ2 A0A1D5PIQ5 P08642
map04371 Apelin signaling pathway,11,42,491,1633,0.87,0.7333132233373658,0.13,A0A1D5P2H5 A0A1L1RPJ2 P08642 A0A8V0XS64 E1BW98 A0A8V0X354 A0A1D5PFR7 F1NUX4 F1NLV4 A0A8V0Z153 A0A8V0Z1Z1
