Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00007 Cystine-knot domain,2,4,350,2004,2.86,0.14301981339060538,0.84,A0A8V0ZE58 A0A8V0YMS7
PF00008 EGF-like domain,11,30,350,2004,2.1,0.012132488121050704,1.92,A0A8V0Z8V4 A0A8V0YSB2 A0A8V0YQ88 A0A8V0ZHX5 A0A8V0XRC4 A0A8V0Y413 A0A8V0ZXI1 A0A8V0ZTG6 A0A8V0YXG4 A0A8V0Y132 A0A8V0YXI9
PF00014 Kunitz/Bovine pancreatic trypsin inhibitor domain,4,10,350,2004,2.29,0.08006872688018563,1.1,A0A8V0ZGF6 A0A8V0YTE6 A0A8V0XWJ9 A0A8V1AFR2
PF00017 SH2 domain,5,20,350,2004,1.43,0.373609824493899,0.43,A0A8V1A9R2 A0A8V0YW12 A0A8V1A7R0 A0A8V0ZEJ3 A0A8V1AAH7
PF00018 SH3 domain,4,27,350,2004,0.85,1.0,-0.0,A0A8V0YW12 A0A8V0XAN3 A0A8V0YBZ6 A0A1L1RP76
PF00019 Transforming growth factor beta like domain,3,12,350,2004,1.43,0.4502052206101163,0.35,A0A8V0XJ84 A0A8V1ADF6 A0A1D5P0D7
PF00028 Cadherin domain,5,21,350,2004,1.36,0.3943693100697338,0.4,A0A8V0Y478 A0A8V0XCI3 A0A8V0YHL6 A0A8V0Y103 A0A8V0Y969
PF00041 Fibronectin type III domain,21,49,350,2004,2.45,2.2895480106152845e-05,4.64,A0A8V0ZI29 A0A8V0XCT3 A0A8V0ZXI1 A0A3Q3A4U3 A0A8V0YDT5 A0A8V0Y4G8 A0A8V1AAN6 A0A8V0X8P6 A0A8V0YQ88 A0A8V0ZKS6 A0A8V0XWJ9 A0A8V0XTF7 A0A8V0XXK8 A0A8V1AFR2 A0A8V1AB05 A0A8V0XX41 A0A8V0YDD6 P33005 A0A8V0ZPH9 A0A8V0YRG2 A0A8V0XJE9
PF00047 Immunoglobulin domain,3,6,350,2004,2.86,0.06995422249386336,1.16,A0A8V0Y0V1 P01875 A0A8V0XEJ0
PF00052 Laminin B (Domain IV),2,9,350,2004,1.27,0.6611833598817857,0.18,A0A8V0ZTP1 A0A8V0YXG4
PF00053 Laminin EGF domain,4,21,350,2004,1.09,0.775373350447938,0.11,A0A8V0ZTP1 A0A8V0YXG4 A0A8V0YSB2 A0A1D5NW03
PF00054 Laminin G domain,2,13,350,2004,0.88,1.0,-0.0,A0A8V0ZTP1 A0A8V0YXG4
PF00055 Laminin N-terminal (Domain VI),2,13,350,2004,0.88,1.0,-0.0,A0A8V0ZTP1 A0A1D5NW03
PF00059 Lectin C-type domain,2,13,350,2004,0.88,1.0,-0.0,A0A8V0XRC4 A0A8V0XUK6
PF00061 Lipocalin / cytosolic fatty-acid binding protein family,2,7,350,2004,1.64,0.35268759922474174,0.45,A0A8V1A8R6 A0A8V1AKH4
PF00063 Myosin head (motor domain),4,13,350,2004,1.76,0.26031447925746665,0.58,A0A8V0YG88 A0A1D5P0X0 A0A8V1A2F9 A0A8V0ZQP1
PF00069 Protein kinase domain,5,51,350,2004,0.56,0.18955848832043798,0.72,A0A1D5PHW5 A0A8V0XB58 A0A8V0ZSX6 A0A8V1ABC9 A0A8V0YRK4
PF00071 Ras family,7,47,350,2004,0.85,0.8455416769859672,0.07,A0A8V0YB43 A0A8V0ZZU1 A0A8V1AB67 Q5ZMG8 A0A8V0YGN8 A0A3Q2TYT2 E1BQI2
PF00082 Subtilase family,3,7,350,2004,2.45,0.10697123344268014,0.97,A0A8V0X4D8 A0A8V0ZRU9 A0A8V0ZA56
PF00084 Sushi repeat (SCR repeat),3,13,350,2004,1.32,0.4845084724585189,0.31,A0A8V0XRC4 A0A8V0YXI9 A0A8V1AA32
PF00086 Thyroglobulin type-1 repeat,2,12,350,2004,0.95,1.0,-0.0,A0A8V0Y4Q2 A0A8V0ZBR8
PF00089 Trypsin,7,26,350,2004,1.54,0.196844356984622,0.71,E1C744 A0A8V0ZUZ0 A0A8V0ZIX6 A0A8V1A8E4 A0A8V0ZNH3 A0A8V0ZTG6 A0A8V1A3H9
PF00090 Thrombospondin type 1 domain,8,22,350,2004,2.08,0.040818337272831906,1.39,A0A8V0YUF6 A0A8V0YRN1 A0A8V0Y1A4 A0A1D5NZ82 A0A8V0ZAP5 A0A8V0Z9B8 A0A8V0ZGF6 A0A8V0ZRN1
PF00092 von Willebrand factor type A domain,5,19,350,2004,1.51,0.356423273274482,0.45,A0A8V0ZHX5 A0A8V1AFR2 A0A8V0YE20 A0A8V0XXK8 A0A8V0XWJ9
PF00093 von Willebrand factor type C domain,5,14,350,2004,2.04,0.08084122025506328,1.09,A0A8V0ZE58 A0A8V0YMM6 A0A3Q2TT95 A0A8V0YMS7 A0A1D5PE57
PF00094 von Willebrand factor type D domain,3,11,350,2004,1.56,0.41913343060491615,0.38,A0A8V0ZG90 A0A8V0Y132 A0A8V0ZF17
PF00095 WAP-type (Whey Acidic Protein) 'four-disulfide core',3,4,350,2004,4.29,0.018406841903061414,1.74,P33005 A0A8V0YTG5 A0A8V0YTH9
PF00102 Protein-tyrosine phosphatase,3,13,350,2004,1.32,0.4845084724585189,0.31,A0A8V1AB05 A0A8V0YDT5 A0A8V0ZI29
PF00130 Phorbol esters/diacylglycerol binding domain (C1 domain),2,7,350,2004,1.64,0.35268759922474174,0.45,A0A8V1AAH7 A0A8V1ABC9
PF00135 Carboxylesterase family,3,4,350,2004,4.29,0.018406841903061414,1.74,A0A8V0Y9F8 A0A8V0Y4Q2 A0A3Q2UGW3
"PF00147 Fibrinogen beta and gamma chains, C-terminal globular domain",3,10,350,2004,1.72,0.3930360774501821,0.41,A0A8V0X8P6 A0A8V1AAN6 A0A8V0XCT3
PF00168 C2 domain,8,30,350,2004,1.53,0.2207782615665299,0.66,A0A8V0XFL3 A0A8V0ZZG2 A0A8V0XBI2 A0A8V0ZHK9 A0A8V0Z7D4 A0A8V1ABC9 A0A8V0XE95 A0A8V0YYB4
PF00169 PH domain,2,22,350,2004,0.52,0.40473357320583536,0.39,A0A8V0ZBA3 A0A8V1AAH7
PF00179 Ubiquitin-conjugating enzyme,2,9,350,2004,1.27,0.6611833598817857,0.18,A0A1D5PNL3 A0A8V0YFD4
