KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04015 Rap1 signaling pathway,20,56,709,1633,0.82,0.2731882998595083,0.56,A0A1D5P2H5 A0A8V0ZHF5 A0A8V0X5B9 A0A1D5PD64 A0A8V0XMT9 P08642 A0A3S5ZPV2 A0A8V1AAH7 A0A8V0Z7Z5 Q0PVE4 A0A3Q2U1A5 A0A8V0Y699 A0A8V1ABC9 Q9I946 A0A1D5NYE8 A0A3Q2TU24 A0A1L1RPJ2 A0A8V0ZIN3 A0A8V0Z4M1 A0A1D5PIQ5
map04020 Calcium signaling pathway,26,57,709,1633,1.05,0.7861258707291054,0.1,A0A1D5P2H5 A0A8V0XKR3 Q5ZMJ6 A0A8V0XEJ0 A0A8V0YXU7 A0A8V1A3H9 A0A8V0X5B9 A0A8V0ZHE8 A0A8V0XHB9 A0A1D5P1F1 A0A8V0XL71 A0A8V0XB58 A0A8V1A3N1 A0A1L1RKB7 A0A8V0X354 A0A1D5NWP2 A0A8V1ABC9 A0A8V0XA34 Q9I946 A0A8V0XDT2 A0A3Q2TU24 A0A8V1A5Y9 A0A8V0Z0Y0 Q5ZLG7 A0A8V0Z4M1 A0A8V0Z153
map04022 cGMP-PKG signaling pathway,16,35,709,1633,1.05,0.8635754184470602,0.06,A0A8V0YNC4 A0A8V0ZHE8 A0A8V0ZQN3 A0A8V0Z0Y0 A0A1D5P2H5 A0A1L1RKB7 A0A1L1RPJ2 Q5ZLG7 A0A8V0XTC5 A0A8V0Z5C6 Q5ZMJ6 A0A8V0ZX92 A0A8V0ZX85 A0A8V0YXU7 A0A8V0Z153 A0A8V0YC57
map04024 cAMP signaling pathway,16,36,709,1633,1.02,1.0,-0.0,A0A8V0XB58 A0A8V0ZQN3 A0A8V1A8R0 A0A1D5P2H5 A0A1L1RKB7 A0A1L1RPJ2 A0A8V0XTC5 A0A8V0Z5C6 A0A8V0ZX92 A0A8V0X5E1 A0A8V0YEZ4 A0A8V0ZX85 A0A8V0Y7A6 A0A8V0XYR2 A0A8V1AAH7 A0A8V0YC57
map04060 Cytokine-cytokine receptor interaction,7,26,709,1633,0.62,0.11020915943866444,0.96,A0A8V0ZDZ5 A0A3Q2U211 E1C733 A0A8V0XJ84 A0A8V0Z5C2 A0A8V0Z0M2 A0A1D5P0D7
map04061 Viral protein interaction with cytokine and cytokine receptor,3,8,709,1633,0.86,1.0,-0.0,A0A8V0ZDZ5 A0A8V0Z0M2 E1C733
map04062 Chemokine signaling pathway,10,45,709,1633,0.51,0.0034850338453801468,2.46,A0A8V0YFT7 A0A8V1A9R2 E1C733 A0A1L1RPJ2 P08642 A0A8V0XS64 E1BW98 A0A8V1AAH7 A0A8V1A7R0 F1NLV4
map04064 NF-kappa B signaling pathway,9,25,709,1633,0.83,0.5440465553827873,0.26,A0A8V1ABC8 A0A8V0XEJ0 A0A8V0YRF2 A0A8V0XHB9 A0A8V0XA34 A0A8V0ZEJ3 A0A8V0XL71 A0A8V0XDT2 A0A8V1AJ90
map04066 HIF-1 signaling pathway,18,36,709,1633,1.15,0.4970914660421808,0.3,Q5ZJT7 A0A8V0XB58 A0A8V1AIR0 P00356 A0A8V0X6I8 E1BTT8 A0A1D5PEH3 A0A8V0ZM20 A0A1L1RPJ2 P00337 A0A8V0ZTG8 A0A8V0Z4M1 A0A8V1ABC9 F1NUX4 A0A8V1A7R0 A0A8V0Z1Z1 A0A8V0XYR2 A0A8V0XHN0
map04068 FoxO signaling pathway,10,23,709,1633,1.0,1.0,-0.0,A0A8V0Y7Y9 A0A8V0ZDZ5 A0A1L1RPJ2 P08642 A0A8V0XJ84 A0A8V0Z0M2 A0A1D5PIQ5 A0A8V1A7R0 A0A8V0YRK4 A0A8V0XBS7
map04070 Phosphatidylinositol signaling system,11,20,709,1633,1.27,0.36516492243921517,0.44,A0A8V0ZUI9 A0A8V0XCX4 A0A1D5PHE2 A0A8V1A5Y9 A0A8V0ZQS2 Q5ZJ58 A0A1D5P2H5 A0A8V0ZYM1 A0A8V1ACH5 A0A8V1ABC9 A0A8V0ZZL0
map04071 Sphingolipid signaling pathway,9,31,709,1633,0.67,0.14218281722846965,0.85,A0A8V0YNC4 Q05744 A0A8V0X637 Q5ZM47 A0A1L1RPJ2 P08642 A0A8V1ABC9 A0A1D5PIQ5 A0A1D5P1F1
map04072 Phospholipase D signaling pathway,19,50,709,1633,0.88,0.4712413112352301,0.33,A0A8V0XEJ0 F1NN08 P08642 A0A8V0XHB9 A0A1D5P1F1 A0A3Q2U511 A0A8V0XL71 A0A8V0Z7Z5 Q5ZJ58 A0A8V0ZY87 A0A8V1ABC9 A0A8V0XTT7 A0A8V0XA34 A0A8V0XDT2 Q9I946 A0A3Q2TU24 A0A1L1RPJ2 F1NUX4 A0A8V0ZZL0
map04080 Neuroactive ligand-receptor interaction,13,25,709,1633,1.2,0.4200234605781722,0.38,A0A8V0YNC4 A0A8V0XUJ8 A0A8V0X8L8 A0A8V1AM71 A0A8V1A8R0 A0A8V0YAJ1 A0A8V0ZY87 A0A8V0Y7A6 A0A8V0YEZ4 A0A8V0X5E1 A0A8V0XTT7 A0A8V0YBR3 A0A8V0XYR2
map04110 Cell cycle,5,12,709,1633,0.96,1.0,-0.0,Q5ZLQ6 A0A8V0YJ41 A0A8V0XKF3 A0A8V1AHK4 A0A8V0XJ84
map04114 Oocyte meiosis,12,28,709,1633,0.99,1.0,-0.0,A0A8V0XB58 A0A8V0ZQN3 Q5ZM47 Q5ZLQ6 A0A8V0YJ41 A0A1D5P2H5 A0A1L1RPJ2 A0A8V0XKF3 A0A8V0Z5C6 A0A8V1AHK4 A0A1D5PIQ5 A0A8V0Z687
map04120 Ubiquitin mediated proteolysis,9,24,709,1633,0.86,0.6795721576927768,0.17,A0A8V1ACS0 A0A8V0ZZG2 A0A8V0Z687 A0A1D5PNL3 A0A8V0X7N6 A0A8V0YRF2 Q5ZJT7 A0A8V0Z4J0 A0A8V0YFD4
map04136 Autophagy - other,3,7,709,1633,0.99,1.0,-0.0,F1NUX4 A0A8V0Y7Y9 Q5ZM47
map04137 Mitophagy - animal,6,18,709,1633,0.77,0.4770413490792552,0.32,A0A8V1ACS0 A0A8V0Y7Y9 A0A8V0YAM9 P08642 A0A1D5PFR7 A0A8V0Z4J0
map04140 Autophagy - animal,10,29,709,1633,0.79,0.3517752424614706,0.45,F1NYJ1 A0A8V0Y7Y9 Q05744 A0A8V0ZCS2 Q5ZM47 A0A1L1RPJ2 P08642 A0A8V0ZSX6 A0A1D5PFR7 F1NUX4
map04141 Protein processing in endoplasmic reticulum,36,72,709,1633,1.15,0.27436827755212984,0.56,A0A8V0YFA7 A0A1D5PFJ6 A0A8V0YS93 A0A8V0Z7B5 A0A8V0XTL7 A0A8V0ZI24 A0A8V0ZMT8 A0A8V1A8C9 A0A8V0XZQ2 A0A8V0X2C5 A0A8V0XAS9 A0A8V0ZSX6 A0A8V0Z8S4 A0A8V0XB82 A0A3Q2UAA1 A0A8V0Z8E9 A0A1D5PUL6 A0A3Q2TZD8 A0A8V0ZW46 A0A8V0ZCS2 A0A1D5PPN9 O13113 A0A8V0ZRZ2 P00789 A0A8V0XW93 A0A3Q2UGR5 A0A8V0Y4P5 A0A1D5NTY5 A0A8V0YCZ5 A0A1D5P624 A0A8V0ZH27 A0A1L1RZR2 A0A8V0XQS7 A0A8V0ZHZ7 A0A8V0XGH4 A0A8V0YFD4
map04142 Lysosome,24,77,709,1633,0.72,0.03338027674683442,1.48,A0A1D5PXH0 A0A1D5PCU0 A0A8V0XXM5 A0A8V0ZIF0 A0A8V0YC98 E1BS94 A0A8V0YCH8 A0A8V0X637 A0A8V0Y8B8 A0A8V0YLN5 A0A1L1RSD2 A0A8V0Z1E9 A0A8V0ZKQ8 A0A8V0YZJ3 A0A8V0Z086 A0A1D5PL88 A0A8V0XX49 A0A8V1AIF1 A0A8V1ABS2 F1NYJ1 Q05744 A0A8V1AFH0 A0A8V0Y079 Q5ZHL0
map04144 Endocytosis,39,116,709,1633,0.77,0.03215934628873798,1.49,A0A1D5PFJ6 Q5ZKR9 P28497 A0A1D5NVM6 Q90WD0 P13127 A0A8V0X5B9 E1BSI4 P14315 A0A8V0YB43 A0A8V0ZZG2 F1NN08 A0A8V0YCH8 Q5ZMV5 A0A1L1RWX8 A0A1D5PT47 P08642 A0A8V0XR85 A0A8V0X8U3 A0A8V0ZEP8 A0A1L1S0C5 A0A3Q2U511 A0A8V0Z8E9 A0A8V1A3U0 A0A8V0ZZU1 Q0PVE4 A0A8V0XDM2 Q5ZJ58 A0A8V0Y8A2 A0A8V0ZPS9 A0A8V0XJG4 A0A8V0YQL8 A0A3Q2U2K2 A0A1D5PL88 A0A8V0ZH54 A0A8V0X8D5 A0A8V1ABS2 P53488 A0A8V0Z9Y8
map04145 Phagosome,34,80,709,1633,0.98,0.9082663190307725,0.04,A0A1D5PCU0 A0A8V1AEW4 A0A8V0YS93 A0A8V0X8L8 A0A8V0YRF1 P09644 A0A8V0XEJ0 A0A8V0ZHF5 A0A8V0Z958 F1NWX0 P32882 A0A8V0XMT9 A0A1D5PP57 A0A8V0Y8W7 A0A8V0XHB9 A0A8V0XL71 A0A8V0ZZU1 P09244 A0A8V0X354 A0A8V1AAC8 A0A8V1AJ29 A0A8V0ZQ95 A0A8V0XA34 A0A8V0X8D5 A0A8V0XDT2 A0A8V0ZRT5 F1NYJ1 F1NBW2 A0A8V1AFH0 A0A8V0Y413 A0A8V0ZBC9 A0A8V0XK27 A0A8V0ZIN3 Q5ZHL0
map04146 Peroxisome,6,13,709,1633,1.06,1.0,-0.0,A0A8V0ZAL2 A0A1D5NWL9 A0A1D5P8I7 A0A8V0Y8S2 A0A8V1A0C2 P0CB50
map04150 mTOR signaling pathway,14,38,709,1633,0.85,0.5082987586393857,0.29,A0A8V0ZKI8 A0A8V1AG56 F1NBW2 A0A8V1A1U8 A0A8V0ZBC9 A0A8V1A9A7 A0A1L1RPJ2 P08642 A0A1D5PP57 A0A8V1AAC8 A0A8V1ABC9 A0A8V0Y8W7 F1NUX4 A0A8V0Z1Z1
