Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00004 ATPase family associated with various cellular activities (AAA),9,18,853,2004,1.17,0.6335365794816497,0.2,A0A8V0Z3K2 A0A1D5NTY5 A0A8V0Y2X7 F1NU79 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0YFU9 A0A8V0ZH96
"PF00006 ATP synthase alpha/beta family, nucleotide-binding domain",5,7,853,2004,1.68,0.1432787621440006,0.84,F1NBW2 A0A8V1A624 A0A1D5PP57 A0A8V1AAC8 A0A1D5PN54
PF00007 Cystine-knot domain,3,4,853,2004,1.76,0.3183489083796887,0.5,A0A8V0ZE58 A0A8V0YMS7 A0A8V0ZZC5
PF00008 EGF-like domain,13,30,853,2004,1.02,1.0,-0.0,A0A8V0Z8V4 A0A8V0YSB2 A0A8V0YQ88 A0A8V0ZHX5 A0A8V0XRC4 A0A8V0Y413 A0A8V0ZXI1 A0A8V0ZTG6 A0A8V0YXG4 A0A8V0YUC6 A0A8V0Y132 A0A8V0YXI9 P25155
PF00009 Elongation factor Tu GTP binding domain,5,6,853,2004,1.96,0.08953022939640815,1.05,A0A1D5PS29 A0A1D5PYQ3 A0A8V0XBW1 Q5ZMS3 P84172
PF00013 KH domain,2,5,853,2004,0.94,1.0,-0.0,A0A8V1A0C9 A0A8V0ZX20
PF00014 Kunitz/Bovine pancreatic trypsin inhibitor domain,5,10,853,2004,1.17,0.7519553187936618,0.12,A0A8V1AFR2 A0A8V0YTE6 A0A8V0ZGF6 A0A8V1A108 A0A8V0XWJ9
PF00017 SH2 domain,6,20,853,2004,0.7,0.36370296055254603,0.44,A0A8V0YFT7 A0A8V1A9R2 A0A8V0YW12 A0A8V1A7R0 A0A8V0ZEJ3 A0A8V1AAH7
PF00018 SH3 domain,5,27,853,2004,0.44,0.010545189191180077,1.98,A0A8V1A9H2 A0A8V0YBZ6 A0A8V0XAN3 A0A1L1RP76 A0A8V0YW12
PF00019 Transforming growth factor beta like domain,4,12,853,2004,0.78,0.5734467154375567,0.24,A0A8V0Z5C2 A0A8V0XJ84 A0A8V1ADF6 A0A1D5P0D7
PF00025 ADP-ribosylation factor family,6,11,853,2004,1.28,0.5438309393373233,0.26,Q5ZKR9 A0A8V0ZRZ2 A0A8V0YCZ5 A0A8V0XKU5 A0A8V1A1Y4 F1NN08
PF00027 Cyclic nucleotide-binding domain,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0Z8R3 A0A8V1ACT0
PF00028 Cadherin domain,6,21,853,2004,0.67,0.26736397912696863,0.57,A0A8V0Y478 A0A8V0XCI3 A0A8V0YA04 A0A8V0YHL6 A0A8V0Y103 A0A8V0Y969
PF00031 Cystatin domain,2,4,853,2004,1.17,1.0,-0.0,A0A8V0YUT8 A0A8V0YNC4
PF00036 EF hand,3,4,853,2004,1.76,0.3183489083796887,0.5,P24479 A0A3Q3B0H3 A0A8V0X5A1
PF00040 Fibronectin type II domain,2,10,853,2004,0.47,0.2046523609058734,0.69,A0A8V0YXL9 A0A8V0YDD6
PF00041 Fibronectin type III domain,27,49,853,2004,1.29,0.07981227087738933,1.1,A0A8V0ZI29 A0A8V0XCT3 A0A8V0ZXI1 A0A3Q3A4U3 A0A8V0YDT5 A0A8V0ZH14 A0A8V0Y4G8 A0A8V1AAN6 A0A8V0X8P6 A0A8V0YQ88 A0A8V0ZKS6 A0A8V0XWJ9 A0A8V0XTF7 A0A8V1ADW0 A0A8V0XXK8 A0A8V1AFR2 A0A8V1AB05 A0A8V0Z6Z2 A0A8V0XX41 A0A8V0YDD6 P33005 A0A8V0ZPH9 A0A8V0YRG2 A0A8V0XJE9 A0A8V0XR23 A0A8V0Z153 A0A8V1A3I2
PF00042 Globin,2,5,853,2004,0.94,1.0,-0.0,A0A8V0XM21 A0A8V0XL09
"PF00043 Glutathione S-transferase, C-terminal domain",2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0X0T6 A0A8V1AHJ8
PF00047 Immunoglobulin domain,3,6,853,2004,1.17,0.7039382187930039,0.15,A0A8V0Y0V1 P01875 A0A8V0XEJ0
PF00050 Kazal-type serine protease inhibitor domain,2,8,853,2004,0.59,0.4791302539083443,0.32,P10184 A0A8V0YPA6
PF00051 Kringle domain,2,7,853,2004,0.67,0.7057657606503376,0.15,A0A8V0ZY87 A0A8V1A3H9
PF00052 Laminin B (Domain IV),2,9,853,2004,0.52,0.3162751487320091,0.5,A0A8V0ZTP1 A0A8V0YXG4
PF00053 Laminin EGF domain,5,21,853,2004,0.56,0.118463746808436,0.93,A0A8V0YSB2 A0A8V1A2W0 A0A8V0ZTP1 A0A1D5NW03 A0A8V0YXG4
PF00054 Laminin G domain,2,13,853,2004,0.36,0.051861433970322474,1.29,A0A8V0ZTP1 A0A8V0YXG4
PF00055 Laminin N-terminal (Domain VI),3,13,853,2004,0.54,0.17307972118488418,0.76,A0A8V0ZTP1 A0A1D5NW03 A0A8V1A2W0
"PF00056 lactate/malate dehydrogenase, NAD binding domain",3,5,853,2004,1.41,0.6563138788420577,0.18,E1BVT3 E1BTT8 P00337
PF00059 Lectin C-type domain,3,13,853,2004,0.54,0.17307972118488418,0.76,A0A8V0XRC4 Q9PRS8 A0A8V0XUK6
PF00061 Lipocalin / cytosolic fatty-acid binding protein family,4,7,853,2004,1.34,0.46781981056880984,0.33,A0A8V0Z756 Q8QFM7 A0A8V1AKH4 A0A8V1A8R6
PF00063 Myosin head (motor domain),7,13,853,2004,1.27,0.4156571755313873,0.38,A0A8V0YDF1 A0A8V1A2F9 A0A1D5PM19 A0A1D5P0X0 A0A8V1AHP5 A0A8V0YG88 A0A8V0ZQP1
