Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF08686 PLAC (protease and lacunin) domain	6	6	350	2004	5.73	2.7388280422463773e-05	4.56	A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZRN1 A0A8V0ZA56	2.5185351389821804
PF09258 Glycosyl transferase family 64 domain	4	4	350	2004	5.73	0.0009173020451480904	3.04	F1NGB8 A0A8V0Y8L6 A0A8V0ZXC9 A0A8V0ZBJ8	2.5185351389821804
PF17857 AAA+ lid domain	7	8	350	2004	5.01	3.2054536237965587e-05	4.49	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V1A4F4 A0A8V1AM51	2.3248106034204836
PF17852 Dynein heavy chain AAA lid domain	7	9	350	2004	4.45	0.00012261851889094425	3.91	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V1A4F4 A0A8V1AM51	2.1538053360790355
PF12774 Hydrolytic ATP binding site of dynein motor region	8	11	350	2004	4.16	8.148447694548558e-05	4.09	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	2.0565835283663674
PF12777 Microtubule-binding stalk of dynein motor	8	11	350	2004	4.16	8.148447694548558e-05	4.09	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	2.0565835283663674
PF18199 Dynein heavy chain C-terminal domain	8	11	350	2004	4.16	8.148447694548558e-05	4.09	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	2.0565835283663674
PF18198 Dynein heavy chain AAA lid domain	8	11	350	2004	4.16	8.148447694548558e-05	4.09	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	2.0565835283663674
PF12781 ATP-binding dynein motor region	8	11	350	2004	4.16	8.148447694548558e-05	4.09	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	2.0565835283663674
PF12780 P-loop containing dynein motor region D4	8	11	350	2004	4.16	8.148447694548558e-05	4.09	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	2.0565835283663674
