Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF08686 PLAC (protease and lacunin) domain	6	6	853	2004	2.35	0.005887189782547271	2.23	A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZRN1 A0A8V0ZA56	1.232660756790275
PF09258 Glycosyl transferase family 64 domain	4	4	853	2004	2.35	0.03269243609391583	1.49	F1NGB8 A0A8V0Y8L6 A0A8V0ZXC9 A0A8V0ZBJ8	1.232660756790275
PF16450 Proteasomal ATPase OB C-terminal domain	4	4	853	2004	2.35	0.03269243609391583	1.49	A0A8V0Z3K2 A0A8V0ZH96 A0A1L1RP66 F1NU79	1.232660756790275
PF00337 Galactoside-binding lectin	4	4	853	2004	2.35	0.03269243609391583	1.49	A0A1D5PQI1 Q5ZHQ2 A0A8V0Y2H5 A0A8V0XBM3	1.232660756790275
PF00458 WHEP-TRS domain	4	4	853	2004	2.35	0.03269243609391583	1.49	A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V1AAU9	1.232660756790275
PF07974 EGF-like domain	4	4	853	2004	2.35	0.03269243609391583	1.49	A0A1D5NTR5 A0A8V0Y132 A0A8V1AAN6 A0A8V0XMT9	1.232660756790275
PF17852 Dynein heavy chain AAA lid domain	8	9	853	2004	2.09	0.00593472806557203	2.23	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V1A4F4 A0A8V1AM51	1.063502942306158
PF17857 AAA+ lid domain	7	8	853	2004	2.06	0.01256483467553538	1.9	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V1A4F4 A0A8V1AM51	1.0426443374084937
PF03144 Elongation factor Tu domain 2	6	7	853	2004	2.01	0.046693878989259	1.33	A0A1D5PS29 A0A1D5PYQ3 A0A8V0XBW1 Q5ZMS3 A0A8V0Z083 P84172	1.0071955014042038
PF12774 Hydrolytic ATP binding site of dynein motor region	9	11	853	2004	1.92	0.011671935912221808	1.93	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	0.9411063109464315
PF18199 Dynein heavy chain C-terminal domain	9	11	853	2004	1.92	0.011671935912221808	1.93	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	0.9411063109464315
PF18198 Dynein heavy chain AAA lid domain	9	11	853	2004	1.92	0.011671935912221808	1.93	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	0.9411063109464315
PF12775 P-loop containing dynein motor region	9	11	853	2004	1.92	0.011671935912221808	1.93	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	0.9411063109464315
PF12777 Microtubule-binding stalk of dynein motor	9	11	853	2004	1.92	0.011671935912221808	1.93	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	0.9411063109464315
PF12780 P-loop containing dynein motor region D4	9	11	853	2004	1.92	0.011671935912221808	1.93	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	0.9411063109464315
PF12781 ATP-binding dynein motor region	9	11	853	2004	1.92	0.011671935912221808	1.93	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	0.9411063109464315
PF03028 Dynein heavy chain region D6 P-loop domain 	9	11	853	2004	1.92	0.011671935912221808	1.93	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	0.9411063109464315
PF00227 Proteasome subunit	12	15	853	2004	1.88	0.006398089293636356	2.19	Q5ZLI2 F1NC02 A0A8V1A582 R4GLB3 A0A8V0XWA8 A0A8V1ABH8 A0A8V0XRD5 A0A1D5PJW4 A0A8V0XB52 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63	0.9107326619029126
PF17791 Macroglobulin domain MG3	7	9	853	2004	1.83	0.04248131466981346	1.37	A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZKM2 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43	0.8718436485093178
