KEGG pathway	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
map00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin	7	15	218	1633	3.5	0.0017136210708117996	2.77	F1NGB8 A0A8V0YS46 A0A8V0WZJ4 A0A8V0ZBJ8 A0A8V0ZXC9 A0A8V0Y8L6 Q76KB2	1.8073549220576042
map00514 Other types of O-glycan biosynthesis	10	29	218	1633	2.58	0.0028970065719461	2.54	A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 O12971 A0A1D5PJE0 A0A8V1A2F4 A0A8V0Y6W2 A0A8V0XMA2 A0A8V0XT35 Q8AWB4	1.3673710656485294
map04974 Protein digestion and absorption	9	25	218	1633	2.7	0.0033673712514349554	2.47	A0A8V1AFR2 A0A8V0ZY91 A0A8V0ZX85 A0A1D5PE57 A0A8V0YA97 A0A8V0ZMD5 A0A8V0XXK8 P01875 P02460	1.4329594072761063
map00512 Mucin type O-glycan biosynthesis	8	21	218	1633	2.85	0.0038000238242111746	2.42	A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 A0A1D5PJE0 A0A8V1A2F4 A0A8V1ACQ8 A0A8V0Y6W2 A0A8V0XT35	1.5109619192773793
map04350 TGF-beta signaling pathway	9	27	218	1633	2.5	0.006066035353411832	2.22	A0A8V0ZKS6 A0A8V0YM05 A0A8V0YMM6 A0A1L1RX77 A0A8V0XPE8 A0A8V0YHH6 A0A8V0XJ84 A0A8V0ZRN1 A0A1D5P0D7	1.3219280948873624
map04064 NF-kappa B signaling pathway	8	25	218	1633	2.4	0.012524593113636807	1.9	A0A8V1ABC8 A0A8V0XEJ0 A0A8V0YRF2 A0A8V0XA34 A0A8V0ZEJ3 A0A8V0XL71 A0A8V0XDT2 A0A8V1AJ90	1.263034405833794
map04360 Axon guidance	16	65	218	1633	1.84	0.013650622248146534	1.86	A0A8V0Y0V1 A0A8V1AG56 A0A8V0ZDU4 A0A8V0Z8V4 A0A8V0XB58 Q0PVE4 A0A8V0ZKS6 A0A8V0ZB91 A0A8V0ZNY6 A0A1D5NW03 A0A3Q3A4U3 A0A8V1ACD6 A0A8V1ABC9 A0A8V0ZPH9 A0A8V0YRG2 A0A8V1A8M1	0.8797057662822882
map00515 Mannose type O-glycan biosynthesis	5	12	218	1633	3.12	0.014495144162393515	1.84	A0A8V0ZFH4 A0A8V0ZR84 A0A8V0Y218 A0A8V0ZYN6 A0A8V0YYQ9	1.6415460290875237
map00600 Sphingolipid metabolism	5	15	218	1633	2.5	0.03925311019129707	1.41	A0A8V0X637 A0A8V0XXM5 A0A8V0WZN3 A0A8V0YZJ3 A0A1D5P1F1	1.3219280948873624
map04020 Calcium signaling pathway	13	57	218	1633	1.71	0.044881694096364	1.35	A0A3Q2TU24 A0A8V0XB58 A0A8V1A3N1 A0A1D5NWP2 A0A8V1ABC9 A0A8V0XEJ0 A0A8V0Z4M1 A0A8V0XDT2 A0A1D5P1F1 A0A8V0XA34 Q9I946 A0A8V0XL71 A0A8V1A3H9	0.7739963251111731
map00430 Taurine and hypotaurine metabolism	2	3	218	1633	4.99	0.04854987884780883	1.31	A0A8V1A0M8 A0A8V0ZIZ5	2.319039815562536
