Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00004 ATPase family associated with various cellular activities (AAA),8,18,503,2004,1.77,0.0954148632098766,1.02,A0A8V0Z3K2 A0A1D5NTY5 A0A8V0Y2X7 F1NU79 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0ZH96
"PF00006 ATP synthase alpha/beta family, nucleotide-binding domain",5,7,503,2004,2.85,0.012964893219022668,1.89,F1NBW2 A0A8V1A624 A0A1D5PP57 A0A8V1AAC8 A0A1D5PN54
PF00008 EGF-like domain,2,30,503,2004,0.27,0.017913626615567446,1.75,A0A8V0YUC6 P25155
PF00009 Elongation factor Tu GTP binding domain,5,6,503,2004,3.32,0.004666097266876483,2.33,A0A1D5PS29 A0A1D5PYQ3 A0A8V0XBW1 Q5ZMS3 P84172
PF00013 KH domain,2,5,503,2004,1.59,0.6046301363131026,0.22,A0A8V1A0C9 A0A8V0ZX20
PF00025 ADP-ribosylation factor family,5,11,503,2004,1.81,0.15687034561004437,0.8,Q5ZKR9 A0A8V0ZRZ2 A0A8V0YCZ5 A0A8V1A1Y4 F1NN08
PF00027 Cyclic nucleotide-binding domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Z8R3 A0A8V1ACT0
PF00031 Cystatin domain,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0YUT8 A0A8V0YNC4
PF00036 EF hand,3,4,503,2004,2.99,0.051168199151694085,1.29,P24479 A0A3Q3B0H3 A0A8V0X5A1
PF00041 Fibronectin type III domain,6,49,503,2004,0.49,0.04361790172686008,1.36,A0A8V0Z153 A0A8V0Z6Z2 A0A8V1ADW0 A0A8V0XR23 A0A8V0ZH14 A0A8V1A3I2
"PF00056 lactate/malate dehydrogenase, NAD binding domain",3,5,503,2004,2.39,0.10430712922066417,0.98,E1BVT3 E1BTT8 P00337
PF00061 Lipocalin / cytosolic fatty-acid binding protein family,2,7,503,2004,1.14,1.0,-0.0,A0A8V0Z756 Q8QFM7
PF00063 Myosin head (motor domain),3,13,503,2004,0.92,1.0,-0.0,A0A8V1AHP5 A0A8V0YDF1 A0A1D5PM19
PF00069 Protein kinase domain,14,51,503,2004,1.09,0.7434954998738112,0.13,A0A8V0ZZC8 A0A1D5PD64 A0A8V0YTC2 A0A8V0X8M0 A0A8V0Y9D6 E1BS97 A0A1L1RPJ2 A0A8V0XKR3 A0A1D5PD57 A0A1D5PIQ5 A0A1D5PA08 A0A8V0XBS7 A0A3Q2U9U9 A0A8V0Z153
PF00071 Ras family,6,47,503,2004,0.51,0.059468742948105904,1.23,A0A8V0Z7Z5 Q1KME6 P42558 F1P3K5 P08642 Q5ZLG1
