KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00030 Pentose phosphate pathway,2,15,218,1633,1.0,1.0,-0.0,A0A8V0Z832 A0A8V1A4P2
map00040 Pentose and glucuronate interconversions,4,12,218,1633,2.5,0.06411047322798537,1.19,A0A8V0YKA1 A0A8V0YJV4 A0A8V0XMD4 A0A1L1RSD2
map00051 Fructose and mannose metabolism,2,15,218,1633,1.0,1.0,-0.0,A0A8V0YKA1 A0A8V0YJV4
map00052 Galactose metabolism,4,20,218,1633,1.5,0.328727853393145,0.48,A0A8V0YKA1 A0A8V0YJV4 A0A8V1A4P2 A0A8V0YZJ3
map00190 Oxidative phosphorylation,2,76,218,1633,0.2,0.0027132759469392508,2.57,Q5ZHL0 A0A1D5PCU0
map00230 Purine metabolism,5,40,218,1633,0.94,1.0,-0.0,A0A8V1A9L3 A0A8V0ZWX9 A0A8V0ZG46 A0A8V1A4P2 A0A8V0YC57
map00270 Cysteine and methionine metabolism,3,24,218,1633,0.94,1.0,-0.0,A0A8V0Z4R1 A0A1D5PNB8 E1BYF1
map00430 Taurine and hypotaurine metabolism,2,3,218,1633,4.99,0.04854987884780883,1.31,A0A8V1A0M8 A0A8V0ZIZ5
map00480 Glutathione metabolism,3,29,218,1633,0.77,0.7882622650806322,0.1,A0A8V1A0M8 A0A8V0ZIZ5 A0A8V1AHJ8
map00500 Starch and sucrose metabolism,2,11,218,1633,1.36,0.6489397276702926,0.19,A0A8V1A4P2 A0A8V0ZLV3
map00510 N-Glycan biosynthesis,5,27,218,1633,1.39,0.3932904076214665,0.41,A0A8V0XDL7 A0A8V0X2C5 A0A8V0Y7C8 A0A8V0ZWC9 A0A8V0Z0B9
map00511 Other glycan degradation,4,15,218,1633,2.0,0.12869772389192646,0.89,A0A8V0Z1E9 F1NB63 A0A8V0YZJ3 E1BS94
map00512 Mucin type O-glycan biosynthesis,8,21,218,1633,2.85,0.0038000238242111746,2.42,A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 A0A1D5PJE0 A0A8V1A2F4 A0A8V1ACQ8 A0A8V0Y6W2 A0A8V0XT35
map00513 Various types of N-glycan biosynthesis,4,25,218,1633,1.2,0.7644892386208298,0.12,A0A8V0ZWC9 A0A8V0Y7C8 F1NB63 A0A8V0Z0B9
map00514 Other types of O-glycan biosynthesis,10,29,218,1633,2.58,0.0028970065719461,2.54,A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 A0A1D5PJE0 O12971 A0A8V1A2F4 A0A8V0Y6W2 A0A8V0XMA2 A0A8V0XT35 Q8AWB4
map00515 Mannose type O-glycan biosynthesis,5,12,218,1633,3.12,0.014495144162393515,1.84,A0A8V0ZFH4 A0A8V0ZR84 A0A8V0Y218 A0A8V0ZYN6 A0A8V0YYQ9
map00531 Glycosaminoglycan degradation,4,15,218,1633,2.0,0.12869772389192646,0.89,A0A8V0YLN5 A0A8V0ZIF0 A0A8V0YZJ3 A0A1L1RSD2
