Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF16450 Proteasomal ATPase OB C-terminal domain	4	4	503	2004	3.98	0.003933594645728098	2.41	A0A8V0Z3K2 A0A8V0ZH96 A0A1L1RP66 F1NU79	1.9927684307689242
PF00458 WHEP-TRS domain	4	4	503	2004	3.98	0.003933594645728098	2.41	A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V1AAU9	1.9927684307689242
PF00932 Lamin Tail Domain	3	3	503	2004	3.98	0.015742245772170187	1.8	P13648 A0A3Q2U596 A0A8V0YY54	1.9927684307689242
PF01423 LSM domain 	3	3	503	2004	3.98	0.015742245772170187	1.8	A0A8V1A0R9 A0A8V0YUR4 A0A8V0Y8F5	1.9927684307689242
PF00273 Serum albumin family	3	3	503	2004	3.98	0.015742245772170187	1.8	A0A8V0XCT6 A0A8V0XJ14 A0A1D5NW68	1.9927684307689242
PF00125 Core histone H2A/H2B/H3/H4	3	3	503	2004	3.98	0.015742245772170187	1.8	A0A3Q2UDI2 P84229 A0A8V0XGQ4	1.9927684307689242
PF03144 Elongation factor Tu domain 2	6	7	503	2004	3.41	0.001346578886001854	2.87	A0A1D5PS29 A0A1D5PYQ3 A0A8V0XBW1 Q5ZMS3 A0A8V0Z083 P84172	1.7697717392494479
PF00009 Elongation factor Tu GTP binding domain	5	6	503	2004	3.32	0.004666097266876483	2.33	A0A1D5PS29 A0A1D5PYQ3 A0A8V0XBW1 Q5ZMS3 P84172	1.7311832415722
PF02874 ATP synthase alpha/beta family, beta-barrel domain	5	6	503	2004	3.32	0.004666097266876483	2.33	F1NBW2 A0A8V1A624 A0A1D5PP57 A0A8V1AAC8 A0A1D5PN54	1.7311832415722
PF00227 Proteasome subunit	12	15	503	2004	3.19	1.1888304163075948e-05	4.92	Q5ZLI2 F1NC02 A0A8V1A582 R4GLB3 A0A8V0XWA8 A0A8V1ABH8 A0A8V0XRD5 A0A1D5PJW4 A0A8V0XB52 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63	1.6735564239901446
PF01023 S-100/ICaBP type calcium binding domain	4	5	503	2004	3.19	0.015742245772186053	1.8	P24479 Q98953 A0A8V1AG73 A0A8V1ABP6	1.6735564239901446
PF00091 Tubulin/FtsZ family, GTPase domain	7	10	503	2004	2.79	0.003510956176628054	2.45	A0A8V1AEW4 F1NWX0 P32882 P09244 P09644 A0A8V0ZQ95 A0A1D5NU82	1.480265122054463
PF03953 Tubulin C-terminal domain	7	10	503	2004	2.79	0.003510956176628054	2.45	A0A8V1AEW4 F1NWX0 P32882 P09244 P09644 A0A8V0ZQ95 A0A1D5NU82	1.480265122054463
PF00735 Septin	4	6	503	2004	2.66	0.03789454278283852	1.42	A0A8V0YS41 A0A8V0Z7V7 A0A8V1AKB5 A0A8V1AKZ9	1.411426245726465
PF00106 short chain dehydrogenase	7	11	503	2004	2.54	0.007583217541497176	2.12	A0A1D5NWL9 A0A8V0XK42 A0A8V0Z0D4 A0A8V0Z420 A0A8V0X2T8 A0A8V0Z5M1 A0A8V0ZJ84	1.3448284969974411
PF00270 DEAD/DEAH box helicase	8	13	503	2004	2.45	0.005648965048721551	2.25	A0A8V0X895 A0A8V0XZ63 A0A8V0YZ41 Q5ZHZ0 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7 A0A8V0YJ71	1.292781749227846
PF17862 AAA+ lid domain	8	14	503	2004	2.28	0.01032524831086173	1.99	A0A8V0Z3K2 A0A1D5NTY5 F1NU79 A0A8V0Y2X7 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0ZH96	1.189033824390017
PF00787 PX domain	6	11	503	2004	2.17	0.03456829918947998	1.46	A0A8V0XJG4 A0A8V0YQL8 A0A8V1A6Q7 A0A8V0ZEP8 A0A1L1S0C5 A0A8V0XBS7	1.1176950426697545
PF00271 Helicase conserved C-terminal domain	8	15	503	2004	2.12	0.03022134702840225	1.52	A0A8V0X895 A0A8V0XZ63 A0A8V0YZ41 Q5ZHZ0 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7 A0A8V0YJ71	1.0840642647884746
PF13499 EF-hand domain pair	10	22	503	2004	1.81	0.04367906066841522	1.36	A0A8V0X5A1 A0A8V1A9H2 F1NCA2 A0A3Q2TTG3 A0A3Q3B0H3 A0A1D5P2H5 Q5ZKE5 F1NHD8 Q5ZM44 A0A8V0ZZL0	0.8559896973084807
