KEGG pathway	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
map03050 Proteasome	27	36	491	1633	2.49	2.4166304136348763e-08	7.62	A0A8V0Y2X7 A0A8V0Z3K2 F1NC02 A0A8V0YQY8 A0A8V1A582 A0A1D5NXL7 A0A8V0ZNG1 A0A8V0Z0G8 A0A8V0ZEY1 A0A8V0ZH96 F1NU79 Q5ZLI2 A0A8V0XY82 A0A8V0XB52 A0A8V0ZNX9 A0A8V0XHF1 A0A8V0XWA8 A0A8V1ABH8 A0A8V0XRD5 A0A8V0YSB5 A0A1D5NTD3 R4GLB3 A0A1D5PJW4 A0A1L1RP66 A0A8V0ZNG4 Q7ZT63 F1NR71	1.3161457422933562
map04714 Thermogenesis	44	80	491	1633	1.83	2.184843128259807e-06	5.66	A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A1D5PK92 A0A8V0Z2Y8 A0A8V0YZL1 E1C658 A0A1D5PD64 A0A8V0XW68 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 P08642 A0A1D5P179 A0A8V0YC52 A0A8V0Z863 A0A8V0ZVA2 A0A8V1AH40 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A8V1A3B4 A0A8V0ZAL2 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z1Z1 A0A8V0Z382 P18944 A0A8V0ZU95 A0A8V0ZC01 Q9YH14 A0A1D5PN54 A0A1D5P0U8 A0A8V0ZIN3 A0A8V0YCL9 F1NUX4 A0A1D5PIQ5 R4GGZ2 A0A8V0ZI98	0.8718436485093178
map00190 Oxidative phosphorylation	42	76	491	1633	1.84	4.195096036218015e-06	5.38	A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A8V0Z2Y8 A0A8V0YZL1 E1C658 A0A8V1A840 A0A8V0XW68 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 A0A1D5PP57 A0A8V0Y8W7 A0A1D5P179 A0A8V0YC52 A0A8V0ZVA2 A0A8V0Z863 A0A8V1AH40 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A8V1A3B4 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V1AAC8 A0A8V0Z382 P18944 A0A8V0ZU95 F1NBW2 A0A8V0ZC01 Q9YH14 A0A8V0ZBC9 A0A1D5P0U8 A0A8V0YCL9 A0A1D5PN54 R4GGZ2 A0A8V0ZI98	0.8797057662822882
map03010 Ribosome	31	55	491	1633	1.87	3.8116933619033156e-05	4.42	A0A8V0XXX0 A0A8V0ZNA1 A0A8V0XJK4 Q6ITC7 A0A8V0YV66 F1NN16 A0A8V1A9M2 A0A1D5P3B1 A0A8V1A8R2 F1NIX0 F1NH93 E1C4N0 A0A8V0ZJP1 A0A8V0Y4V6 A0A8V0XRE7 A0A8V0Z891 E1BTG1 A0A8V0YR80 A0A8V0ZGP2 A0A8V0Z1Z1 A0A1L1S0X5 A0A8V0Z4U8 A0A8V0ZL98 A0A1D5PMT8 A0A3Q3A7P6 A0A8V0ZE87 P50890 P41125 R4GGJ0 A0A8V0ZUX8 F1NPA9	0.903038270112912
map04260 Cardiac muscle contraction	15	23	491	1633	2.17	0.0007287365922909999	3.14	A0A8V0ZU95 A0A8V1A3B4 A0A8V0XW68 A0A3Q2UJ64 A0A8V0ZC01 A0A8V1A472 A0A1L1RKB7 A0A8V0Z2Y8 A0A8V0XTC5 A0A8V0ZYC2 A0A8V0ZX92 A0A8V0X6I3 A0A8V0YCL9 A0A8V0YZL1 P18944	1.1176950426697545
map00970 Aminoacyl-tRNA biosynthesis	12	19	491	1633	2.1	0.0038004696481239164	2.42	A0A8V0Y207 F1NJU7 A0A3Q2TSP8 A0A8V0Y121 A0A8V0XY40 A0A8V0ZEK6 A0A8V1A7D7 A0A8V1AAU9 A0A8V1A7Y9 A0A8V0YH08 E1C2Z5 A0A8V0ZWY9	1.070389327891398
map00071 Fatty acid degradation	13	23	491	1633	1.88	0.009794411362826277	2.01	A0A8V0Y4M6 A0A8V1AKL9 A0A8V1ABW1 A0A8V0ZAL2 A0A8V0YB71 A0A8V0X3M7 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0Y8S2 A0A8V0XE68 A0A8V0YYX3 A0A8V0X9K8	0.9107326619029126
map03013 Nucleocytoplasmic transport	13	25	491	1633	1.73	0.025491578071310122	1.59	A0A1D5P1W7 A0A8V0X1D0 A0A8V0YG12 A0A8V0ZVA8 A0A8V0YKT5 A0A8V0XBW1 P42558 A0A8V0YZ41 A0A8V0XP09 Q5ZHZ0 A0A8V0Y879 F1NRZ6 A0A1D5P8H7	0.7907720378619999
map01040 Biosynthesis of unsaturated fatty acids	3	3	491	1633	3.33	0.02706612798423881	1.57	A0A8V0Z420 A0A1D5NWL9 A0A8V0Z2X9	1.7355221772965375
map04977 Vitamin digestion and absorption	5	7	491	1633	2.38	0.02879504138878269	1.54	A0A8V0ZZN4 A0A8V0XV56 A0A8V0ZZT2 A0A8V0ZQV5 E1C3J7	1.250961573533219
