KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00010 Glycolysis / Gluconeogenesis,13,33,682,1633,0.94,0.8595651514433889,0.07,A0A8V0ZWH3 A0A8V1ABW1 A0A8V0YFC7 E1BTT8 Q5ZLN1 A0A1D5PEH3 A0A8V0ZM20 A0A8V1AAP7 A0A1D5P1U2 A0A8V1A4P2 A0A1L1RQ91 A0A8V0X9K8 A0A8V0XHN0
map00020 Citrate cycle (TCA cycle),15,22,682,1633,1.63,0.01534637187464739,1.81,A0A8V0ZVS5 A0A8V0ZWH3 E1BVT3 A0A1D5P8I7 A0A8V0ZAK3 A0A1D5PQV0 A0A1D5PEH3 A0A8V0YGM0 A0A1D5PQV3 Q5F3B9 A0A1D5PIF0 A0A1D5P1U2 A0A8V0Y9B0 A0A8V0ZPJ9 A0A8V0ZRW5
map00030 Pentose phosphate pathway,8,15,682,1633,1.28,0.43343884367411833,0.36,A0A1D5PC23 A0A8V0YZ27 A0A8V0YBE2 A0A8V1A4P2 A0A8V0YVZ8 A0A8V0Z832 A0A1L1RQ91 A0A8V0XHN0
map00040 Pentose and glucuronate interconversions,5,12,682,1633,1.0,1.0,-0.0,A0A8V0YKA1 A0A8V0YJV4 A0A8V0YXI7 A0A8V0XMD4 A0A8V1AAP7
map00051 Fructose and mannose metabolism,6,15,682,1633,0.96,1.0,-0.0,A0A8V0YKA1 A0A1D5PD70 A0A8V0YJV4 A0A8V0ZM20 A0A8V0XUH8 A0A8V0XHN0
map00052 Galactose metabolism,8,20,682,1633,0.96,1.0,-0.0,A0A8V0YKA1 A0A8V0YJV4 A0A8V0YZJ3 A0A8V0ZM20 A0A8V1ALI6 A0A8V0Z3S8 A0A8V1A4P2 A0A8V0XHN0
map00053 Ascorbate and aldarate metabolism,4,7,682,1633,1.37,0.4605497002429234,0.34,A0A8V0YXI7 A0A8V1ABW1 A0A8V0X9K8 A0A8V1AAP7
map00061 Fatty acid biosynthesis,2,5,682,1633,0.96,1.0,-0.0,A0A8V0ZAL2 A0A8V0XMJ6
map00062 Fatty acid elongation,5,11,682,1633,1.09,1.0,-0.0,A0A8V0Y9E4 A0A8V0XIM8 A0A8V0Y492 A0A8V0Z420 A0A8V0YB71
map00071 Fatty acid degradation,16,23,682,1633,1.67,0.009285463833094337,2.03,A0A8V0Y4M6 A0A8V1ABW1 A0A8V0ZAL2 A0A8V0Y9E4 A0A8V0X3M7 A0A8V0XH76 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0XE68 A0A8V0Y8S2 A0A8V0YYX3 A0A1D5NYK3 A0A8V0YB71 A0A8V0XMJ6 A0A8V0X9K8
map00140 Steroid hormone biosynthesis,3,4,682,1633,1.8,0.3145480396638658,0.5,A0A1D5PTW3 A0A8V0Z420 A0A8V0ZJ84
