GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Biological Process	ribonucleoside triphosphate metabolic process	6	GO:0009199	51	105	642	2734	2.07	1.1323762178468189e-08	7.95	Q5ZLN1 P18944 A0A1D5PIF0 A0A452J806 A0A8V0XHN0 A0A8V0Y9V8 A0A8V0ZM20 E1BTT8 Q9YH14 A0A1D5NTY5 A0A1D5NW93 A0A1D5P0U8 A0A1D5P4B1 A0A1D5PC99 A0A1D5PI06 A0A1D5PN54 A0A1D5PNM0 A0A8V0XA55 A0A8V0XCD2 A0A8V0XTC5 A0A8V0XW68 A0A8V0Y6X8 A0A8V0Y9V7 A0A8V0Y9X9 A0A8V0YC52 A0A8V0YCL9 A0A8V0YFF3 A0A8V0YW57 A0A8V0Z2Y8 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZC01 A0A8V0ZI98 A0A8V0ZU95 A0A8V0ZVA2 A0A8V1A4N7 A0A8V1A624 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 E1C658 F1NIL3 A0A3Q2UJ64 A0A8V0YBI3 A0A8V0YZL1 A0A8V0ZLT9 A0A8V0ZPD6 A0A8V0ZRZ8 A0A8V1A3B4 R4GGZ2	1.0496307677246004
Biological Process	mRNA metabolic process	6	GO:0016071	54	115	642	2734	2.0	1.6421573670350688e-08	7.78	A0A3S5ZPN3 P50890 Q5ZHZ0 Q5ZKB9 F1NN16 H9L2N7 P41125 Q6ITC7 A0A1D5P3B1 A0A1D5P8I3 A0A1D5PR23 A0A1D5PSI3 A0A1D6UPS9 A0A1L1RX26 A0A8V0X7H3 A0A8V0X895 A0A8V0XJK4 A0A8V0XSU6 A0A8V0XUD0 A0A8V0XXX0 A0A8V0Y9Y9 A0A8V0YD10 A0A8V0YR80 A0A8V0YZ41 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZUX8 A0A8V1AAB0 A0A8V1AER6 E1C8Y9 F1NAC8 F1NH93 P32429 A0A1D5PXH1 A0A3Q2U3U3 A0A8V0X7I3 A0A8V0XRE7 A0A8V0XXW6 A0A8V0XYP5 A0A8V0YGA1 A0A8V0YJ12 A0A8V0YUR4 A0A8V0YV00 A0A8V0YZ19 A0A8V0ZE30 A0A8V0ZQT1 A0A8V0ZRK8 A0A8V0ZX20 A0A8V0ZY56 A0A8V1A1S6 A0A8V1A7Y0 A0A8V1A8R2 A0A8V1ABY0 A0A8V1AFZ6	1.0
Biological Process	nuclear-transcribed mRNA catabolic process	7	GO:0000956	28	47	642	2734	2.54	9.656557437590561e-08	7.02	A0A3S5ZPN3 P50890 Q5ZKB9 F1NN16 H9L2N7 P41125 Q6ITC7 A0A1D5P3B1 A0A1L1RX26 A0A8V0XJK4 A0A8V0XXX0 A0A8V0Y9Y9 A0A8V0YD10 A0A8V0YR80 A0A8V0YZ41 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZUX8 A0A8V1AAB0 F1NH93 P32429 A0A8V0XRE7 A0A8V0YV00 A0A8V0ZE30 A0A8V0ZRK8 A0A8V0ZY56 A0A8V1A8R2 A0A8V1ABY0	1.3448284969974411
Biological Process	aerobic respiration	6	GO:0009060	22	34	642	2734	2.76	3.0889192749582684e-07	6.51	P18944 A0A1D5P8I7 A0A1D5PIF0 A0A8V0ZAK3 E1BVT3 Q5F3B9 A0A1D5P1U2 A0A1D5PEH3 A0A1D5PQV3 A0A8V0XW68 A0A8V0Y9B0 A0A8V0YCL9 A0A8V0Z2Y8 A0A8V0ZC01 A0A8V0ZRW5 A0A8V0ZU95 A0A8V0ZVS5 A0A3Q2UJ64 A0A8V0YC20 A0A8V0YGM0 A0A8V0YZL1 A0A8V1A3B4	1.4646682670034443
Biological Process	mRNA catabolic process	6	GO:0006402	28	49	642	2734	2.43	3.2995754860354483e-07	6.48	A0A3S5ZPN3 P50890 Q5ZKB9 F1NN16 H9L2N7 P41125 Q6ITC7 A0A1D5P3B1 A0A1L1RX26 A0A8V0XJK4 A0A8V0XXX0 A0A8V0Y9Y9 A0A8V0YD10 A0A8V0YR80 A0A8V0YZ41 A0A8V0ZGP2 A0A8V0ZJP1 A0A8V0ZUX8 A0A8V1AAB0 F1NH93 P32429 A0A8V0XRE7 A0A8V0YV00 A0A8V0ZE30 A0A8V0ZRK8 A0A8V0ZY56 A0A8V1A8R2 A0A8V1ABY0	1.2809563138310565
Biological Process	protein modification by small protein removal	7	GO:0070646	36	72	642	2734	2.13	6.996460734862344e-07	6.16	Q7ZT63 A0A1D5NTY5 A0A1D5PJW4 A0A1L1RXA3 A0A8V0X5G9 A0A8V0XB52 A0A8V0XIX2 A0A8V0XRD5 A0A8V0Y2X7 A0A8V0YGG7 A0A8V0YQY8 A0A8V0YYY4 A0A8V0ZBR5 A0A8V0ZEC1 A0A8V0ZNX9 A0A8V0ZUX9 A0A8V0ZY42 A0A8V1A582 A0A8V1A8S1 A0A8V1ABH8 F1NAQ8 F1NC02 F1NU79 Q5ZLI2 R4GLB3 A0A1D5NXL7 A0A1L1RP66 A0A8V0WZH6 A0A8V0XG62 A0A8V0XHV8 A0A8V0XY82 A0A8V0ZH96 A0A8V0ZNG1 A0A8V0ZNG4 A0A8V1AF05 F1NR71	1.0908534304511135
Biological Process	RNA processing	6	GO:0006396	47	105	642	2734	1.91	9.243904141246706e-07	6.03	A0A3S5ZPN3 F1NYI3 P50890 Q5ZHZ0 F1NN16 A0A1D5P3B1 A0A1D5P8I3 A0A1D5PR23 A0A1D5PSI3 A0A1D6UPS9 A0A8V0X7H3 A0A8V0X895 A0A8V0XIX2 A0A8V0XJK4 A0A8V0XSU6 A0A8V0Y121 A0A8V0Y5D3 A0A8V0YD10 A0A8V0YR80 A0A8V0YZ41 A0A8V0Z1Z1 A0A8V1A7D7 A0A8V1AAB0 E1C455 E1C8Y9 F1NAC8 P32429 R4GGJ0 A0A1D5NXB3 A0A1D5PXH1 A0A3Q2U3U3 A0A8V0X2T8 A0A8V0X7I3 A0A8V0XXW6 A0A8V0XYP5 A0A8V0YGA1 A0A8V0YJ12 A0A8V0YUR4 A0A8V0YZ19 A0A8V0ZQT1 A0A8V0ZX20 A0A8V1A1S6 A0A8V1A7Y0 A0A8V1A8R2 A0A8V1A9M2 A0A8V1ABY0 A0A8V1AFZ6	0.9335726382610239
Biological Process	mitochondrial respiratory chain complex assembly	6	GO:0033108	22	36	642	2734	2.6	1.3078523216814098e-06	5.88	F1NEF6 A0A1D5P179 A0A1D5P4B1 A0A1D5PI06 A0A1D5PNM0 A0A8V0X535 A0A8V0XCD2 A0A8V0Y9V7 A0A8V0YC52 A0A8V0YFF3 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZVA2 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 A0A1D5PGC2 A0A3Q2UJ64 A0A8V0X6I3 A0A8V0ZPD6 A0A8V0ZRZ8	1.3785116232537298
Biological Process	ncRNA metabolic process	6	GO:0034660	35	71	642	2734	2.1	1.4819667973881508e-06	5.83	A0A3S5ZPN3 F1NYI3 P50890 A0A3Q2TSP8 E1C2Z5 F1NN16 H9L2N7 A0A1D5P3B1 A0A8V0X895 A0A8V0XIX2 A0A8V0XJK4 A0A8V0XT65 A0A8V0Y121 A0A8V0Y5D3 A0A8V0YH08 A0A8V0YQC4 A0A8V0YR80 A0A8V0Z1Z1 A0A8V0Z3U7 A0A8V0ZEB2 A0A8V0ZF10 A0A8V0ZQK2 A0A8V0ZWY9 A0A8V1A7D7 A0A8V1A7Y9 A0A8V1AAB0 A0A8V1AAU9 E1C455 P32429 R4GGJ0 A0A1D5P0D3 A0A3Q2U3U3 A0A8V0X2T8 A0A8V1A8R2 A0A8V1A9M2	1.070389327891398
Biological Process	regulation of DNA biosynthetic process	6	GO:2000278	18	27	642	2734	2.84	2.0262492901293e-06	5.69	A0A1D5NYE8 Q5ZHZ0 Q5F411 Q5ZMG9 A0A3Q2U7H6 A0A8V0Y5D3 A0A8V0Y814 A0A8V0YCP2 A0A8V0YR59 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6 A0A3Q2U3U3 A0A8V0X7I3 A0A8V0XYP5 A0A8V0ZZC8 A0A8V1AI10	1.5058909297299572
