GO Terms Level 1	GO Terms Description	GO Terms Level	GO Terms ID	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
Biological Process	regulation of telomere maintenance via telomerase	7	GO:0032210	12	15	1153	2734	1.9	0.0034940359030769526	2.46	A0A1D5NYE8 Q5F411 Q5ZMG9 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6 A0A8V0X7I3 A0A8V0XYP5 A0A8V0ZZC8	0.925999418556223
Biological Process	regulation of telomere maintenance	6	GO:0032204	15	20	1153	2734	1.78	0.004915162054549807	2.31	A0A1D5NYE8 P13648 Q5F411 Q5ZMG9 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6 A0A3Q2U3U3 A0A8V0X7I3 A0A8V0XWJ5 A0A8V0XYP5 A0A8V0ZZC8	0.8318772411916731
Biological Process	regulation of DNA biosynthetic process	6	GO:2000278	19	27	1153	2734	1.67	0.005046043905517101	2.3	A0A1D5NYE8 Q04619 Q5ZHZ0 Q5F411 Q5ZMG9 A0A3Q2U7H6 A0A8V0Y5D3 A0A8V0Y814 A0A8V0YCP2 A0A8V0YR59 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6 A0A3Q2U3U3 A0A8V0X7I3 A0A8V0XYP5 A0A8V0ZZC8 A0A8V1AI10	0.7398481026993274
Biological Process	regulation of telomere maintenance via telomere lengthening	7	GO:1904356	13	17	1153	2734	1.81	0.005485225326108745	2.26	A0A1D5NYE8 Q5F411 Q5ZMG9 A0A8V0Y814 A0A8V0YCP2 A0A8V0YYI8 A0A8V1AED9 A0A8V1AJS6 Q9I8D6 A0A3Q2U3U3 A0A8V0X7I3 A0A8V0XYP5 A0A8V0ZZC8	0.8559896973084807
Biological Process	cellular response to type I interferon	6	GO:0071357	6	6	1153	2734	2.37	0.005583546628831242	2.25	A0A8V0YFT7 A0A8V0ZVX9 A0A8V1A4X0 A0A8V1ABC8 A0A8V1ACN6 A0A8V0YNP1	1.2448870591235344
Biological Process	type I interferon-mediated signaling pathway	6	GO:0060337	6	6	1153	2734	2.37	0.005583546628831242	2.25	A0A8V0YFT7 A0A8V0ZVX9 A0A8V1A4X0 A0A8V1ABC8 A0A8V1ACN6 A0A8V0YNP1	1.2448870591235344
Biological Process	cellular response to interleukin-12	6	GO:0071349	18	26	1153	2734	1.64	0.008138574263286695	2.09	A0A1D5NYK7 A0A1D5NZL7 Q90694 E1BS97 A0A1D5P1T0 A0A8V0ZJE0 Q5ZMG9 A0A1D5PC23 A0A8V0XLB9 A0A8V0Z5L2 A0A8V0ZJP1 A0A8V1AAF2 F1NAC8 F1NZ86 A0A1D5NT70 A0A3Q2U3U3 A0A8V0X7B2 A0A8V0YJ12	0.713695814843359
Biological Process	keratinocyte differentiation	6	GO:0030216	20	30	1153	2734	1.58	0.008400671024629124	2.08	Q90694 A0A8V0X4D8 A0A8V0XAS9 O93256 A0A3Q2U1A5 A0A8V0XCI3 A0A8V0XGN8 A0A8V0YV92 A0A8V0YWW2 A0A8V0ZQ00 A0A8V0ZQC1 A0A1D5NYG3 A0A8V0Y4B7 A0A8V0Z0W8 A0A8V0ZA56 A0A8V0ZK24 A0A8V0ZPV0 A0A8V0ZVD2 A0A8V0ZZA5 A0A8V1A8T0	0.6599245584023783
Biological Process	aerobic respiration	6	GO:0009060	22	34	1153	2734	1.53	0.008571398935656411	2.07	P18944 A0A1D5P8I7 A0A1D5PIF0 A0A8V0ZAK3 E1BVT3 Q5F3B9 A0A1D5P1U2 A0A1D5PEH3 A0A1D5PQV3 A0A8V0XW68 A0A8V0Y9B0 A0A8V0YCL9 A0A8V0Z2Y8 A0A8V0ZC01 A0A8V0ZRW5 A0A8V0ZU95 A0A8V0ZVS5 A0A3Q2UJ64 A0A8V0YC20 A0A8V0YGM0 A0A8V0YZL1 A0A8V1A3B4	0.6135316529179271
Biological Process	mitochondrial respiratory chain complex assembly	6	GO:0033108	23	36	1153	2734	1.51	0.010139215089676752	1.99	F1NEF6 A0A1D5P179 A0A1D5P4B1 A0A1D5PI06 A0A1D5PNM0 A0A8V0X535 A0A8V0XCD2 A0A8V0XF68 A0A8V0Y9V7 A0A8V0YC52 A0A8V0YFF3 A0A8V0Z382 A0A8V0Z7C7 A0A8V0Z863 A0A8V0ZVA2 A0A8V1AA37 A0A8V1AEY5 A0A8V1AH40 A0A1D5PGC2 A0A3Q2UJ64 A0A8V0X6I3 A0A8V0ZPD6 A0A8V0ZRZ8	0.5945485495503542
