KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00010 Glycolysis / Gluconeogenesis,4,33,268,1633,0.74,0.6386909588333922,0.19,A0A8V0YFC7 A0A8V1A4P2 A0A1L1RQ91 A0A8V1AAP7
map00020 Citrate cycle (TCA cycle),2,22,268,1633,0.55,0.5609743730660659,0.25,A0A1D5PQV0 A0A8V0ZPJ9
map00030 Pentose phosphate pathway,4,15,268,1633,1.62,0.28925762912903435,0.54,A0A8V0Z832 A0A8V0YZ27 A0A8V1A4P2 A0A1L1RQ91
map00040 Pentose and glucuronate interconversions,4,12,268,1633,2.03,0.11903022682467555,0.92,A0A8V0YKA1 A0A8V0YJV4 A0A8V0XMD4 A0A8V1AAP7
map00051 Fructose and mannose metabolism,3,15,268,1633,1.22,0.7240173557174832,0.14,A0A8V0YKA1 A0A8V0YJV4 A0A8V0XUH8
map00052 Galactose metabolism,3,20,268,1633,0.91,1.0,-0.0,A0A8V0YKA1 A0A8V0YJV4 A0A8V1A4P2
map00071 Fatty acid degradation,2,23,268,1633,0.53,0.4074175643514727,0.39,A0A8V0Y9E4 A0A8V0XH76
map00190 Oxidative phosphorylation,5,76,268,1633,0.4,0.016370602353191255,1.79,A0A1D5PCU0 A0A8V0Z6U6 A0A8V0Y6Z6 Q5ZHL0 A0A8V0ZE88
map00230 Purine metabolism,9,40,268,1633,1.37,0.28199577617462956,0.55,A0A8V0ZWX9 A0A8V0XY43 A0A8V1AJZ1 A0A8V0XRZ6 A0A8V0XGF5 A0A8V1A4P2 E1C1L6 A0A8V0XC92 A0A8V0YC57
map00240 Pyrimidine metabolism,4,20,268,1633,1.22,0.5562323014752317,0.25,R4GJC4 A0A8V0XGF5 E1C1L6 A0A8V0XC92
map00270 Cysteine and methionine metabolism,2,24,268,1633,0.51,0.4075089406504283,0.39,A0A8V0YPT3 E1BYF1
"map00280 Valine, leucine and isoleucine degradation",3,28,268,1633,0.65,0.6063603315348927,0.22,A0A1D5PH80 A0A8V0Y9E4 A0A8V0XH76
map00430 Taurine and hypotaurine metabolism,2,3,268,1633,4.06,0.07179130400767503,1.14,A0A8V1A0M8 A0A8V0ZIZ5
map00480 Glutathione metabolism,11,29,268,1633,2.31,0.004094882329843146,2.39,A0A8V1AHJ8 A0A8V1AI83 A0A8V0YZ27 A0A8V0YPP2 A0A1D5NT70 A0A8V0ZPJ9 A0A8V0ZJE0 A0A8V1A0M8 A0A8V0X7B2 A0A8V0XB81 A0A8V0ZIZ5
map00500 Starch and sucrose metabolism,3,11,268,1633,1.66,0.4030088730649677,0.39,A0A8V0ZLV3 A0A1L1RQ91 A0A8V1A4P2
map00510 N-Glycan biosynthesis,4,27,268,1633,0.9,1.0,-0.0,A0A8V0X2C5 A0A8V0ZWC9 A0A8V0XDL7 A0A8V0Y9J8
map00511 Other glycan degradation,3,15,268,1633,1.22,0.7240173557174832,0.14,F1NB63 E1BS94 A0A3Q2TVY6
map00512 Mucin type O-glycan biosynthesis,8,21,268,1633,2.32,0.013650871218576785,1.86,A0A1D5PJE0 A0A8V1A2F4 A0A8V1ACQ8 A0A8V0YI46 A0A8V0Y6W2 A0A8V0YE66 A0A8V0XT35 A0A8V1A758
map00513 Various types of N-glycan biosynthesis,3,25,268,1633,0.73,0.7856959970077809,0.1,A0A8V0ZWC9 F1NB63 A0A8V0Y9J8
map00514 Other types of O-glycan biosynthesis,7,29,268,1633,1.47,0.30655671393728756,0.51,A0A1D5PJE0 O12971 A0A8V1A2F4 A0A8V0Y6W2 A0A8V0XMA2 A0A8V0YE66 A0A8V0XT35
map00515 Mannose type O-glycan biosynthesis,3,12,268,1633,1.52,0.42873269228063515,0.37,A0A8V0ZYN6 A0A8V0ZR84 A0A8V0Y218
map00520 Amino sugar and nucleotide sugar metabolism,4,23,268,1633,1.06,0.7819419716905741,0.11,A0A1L1RQ91 A0A8V1A4P2 Q5ZLA0 A0A8V0XUH8
map00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin,4,15,268,1633,1.62,0.28925762912903435,0.54,A0A8V0Y8L6 A0A8V0YS46 Q76KB2 A0A8V0Z2Q6
map00561 Glycerolipid metabolism,6,15,268,1633,2.44,0.024941526050070266,1.6,A0A8V0YKA1 P11602 A0A8V0YJV4 A0A8V0YKJ3 A0A8V0ZZL0 A0A8V1AAP7
map00562 Inositol phosphate metabolism,3,18,268,1633,1.02,1.0,-0.0,A0A1D5NZL7 A0A3Q2U0G2 A0A8V0ZYM1
map00564 Glycerophospholipid metabolism,4,14,268,1633,1.74,0.265753698317913,0.58,A0A8V0Z1C5 A0A8V0XR66 A0A8V0ZE99 A0A8V0ZZL0
map00565 Ether lipid metabolism,4,13,268,1633,1.87,0.24713121827134132,0.61,A0A8V0XR66 A0A8V0ZE99 A0A8V0XWZ8 A0A8V0Y006
map00590 Arachidonic acid metabolism,7,17,268,1633,2.51,0.013066795726620312,1.88,Q8QFM7 A0A8V0ZE99 A0A8V0YPP2 A0A8V0XR66 A0A8V1A0M8 A0A1D5NW85 A0A8V0Y6Q3
map00591 Linoleic acid metabolism,2,6,268,1633,2.03,0.25694900946592375,0.59,A0A8V0XR66 A0A8V0ZE99
map00592 alpha-Linolenic acid metabolism,2,5,268,1633,2.44,0.19113586286936135,0.72,A0A8V0XR66 A0A8V0ZE99
map00600 Sphingolipid metabolism,2,15,268,1633,0.81,1.0,-0.0,A0A1D5P1F1 A0A3Q2TVY6
map00620 Pyruvate metabolism,3,21,268,1633,0.87,1.0,-0.0,A0A8V0XH76 P07032 A0A8V1AAP7
