KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00010 Glycolysis / Gluconeogenesis,9,33,414,1633,1.08,0.8399423399303549,0.08,A0A8V0ZWH3 A0A8V1ABW1 E1BTT8 Q5ZLN1 A0A1D5PEH3 A0A8V0ZM20 A0A1D5P1U2 A0A8V0X9K8 A0A8V0XHN0
map00020 Citrate cycle (TCA cycle),13,22,414,1633,2.33,0.000743684121507721,3.13,A0A8V0ZVS5 A0A8V0ZWH3 E1BVT3 A0A1D5P8I7 A0A8V0ZAK3 A0A1D5PEH3 A0A8V0YGM0 A0A1D5PQV3 Q5F3B9 A0A1D5PIF0 A0A1D5P1U2 A0A8V0Y9B0 A0A8V0ZRW5
map00030 Pentose phosphate pathway,4,15,414,1633,1.05,1.0,-0.0,A0A1D5PC23 A0A8V0YBE2 A0A8V0YVZ8 A0A8V0XHN0
map00051 Fructose and mannose metabolism,3,15,414,1633,0.79,0.772790593577444,0.11,A0A1D5PD70 A0A8V0ZM20 A0A8V0XHN0
map00052 Galactose metabolism,5,20,414,1633,0.99,1.0,-0.0,A0A8V0YZJ3 A0A8V0ZM20 A0A8V0XHN0 A0A8V1ALI6 A0A8V0Z3S8
map00053 Ascorbate and aldarate metabolism,3,7,414,1633,1.69,0.3792218648173862,0.42,A0A8V0YXI7 A0A8V1ABW1 A0A8V0X9K8
map00061 Fatty acid biosynthesis,2,5,414,1633,1.58,0.6059271601274898,0.22,A0A8V0ZAL2 A0A8V0XMJ6
map00062 Fatty acid elongation,4,11,414,1633,1.43,0.48501901880261844,0.31,A0A8V0Z420 A0A8V0YB71 A0A8V0XIM8 A0A8V0Y492
map00071 Fatty acid degradation,14,23,414,1633,2.4,0.00029910920022338067,3.52,A0A8V0Y4M6 A0A8V1ABW1 A0A8V0ZAL2 A0A8V0X3M7 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZT56 A0A8V0XE68 A0A8V0Y8S2 A0A8V0YYX3 A0A1D5NYK3 A0A8V0YB71 A0A8V0XMJ6 A0A8V0X9K8
map00140 Steroid hormone biosynthesis,3,4,414,1633,2.96,0.05256649430815733,1.28,A0A1D5PTW3 A0A8V0Z420 A0A8V0ZJ84
