Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00008 EGF-like domain,11,30,432,2004,1.7,0.06930414755784331,1.16,A0A8V0YSB2 A0A8V0YQ88 A0A8V0ZHX5 A0A8V0XTP1 A0A8V0XRC4 A0A8V0Y413 A0A8V0YXG4 A0A8V0YVP9 A0A8V0YXI9 A0A8V0YID0 P31696
PF00014 Kunitz/Bovine pancreatic trypsin inhibitor domain,2,10,432,2004,0.93,1.0,-0.0,A0A3Q3A7D8 A0A8V0YTE6
PF00017 SH2 domain,4,20,432,2004,0.93,1.0,-0.0,A0A3Q3ACS4 A0A8V0ZEJ3 A0A8V0ZVX9 A0A8V1A9R2
PF00018 SH3 domain,6,27,432,2004,1.03,1.0,-0.0,A0A8V0Y1I1 Q8AXV0 A0A3Q2TSS2 A0A8V0XXP1 A0A8V0XAN3 A0A1L1RP76
PF00020 TNFR/NGFR cysteine-rich region,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V1A134 A0A8V0ZHP3
PF00025 ADP-ribosylation factor family,3,11,432,2004,1.27,0.7119299058250934,0.15,A0A8V0XKU5 A0A1D5PWK2 A0A8V0Z193
PF00028 Cadherin domain,9,21,432,2004,1.99,0.028503711642603072,1.55,A0A3Q2UGT3 A0A8V0XTP1 A0A8V0XCI3 A0A8V0Y0T2 A0A8V0Y4T8 A0A8V0YHL6 A0A8V0XGN8 A0A8V0Y103 A0A8V0X381
PF00040 Fibronectin type II domain,3,10,432,2004,1.39,0.4571888724906742,0.34,A0A8V0ZNQ8 A0A8V0YDD6 Q90611
PF00041 Fibronectin type III domain,12,49,432,2004,1.14,0.599308428874433,0.22,A0A8V0X8P6 A0A8V0YQ88 A0A8V0ZI29 A0A8V0XCT3 A0A8V1AB05 A0A8V0XX41 A0A3Q3A4U3 A0A8V0YDD6 A0A8V0Y828 Q8AV58 A0A8V0YWW2 Q03696
PF00042 Globin,5,5,432,2004,4.64,0.0004570994616724931,3.34,A0A8V0Z399 P01994 A0A8V0XM21 A0A8V0XL09 A0A8V0XF06
PF00050 Kazal-type serine protease inhibitor domain,6,8,432,2004,3.48,0.0018276815388459369,2.74,A0A8V0XAE6 P10184 A0A8V0YPA6 A0A8V0YPM0 A0A8V0YW85 P31696
PF00053 Laminin EGF domain,6,21,432,2004,1.33,0.42639064779757085,0.37,A0A8V0YSB2 A0A3Q2TWG9 A0A8V0XTP1 A0A1D5NW03 A0A8V0YXG4 P31696
PF00054 Laminin G domain,3,13,432,2004,1.07,1.0,-0.0,A0A8V0YXG4 A0A8V0YVP9 P31696
PF00055 Laminin N-terminal (Domain VI),2,13,432,2004,0.71,0.7464098859328618,0.13,A0A1D5NW03 A0A3Q2TWG9
PF00059 Lectin C-type domain,4,13,432,2004,1.43,0.49517874967550113,0.31,A0A8V0XRC4 A0A8V0XUK6 A0A8V0ZNQ8 E1BZV4
PF00061 Lipocalin / cytosolic fatty-acid binding protein family,3,7,432,2004,1.99,0.17549653289247774,0.76,Q8QFM7 A0A8V1AKH4 A0A1D5NW85
PF00063 Myosin head (motor domain),4,13,432,2004,1.43,0.49517874967550113,0.31,A0A1D5NWY3 A0A1D5P0X0 A0A8V1A2F9 A0A8V0ZQP1
PF00068 Phospholipase A2,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0XR66 A0A8V0ZE99
PF00069 Protein kinase domain,13,51,432,2004,1.18,0.49108548433243865,0.31,A0A8V0ZTS7 A0A1L1RWI9 A0A8V0ZQT9 A0A8V0XB58 A0A8V1AFS4 A0A8V0XRQ6 A0A8V0XKR3 A0A3Q3AWM4 Q5ZIU3 A0A8V1ABC9 A0A8V0YJI7 A0A8V0XBS7 A0A8V0YRK4
PF00071 Ras family,13,47,432,2004,1.28,0.2862158643216287,0.54,A0A8V0YB43 A0A8V0ZZU1 A0A1D5P1T0 A0A8V1AB67 Q5ZMG8 A0A8V0Z8U4 A0A8V0ZXW3 A0A1D5NWR3 A0A3Q2TYT2 A0A1D5P3W0 Q5ZIP7 A0A8V0XNL0 Q90694
"PF00076 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",2,38,432,2004,0.24,0.009209487313292632,2.04,A0A8V1ACY0 A0A8V0ZQ22
PF00079 Serpin (serine protease inhibitor),5,18,432,2004,1.29,0.5635329097904666,0.25,A0A8V0Z313 P01012 A0A8V0ZZS6 A0A8V0Y614 A0A8V0YJ25
PF00082 Subtilase family,3,7,432,2004,1.99,0.17549653289247774,0.76,A0A8V0X4D8 A0A8V0ZRU9 A0A8V0ZA56
PF00084 Sushi repeat (SCR repeat),6,13,432,2004,2.14,0.04167907002562284,1.38,A0A8V1AA32 A0A8V1ACZ0 A0A8V0XRC4 A0A3Q2U607 A0A8V0YXI9 A0A8V0YU75
PF00085 Thioredoxin,2,16,432,2004,0.58,0.5461353376207014,0.26,A0A8V0ZFW0 A0A8V0Y726
