Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00069 Protein kinase domain,20,51,881,2004,0.89,0.5682758249818077,0.25,A0A8V0XKR3 A0A3Q3AWM4 A0A8V0YJI7 A0A8V0XBS7 A0A8V0ZTS7 A0A1D5PD64 A0A1L1RWI9 A0A8V0ZZC8 A0A8V0ZQT9 A0A8V0YK18 E1BS97 Q5ZIU3 A0A8V0XB58 A0A8V0XE48 A0A8V1ABC9 A0A8V0YRK4 A0A3Q2U9U9 A0A8V0XRQ6 A0A1D5PIQ5 A0A8V1AFS4
PF00071 Ras family,16,47,881,2004,0.77,0.18271898911888684,0.74,A0A8V0YB43 A0A8V0ZZU1 A0A1D5P1T0 A0A8V1AB67 Q1KME6 Q5ZMG8 A0A8V0Z8U4 Q5ZMI5 A0A8V0ZXW3 F1P278 A0A1D5NWR3 A0A3Q2TYT2 A0A1D5P3W0 Q5ZIP7 A0A8V0XNL0 Q90694
"PF00076 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",19,38,881,2004,1.14,0.5103138728658194,0.29,A0A8V0YD10 A0A1D5PXH1 A0A8V0ZC55 A0A1D5P8I3 A0A1D5NXB3 A0A8V1ABY0 A0A8V0YJ12 A0A8V0ZQ22 A0A8V0XSU6 A0A8V1AFZ6 A0A8V0XXW6 A0A8V1ACY0 A0A8V0X7I3 A0A3Q2U3U3 A0A8V0YGA1 A0A8V0YZ19 A0A1D5PR23 A0A8V0ZQT1 E1C8Y9
PF00079 Serpin (serine protease inhibitor),9,18,881,2004,1.14,0.6392939805826241,0.19,P01012 A0A8V0Z313 A0A8V0ZZS6 A0A8V0Y614 A0A8V0X1R9 A0A8V0YCY1 A0A8V0YJ25 A0A160F7C1 A0A1D5PLZ2
PF00080 Copper/zinc superoxide dismutase (SODC),2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Y3L3 A0A8V0X5J4
PF00082 Subtilase family,6,7,881,2004,1.95,0.0484734561510833,1.31,A0A8V0X4D8 A0A8V0XEP8 A0A1D5P774 A0A8V0ZRU9 A0A8V0YDL8 A0A8V0ZA56
PF00084 Sushi repeat (SCR repeat),8,13,881,2004,1.4,0.2638289642315742,0.58,A0A8V1AA32 A0A8V1ACZ0 A0A8V0XRC4 A0A3Q2U607 A0A8V1A8B2 A0A8V0YXI9 A0A8V0YU75 A0A8V0YHS1
PF00085 Thioredoxin,4,16,881,2004,0.57,0.13815063209906253,0.86,A0A8V0ZFW0 A0A8V0YVE0 A0A8V0XGH4 A0A8V0Y726
PF00086 Thyroglobulin type-1 repeat,4,12,881,2004,0.76,0.566585323889919,0.25,A0A8V0Y357 A0A1D5P480 A0A8V0Y4Q2 A0A8V0ZJH8
PF00089 Trypsin,12,26,881,2004,1.05,0.8444808645714201,0.07,A0A8V0ZUZ0 A0A8V0XKE8 A0A8V0ZIX6 A0A8V1A8E4 A0A8V0ZNH3 A0A8V0XEY5 A0A8V1A987 A0A8V0YUC6 A0A8V0YID0 P15120 A0A8V0YU75 A0A8V0X945
PF00090 Thrombospondin type 1 domain,10,22,881,2004,1.03,1.0,-0.0,A0A8V0XKI2 A0A8V0XVV0 A0A8V0YRN1 A0A8V0Y1A4 A0A1D5NZ82 A0A8V0Z9B8 A0A8V0ZCF7 A0A8V0ZRN1 A0A1D5PFR3 A0A8V0YHS1
"PF00091 Tubulin/FtsZ family, GTPase domain",4,10,881,2004,0.91,1.0,-0.0,P09644 A0A1D5NU82 F1NWX0 F1NMU4
PF00092 von Willebrand factor type A domain,9,19,881,2004,1.08,0.8187240190906614,0.09,A0A8V0XQ82 A0A8V0XHW9 A0A8V0XQ96 A0A8V0ZHX5 A0A8V0YE20 A0A8V0YHC1 A0A8V0XAL0 A0A8V0YU75 A0A1D5P8I8
PF00093 von Willebrand factor type C domain,6,14,881,2004,0.97,1.0,-0.0,A0A8V0XKI2 A0A8V0YIB0 A0A8V0ZE58 A0A8V0YMS7 A0A8V0Z0R4 A0A8V0XXZ4
PF00094 von Willebrand factor type D domain,4,11,881,2004,0.83,0.7644316601835353,0.12,P02845 A0A8V0Z932 A0A8V0ZDT7 A0A8V1A1T7
PF00095 WAP-type (Whey Acidic Protein) 'four-disulfide core',2,4,881,2004,1.14,1.0,-0.0,A0A8V0YTH9 A0A8V0YTD7
"PF00096 Zinc finger, C2H2 type",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A1D5NTV7 A0A1D5P468
PF00098 Zinc knuckle,2,5,881,2004,0.91,1.0,-0.0,A0A8V0XP52 A0A1D5NXB3
PF00102 Protein-tyrosine phosphatase,4,13,881,2004,0.7,0.4093671632619905,0.39,A0A8V1AB05 A0A1D5P6Q1 A0A1D5PVR6 A0A8V0ZI29
PF00106 short chain dehydrogenase,8,11,881,2004,1.65,0.06865939865398787,1.16,A0A1D5PTW3 A0A1D5NWL9 A0A8V0YU17 A0A8V0Z0D4 A0A8V0Z420 A0A8V0X2T8 A0A8V0XK42 A0A8V0ZJ84
"PF00108 Thiolase, N-terminal domain",4,4,881,2004,2.27,0.03720935511996398,1.43,A0A8V0XE68 A0A8V0YB71 A0A8V0Y9E4 A0A8V0XH76
"PF00129 Class I Histocompatibility antigen, domains alpha 1 and 2",2,5,881,2004,0.91,1.0,-0.0,A0A8V0X8Q3 A0A8V0X8D5
PF00130 Phorbol esters/diacylglycerol binding domain (C1 domain),4,7,881,2004,1.3,0.7062460964134833,0.15,A0A8V0YK18 A0A8V1ABC9 A0A8V0XRQ6 A0A8V0ZZL0
PF00135 Carboxylesterase family,2,4,881,2004,1.14,1.0,-0.0,A0A8V0Y9F8 A0A8V0Y4Q2
"PF00147 Fibrinogen beta and gamma chains, C-terminal globular domain",6,10,881,2004,1.36,0.35038720667700185,0.46,A0A8V1AHP7 A0A8V0X8P6 A0A8V0XCT3 A0A8V0YS27 P14448 A0A8V0YIZ9
PF00149 Calcineurin-like phosphoesterase,3,10,881,2004,0.68,0.527373816137434,0.28,A0A8V1A640 A0A8V0XC92 A0A8V0Z5C6
PF00155 Aminotransferase class I and II,2,4,881,2004,1.14,1.0,-0.0,A0A8V0ZT84 A0A8V0ZJT8
