Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF01747 ATP-sulfurylase,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0ZJD3 A0A8V0XTM2
PF01759 UNC-6/NTR/C345C module,5,9,881,2004,1.26,0.5180684723882811,0.29,A0A8V0X8L8 A0A3Q2TWG9 A0A8V0YA55 A0A8V0X8J3 A0A8V0XH43
PF01821 Anaphylotoxin-like domain,3,6,881,2004,1.14,1.0,-0.0,A0A8V0X8L8 A0A8V0X8J3 A0A8V0XH43
PF01823 MAC/Perforin domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1A8N2 A0A8V0YHS1
PF01835 MG2 domain,9,11,881,2004,1.86,0.013853986885631844,1.86,A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF01852 START domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0XYP6 A0A8V0Z4P8
PF01979 Amidohydrolase family,2,4,881,2004,1.14,1.0,-0.0,A0A1D5PMN7 A0A8V0Z6R7
PF02210 Laminin G domain,4,13,881,2004,0.7,0.4093671632619905,0.39,A0A8V0XTP1 A0A8V0YQU2 A0A8V0X4B2 A0A8V0YVP9
"PF02263 Guanylate-binding protein, N-terminal domain",2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1ACN6 A0A8V1ADN6
"PF02359 Cell division protein 48 (CDC48), N-terminal domain",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A1D5NTY5 A0A8V0ZZU2
PF02412 Thrombospondin type 3 repeat,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Y413 A0A8V0XKI2
"PF02770 Acyl-CoA dehydrogenase, middle domain",6,9,881,2004,1.52,0.19327309037758114,0.71,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6
"PF02771 Acyl-CoA dehydrogenase, N-terminal domain",6,9,881,2004,1.52,0.19327309037758114,0.71,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6
"PF02798 Glutathione S-transferase, N-terminal domain",6,8,881,2004,1.71,0.14903843078229423,0.83,A0A8V1AHJ8 A0A8V1AI83 A0A8V0X0T6 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81
"PF02803 Thiolase, C-terminal domain",4,4,881,2004,2.27,0.03720935511996398,1.43,A0A8V0XE68 A0A8V0YB71 A0A8V0Y9E4 A0A8V0XH76
"PF02841 Guanylate-binding protein, C-terminal domain",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V1ACN6 A0A8V1ADN6
"PF02864 STAT protein, DNA binding domain",2,4,881,2004,1.14,1.0,-0.0,A0A8V0YFT7 A0A8V0ZVX9
"PF02865 STAT protein, protein interaction domain",2,4,881,2004,1.14,1.0,-0.0,A0A8V0YFT7 A0A8V0ZVX9
"PF02866 lactate/malate dehydrogenase, alpha/beta C-terminal domain",2,6,881,2004,0.76,0.7005508676723544,0.15,E1BVT3 E1BTT8
"PF02874 ATP synthase alpha/beta family, beta-barrel domain",4,6,881,2004,1.52,0.4143878743224162,0.38,A0A1D5PN54 A0A8V1A624 F1NBW2 A0A8V1AK12
"PF02886 LBP / BPI / CETP family, C-terminal domain",6,9,881,2004,1.52,0.19327309037758114,0.71,A0A8V0YRQ0 A0A8V0Z419 A0A8V0YRT1 O42273 A0A1D5PT25 A0A8V0YR09
"PF02933 Cell division protein 48 (CDC48), domain 2",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A1D5NTY5 A0A8V0ZZU2
PF03024 Folate receptor family,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0XDM2 A0A140T8H8
PF03028 Dynein heavy chain region D6 P-loop domain ,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0XK27 A0A8V1AM51
PF03114 BAR domain,2,5,881,2004,0.91,1.0,-0.0,A0A8V0ZAU8 Q8AXV0
PF03129 Anticodon binding domain,4,5,881,2004,1.82,0.17582512626980962,0.75,A0A3Q2TSP8 A0A8V0YH08 A0A8V0YQC4 A0A8V1AAU9
PF03144 Elongation factor Tu domain 2,4,7,881,2004,1.3,0.7062460964134833,0.15,Q5ZMS3 A0A8V0Z083 A0A8V0XBW1 P84172
PF03351 DOMON domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0ZQE9 F1NBR3
PF03446 NAD binding domain of 6-phosphogluconate dehydrogenase,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0YZ27 A0A1D5PH80
PF03463 eRF1 domain 1,2,2,881,2004,2.27,0.19314341860464346,0.71,H9L2N7 A0A1L1RX26
PF03464 eRF1 domain 2,2,2,881,2004,2.27,0.19314341860464346,0.71,H9L2N7 A0A1L1RX26
PF03465 eRF1 domain 3,2,2,881,2004,2.27,0.19314341860464346,0.71,H9L2N7 A0A1L1RX26
PF03815 LCCL domain,4,4,881,2004,2.27,0.03720935511996398,1.43,A0A8V0XGV7 A0A8V0Y927 A0A8V0YKF2 A0A8V0XHW9
"PF03950 tRNA synthetases class I (E and Q), anti-codon binding domain",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A3Q2TSP8 A0A8V0ZF10
PF03953 Tubulin C-terminal domain,4,10,881,2004,0.91,1.0,-0.0,P09644 A0A1D5NU82 F1NWX0 F1NMU4
PF04810 Sec23/Sec24 zinc finger,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Z7B5 A0A3Q2UGR5
PF04811 Sec23/Sec24 trunk domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Z7B5 A0A3Q2UGR5
PF04815 Sec23/Sec24 helical domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Z7B5 A0A3Q2UGR5
PF05193 Peptidase M16 inactive domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0YZL1 A0A8V1A3B4
"PF06017 Unconventional myosin tail, actin- and lipid-binding",3,5,881,2004,1.36,0.6595001049354059,0.18,A0A1D5NWY3 A0A1D5P0X0 A0A8V0ZQP1
PF06456 Arfaptin-like domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0X678 A0A1D5P997
PF06565 DM10 domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0XUH6 A0A8V0Y9Q3
PF07546 EMI domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Y0F3 A0A8V0X207
PF07565 Band 3 cytoplasmic domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0ZVE0 A0A1D5NYS2
PF07645 Calcium-binding EGF domain,9,25,881,2004,0.82,0.5439884221416893,0.26,A0A8V0YSB2 A0A8V1A9U7 A0A8V0Y413 A0A8V0YE20 A0A8V0Y357 A0A8V0YVP9 A0A8V0XRN3 A0A8V0XAL0 A0A8V0ZWP9
PF07647 SAM domain (Sterile alpha motif),2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1A535 A0A1D5NWP2
PF07648 Kazal-type serine protease inhibitor domain,5,15,881,2004,0.76,0.4470574208265552,0.35,A0A8V0ZJH8 A0A1D5PJN7 A0A1D5NZN4 A0A8V1A1C6 P31696
PF07653 Variant SH3 domain,3,10,881,2004,0.68,0.527373816137434,0.28,A0A8V0XQS1 A0A8V0Y1I1 A0A1L1RP76
PF07654 Immunoglobulin C1-set domain,3,11,881,2004,0.62,0.3655439484829721,0.44,A0A8V0XEJ5 A0A8V0X8Q3 A0A8V0X8D5
PF07677 A-macroglobulin receptor binding domain,10,12,881,2004,1.9,0.00724049650773365,2.14,A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0ZQ48 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF07679 Immunoglobulin I-set domain,13,41,881,2004,0.72,0.1151091841550804,0.94,A0A8V0Y2M4 A0A8V0ZI29 A0A8V1AB05 A0A8V0YRN1 A0A8V0XX41 A0A3Q3A4U3 A0A8V1A0H5 A0A8V0YXG4 A0A8V0YR59 Q8AV58 A0A8V0Z888 Q03696 A0A8V0X5B9
PF07686 Immunoglobulin V-set domain,16,37,881,2004,0.98,1.0,-0.0,A0A8V0XRT4 A0A8V0ZZJ1 A0A8V0XKX6 A0A8V1A3D7 A0A8V0XZV7 A0A8V0ZQJ4 A0A8V0ZZH6 A0A8V0XH88 A0A8V1A8B2 A0A8V0XDZ2 A0A8V0ZXT4 F1NJI3 A0A1D5PLF4 A0A8V0X829 A0A8V0XA34 A0A8V0ZVP0
PF07703 Alpha-2-macroglobulin bait region domain,10,12,881,2004,1.9,0.00724049650773365,2.14,A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0ZQ48 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF07714 Protein tyrosine and serine/threonine kinase,5,22,881,2004,0.52,0.051579132116151886,1.29,A0A1D5P6T3 A0A8V1A9R2 A0A8V0YR59 A0A8V0YWW2 A0A8V0X5B9
PF08033 Sec23/Sec24 beta-sandwich domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Z7B5 A0A3Q2UGR5
PF08075 NOPS (NUC059) domain,3,3,881,2004,2.27,0.0848017307458956,1.07,A0A8V0XSU6 A0A8V0YZ19 A0A1D5P8I3
PF08264 Anticodon-binding domain of tRNA ligase,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0Z3U7 A0A8V1A7Y9
PF08266 Cadherin-like,3,6,881,2004,1.14,1.0,-0.0,A0A8V0YHL6 A0A8V0Y103 A0A8V0YA04
PF08442 ATP-grasp domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0ZAK3 Q5F3B9
PF08686 PLAC (protease and lacunin) domain,4,6,881,2004,1.52,0.4143878743224162,0.38,A0A8V0YRN1 A0A8V0ZRN1 A0A1D5NZ82 A0A8V0ZA56
PF08726 Ca2+ insensitive EF hand,3,4,881,2004,1.71,0.32595876745614244,0.49,A0A8V0ZD41 A0A8V1A9H2 A0A8V0Y5A6
PF08752 Coatomer gamma subunit appendage platform subdomain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V1A3D8 A0A8V0XLV1
PF08758 Cadherin prodomain like,3,4,881,2004,1.71,0.32595876745614244,0.49,A0A8V0XCI3 A0A8V0Y0T2 A0A3Q2UGT3
PF08953 Domain of unknown function (DUF1899),2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Z487 A0A8V0ZQD9
"PF09007 EBP50, C-terminal",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V1AJV5 A0A8V0YXB1
"PF09172 Vitellinogen, open beta-sheet",4,6,881,2004,1.52,0.4143878743224162,0.38,P02845 A0A8V0XV56 A0A8V0ZDT7 A0A8V0Z932
"PF09175 Vitellinogen, beta-sheet shell",3,5,881,2004,1.36,0.6595001049354059,0.18,P02845 A0A8V0Z932 A0A8V0ZDT7
"PF09279 Phosphoinositide-specific phospholipase C, efhand-like",2,3,881,2004,1.52,0.5855930439397318,0.23,A0A1D5NZL7 A0A3Q2U0G2
"PF09294 Interferon-alpha/beta receptor, fibronectin type III",3,3,881,2004,2.27,0.0848017307458956,1.07,A0A8V0ZFJ4 A0A8V0Y652 K9JA28
PF09379 FERM N-terminal domain ,3,6,881,2004,1.14,1.0,-0.0,A0A1D5NYK7 A0A8V0XPN3 A0A1D5P6Q1
PF09380 FERM C-terminal PH-like domain,3,6,881,2004,1.14,1.0,-0.0,A0A1D5NYK7 A0A8V0XPN3 A0A1D5P6Q1
PF10433 Mono-functional DNA-alkylating methyl methanesulfonate N-term,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A1D6UPS9 A0A8V0ZBT6
PF10456 WASP-binding domain of Sorting nexin protein,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A1D5PC37 E1C4N7
PF11838 ERAP1-like C-terminal domain,4,7,881,2004,1.3,0.7062460964134833,0.15,A0A8V0Y1W6 A0A8V0ZZ05 A0A8V0Z0I1 A0A1L1RVF4
PF12661 Human growth factor-like EGF,2,8,881,2004,0.57,0.47833307778022616,0.32,A0A8V0XTP1 A0A8V0Z3Q9
PF12662 Complement Clr-like EGF-like,3,11,881,2004,0.62,0.3655439484829721,0.44,A0A8V1A9U7 A0A8V0Y357 A0A8V0YXI9
PF12697 Alpha/beta hydrolase family,3,3,881,2004,2.27,0.0848017307458956,1.07,A0A8V0YBA6 A0A8V1AEW1 A0A8V0X643
PF12774 Hydrolytic ATP binding site of dynein motor region,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0XK27 A0A8V1AM51
PF12775 P-loop containing dynein motor region,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0XK27 A0A8V1AM51
PF12777 Microtubule-binding stalk of dynein motor,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0XK27 A0A8V1AM51
PF12780 P-loop containing dynein motor region D4,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0XK27 A0A8V1AM51
PF12781 ATP-binding dynein motor region,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0XK27 A0A8V1AM51
PF12947 EGF domain,2,6,881,2004,0.76,0.7005508676723544,0.15,A0A8V0Y357 A0A8V0XKI2
PF13202 EF hand,2,8,881,2004,0.57,0.47833307778022616,0.32,A0A8V0ZZ91 A0A8V0XJW9
PF13364 Beta-galactosidase jelly roll domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0YZJ3 A0A8V0ZI47
"PF13410 Glutathione S-transferase, C-terminal domain",2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1AGW0 A0A8V0YHF3
"PF13417 Glutathione S-transferase, N-terminal domain",2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1AGW0 A0A8V0ZJE0
PF13445 RING-type zinc-finger,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0YPH9 A0A8V1AJ90
PF13469 Sulfotransferase family,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A3Q2UD60 A0A8V0ZX23
PF13499 EF-hand domain pair,7,22,881,2004,0.72,0.2858783109805758,0.54,A0A8V1A9H2 F1NCA2 A0A3Q2TTG3 A0A8V0XEJ2 A0A8V0YWS4 A0A8V0ZZ91 A0A8V0ZZL0
PF13671 AAA domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0XWJ5 A0A8V0XYP5
PF13768 von Willebrand factor type A domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0YZ82 A0A8V0YWW6
PF13774 Regulated-SNARE-like domain,2,2,881,2004,2.27,0.19314341860464346,0.71,Q5ZJW4 A0A1D5PH43
PF13802 Galactose mutarotase-like,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V1ALI6 A0A8V0Z3S8
PF13833 EF-hand domain pair,2,5,881,2004,0.91,1.0,-0.0,A0A1L1RM08 A0A8V0XAS9
"PF13893 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V1ABY0 A0A8V0XTL6
PF13895 Immunoglobulin domain,3,3,881,2004,2.27,0.0848017307458956,1.07,A0A8V0ZB91 A0A8V0YR59 A0A8V1A9Y1
PF13927 Immunoglobulin domain,10,32,881,2004,0.71,0.1552036757440689,0.81,A0A8V0XX41 A0A3Q3A4U3 A0A8V0ZDW7 A0A8V0YXG4 Q8AV58 A0A1D5PJN7 Q03696 P17790 A0A8V0Z888 A0A8V0X5B9
PF14306 PUA-like domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0ZJD3 A0A8V0XTM2
"PF14497 Glutathione S-transferase, C-terminal domain",4,6,881,2004,1.52,0.4143878743224162,0.38,A0A1D5NT70 A0A8V0X7B2 A0A8V1AI83 A0A8V0ZJE0
PF14604 Variant SH3 domain,6,17,881,2004,0.8,0.6252116478878491,0.2,A0A8V0XIZ0 E1C4N7 Q01406 A0A8V0XZQ1 A0A8V0X8U3 A0A1D5PC37
PF14670 Coagulation Factor Xa inhibitory site,6,17,881,2004,0.8,0.6252116478878491,0.2,A0A8V0YSB2 A0A8V1A9U7 A0A8V0YE20 A0A8V0YID0 A0A8V0XAL0 A0A8V0ZWP9
PF14844 PH domain associated with Beige/BEACH,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0XM98 A0A1D5PMX3
PF14874 Flagellar-associated PapD-like,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0X8Z6 A0A8V0ZLV6
PF15057 Domain of unknown function (DUF4537),3,3,881,2004,2.27,0.0848017307458956,1.07,A0A8V0YZ82 A0A8V0ZEU9 A0A8V0YJS3
PF15711 Interleukin-like EMT inducer,4,7,881,2004,1.3,0.7062460964134833,0.15,A0A8V0ZYN6 A0A8V0ZR84 A0A8V0YGM5 E1C5S9
"PF15780 Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin",2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0YYD5 A0A8V0ZT48
PF16184 Cadherin-like,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0YQU2 A0A8V0XFN7
PF16381 Coatomer subunit gamma-1 C-terminal appendage platform,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V1A3D8 A0A8V0XLV1
PF16450 Proteasomal ATPase OB C-terminal domain,4,4,881,2004,2.27,0.03720935511996398,1.43,A0A8V0Z3K2 A0A8V0ZH96 A0A1L1RP66 F1NU79
PF16470 Peptidase S8 pro-domain,3,3,881,2004,2.27,0.0848017307458956,1.07,A0A8V0YDL8 A0A8V0X4D8 A0A8V0ZA56
PF16489 GPCR-Autoproteolysis INducing (GAIN) domain,2,4,881,2004,1.14,1.0,-0.0,A0A8V0XTP1 A0A8V0X9Y5
PF16746 BAR domain of APPL family,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0YBR8 A0A8V0X8U3
PF17771 ADAMTS cysteine-rich domain 2,4,7,881,2004,1.3,0.7062460964134833,0.15,A0A8V0Y1A4 A0A8V0ZCF7 A0A8V0Z9B8 A0A1D5NZ82
PF17787 PH domain,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A1D5NZL7 A0A3Q2U0G2
PF17789 Macroglobulin domain MG4,8,10,881,2004,1.82,0.026149874742019002,1.58,A0A8V0X8L8 A0A8V0ZTX8 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF17790 Macroglobulin domain MG1,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0X8L8 A0A8V0XH43
PF17791 Macroglobulin domain MG3,8,9,881,2004,2.02,0.01291148854246902,1.89,A0A8V0X8L8 A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF17852 Dynein heavy chain AAA lid domain,5,9,881,2004,1.26,0.5180684723882811,0.29,A0A8V0XSB0 A0A8V0Z6B9 A0A8V1A6Y8 A0A8V0YRF1 A0A8V1AM51
PF17857 AAA+ lid domain,4,8,881,2004,1.14,0.7366364602003391,0.13,A0A8V1A6Y8 A0A8V0XSB0 A0A8V1AM51 A0A8V0Z6B9
PF17862 AAA+ lid domain,8,14,881,2004,1.3,0.4194164603060551,0.38,A0A8V0Z3K2 A0A1D5NTY5 A0A8V0Y2X7 F1NU79 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0ZH96
PF17900 Peptidase M1 N-terminal domain,6,9,881,2004,1.52,0.19327309037758114,0.71,A0A8V0Z0I1 A0A8V0Y1W6 A0A8V0ZZ05 A0A8V1A0A4 A0A1L1RVF4 A0A8V0Y6Q3
PF17902 SH3 domain,3,4,881,2004,1.71,0.32595876745614244,0.49,A0A8V0YWS4 A0A8V0Z0W8 A0A8V0Y4B7
PF18198 Dynein heavy chain AAA lid domain,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0XK27 A0A8V1AM51
PF18199 Dynein heavy chain C-terminal domain,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0YRF1 A0A8V0XK27 A0A8V1AM51
PF18373 Spectrin like domain,3,4,881,2004,1.71,0.32595876745614244,0.49,A0A8V0YWS4 A0A8V0Y0I0 A0A8V0Y4B7
PF19028 Spondin-like TSP1 domain,2,5,881,2004,0.91,1.0,-0.0,A0A8V1A583 A0A8V0XVV0
PF19030 Thrombospondin type 1 domain,7,13,881,2004,1.22,0.5782975419406405,0.24,A0A8V0XVV0 A0A8V0YRN1 A0A8V0Y1A4 A0A1D5NZ82 A0A8V0Z9B8 A0A8V0ZCF7 A0A8V0ZRN1
PF19035 CCN3 Nov like TSP1 domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0ZE58 A0A8V0YMS7
PF19236 ADAMTS cysteine-rich domain,6,11,881,2004,1.24,0.5501216458698488,0.26,A0A8V0YRN1 A0A8V0Y1A4 A0A1D5NZ82 A0A8V0Z9B8 A0A8V0ZCF7 A0A8V0ZRN1
