Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00004 ATPase family associated with various cellular activities (AAA),8,18,449,2004,1.98,0.04087968685073979,1.39,A0A8V0Z3K2 A0A1D5NTY5 A0A8V0Y2X7 F1NU79 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0ZH96
"PF00006 ATP synthase alpha/beta family, nucleotide-binding domain",4,7,449,2004,2.55,0.04875608290783197,1.31,A0A1D5PN54 A0A8V1A624 F1NBW2 A0A8V1AK12
PF00007 Cystine-knot domain,2,4,449,2004,2.23,0.21864483987550232,0.66,A0A8V0ZE58 A0A8V0ZZC5
PF00008 EGF-like domain,2,30,449,2004,0.3,0.04417160240460251,1.35,A0A8V0YUC6 A0A8V1A8B2
PF00009 Elongation factor Tu GTP binding domain,3,6,449,2004,2.23,0.13029751833182696,0.89,Q5ZMS3 A0A8V0XBW1 P84172
PF00013 KH domain,3,5,449,2004,2.68,0.0778104732360566,1.11,A0A8V1A0C9 A0A8V0ZX20 A0A1D5PSI3
PF00017 SH2 domain,2,20,449,2004,0.45,0.2794015817817989,0.55,A0A8V0YFT7 A0A8V0ZPP3
PF00018 SH3 domain,2,27,449,2004,0.33,0.06370816408024585,1.2,A0A8V1A9H2 A0A3Q2U4B8
PF00025 ADP-ribosylation factor family,2,11,449,2004,0.81,1.0,-0.0,A0A8V0ZRZ2 A0A8V0YCZ5
PF00031 Cystatin domain,2,4,449,2004,2.23,0.21864483987550232,0.66,A0A8V0YUT8 A0A8V0YNC4
PF00041 Fibronectin type III domain,4,49,449,2004,0.36,0.014111344293032749,1.85,A0A1D5P6T3 A0A8V0Z6Z2 A0A8V1ADW0 A0A1D5P8I8
PF00052 Laminin B (Domain IV),2,9,449,2004,0.99,1.0,-0.0,A0A8V0XDR8 A0A8V0X4B2
PF00053 Laminin EGF domain,4,21,449,2004,0.85,1.0,-0.0,A0A8V0XDR8 A0A8V0X4B2 A0A8V0Z3Q9 A0A8V1A2W0
PF00054 Laminin G domain,2,13,449,2004,0.69,0.7446259438187269,0.13,A0A8V0XDR8 A0A8V0X4B2
PF00055 Laminin N-terminal (Domain VI),3,13,449,2004,1.03,1.0,-0.0,A0A8V0XDR8 A0A8V0X4B2 A0A8V1A2W0
"PF00056 lactate/malate dehydrogenase, NAD binding domain",2,5,449,2004,1.79,0.31253441763462836,0.51,E1BVT3 E1BTT8
PF00059 Lectin C-type domain,2,13,449,2004,0.69,0.7446259438187269,0.13,Q9PRS8 A0A8V1A8B2
PF00061 Lipocalin / cytosolic fatty-acid binding protein family,2,7,449,2004,1.28,0.6573865914570869,0.18,A0A8V0Z756 A0A8V1ADY8
PF00063 Myosin head (motor domain),3,13,449,2004,1.03,1.0,-0.0,A0A8V0ZMK4 A0A8V0YDF1 A0A1D5PM19
