Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A8V0XM02	7	Sec1 family domain containing 1 OS=Gallus gallus OX=9031 GN=SCFD1 PE=1 SV=1	SCFD1	Up	1.8034669331583344
F1P4I3	7	Vesicle-associated membrane protein 3 OS=Gallus gallus OX=9031 GN=VAMP3 PE=1 SV=3	VAMP3	Down	0.6047212721695285
A0A8V0ZWH3	7	Acetyltransferase component of pyruvate dehydrogenase complex OS=Gallus gallus OX=9031 GN=DLAT PE=1 SV=1	DLAT	Down	0.485840064433139
A0A8V0YZJ3	7	Beta-galactosidase OS=Gallus gallus OX=9031 GN=GLB1 PE=1 SV=1	GLB1	Up	6.9489078954582455
A0A8V0ZI47	7	Galactosidase beta 1 like OS=Gallus gallus OX=9031 GN=GLB1L PE=1 SV=1	GLB1L	Up	2.6913273189077564
A0A8V0Z1D6	7	protein deglycase OS=Gallus gallus OX=9031 GN=PARK7 PE=1 SV=1	PARK7	Down	0.36125380401704205
E1BSI4	7	Charged multivesicular body protein 5 OS=Gallus gallus OX=9031 GN=CHMP5 PE=1 SV=1	CHMP5	Down	0.5029896642388709
A0A8V0XWG1	7	Adenine phosphoribosyltransferase OS=Gallus gallus OX=9031 GN=APRT PE=1 SV=1	APRT	Down	0.5665655025803834
A0A8V0XGF5	7	NME/NM23 family member 7 OS=Gallus gallus OX=9031 GN=NME7 PE=1 SV=1	NME7	Down	0.4304950215516205
F1NVZ6	6	Dynein 2 intermediate chain 1 OS=Gallus gallus OX=9031 GN=WDR60 PE=4 SV=4	WDR60	Down	0.4358543652626716
E1C2Z5	6	Tryptophan--tRNA ligase, cytoplasmic OS=Gallus gallus OX=9031 GN=WARS PE=1 SV=3	WARS	Down	0.3689495826458609
A0A8V1A9W8	6	Serine/threonine-protein phosphatase 2A activator OS=Gallus gallus OX=9031 GN=PTPA PE=1 SV=1	PTPA	Down	0.4815621734046626
A0A8V0Z310	6	Adenylate kinase 2, mitochondrial OS=Gallus gallus OX=9031 GN=AK2 PE=1 SV=1	AK2	Down	0.5073391814722826
A0A8V0XHF1	6	Proteasome activator complex subunit 1 OS=Gallus gallus OX=9031 GN=PSME1 PE=3 SV=1	PSME1	Down	0.6283808556012304
A0A8V1AHP5	6	Myosin, heavy chain 10, non-muscle OS=Gallus gallus OX=9031 GN=MYH10 PE=1 SV=1	MYH10	Down	0.6167744837796741
A0A8V0ZKI8	6	LDL receptor related protein 6 OS=Gallus gallus OX=9031 GN=LRP6 PE=4 SV=1	LRP6	Up	1.5266285358199985
A0A8V1A3D8	6	Coatomer subunit gamma OS=Gallus gallus OX=9031 GN=COPG1 PE=1 SV=1	COPG1	Down	0.5820893773122736
P18944	6	Cytochrome c oxidase subunit 2 OS=Gallus gallus OX=9031 GN=MT-CO2 PE=3 SV=1	MT-CO2	Down	0.5978083749822286
A0A8V0ZZ99	6	Annexin OS=Gallus gallus OX=9031 GN=ANXA2 PE=1 SV=1	ANXA2	Down	0.3832034109157096
A0A8V0YQC4	6	threonine--tRNA ligase OS=Gallus gallus OX=9031 GN=TARS PE=1 SV=1	TARS	Up	7.956640872764176
A0A8V1ABC9	6	Protein kinase C OS=Gallus gallus OX=9031 GN=PRKCA PE=1 SV=1	PRKCA	Up	1.6862777540903275
A0A3Q2UGT3	6	Cadherin 2 OS=Gallus gallus OX=9031 GN=CDH2 PE=1 SV=1	CDH2	Down	0.6654123195193644
A0A8V1A1T7	6	Ovomucin, alpha subunit OS=Gallus gallus OX=9031 GN=OVOA PE=1 SV=1	OVOA	Down	0.03113880573799373
H9L0D7	6	Wiskott-Aldrich syndrome protein family member OS=Gallus gallus OX=9031 GN=WASF2 PE=1 SV=2	WASF2	Down	0.6534766371126379
A0A1D5PL45	6	Adenylosuccinate synthetase isozyme 2 OS=Gallus gallus OX=9031 GN=ADSS2 PE=3 SV=1	ADSS2	Down	0.38761010051947903
A0A8V1A4X0	6	2'-5' oligoadenylate synthase OS=Gallus gallus OX=9031 GN=OASL PE=1 SV=1	OASL	Down	0.5056657223796034
A0A8V0Y8W7	6	ATPase H+ transporting V1 subunit E1 OS=Gallus gallus OX=9031 GN=ATP6V1E1 PE=1 SV=1	ATP6V1E1	Down	0.629337731347256
P01012	6	Ovalbumin OS=Gallus gallus OX=9031 GN=SERPINB14 PE=1 SV=2	SERPINB14	Down	0.07179883534214243
A0A8V0XS64	6	G protein subunit gamma 10 OS=Gallus gallus OX=9031 GN=GNG10 PE=1 SV=1	GNG10	Down	0.4994904755523976
A0A8V1A7D7	6	serine--tRNA ligase OS=Gallus gallus OX=9031 GN=SARS1 PE=1 SV=1	SARS1	Down	0.6468818202762141
A0A8V0ZHE8	6	Voltage-dependent anion-selective channel protein 2 OS=Gallus gallus OX=9031 GN=VDAC2 PE=1 SV=1	VDAC2	Down	0.6457258956822196
P09244	6	Tubulin beta-7 chain OS=Gallus gallus OX=9031 PE=2 SV=1	--	Down	0.6595014655037602
A0A8V0ZPJ9	6	Isocitrate dehydrogenase [NADP] OS=Gallus gallus OX=9031 GN=IDH1 PE=1 SV=1	IDH1	Down	0.5460667455643621
P42558	6	GTP-binding nuclear protein Ran OS=Gallus gallus OX=9031 GN=RAN PE=2 SV=1	RAN	Down	0.6003670279669812
A0A1D5P8H7	6	Exportin 1 OS=Gallus gallus OX=9031 GN=XPO1 PE=1 SV=1	XPO1	Down	0.5150612986852026
A0A8V1AG56	6	Protein Wnt OS=Gallus gallus OX=9031 GN=WNT5A PE=3 SV=1	WNT5A	Up	2.7786579076145315
F1NQ70	6	Uncharacterized protein OS=Gallus gallus OX=9031 GN=DNAI2 PE=1 SV=3	DNAI2	Down	0.6475072660247184
