Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00004 ATPase family associated with various cellular activities (AAA),3,18,636,2004,0.53,0.20905616314993591,0.68,A0A8V0Y9B4 A0A8V0ZH96 F1NU79
"PF00006 ATP synthase alpha/beta family, nucleotide-binding domain",3,7,636,2004,1.35,0.6859676662222065,0.16,A0A8V1A624 A0A1D5PP57 A0A8V0Z6U6
PF00007 Cystine-knot domain,2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V0ZE58 A0A8V0ZZC5
PF00008 EGF-like domain,9,30,636,2004,0.95,1.0,-0.0,A0A8V0Z8V4 A0A8V0YQ88 A0A8V0ZHX5 A0A8V0YDU6 A0A8V0ZUU4 A0A8V0YVP9 A0A8V0YID0 E1C0K5 P25155
PF00009 Elongation factor Tu GTP binding domain,2,6,636,2004,1.05,1.0,-0.0,A0A1D5PYQ3 P84172
PF00013 KH domain,2,5,636,2004,1.26,0.6552174647980384,0.18,A0A8V1A0C9 A0A1D5PSI3
PF00014 Kunitz/Bovine pancreatic trypsin inhibitor domain,2,10,636,2004,0.63,0.5183928520754343,0.29,A0A8V0ZGF6 A0A8V1AFR2
PF00017 SH2 domain,7,20,636,2004,1.1,0.8101415673635366,0.09,A0A8V0YFT7 A0A8V1A9R2 A0A8V0XHT1 A0A3Q3ACS4 A0A8V1A7R0 A0A1I7Q3Z0 A0A8V0ZEJ3
PF00018 SH3 domain,8,27,636,2004,0.93,1.0,-0.0,A0A8V0YBZ6 Q8AXV0 A0A8V0XHT1 A0A3Q2TSS2 A0A1L1RP76 A0A8V0XPM1 A0A1I7Q3Z0 A0A3Q2TZS5
PF00019 Transforming growth factor beta like domain,4,12,636,2004,1.05,1.0,-0.0,A0A8V1AF44 A0A8V1ADF6 A0A8V0YSE9 A0A1D5P0D7
PF00025 ADP-ribosylation factor family,5,11,636,2004,1.43,0.3406485008970059,0.47,Q5ZKR9 A0A8V0Z193 A0A1D5PWK2 A0A8V1A1Y4 F1NN08
PF00028 Cadherin domain,8,21,636,2004,1.2,0.6377378615990215,0.2,A0A3Q2UGT3 A0A8V0Y478 A0A8V0YDU6 A0A8V0Y4T8 A0A8V0ZUU4 A0A8V0YHL6 A0A8V0Y103 A0A8V0X381
PF00036 EF hand,2,4,636,2004,1.58,0.595859299398018,0.22,P24479 A0A3Q3B0H3
PF00040 Fibronectin type II domain,2,10,636,2004,0.63,0.5183928520754343,0.29,A0A8V0ZRV9 A0A8V0YDD6
PF00041 Fibronectin type III domain,21,49,636,2004,1.35,0.11887324792534654,0.92,A0A8V0YDT5 A0A1D5PBZ8 A0A8V1AAN6 A0A1D5P6T3 A0A8V0Z153 A0A8V0YQ88 Q8AV58 Q03696 A0A1D5P8I8 A0A8V0XTF7 A0A8V0Y828 A0A8V0XXK8 A0A8V1AFR2 A0A8V0Z7E5 A0A8V0XX41 A0A8V0YDD6 P33005 A0A8V0YRG2 A0A8V0XJE9 A0A8V0ZH14 A0A8V1A3I2
PF00042 Globin,4,5,636,2004,2.52,0.037656577712836314,1.42,P01994 A0A8V0XF06 A0A8V0XM21 A0A8V0Z399
PF00047 Immunoglobulin domain,5,6,636,2004,2.63,0.014083526100249079,1.85,A0A8V0ZZZ5 A0A8V0YYZ7 A0A8V0XEJ0 Q03696 P01875
PF00050 Kazal-type serine protease inhibitor domain,3,8,636,2004,1.18,0.7142206169671643,0.15,A0A8V0YPM0 P10184 A0A8V0YW85
PF00051 Kringle domain,2,7,636,2004,0.9,1.0,-0.0,A0A8V1A3H9 P15120
PF00052 Laminin B (Domain IV),2,9,636,2004,0.7,0.7276791650671183,0.14,A0A8V0XDR8 A0A8V0XIV7
PF00053 Laminin EGF domain,4,21,636,2004,0.6,0.24666419364021214,0.61,A0A8V0XDR8 A0A8V0XIV7 A0A8V0Z3Q9 A0A8V0ZUU4
PF00054 Laminin G domain,3,13,636,2004,0.73,0.7657817185470694,0.12,A0A8V0XDR8 A0A8V0XIV7 A0A8V0YVP9
PF00055 Laminin N-terminal (Domain VI),2,13,636,2004,0.48,0.24761550381280345,0.61,A0A8V0XDR8 A0A8V0XIV7
PF00059 Lectin C-type domain,2,13,636,2004,0.48,0.24761550381280345,0.61,A0A8V0ZRV9 Q9PRS8
PF00061 Lipocalin / cytosolic fatty-acid binding protein family,3,7,636,2004,1.35,0.6859676662222065,0.16,A0A8V0ZWM8 Q8QFM7 A0A1D5NW85
PF00063 Myosin head (motor domain),5,13,636,2004,1.21,0.5646426067022621,0.25,A0A8V0YDF1 A0A8V0XBD4 A0A1D5PM19 A0A8V1AHP5 A0A8V0YG88
