Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF01400 Astacin (Peptidase family M12A)	2	2	210	2004	9.54	0.010934197506138325	1.96	A0A8V0ZF83 A0A8V0Y070	3.2539892662307865
PF17887 Jak1 pleckstrin homology-like domain	2	2	210	2004	9.54	0.010934197506138325	1.96	A0A8V1A9R2 A0A8V0ZSN8	3.2539892662307865
PF02351 GDNF/GAS1 domain	2	2	210	2004	9.54	0.010934197506138325	1.96	A0A8V0Y999 A0A8V0YGL6	3.2539892662307865
PF07474 G2F domain	3	3	210	2004	9.54	0.0011360205201173654	2.94	A0A8V0ZAP5 A0A8V0Y357 A0A8V0ZBR8	3.2539892662307865
PF18377 FERM F2 acyl-CoA binding protein-like domain	2	2	210	2004	9.54	0.010934197506138325	1.96	A0A8V1A9R2 A0A8V0ZSN8	3.2539892662307865
PF18379 FERM F1 ubiquitin-like domain	2	2	210	2004	9.54	0.010934197506138325	1.96	A0A8V1A9R2 A0A8V0ZSN8	3.2539892662307865
PF09175 Vitellinogen, beta-sheet shell	4	5	210	2004	7.63	0.0005391788427211429	3.27	A0A8V0ZG90 A0A8V0Z932 A0A8V0ZF17 A0A8V0ZDT7	2.931683057059806
PF00135 Carboxylesterase family	3	4	210	2004	7.16	0.004191523988035787	2.38	A0A8V0Y4Q2 A0A8V0Y9F8 A0A3Q2UGW3	2.8399595874895316
PF08686 PLAC (protease and lacunin) domain	4	6	210	2004	6.36	0.001484695907599114	2.83	A0A8V0YRN1 A0A8V0YUF6 A0A8V0ZGF6 A0A1D5NZ82	2.669026765509631
PF09172 Vitellinogen, open beta-sheet	4	6	210	2004	6.36	0.001484695907599114	2.83	A0A8V0ZG90 A0A8V0Z932 A0A8V0ZF17 A0A8V0ZDT7	2.669026765509631
PF00047 Immunoglobulin domain	3	6	210	2004	4.77	0.017855387504377693	1.75	P01875 A0A8V0ZZZ5 A0A8V0XEJ0	2.2539892662307865
PF19030 Thrombospondin type 1 domain	6	13	210	2004	4.4	0.0011256671287222934	2.95	A0A8V0YUF6 A0A8V0XVV0 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZCF7	2.137503523749935
PF19236 ADAMTS cysteine-rich domain	5	11	210	2004	4.34	0.0032826138409244583	2.48	A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZCF7	2.1176950426697547
PF00092 von Willebrand factor type A domain	7	19	210	2004	3.52	0.002104593027902065	2.68	A0A8V0ZHX5 A0A8V0YIR4 A0A8V1AFR2 A0A8V0YE20 A0A1D5P8I8 A0A8V0X9L0 A0A8V0XXK8	1.8155754288625725
PF00090 Thrombospondin type 1 domain	8	22	210	2004	3.47	0.0011096526020097006	2.95	A0A8V0YUF6 A0A8V0XVV0 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZAP5 A0A8V0ZGF6 A0A8V0ZCF7 A0A8V0YHS1	1.7949356628035362
PF12662 Complement Clr-like EGF-like	4	11	210	2004	3.47	0.02138124164151683	1.67	A0A8V0ZAP5 A0A8V0Y357 A0A8V0YDT4 A0A8V0YIR4	1.7949356628035362
PF14670 Coagulation Factor Xa inhibitory site	6	17	210	2004	3.37	0.00565995276439614	2.25	A0A8V0ZKI8 A0A8V0YIR4 A0A8V0YE20 A0A8V0Y070 A0A8V0Y6D2 A0A8V0ZF83	1.752748591407134
PF07645 Calcium-binding EGF domain	8	25	210	2004	3.05	0.002840792345234318	2.55	A0A8V0ZBR8 A0A8V0YIR4 A0A8V0YDT4 A0A8V0YE20 A0A8V0XPE8 A0A8V0Y357 A0A8V0ZAP5 A0A8V0Y6D2	1.6088092426755238
PF07714 Protein tyrosine and serine/threonine kinase	7	22	210	2004	3.04	0.005413207110365753	2.27	A0A1D5P6T3 A0A8V0ZSN8 A0A8V1A3N1 A0A8V1A9R2 A0A1D5PT01 A0A8V0YRG2 A0A1I7Q3Z0	1.6040713236688608
PF00041 Fibronectin type III domain	13	49	210	2004	2.53	0.0010790353653478083	2.97	A0A1D5P6T3 A0A8V0XTF7 A0A8V0YQ88 A0A8V1AFR2 A0A1D5P8I8 A0A8V1AAN6 A0A8V0YDD6 A0A8V0YDT5 A0A1D5PBZ8 P33005 A0A8V0YRG2 A0A8V0XJE9 A0A8V0XXK8	1.3391373849195853
