KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00010 Glycolysis / Gluconeogenesis,13,33,490,1633,1.31,0.2511954068368814,0.6,A0A8V0ZCN9 A0A8V0ZWH3 A0A8V1ABW1 P00356 A0A8V0X6I8 E1BTT8 Q5ZLN1 A0A8V0ZM20 A0A8V1A4P2 A0A8V0Z0S2 A0A8V1AIR0 A0A1L1RQ91 A0A8V0X9K8
map00020 Citrate cycle (TCA cycle),5,22,490,1633,0.76,0.6399006650367391,0.19,A0A8V0ZWH3 A0A8V0YGM0 A0A1D5PQV3 A0A8V0Y9B0 A0A8V0ZPJ9
map00030 Pentose phosphate pathway,7,15,490,1633,1.56,0.16484324202074652,0.78,A0A8V0X6I8 A0A8V0YZ27 A0A8V0YBE2 A0A8V1A4P2 A0A8V1AIR0 A0A1L1RQ91 A0A1D5NWL4
map00040 Pentose and glucuronate interconversions,5,12,490,1633,1.39,0.36010548549822463,0.44,A0A8V0YRQ5 A0A8V0XM79 E1BVD1 A0A8V0YXI7 A0A8V0XMD4
map00051 Fructose and mannose metabolism,6,15,490,1633,1.33,0.40340830658947213,0.39,A0A8V0YRQ5 A0A8V0X6I8 A0A8V0ZM20 E1BVD1 A0A8V1AIR0 A0A8V0XUH8
map00052 Galactose metabolism,6,20,490,1633,1.0,1.0,-0.0,A0A8V0YRQ5 A0A8V0YZJ3 A0A8V0ZM20 E1BVD1 A0A8V1ALI6 A0A8V1A4P2
map00053 Ascorbate and aldarate metabolism,3,7,490,1633,1.43,0.4347800797809019,0.36,A0A8V0YXI7 A0A8V1ABW1 A0A8V0X9K8
map00062 Fatty acid elongation,5,11,490,1633,1.51,0.321854395798053,0.49,A0A8V0XIM8 A0A8V0Y492 A0A8V0Z420 A0A8V0YB71 A0A8V0Z2X9
map00071 Fatty acid degradation,10,23,490,1633,1.45,0.17114930194091116,0.77,A0A8V0Y4M6 A0A8V0YB71 A0A8V0ZAL2 A0A8V1ABW1 A0A8V0XH76 A0A8V0Y492 A0A8V0XIM8 A0A8V0XE68 A0A8V0YYX3 A0A8V0X9K8
map00190 Oxidative phosphorylation,27,76,490,1633,1.18,0.3053210901715324,0.52,A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V0Z6U6 A0A8V0Z2Y8 E1C658 A0A8V1A840 A0A8V0XCD2 A0A8V0X535 A0A8V1A4N7 A0A1D5PP57 A0A8V0Y8W7 A0A8V0YC52 A0A8V0Z863 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A8V1A3B4 A0A8V1A624 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z382 A0A8V0Z5I7 A0A8V0ZC01 Q9YH14 A0A8V0Y6Z6 P18944 A0A8V0ZI98
map00220 Arginine biosynthesis,3,9,490,1633,1.11,1.0,-0.0,A0A8V0ZJT8 A0A8V0X354 A0A1D5NT61
map00230 Purine metabolism,18,40,490,1633,1.5,0.05278508329161345,1.28,A0A8V0ZJD3 A0A1D5PSI2 A0A8V1A9L3 A0A8V1AJZ1 A0A8V0XRZ6 A0A8V0XWG1 A0A8V0XAH5 A0A8V0XTM2 A0A8V0YC20 O57535 A0A8V0XC92 A0A8V0XGF5 A0A8V1A4P2 A0A8V1A8Y2 A0A1D5PL45 A0A8V0XY43 A0A8V1AC34 A0A8V0Z310
map00240 Pyrimidine metabolism,5,20,490,1633,0.83,0.8071772201200544,0.09,A0A1D5PMN7 O57535 A0A8V0XGF5 A0A8V0XC92 A0A8V1A8Y2
"map00250 Alanine, aspartate and glutamate metabolism",5,14,490,1633,1.19,0.7700327164439152,0.11,A0A1D5NT61 A0A8V0YC20 A0A8V0ZJT8 A0A1D5PL45 A0A1D5PXI1
"map00260 Glycine, serine and threonine metabolism",2,4,490,1633,1.67,0.5879915288576756,0.23,Q5ZLN1 A0A8V0X9K8
map00261 Monobactam biosynthesis,2,2,490,1633,3.33,0.08990805446480496,1.05,A0A8V0ZJD3 A0A8V0XTM2
map00270 Cysteine and methionine metabolism,5,24,490,1633,0.69,0.37798343906971005,0.42,A0A8V0YPT3 E1BTT8 A0A1D5NY06 A0A8V0Z4R1 A0A8V0ZJT8
"map00280 Valine, leucine and isoleucine degradation",9,28,490,1633,1.07,0.8359702586853411,0.08,A0A8V0YB71 A0A8V1ABW1 A0A8V0XH76 A0A8V0Y492 A0A8V0XIM8 A0A8V0ZTF7 A0A8V0XVT5 A0A8V0XE68 A0A8V0X9K8
map00310 Lysine degradation,7,16,490,1633,1.46,0.272515698643813,0.56,A0A8V1ABW1 A0A8V0XH76 A0A8V0XIM8 A0A8V0Y492 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8
map00330 Arginine and proline metabolism,9,16,490,1633,1.87,0.02832662644983023,1.55,F1NXR0 A0A8V1ABW1 A0A1D5NY06 A0A8V0ZHL4 A0A8V0ZJT8 A0A8V0X354 A0A8V0X7J6 A0A1D5PXI1 A0A8V0X9K8
map00340 Histidine metabolism,5,8,490,1633,2.08,0.05756200430400776,1.24,A0A8V0ZCN9 A0A8V1ABW1 A0A1D5P692 A0A8V0X7J6 A0A8V0X9K8
map00350 Tyrosine metabolism,2,8,490,1633,0.83,1.0,-0.0,A0A8V0ZCN9 A0A8V0ZJT8
map00360 Phenylalanine metabolism,2,5,490,1633,1.33,0.6395874331628713,0.19,A0A8V0ZCN9 A0A8V0ZJT8
map00380 Tryptophan metabolism,7,15,490,1633,1.56,0.16484324202074652,0.78,A0A8V1ABW1 A0A8V0XH76 A0A8V0XIM8 A0A8V0Y492 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8
map00410 beta-Alanine metabolism,7,13,490,1633,1.79,0.07115987636899429,1.15,A0A8V0ZCN9 A0A8V1ABW1 A0A1D5PMN7 A0A8V0Y492 A0A8V0XVT5 A0A8V0X7J6 A0A8V0X9K8
map00450 Selenocompound metabolism,2,7,490,1633,0.95,1.0,-0.0,A0A8V0ZJD3 A0A8V0XTM2
map00480 Glutathione metabolism,11,29,490,1633,1.26,0.4130509599187988,0.38,A0A8V0YU69 A0A8V0YZ27 A0A1D5NY06 A0A8V0YGN2 A0A8V0ZPJ9 A0A8V0ZJE0 A0A8V0YEN4 A0A1D5NT70 A0A8V1A0C2 A0A8V0X7B2 A0A8V0XB81
map00500 Starch and sucrose metabolism,5,11,490,1633,1.51,0.321854395798053,0.49,A0A8V0ZLV3 A0A8V0ZM20 A0A8V1A4P2 A0A8V1ALI6 A0A1L1RQ91
map00510 N-Glycan biosynthesis,3,27,490,1633,0.37,0.03299965395388261,1.48,Q92182 A0A8V0Z0B9 A0A8V0Y9J8
map00511 Other glycan degradation,3,15,490,1633,0.67,0.5734454894872427,0.24,F1NTQ2 A0A8V0YZJ3 A0A8V1ABA3
map00512 Mucin type O-glycan biosynthesis,3,21,490,1633,0.48,0.15052055545543225,0.82,A0A8V0YE66 A0A8V0Z6S1 A0A8V1A758
map00513 Various types of N-glycan biosynthesis,3,25,490,1633,0.4,0.048987567799614135,1.31,F1NTQ2 A0A8V0Z0B9 A0A8V0Y9J8
map00514 Other types of O-glycan biosynthesis,3,29,490,1633,0.34,0.0225457936775501,1.65,Q92182 A0A8V0Z6S1 A0A8V0YE66
map00520 Amino sugar and nucleotide sugar metabolism,7,23,490,1633,1.01,1.0,-0.0,A0A8V0YA67 F1NTQ2 A0A8V0ZM20 A0A8V1A4P2 A0A8V0YXI7 A0A1L1RQ91 A0A8V0XUH8
map00531 Glycosaminoglycan degradation,4,15,490,1633,0.89,1.0,-0.0,F1NTQ2 A0A8V0ZIF0 A0A8V0YZJ3 A0A8V0YC89
map00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,4,16,490,1633,0.83,0.7890617102323445,0.1,E1C2T4 A0A8V0Z938 E1C3Z8 A0A8V0YBC7
map00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin,4,15,490,1633,0.89,1.0,-0.0,F1NGB8 Q76KB2 A0A8V0ZXC9 A0A8V0Z938
