GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,azurophil granule lumen,6,GO:0035578,8,56,257,2784,1.55,0.23684823493416282,0.63,A0A8V0XXM5 F1NTQ2 A0A8V0X7P4 A0A8V0YZJ3 A0A8V0YC89 A0A8V0Z086 Q5ZJ73 A0A8V1A6Z0
Cellular Component,primary lysosome,8,GO:0005766,11,85,257,2784,1.4,0.2497704861863884,0.6,A0A8V0XXM5 F1NTQ2 A0A8V0X7P4 A0A8V0YZJ3 A0A8V0YC89 A0A8V0Z086 A0A8V0YGN2 Q5ZJ73 A0A8V1A6Z0 A0A8V1ALI6 A0A8V1ACV0
Cellular Component,azurophil granule,9,GO:0042582,11,85,257,2784,1.4,0.2497704861863884,0.6,A0A8V0XXM5 F1NTQ2 A0A8V0X7P4 A0A8V0YZJ3 A0A8V0YC89 A0A8V0Z086 A0A8V0YGN2 Q5ZJ73 A0A8V1A6Z0 A0A8V1ALI6 A0A8V1ACV0
Cellular Component,leading edge membrane,2,GO:0031256,6,40,257,2784,1.62,0.26163868413430147,0.58,A0A1D5P6T3 A0A8V0ZZZ5 A0A8V0XBD4 A0A1D5PBZ8 A0A1I7Q3Z0 A0A8V0YVI8
Cellular Component,clathrin adaptor complex,4,GO:0030131,2,11,257,2784,1.97,0.2698628244095916,0.57,A0A8V0ZRP2 A0A8V0ZYI9
Cellular Component,protein kinase complex,5,GO:1902911,2,11,257,2784,1.97,0.2698628244095916,0.57,A0A8V0X1T3 A0A1D5P6T3
Cellular Component,inclusion body,3,GO:0016234,2,11,257,2784,1.97,0.2698628244095916,0.57,A0A8V0ZYI9 A0A8V0YVI8
Cellular Component,filamentous actin,2,GO:0031941,2,11,257,2784,1.97,0.2698628244095916,0.57,A0A3Q2UHS2 A0A8V0XBD4
Cellular Component,endoplasmic reticulum membrane,4,GO:0005789,12,176,257,2784,0.74,0.28397084833734143,0.55,F1NGB8 A0A8V0X4D8 A0A8V0YLZ5 F1NBR3 A0A8V0ZUA4 A0A1L4FLS3 A0A8V0XPN5 Q5ZJW4 A0A8V0YGN2 A0A8V0ZXC9 A0A8V0XKW4 P28687
Cellular Component,endoplasmic reticulum subcompartment,3,GO:0098827,12,178,257,2784,0.73,0.2840636441182029,0.55,F1NGB8 A0A8V0X4D8 A0A8V0YLZ5 F1NBR3 A0A8V0ZUA4 A0A1L4FLS3 A0A8V0XPN5 Q5ZJW4 A0A8V0YGN2 A0A8V0ZXC9 A0A8V0XKW4 P28687
Cellular Component,postsynaptic specialization,3,GO:0099572,9,69,257,2784,1.41,0.2877364954579961,0.54,Q0PVE4 A0A8V1A3S8 A0A3Q2UGW3 A0A1D5PSI3 Q00649 A0A8V0YDT5 A0A1L1RKY9 A0A1I7Q3Z0 A0A8V0ZDW7
Cellular Component,nucleolus,5,GO:0005730,9,139,257,2784,0.7,0.29393107638848537,0.53,A0A8V0ZJ97 A0A8V0YFT7 A0A1D5PBU5 A0A8V0ZAP0 A0A8V0Z3U6 A0A8V0XMI5 R4GGQ4 Q6ITC7 A0A8V1AEM5
Cellular Component,membrane microdomain,3,GO:0098857,12,100,257,2784,1.3,0.2949344250950738,0.53,A0A8V0ZKI8 A0A1D5P6T3 A0A8V0X4D8 A0A8V0ZZZ5 Q05744 A0A8V0X637 A0A8V0X7P4 A0A8V0ZY91 A0A8V0XMI5 A0A8V0ZJJ7 A0A8V1ABC9 A0A1I7Q3Z0
Cellular Component,membrane raft,4,GO:0045121,12,100,257,2784,1.3,0.2949344250950738,0.53,A0A8V0ZKI8 A0A1D5P6T3 A0A8V0X4D8 A0A8V0ZZZ5 Q05744 A0A8V0X637 A0A8V0X7P4 A0A8V0ZY91 A0A8V0XMI5 A0A8V0ZJJ7 A0A8V1ABC9 A0A1I7Q3Z0
Cellular Component,nuclear outer membrane-endoplasmic reticulum membrane network,3,GO:0042175,13,187,257,2784,0.75,0.29736203528680266,0.53,F1NGB8 A0A8V0X4D8 A0A8V0YIC3 F1NBR3 A0A8V0ZUA4 A0A8V0YLZ5 A0A1L4FLS3 A0A8V0XPN5 Q5ZJW4 A0A8V0YGN2 A0A8V0ZXC9 A0A8V0XKW4 P28687
Cellular Component,ribonucleoprotein complex,2,GO:1990904,13,189,257,2784,0.75,0.29749009819273625,0.53,A0A8V0ZH96 A0A8V0ZJ97 A0A8V0YTK5 A0A1D5PSI3 A0A8V0XPN5 A0A8V1A8R2 A0A8V0ZSX6 A0A8V0Z865 A0A8V0XE48 Q6ITC7 A0A1L1S0X5 A0A8V0ZEJ3 A0A8V0ZE30
Cellular Component,extrinsic component of organelle membrane,3,GO:0031312,2,12,257,2784,1.81,0.30552057280761324,0.51,A0A8V1AEJ4 A0A8V0ZAP0
