KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map00052 Galactose metabolism,2,20,148,1633,1.1,0.7015410436090687,0.15,A0A8V1ALI6 A0A8V0YZJ3
map00190 Oxidative phosphorylation,3,76,148,1633,0.44,0.14898648723289556,0.83,A0A8V0ZRZ8 A0A8V0X535 A0A8V0XCD2
map00230 Purine metabolism,3,40,148,1633,0.83,1.0,-0.0,A0A8V0ZJD3 A0A8V1A9L3 A0A8V0YC20
"map00250 Alanine, aspartate and glutamate metabolism",3,14,148,1633,2.36,0.12669451931885373,0.9,A0A1D5NT61 A0A1D5PXI1 A0A8V0YC20
map00330 Arginine and proline metabolism,4,16,148,1633,2.76,0.049778587770322014,1.3,F1NXR0 A0A8V0ZHL4 A0A1D5PXI1 A0A8V0X7J6
map00340 Histidine metabolism,2,8,148,1633,2.76,0.1591641410810687,0.8,A0A8V0X7J6 A0A1D5P692
map00410 beta-Alanine metabolism,2,13,148,1633,1.7,0.3325208006661679,0.48,A0A1D5PMN7 A0A8V0X7J6
map00510 N-Glycan biosynthesis,2,27,148,1633,0.82,1.0,-0.0,Q92182 A0A8V0Z0B9
map00511 Other glycan degradation,3,15,148,1633,2.21,0.14834929176429032,0.83,F1NTQ2 A0A8V0YZJ3 A0A8V1ABA3
map00513 Various types of N-glycan biosynthesis,2,25,148,1633,0.88,1.0,-0.0,F1NTQ2 A0A8V0Z0B9
map00514 Other types of O-glycan biosynthesis,2,29,148,1633,0.76,1.0,-0.0,Q92182 A0A8V0Z6S1
map00520 Amino sugar and nucleotide sugar metabolism,2,23,148,1633,0.96,1.0,-0.0,A0A8V0YXI7 F1NTQ2
map00531 Glycosaminoglycan degradation,4,15,148,1633,2.94,0.04007542953607592,1.4,F1NTQ2 A0A8V0ZIF0 A0A8V0YZJ3 A0A8V0YC89
map00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,3,16,148,1633,2.07,0.17109637730118538,0.77,A0A8V0Z938 E1C3Z8 E1C2T4
map00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin,3,15,148,1633,2.21,0.14834929176429032,0.83,F1NGB8 A0A8V0Z938 A0A8V0ZXC9
map00600 Sphingolipid metabolism,5,15,148,1633,3.68,0.008122152691237778,2.09,A0A8V0X637 A0A8V0XXM5 A0A8V1ABA3 A0A8V0WZN3 A0A8V0YZJ3
map00603 Glycosphingolipid biosynthesis - globo and isoglobo series,3,9,148,1633,3.68,0.04075454771472922,1.39,A0A8V0YC98 F1NTQ2 A0A8V1AFP1
map00604 Glycosphingolipid biosynthesis - ganglio series,2,11,148,1633,2.01,0.2626590979425752,0.58,F1NTQ2 A0A8V0YZJ3
map00920 Sulfur metabolism,2,9,148,1633,2.45,0.19299545347176456,0.71,A0A8V0ZJD3 A0A8V1AEM5
map00970 Aminoacyl-tRNA biosynthesis,2,19,148,1633,1.16,0.6880524077484733,0.16,A0A8V0YQC4 A0A8V1A7Y9
map00983 Drug metabolism - other enzymes,3,22,148,1633,1.5,0.44311966436296507,0.35,A0A8V0Y9F8 A0A1D5PMN7 A0A8V0YGN2
map01100 Metabolic pathways,42,502,148,1633,0.92,0.5753428193722347,0.24,A0A8V1A9L3 A0A8V0ZRZ8 A0A8V1ABA3 A0A8V0XXM5 A0A8V0YC89 A0A8V0Z4R1 A0A8V0YGN2 A0A8V0ZSD7 A0A8V0ZHL4 A0A8V0ZIF0 A0A8V0Y9B0 A0A8V1ACH5 A0A8V0YC98 A0A8V1AEM5 A0A1D5PXI1 F1NXR0 A0A8V0XCD2 A0A8V0X637 F1NTQ2 A0A8V0X535 E1C3Z8 A0A8V0WZN3 A0A8V0ZXC9 A0A8V0X7J6 E1C2T4 A0A8V0Z0B9 A0A8V0Z6S1 A0A1D5P692 A0A8V0YZJ3 A0A8V1ALI6 A0A8V0YXI7 A0A8V0YYQ9 A0A8V1AFP1 Q92182 A0A8V0Y4M6 A0A8V0ZJD3 F1NGB8 A0A1D5NT61 A0A1D5PMN7 A0A8V0YC20 A0A8V0YBE2 A0A8V0Z938
map01200 Carbon metabolism,2,58,148,1633,0.38,0.1625043647844614,0.79,A0A8V0Y9B0 A0A1D5NT61
map01240 Biosynthesis of cofactors,3,40,148,1633,0.83,1.0,-0.0,A0A8V0YXI7 A0A8V0YC20 A0A8V0Z4R1
map03010 Ribosome,5,55,148,1633,1.0,1.0,-0.0,A0A8V1A8R2 A0A8V0XPN5 A0A8V0Z865 Q6ITC7 A0A1L1S0X5
map03040 Spliceosome,3,34,148,1633,0.97,1.0,-0.0,A0A8V0ZJ97 A0A1D5PSI3 A0A8V0XXW6
map03050 Proteasome,2,36,148,1633,0.61,0.7664817076892119,0.12,A0A8V0ZH96 A0A8V0ZY42
map03320 PPAR signaling pathway,2,16,148,1633,1.38,0.6502910586341955,0.19,A0A8V0Y4M6 A0A8V1AHP7
map04010 MAPK signaling pathway,4,59,148,1633,0.75,0.8158457560614056,0.09,A0A1D5P6T3 Q00649 A0A3Q2TU24 A0A8V1ABC9
map04012 ErbB signaling pathway,2,18,148,1633,1.23,0.67487750943723,0.17,A0A1I7Q3Z0 A0A8V1ABC9
map04014 Ras signaling pathway,4,61,148,1633,0.72,0.6503278368494776,0.19,A0A1D5P6T3 A0A8V0YIC3 A0A3Q2TU24 A0A8V1ABC9
map04015 Rap1 signaling pathway,6,56,148,1633,1.18,0.6341198650602657,0.2,A0A1D5P6T3 A0A3Q2TU24 Q0PVE4 A0A8V1ABC9 A0A8V0Y699 A0A1I7Q3Z0
map04020 Calcium signaling pathway,7,57,148,1633,1.36,0.349833406016838,0.46,A0A3Q2TU24 A0A8V1A3H9 A0A8V1A3N1 A0A8V0XEJ0 A0A8V1ABC9 A0A8V0XL71 A0A8V0XDT2
map04022 cGMP-PKG signaling pathway,2,35,148,1633,0.63,0.764579918432343,0.12,A0A1D5P6T3 A0A8V0XE48
map04060 Cytokine-cytokine receptor interaction,4,26,148,1633,1.7,0.28719944490299326,0.54,E1C733 A0A8V0Y652 K9JA28 A0A1D5P0D7
map04061 Viral protein interaction with cytokine and cytokine receptor,2,8,148,1633,2.76,0.1591641410810687,0.8,A0A8V0Y652 E1C733
map04062 Chemokine signaling pathway,6,45,148,1633,1.47,0.29116600001972637,0.54,A0A8V0YFT7 A0A8V1A9R2 E1C733 A0A8V0XE48 A0A8V1A7R0 A0A1I7Q3Z0
map04064 NF-kappa B signaling pathway,6,25,148,1633,2.65,0.020781383515942206,1.68,A0A8V0XEJ0 P15120 A0A8V0YRF2 A0A8V0ZEJ3 A0A8V0XL71 A0A8V0XDT2
map04066 HIF-1 signaling pathway,3,36,148,1633,0.92,1.0,-0.0,A0A1D5P6T3 A0A8V1A7R0 A0A8V1ABC9
map04068 FoxO signaling pathway,2,23,148,1633,0.96,1.0,-0.0,A0A1D5P6T3 A0A8V1A7R0
map04070 Phosphatidylinositol signaling system,2,20,148,1633,1.1,0.7015410436090687,0.15,A0A8V1ACH5 A0A8V1ABC9
map04071 Sphingolipid signaling pathway,4,31,148,1633,1.42,0.5195617952451506,0.28,A0A8V1ABC9 A0A8V0XE48 Q05744 A0A8V0X637
map04072 Phospholipase D signaling pathway,6,50,148,1633,1.32,0.4496548782028002,0.35,A0A1D5P6T3 A0A3Q2TU24 A0A8V0XEJ0 A0A8V1ABC9 A0A8V0XL71 A0A8V0XDT2
map04080 Neuroactive ligand-receptor interaction,2,25,148,1633,0.88,1.0,-0.0,A0A8V0XUJ8 A0A8V0YWI5
map04140 Autophagy - animal,4,29,148,1633,1.52,0.3271048967339609,0.49,A0A8V0ZR93 A0A8V0ZSX6 Q05744 A0A8V0XMI5
map04142 Lysosome,17,77,148,1633,2.44,0.00031115567669117437,3.51,A0A8V0ZSC5 Q05744 A0A8V1ABA3 A0A8V0X637 A0A8V0XXM5 F1NTQ2 A0A8V0XWD4 A0A8V0XEP8 A0A8V0YZJ3 A0A8V0YC89 A0A8V0Z086 A0A8V0ZSD7 A0A8V0ZIF0 A0A8V0YSF6 A0A8V1ALI6 A0A8V0YVB6 A0A8V0YC98
map04144 Endocytosis,7,116,148,1633,0.67,0.3128342869339813,0.5,A0A8V1A6B5 Q0PVE4 A0A8V0X8Q3 A0A8V0ZRP2 A0A1I7Q3Z0 A0A8V0X8D5 A0A8V0ZYI9
map04145 Phagosome,7,80,148,1633,0.97,1.0,-0.0,A0A8V0ZRV9 Q5ZJW4 A0A8V0XEJ0 A0A8V0X8Q3 A0A8V0XL71 A0A8V0X8D5 A0A8V0XDT2
map04150 mTOR signaling pathway,4,38,148,1633,1.16,0.7719366543863715,0.11,A0A8V0ZKI8 A0A1D5P6T3 A0A8V1AG56 A0A8V1ABC9
map04151 PI3K-Akt signaling pathway,13,111,148,1633,1.29,0.3044422404011538,0.52,A0A1D5P6T3 A0A3Q2TU24 A0A8V0ZSN8 A0A8V1A9R2 A0A8V1AAN6 A0A8V0XCW4 A0A8V0XDR8 A0A8V0YDD6 A0A8V0XEJ0 A0A8V1ABC9 A0A8V0XL71 A0A8V0XDT2 P02460
map04210 Apoptosis,6,44,148,1633,1.5,0.2823011415639858,0.55,Q05744 A0A8V0YRF2 A0A8V0XWD4 A0A8V0YVB6 A0A8V0XKW4 A0A8V0YWM3
map04212 Longevity regulating pathway - worm,2,28,148,1633,0.79,1.0,-0.0,A0A1D5P6T3 A0A8V0YGN2
map04214 Apoptosis - fly,3,14,148,1633,2.36,0.12669451931885373,0.9,A0A8V0XKW4 A0A8V0YWM3 A0A8V0YRF2
