KEGG pathway	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
map04142 Lysosome	17	77	148	1633	2.44	0.00031115567669117437	3.51	A0A8V0ZSC5 Q05744 A0A8V0X637 A0A8V0XXM5 A0A8V1ABA3 F1NTQ2 A0A8V0XWD4 A0A8V0XEP8 A0A8V0YZJ3 A0A8V0YC89 A0A8V0Z086 A0A8V0ZSD7 A0A8V0ZIF0 A0A8V0YSF6 A0A8V1ALI6 A0A8V0YVB6 A0A8V0YC98	1.2868811477881614
map04630 JAK-STAT signaling pathway	7	23	148	1633	3.36	0.003081892930046253	2.51	A0A3Q2TU24 A0A8V0YFT7 A0A8V0ZSN8 A0A8V1A9R2 A0A8V0Y652 A0A8V1A7R0 K9JA28	1.7484612330040354
map04974 Protein digestion and absorption	7	25	148	1633	3.09	0.005173894479948185	2.29	A0A8V0XXK8 A0A8V1AFR2 A0A1D5P8I8 A0A8V0ZY91 P01875 A0A8V0X9L0 P02460	1.6276068381296498
map04217 Necroptosis	10	47	148	1633	2.35	0.007546243832296679	2.12	A0A8V0YFT7 A0A1D5NT61 A0A8V0ZSN8 A0A8V0X637 A0A8V1A9R2 A0A1L4FLS3 A0A8V0XMI5 A0A8V0YRF2 A0A8V1A7R0 A0A8V0YWM3	1.232660756790275
map00600 Sphingolipid metabolism	5	15	148	1633	3.68	0.008122152691237778	2.09	A0A8V1ABA3 A0A8V0XXM5 A0A8V0X637 A0A8V0WZN3 A0A8V0YZJ3	1.8797057662822882
map04064 NF-kappa B signaling pathway	6	25	148	1633	2.65	0.020781383515942206	1.68	A0A8V0XEJ0 P15120 A0A8V0YRF2 A0A8V0ZEJ3 A0A8V0XL71 A0A8V0XDT2	1.4059923596758368
map04672 Intestinal immune network for IgA production	4	14	148	1633	3.15	0.03155455571081513	1.5	A0A8V0XEJ0 A0A8V0XL71 A0A8V1ACV0 A0A8V0XDT2	1.6553518286125541
map00531 Glycosaminoglycan degradation	4	15	148	1633	2.94	0.04007542953607592	1.4	F1NTQ2 A0A8V0ZIF0 A0A8V0YZJ3 A0A8V0YC89	1.5558161550616396
map00603 Glycosphingolipid biosynthesis - globo and isoglobo series	3	9	148	1633	3.68	0.04075454771472922	1.39	A0A8V0YC98 F1NTQ2 A0A8V1AFP1	1.8797057662822882
map00330 Arginine and proline metabolism	4	16	148	1633	2.76	0.049778587770322014	1.3	F1NXR0 A0A8V0ZHL4 A0A1D5PXI1 A0A8V0X7J6	1.4646682670034443
