Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF00932 Lamin Tail Domain	3	3	426	2004	4.7	0.009552601174147636	2.02	P13648 A0A3Q2U596 A0A8V0YY54	2.232660756790275
PF00568 WH1 domain	2	2	426	2004	4.7	0.04510449894024248	1.35	A0A3S5ZPV2 A0A8V0X6F7	2.232660756790275
PF00786 P21-Rho-binding domain	2	2	426	2004	4.7	0.04510449894024248	1.35	E1BS97 A0A8V0X6F7	2.232660756790275
PF02469 Fasciclin domain	2	2	426	2004	4.7	0.04510449894024248	1.35	A0A8V0YAT1 A0A8V0YP03	2.232660756790275
PF09007 EBP50, C-terminal	2	2	426	2004	4.7	0.04510449894024248	1.35	A0A8V1AJV5 A0A8V0YXB1	2.232660756790275
PF16746 BAR domain of APPL family	2	2	426	2004	4.7	0.04510449894024248	1.35	A0A8V0YBR8 A0A8V0X8U3	2.232660756790275
PF00042 Globin	4	5	426	2004	3.76	0.008392482875025494	2.08	P01994 A0A8V0XF06 A0A8V0XM21 A0A8V0Z399	1.9107326619029126
PF00108 Thiolase, N-terminal domain	3	4	426	2004	3.53	0.03215230829980138	1.49	A0A8V0XE68 A0A8V0YB71 A0A8V0XH76	1.8196681834964554
PF00334 Nucleoside diphosphate kinase	3	4	426	2004	3.53	0.03215230829980138	1.49	O57535 A0A8V0XGF5 A0A8V0YTD8	1.8196681834964554
PF00578 AhpC/TSA family	3	4	426	2004	3.53	0.03215230829980138	1.49	A0A1D5PBY3 A0A8V0YEN4 P0CB50	1.8196681834964554
PF02803 Thiolase, C-terminal domain	3	4	426	2004	3.53	0.03215230829980138	1.49	A0A8V0XE68 A0A8V0YB71 A0A8V0XH76	1.8196681834964554
PF15711 Interleukin-like EMT inducer	4	7	426	2004	2.69	0.04079080897529462	1.39	A0A8V0XAC3 A0A8V0YL67 A0A8V0YGM5 E1C5S9	1.4276061727818994
PF13499 EF-hand domain pair	10	22	426	2004	2.14	0.014272471647689184	1.85	F1NCA2 A0A3Q2TTG3 A0A3Q3B0H3 A0A1D5P2H5 A0A8V0XGU8 A0A8V0ZZL0 F1NHD8 A0A8V0ZZ91 Q5ZM44 A0A8V0XEJ2	1.0976107966264224
