Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00226 DnaJ domain,3,14,426,2004,1.01,1.0,-0.0,E1C599 A0A1L1RR91 A0A3Q2UAA1
PF00227 Proteasome subunit,5,15,426,2004,1.57,0.33651997323291855,0.47,F1NC02 A0A8V1A582 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63
PF00229 TNF(Tumour Necrosis Factor) family ,2,4,426,2004,2.35,0.20026428064504764,0.7,A0A8V1AAN2 A0A8V0Z3C0
PF00240 Ubiquitin family,3,8,426,2004,1.76,0.37834019058250923,0.42,A0A1D5P624 A0A3Q2TZD8 A0A8V1A4X0
PF00241 Cofilin/tropomyosin-type actin-binding protein,2,4,426,2004,2.35,0.20026428064504764,0.7,A0A8V0Z8Y2 A0A8V1A992
PF00248 Aldo/keto reductase family,2,6,426,2004,1.57,0.6134475564681955,0.21,E1BVD1 A0A8V0YRQ5
PF00270 DEAD/DEAH box helicase,4,13,426,2004,1.45,0.4926033383551165,0.31,A0A8V0X895 A0A8V0YZ41 A0A3S5ZPN3 A0A8V0YJ71
PF00271 Helicase conserved C-terminal domain,4,15,426,2004,1.25,0.5383510200514272,0.27,A0A8V0X895 A0A8V0YZ41 A0A3S5ZPN3 A0A8V0YJ71
PF00274 Fructose-bisphosphate aldolase class-I,2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V0X6I8 A0A8V1AIR0
PF00307 Calponin homology (CH) domain,4,24,426,2004,0.78,0.8020590566406884,0.1,A0A1D5P797 A0A8V0Y5A6 Q5ZLC7 A0A8V1ALH2
PF00334 Nucleoside diphosphate kinase,3,4,426,2004,3.53,0.03215230829980138,1.49,O57535 A0A8V0XGF5 A0A8V0YTD8
PF00337 Galactoside-binding lectin,2,4,426,2004,2.35,0.20026428064504764,0.7,A0A1D5PQI1 A0A8V0Y2H5
PF00350 Dynamin family,2,8,426,2004,1.18,0.6805853177297215,0.17,A0A3Q2UHM4 F1NGM0
PF00354 Pentaxin family,2,5,426,2004,1.88,0.2885791034497544,0.54,A0A8V0ZG73 A0A8V1A9Y1
PF00364 Biotin-requiring enzyme,3,5,426,2004,2.82,0.06779204643684057,1.17,A0A8V1A102 A0A1D5PQV3 A0A8V0ZWH3
PF00378 Enoyl-CoA hydratase/isomerase,2,6,426,2004,1.57,0.6134475564681955,0.21,A0A8V0YYX3 A0A8V0Y492
PF00406 Adenylate kinase,3,8,426,2004,1.76,0.37834019058250923,0.42,A0A8V1AJZ1 A0A8V1AC34 A0A8V0Z310
PF00412 LIM domain,2,9,426,2004,1.05,1.0,-0.0,A0A8V1AAK7 A0A8V0YQA1
PF00435 Spectrin repeat,2,9,426,2004,1.05,1.0,-0.0,A0A1D5P797 A0A8V0Y5A6
PF00568 WH1 domain,2,2,426,2004,4.7,0.04510449894024248,1.35,A0A3S5ZPV2 A0A8V0X6F7
PF00578 AhpC/TSA family,3,4,426,2004,3.53,0.03215230829980138,1.49,A0A1D5PBY3 A0A8V0YEN4 P0CB50
PF00594 Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain,3,7,426,2004,2.02,0.16999594917181046,0.77,A0A8V0YID0 A0A8V0YVP9 P25155
PF00595 PDZ domain,4,25,426,2004,0.75,0.6298187786960344,0.2,A0A8V1A6Q7 A0A8V1AJV5 A0A8V0X354 A0A8V0YXB1
PF00620 RhoGAP domain,3,9,426,2004,1.57,0.4111191864156081,0.39,A0A3Q3ACS4 A0A8V0Z535 A0A8V0XYP6
PF00627 UBA/TS-N domain,2,5,426,2004,1.88,0.2885791034497544,0.54,A0A1D5P624 A0A3Q2TZD8
PF00631 GGL domain,3,5,426,2004,2.82,0.06779204643684057,1.17,A0A8V1A9K7 A0A8V0XS64 R4GKD1
PF00640 Phosphotyrosine interaction domain (PTB/PID),2,5,426,2004,1.88,0.2885791034497544,0.54,A0A8V0YMC5 A0A8V0YBR8
PF00735 Septin,2,6,426,2004,1.57,0.6134475564681955,0.21,A0A8V1AKZ9 A0A8V1AKB5
PF00786 P21-Rho-binding domain,2,2,426,2004,4.7,0.04510449894024248,1.35,E1BS97 A0A8V0X6F7
PF00787 PX domain,5,11,426,2004,2.14,0.06303765986642469,1.2,A0A8V0YQL8 A0A8V1A6Q7 A0A8V0ZEP8 A0A8V0XPM1 A0A8V0XBS7
PF00932 Lamin Tail Domain,3,3,426,2004,4.7,0.009552601174147636,2.02,P13648 A0A8V0YY54 A0A3Q2U596
PF01023 S-100/ICaBP type calcium binding domain,3,5,426,2004,2.82,0.06779204643684057,1.17,P24479 Q98953 A0A8V1ABP6
PF01217 Clathrin adaptor complex small chain,2,9,426,2004,1.05,1.0,-0.0,A0A8V1AIF1 A0A8V0ZML0
PF01223 DNA/RNA non-specific endonuclease,2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V1A9K2 A0A8V0Y2I3
PF01412 Putative GTPase activating protein for Arf,2,4,426,2004,2.35,0.20026428064504764,0.7,A0A3Q3ALT4 A0A8V0X8U3
PF01433 Peptidase family M1 domain,3,9,426,2004,1.57,0.4111191864156081,0.39,A0A8V0Y1W6 A0A8V0Y6Q3 A0A1L1RVF4
PF01556 DnaJ C terminal domain,3,8,426,2004,1.76,0.37834019058250923,0.42,E1C599 A0A1L1RR91 A0A3Q2UAA1
PF01835 MG2 domain,3,11,426,2004,1.28,0.7100896273560663,0.15,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZTX8
PF02197 Regulatory subunit of type II PKA R-subunit,2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V0Z8R3 A0A8V0ZYU1
PF02210 Laminin G domain,2,13,426,2004,0.72,1.0,-0.0,A0A8V0YVP9 A0A8V0XIV7
PF02469 Fasciclin domain,2,2,426,2004,4.7,0.04510449894024248,1.35,A0A8V0YAT1 A0A8V0YP03
PF02736 Myosin N-terminal SH3-like domain,2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V1AHP5 A0A1D5PM19
"PF02798 Glutathione S-transferase, N-terminal domain",4,8,426,2004,2.35,0.06815874803545664,1.17,A0A8V0X0T6 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81
"PF02803 Thiolase, C-terminal domain",3,4,426,2004,3.53,0.03215230829980138,1.49,A0A8V0XE68 A0A8V0YB71 A0A8V0XH76
"PF02874 ATP synthase alpha/beta family, beta-barrel domain",2,6,426,2004,1.57,0.6134475564681955,0.21,A0A8V1A624 A0A1D5PP57
"PF02886 LBP / BPI / CETP family, C-terminal domain",3,9,426,2004,1.57,0.4111191864156081,0.39,A0A8V0YRT1 A0A8V0YZ17 O42273
PF03114 BAR domain,2,5,426,2004,1.88,0.2885791034497544,0.54,A0A8V0Z535 Q8AXV0
PF03144 Elongation factor Tu domain 2,3,7,426,2004,2.02,0.16999594917181046,0.77,A0A8V0Z083 A0A1D5PYQ3 P84172
PF03953 Tubulin C-terminal domain,4,10,426,2004,1.88,0.23461508504407425,0.63,P02552 A0A8V1AEW4 P09244 A0A1D5NU82
PF07645 Calcium-binding EGF domain,2,25,426,2004,0.38,0.13841306339780868,0.86,A0A8V0YVP9 A0A8V0Y1R9
PF07648 Kazal-type serine protease inhibitor domain,2,15,426,2004,0.63,0.7507728523531709,0.12,A0A8V1A1C6 A0A1D5NZN4
PF07654 Immunoglobulin C1-set domain,2,11,426,2004,0.86,1.0,-0.0,A0A8V0XHB9 A0A8V0ZXF2
PF07677 A-macroglobulin receptor binding domain,4,12,426,2004,1.57,0.29569289461085213,0.53,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZQ48 A0A8V0ZTX8
PF07679 Immunoglobulin I-set domain,9,41,426,2004,1.03,0.8489567623038232,0.07,A0A8V0Y2M4 A0A8V0YYZ7 A0A8V0Z7E5 A0A8V0XX41 Q8AV58 A0A8V1A0H5 Q03696 A0A8V0Z153 A0A8V1A3I2
PF07686 Immunoglobulin V-set domain,7,37,426,2004,0.89,0.8411724503925267,0.08,A0A8V0ZQJ4 A0A8V0XDZ2 A0A8V0ZXT4 A0A8V0ZXF2 A0A8V0XHB9 A0A8V0XZ15 A0A8V0XA34
PF07703 Alpha-2-macroglobulin bait region domain,4,12,426,2004,1.57,0.29569289461085213,0.53,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZQ48 A0A8V0ZTX8
PF07714 Protein tyrosine and serine/threonine kinase,2,22,426,2004,0.43,0.19759481882421664,0.7,A0A8V0XHT1 A0A8V0YYZ7
"PF08477 Ras of Complex, Roc, domain of DAPkinase",2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V0XNL0 A0A8V1ABR7
"PF09007 EBP50, C-terminal",2,2,426,2004,4.7,0.04510449894024248,1.35,A0A8V1AJV5 A0A8V0YXB1
"PF09279 Phosphoinositide-specific phospholipase C, efhand-like",2,3,426,2004,3.14,0.11620829447216974,0.93,A0A1D5NZL7 A0A8V1A5Y9
PF11838 ERAP1-like C-terminal domain,2,7,426,2004,1.34,0.6449508712250417,0.19,A0A8V0Y1W6 A0A1L1RVF4
PF13202 EF hand,4,8,426,2004,2.35,0.06815874803545664,1.17,A0A8V0ZZ91 A0A8V1AGD6 A0A1D5P4Z5 A0A8V0XJW9
PF13242 HAD-hyrolase-like,2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V0YH66 F1NC58
PF13344 Haloacid dehalogenase-like hydrolase,2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V0YH66 F1NC58
PF13405 EF-hand domain,2,3,426,2004,3.14,0.11620829447216974,0.93,A0A1L1RM08 A0A1D5P4Z5
"PF13417 Glutathione S-transferase, N-terminal domain",2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V1AGW0 A0A8V0ZJE0
PF13499 EF-hand domain pair,10,22,426,2004,2.14,0.014272471647689184,1.85,F1NCA2 A0A3Q2TTG3 A0A3Q3B0H3 A0A8V0XEJ2 A0A1D5P2H5 A0A8V0XGU8 F1NHD8 A0A8V0ZZ91 Q5ZM44 A0A8V0ZZL0
PF13561 Enoyl-(Acyl carrier protein) reductase,2,5,426,2004,1.88,0.2885791034497544,0.54,Q5ZKQ2 A0A8V0YS74
PF13833 EF-hand domain pair,2,5,426,2004,1.88,0.2885791034497544,0.54,A0A1L1RM08 A0A8V0XGU8
PF13927 Immunoglobulin domain,7,32,426,2004,1.03,1.0,-0.0,A0A1D5P4S3 A0A8V0YYZ7 A0A8V0Z7E5 A0A8V0XX41 Q8AV58 Q03696 A0A8V1A3I2
"PF14497 Glutathione S-transferase, C-terminal domain",3,6,426,2004,2.35,0.11462231765923159,0.94,A0A1D5NT70 A0A8V0X7B2 A0A8V0ZJE0
PF14560 Ubiquitin-like domain,2,3,426,2004,3.14,0.11620829447216974,0.93,A0A8V1A4X0 A0A8V1AGD6
PF14604 Variant SH3 domain,3,17,426,2004,0.83,1.0,-0.0,A0A8V0Y8B2 A0A8V1AKR7 A0A8V0X8U3
PF14670 Coagulation Factor Xa inhibitory site,2,17,426,2004,0.55,0.5507458873282907,0.26,A0A8V0YID0 P25155
PF15711 Interleukin-like EMT inducer,4,7,426,2004,2.69,0.04079080897529462,1.39,A0A8V0XAC3 A0A8V0YL67 A0A8V0YGM5 E1C5S9
PF16746 BAR domain of APPL family,2,2,426,2004,4.7,0.04510449894024248,1.35,A0A8V0YBR8 A0A8V0X8U3
PF17789 Macroglobulin domain MG4,2,10,426,2004,0.94,1.0,-0.0,A0A8V0ZKM2 A0A8V0ZTX8
PF17791 Macroglobulin domain MG3,3,9,426,2004,1.57,0.4111191864156081,0.39,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZTX8
PF17862 AAA+ lid domain,2,14,426,2004,0.67,0.7467966693960115,0.13,A0A8V0Y9B4 F1NU79
PF17900 Peptidase M1 N-terminal domain,3,9,426,2004,1.57,0.4111191864156081,0.39,A0A8V0Y1W6 A0A8V0Y6Q3 A0A1L1RVF4
