KEGG pathway	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
map00730 Thiamine metabolism	5	7	342	1633	3.41	0.005666999849344143	2.25	A0A8V1AJZ1 A0A8V0XRZ6 A0A1D5P9Z1 A0A8V1AC34 A0A8V0Z310	1.7697717392494479
map04915 Estrogen signaling pathway	17	45	342	1633	1.8	0.008392173843859587	2.08	A0A1D5NZL7 A0A1D5PUL6 A0A8V0ZQ00 O93256 A0A8V1A178 A0A1D5P2H5 A0A1L1RPJ2 A0A3Q3ACS4 P08642 A0A8V0ZK24 A0A8V1A8T0 A0A8V0Y7A6 A0A8V0XY43 A0A8V1A8U0 A0A8V0ZPV0 A0A8V0Z8E9 A0A8V0ZVD2	0.84799690655495
map00980 Metabolism of xenobiotics by cytochrome P450	8	16	342	1633	2.39	0.009022042542734435	2.04	A0A8V0ZCN9 A0A8V0XM79 A0A8V0YHY0 A0A8V0ZJE0 A0A1D5NT70 A0A8V1A0C2 A0A8V0X7B2 A0A8V0XB81	1.2570106182060239
map00010 Glycolysis / Gluconeogenesis	13	33	342	1633	1.88	0.015236739242677683	1.82	A0A8V0ZCN9 A0A8V0ZWH3 A0A8V1ABW1 P00356 A0A8V0X6I8 E1BTT8 Q5ZLN1 A0A8V0ZM20 A0A8V1A4P2 A0A8V0Z0S2 A0A8V1AIR0 A0A1L1RQ91 A0A8V0X9K8	0.9107326619029126
map00230 Purine metabolism	15	40	342	1633	1.79	0.016291285230789057	1.79	A0A1D5PSI2 A0A8V1AJZ1 A0A8V0XRZ6 A0A8V0XY43 A0A8V0XWG1 A0A8V1AC34 A0A8V0XAH5 A0A8V0XTM2 O57535 A0A8V0XGF5 A0A8V1A4P2 A0A1D5PL45 A0A8V0XC92 A0A8V1A8Y2 A0A8V0Z310	0.8399595874895318
map00380 Tryptophan metabolism	7	15	342	1633	2.23	0.02252189267677212	1.65	A0A8V1ABW1 A0A8V0XH76 A0A8V0Y492 A0A8V0XIM8 A0A1D5PQV3 A0A8V0XE68 A0A8V0X9K8	1.15704371014558
map04962 Vasopressin-regulated water reabsorption	9	21	342	1633	2.05	0.025614655871068495	1.59	A0A8V0ZDX0 A0A8V0Z958 A0A8V1AJR8 A0A8V0XK27 A0A8V0XJW7 A0A1D5PFB8 A0A8V0ZBP0 Q5ZIP7 Q98932	1.0356239097307212
map00190 Oxidative phosphorylation	24	76	342	1633	1.51	0.029120920128962408	1.54	A0A3Q2UJ64 A0A8V0Z6U6 A0A8V0Z2Y8 E1C658 A0A8V1A840 A0A8V1A4N7 A0A1D5PP57 A0A8V0Y8W7 A0A8V0YC52 A0A8V0Z863 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A8V1A3B4 A0A8V1A624 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z382 A0A8V0Z5I7 A0A8V0ZC01 Q9YH14 A0A8V0Y6Z6 P18944 A0A8V0ZI98	0.5945485495503542
map04371 Apelin signaling pathway	15	42	342	1633	1.71	0.032085460867857456	1.49	A0A1L1RWI9 A0A1D5NZL7 A0A1D5P2H5 R4GKD1 A0A1L1RPJ2 P08642 A0A8V1A9K7 A0A8V0XS64 A0A8V0X354 A0A1D5PFR7 E1BW98 F1NUX4 A0A8V0XY43 F1NLV4 A0A8V0Z153	0.7739963251111731
map04725 Cholinergic synapse	11	29	342	1633	1.81	0.03517901667036296	1.45	A0A1L1RWI9 A0A1D5NZL7 R4GKD1 A0A1L1RPJ2 A0A3Q3ACS4 P08642 A0A8V1A9K7 A0A8V0XS64 E1BW98 A0A8V0XY43 F1NLV4	0.8559896973084807
map04975 Fat digestion and absorption	6	13	342	1633	2.2	0.03645246400627686	1.44	A0A8V0ZE99 A0A8V0ZZN4 A0A8V0XH76 A0A8V0ZJT8 A0A8V0Y2J1 A0A8V0XE68	1.1375035237499351
map04724 Glutamatergic synapse	9	23	342	1633	1.87	0.03926929471608178	1.41	A0A8V0XL89 A0A1D5NTC1 A0A1D5NZL7 R4GKD1 A0A8V1A9K7 A0A8V0XS64 E1BW98 A0A8V0XY43 F1NLV4	0.903038270112912
map00071 Fatty acid degradation	9	23	342	1633	1.87	0.03926929471608178	1.41	A0A8V1ABW1 A0A8V0ZAL2 A0A8V0XH76 A0A8V0Y492 A0A8V0XIM8 A0A8V0XE68 A0A8V0YB71 A0A8V0YYX3 A0A8V0X9K8	0.903038270112912
map04520 Adherens junction	11	30	342	1633	1.75	0.0410864939057775	1.39	A0A1D5NYE8 A0A8V0X6F7 A0A8V0Y5A6 H9L0D7 A0A3Q2U1A5 A0A8V0XWR2 A0A8V0XHT1 A0A8V1AKR7 A0A1D5P9Z1 A0A8V0XTR4 A0A8V0ZIN3	0.8073549220576041
map04744 Phototransduction	2	2	342	1633	4.77	0.04375968084716992	1.36	A0A1D5P2H5 F1NLV4	2.2539892662307865
map04613 Neutrophil extracellular trap formation	16	48	342	1633	1.59	0.0455403034712652	1.34	P84229 A0A1D5NZL7 A0A8V0ZHE8 A0A8V0Z0Y0 F1NUX4 A0A8V0YS27 A0A1L1RPJ2 A0A3Q3ACS4 A0A1D5P7C1 A0A8V0YIZ9 A0A8V0ZIN3 A0A8V1AJ29 A0A8V0XHB9 A0A8V0YXU7 A0A8V0XA34 A0A8V1A5A3	0.6690267655096307
