KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04924 Renin secretion,3,18,342,1633,0.8,1.0,-0.0,A0A8V0XL89 A0A1D5NZL7 A0A1D5P2H5
map04925 Aldosterone synthesis and secretion,6,21,342,1633,1.36,0.4167056904445626,0.38,A0A1L1RWI9 A0A1D5NZL7 A0A1D5P2H5 A0A8V0XKR3 A0A8V0Y7A6 A0A8V0XY43
map04926 Relaxin signaling pathway,12,45,342,1633,1.27,0.35289614393655194,0.45,A0A1D5NZL7 A0A8V0XP02 R4GKD1 A0A1L1RPJ2 A0A3Q3ACS4 P08642 A0A8V1A9K7 A0A8V0X354 A0A8V0XS64 E1BW98 A0A8V0XY43 F1NLV4
map04927 Cortisol synthesis and secretion,3,11,342,1633,1.3,0.7081546103475014,0.15,A0A8V0Y7A6 A0A1D5NZL7 A0A8V0XY43
"map04928 Parathyroid hormone synthesis, secretion and action",4,23,342,1633,0.83,0.8012849736972479,0.1,A0A1L1RPJ2 A0A1D5NZL7 A0A8V0XY43 A0A8V1AJV5
map04929 GnRH secretion,4,14,342,1633,1.36,0.5084997507482921,0.29,A0A1L1RPJ2 A0A3Q3ACS4 A0A1D5NZL7 P08642
"map04935 Growth hormone synthesis, secretion and action",6,32,342,1633,0.9,1.0,-0.0,A0A1D5NZL7 A0A1L1RPJ2 A0A3Q3ACS4 P08642 F1NUX4 A0A8V0XY43
map04960 Aldosterone-regulated sodium reabsorption,2,16,342,1633,0.6,0.5468481431752837,0.26,A0A3Q3ACS4 A0A8V0YXB1
map04962 Vasopressin-regulated water reabsorption,9,21,342,1633,2.05,0.025614655871068495,1.59,A0A8V0ZDX0 A0A8V1AJR8 A0A8V0XK27 A0A8V0XJW7 Q5ZIP7 A0A1D5PFB8 A0A8V0ZBP0 A0A8V0Z958 Q98932
map04966 Collecting duct acid secretion,6,16,342,1633,1.79,0.1199520948980055,0.92,A0A8V0Z6U6 A0A8V0YLT1 A0A1D5PP57 A0A8V0Y6Z6 A0A8V0Y8W7 A0A8V0Z5I7
map04970 Salivary secretion,9,25,342,1633,1.72,0.0797458875404761,1.1,A0A1D5NZL7 A0A8V0ZLV3 A0A8V0Y5N7 P00698 A0A8V0XR98 A0A1D5P2H5 A0A8V0X354 A0A8V0XY43 A0A8V1A1T7
map04971 Gastric acid secretion,6,23,342,1633,1.25,0.6043336902319519,0.22,A0A1D5NZL7 A0A1D5P2H5 A0A8V0YLT1 A0A8V0ZIN3 A0A8V0XY43 A0A8V0Z153
map04972 Pancreatic secretion,7,30,342,1633,1.11,0.8204244377908478,0.09,A0A1D5NZL7 A0A8V0ZE99 A0A8V0ZLV3 A0A8V0Y5N7 A0A8V0YLT1 A0A8V1A229 A0A8V0XY43
map04973 Carbohydrate digestion and absorption,4,11,342,1633,1.74,0.2566937677405183,0.59,A0A3Q3ACS4 A0A1D5NZL7 A0A8V0ZLV3 A0A8V0ZM20
map04975 Fat digestion and absorption,6,13,342,1633,2.2,0.03645246400627686,1.44,A0A8V0ZE99 A0A8V0ZZN4 A0A8V0XH76 A0A8V0ZJT8 A0A8V0Y2J1 A0A8V0XE68
map04976 Bile secretion,3,15,342,1633,0.95,1.0,-0.0,A0A8V0XY43 A0A8V0YLT1 A0A8V0ZF15
map04977 Vitamin digestion and absorption,2,7,342,1633,1.36,0.6416417128600493,0.19,A0A8V0ZZN4 E1C3J7
map04979 Cholesterol metabolism,8,21,342,1633,1.82,0.06061111802985287,1.22,A0A8V1AGP0 A0A8V0ZHE8 A0A8V0Z0Y0 A0A8V0ZZN4 A0A8V0ZRU9 A0A8V0Y2J1 A0A8V0YBR3 A0A8V0YXU7
