Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF00932 Lamin Tail Domain	3	3	636	2004	3.15	0.03186231737113419	1.5	P13648 A0A3Q2U596 A0A8V0YY54	1.6553518286125541
PF07474 G2F domain	3	3	636	2004	3.15	0.03186231737113419	1.5	A0A8V0ZAP5 A0A8V0Y357 A0A8V0ZBR8	1.6553518286125541
PF07546 EMI domain	3	3	636	2004	3.15	0.03186231737113419	1.5	A0A8V0Y290 A0A8V0Y0F3 A0A8V0X207	1.6553518286125541
PF16470 Peptidase S8 pro-domain	3	3	636	2004	3.15	0.03186231737113419	1.5	A0A8V0YDL8 A0A8V0X4D8 A0A8V0ZA56	1.6553518286125541
PF00047 Immunoglobulin domain	5	6	636	2004	2.63	0.014083526100249079	1.85	A0A8V0ZZZ5 A0A8V0YYZ7 A0A8V0XEJ0 Q03696 P01875	1.3950627995175777
PF08686 PLAC (protease and lacunin) domain	5	6	636	2004	2.63	0.014083526100249079	1.85	A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZA56	1.3950627995175777
PF00042 Globin	4	5	636	2004	2.52	0.037656577712836314	1.42	P01994 A0A8V0XF06 A0A8V0XM21 A0A8V0Z399	1.3334237337251917
PF09175 Vitellinogen, beta-sheet shell	4	5	636	2004	2.52	0.037656577712836314	1.42	A0A8V0ZG90 A0A8V0Z932 A0A8V0ZF17 A0A8V0ZDT7	1.3334237337251917
PF00082 Subtilase family	5	7	636	2004	2.25	0.036453148651448025	1.44	A0A8V0X4D8 A0A8V0XEP8 A0A8V0ZRU9 A0A8V0YDL8 A0A8V0ZA56	1.1699250014423124
