Protein accession	Protein description	Gene name	Coverage [%]	Peptides	Razor + unique peptides	Unique peptides	Intensity G1	Intensity G2	Intensity G3	G1	G2	G3	G2/G1 Ratio	G3/G1 Ratio	G2/G3 Ratio
A0A1D5PF79	Protein-serine/threonine kinase OS=Gallus gallus OX=9031 GN=PDK3 PE=1 SV=1	PDK3	2.89	1	1	1.0		3065.78			1.0				
A0A1D5PFR7	Microtubule associated protein 1 light chain 3 alpha OS=Gallus gallus OX=9031 GN=MAP1LC3A PE=1 SV=1	MAP1LC3A	5.79	1	1	1.0	9465.12	10120.0	4813.12	1.1638282105594502	1.2443520516233957	0.591819737817154	1.06918876886928	0.5085112497253073	2.102586264211156
A0A1D5PGR9	Hexosyltransferase OS=Gallus gallus OX=9031 GN=B3GNT5 PE=3 SV=1	B3GNT5	15.78	6	6	6.0	55450.4	42788.2	33456.2	1.2631569355813594	0.9747127449223508	0.76213031949629	0.7716481756669022	0.6033536277465987	1.278931857174455
A0A1D5PH80	3-hydroxyisobutyrate dehydrogenase OS=Gallus gallus OX=9031 GN=HIBADH PE=1 SV=1	HIBADH	4.78	1	1	1.0	110987.0	24396.7		1.6395917676943383	0.3604082323056616		0.21981583428689846		
A0A1D5PHP4	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma OS=Gallus gallus OX=9031 GN=PLCG2 PE=1 SV=1	PLCG2	2.13	3	3	3.0	2696470.0	2089630.0	2950080.0	1.0456594856893195	0.8103340408315215	1.144006473479159	0.7749502126854739	1.0940525946886115	0.7083299435947499
A0A1D5PHW5	non-specific serine/threonine protein kinase OS=Gallus gallus OX=9031 GN=NRK PE=3 SV=2	NRK	0.59	1	1	1.0	7595.28	6811.85	11022.9	0.8960209641907618	0.8035991306341361	1.3003799051751022	0.8968530455756734	1.4512829020128293	0.6179725843471319
A0A1D5PI06	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Gallus gallus OX=9031 GN=NDUFV2 PE=1 SV=1	NDUFV2	19.59	4	4	4.0	9093.69	18954.5		0.6484332857129105	1.3515667142870893		2.084357395072847		
A0A1D5PIN1	Protein-L-isoaspartate O-methyltransferase OS=Gallus gallus OX=9031 GN=PCMT1L PE=1 SV=1	PCMT1L	41.94	9	9	9.0	194258.0	114500.0	120082.0	1.3589543885831545	0.8009980412274975	0.8400475701893481	0.589422314653708	0.6181572959672189	0.9535150980163555
A0A1D5PIY2	Septin OS=Gallus gallus OX=9031 GN=SEPTIN8 PE=1 SV=2	SEPTIN8	4.38	1	1	1.0		897.577			1.0				
A0A1D5PIZ8	IQ motif containing GTPase activating protein 1 OS=Gallus gallus OX=9031 GN=IQGAP3 PE=1 SV=1	IQGAP3	26.18	40	40	40.0	100195.0	157295.0	72234.2	0.9116255343101901	1.431150640444347	0.6572238252454627	1.5698887170018463	0.7209361744598034	2.1775696276832854
A0A1D5PJA6	3-phosphoinositide-dependent protein kinase 1 OS=Gallus gallus OX=9031 GN=PDPK1 PE=1 SV=2	PDPK1	1.89	1	1	1.0	4866.1			1.0					
A0A1D5PJE0	Polypeptide N-acetylgalactosaminyltransferase OS=Gallus gallus OX=9031 GN=GALNT7 PE=1 SV=1	GALNT7	6.57	4	4	4.0	67319.6	23292.3	63460.5	1.3108045308569218	0.4535328845399954	1.2356625846030824	0.34599581696860937	0.9426749416217562	0.36703618786489234
A0A1D5PJW4	Proteasome subunit alpha type OS=Gallus gallus OX=9031 GN=PSMA7 PE=1 SV=1	PSMA7	24.19	6	6	6.0	23483.5	45098.7	20196.0	0.7935563009838	1.5239788596750101	0.6824648393411896	1.9204420124768453	0.8600080907871485	2.2330510992275694
A0A1D5PK45	ubiquitinyl hydrolase 1 OS=Gallus gallus OX=9031 GN=USP12 PE=3 SV=1	USP12	2.17	1	1	0.0	3764.16	3290.7	1939.29	1.2555360984640016	1.0976134487416822	0.6468504527943163	0.874218949247641	0.515198610048457	1.696858128490324
A0A1D5PKC2	dTMP kinase OS=Gallus gallus OX=9031 GN=DTYMK PE=1 SV=1	DTYMK	5.19	1	1	0.0		8128.08	6638.52		1.1008735931087725	0.8991264068912276			1.2243813380090742
A0A1D5PKI0	H1.10 linker histone OS=Gallus gallus OX=9031 GN=LOC121111746 PE=3 SV=2	LOC121111746	10.23	2	2	2.0	8612.24	10459.2	6779.17	0.9994626819251072	1.2138050127250382	0.7867323053498544	1.2144575627246803	0.7871552580977772	1.5428437404579027
A0A1D5PKJ9	RNA-binding protein 47 OS=Gallus gallus OX=9031 GN=RBM47 PE=1 SV=2	RBM47	8.49	3	3	2.0		18777.5			1.0				
A0A1D5PL88	Clathrin light chain OS=Gallus gallus OX=9031 GN=CLTB PE=1 SV=1	CLTB	19.3	5	5	5.0	24243.2	49879.5	17567.8	0.7932075842099237	1.631995681122908	0.5747967346671683	2.0574635361668423	0.72464856124604	2.8392570498298024
A0A1D5PLH7	thioredoxin-dependent peroxiredoxin OS=Gallus gallus OX=9031 GN=PRDX4 PE=1 SV=2	PRDX4	59.62	14	14	13.0	476862.0	350419.0	353818.0	1.2112329279764016	0.8900667937234727	0.8987002783001256	0.7348436235221091	0.7419714718304248	0.9903933660808664
A0A1D5PLV3	cAMP-dependent protein kinase OS=Gallus gallus OX=9031 GN=PRKACB PE=1 SV=1	PRKACB	10.06	4	4	4.0	78157.9	67413.8	63689.1	1.1204855376640057	0.9664562115790439	0.9130582507569501	0.8625334099304102	0.8148773188634802	1.0584825346880393
A0A1D5PMF8	Semaphorin 6D OS=Gallus gallus OX=9031 GN=SEMA6D PE=4 SV=2	SEMA6D	9.1	9	9	9.0	97174.3	76297.6	88871.3	1.1112272016198628	0.8724937410232093	1.0162790573569278	0.7851623320157697	0.9145555975190971	0.8585178792253518
A0A1D5PMI7	Zinc finger CCCH domain-containing protein 15 OS=Gallus gallus OX=9031 GN=ZC3H15 PE=3 SV=1	ZC3H15	3.26	1	1	1.0		6084.04			1.0				
A0A1D5PMT8	Large ribosomal subunit protein P2 OS=Gallus gallus OX=9031 GN=RPLP2 PE=1 SV=1	RPLP2	12.17	2	2	2.0	14999.8	45865.3	14304.9	0.5986350937874151	1.8304629506452041	0.5709019555673805	3.0577274363658185	0.9536727156362086	3.206264986123636
A0A1D5PMU2	Platelet-activating factor acetylhydrolase IB subunit alpha2 OS=Gallus gallus OX=9031 GN=PAFAH1B2 PE=1 SV=1	PAFAH1B2	7.95	2	2	2.0	26488.2	29427.5	17025.7	1.0894306936801323	1.2103208877263119	0.700248418593556	1.1109663925823574	0.642765457826504	1.728416452774335
A0A1D5PN54	ATP synthase subunit alpha OS=Gallus gallus OX=9031 GN=ATP5F1AZ PE=1 SV=1	ATP5F1AZ	37.07	22	22	22.0	149378.0	533399.0	128300.0	0.5525172086004165	1.9729285875447091	0.47455420385487446	3.5708002517104256	0.8588948841194821	4.157435697583788
A0A1D5PNJ4	Glycerophosphodiester phosphodiesterase 1 OS=Gallus gallus OX=9031 GN=GDE1 PE=3 SV=2	GDE1	3.69	1	1	1.0		2534.27			1.0				
A0A1D5PNL3	E2 ubiquitin-conjugating enzyme OS=Gallus gallus OX=9031 GN=UBE2N PE=1 SV=1	UBE2N	25.0	5	5	2.0	81063.8	29116.3	45472.3	1.5624005797533478	0.5611792686781572	0.8764201515684948	0.35917758604950667	0.5609445893234711	0.640308495501657
A0A1D5PNM0	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Gallus gallus OX=9031 GN=NDUFB9 PE=1 SV=1	NDUFB9	20.69	4	4	4.0	6805.38	23051.0	7372.33	0.5483977285272577	1.8575180284248367	0.5940842430479057	3.3871730895262275	1.0833090878099385	3.1266912902705117
A0A1D5PP34	Exocyst complex component 7 OS=Gallus gallus OX=9031 GN=EXOC7 PE=1 SV=2	EXOC7	8.26	5	5	5.0	10365.4	14462.0	5266.39	1.033309529972795	1.4416927877811334	0.5249976822460714	1.3952187083952379	0.5080739768846354	2.7460936239055593
A0A1D5PPF8	Heat shock 70 kDa protein 4 OS=Gallus gallus OX=9031 GN=HSPA4 PE=1 SV=1	HSPA4	16.9	11	8	8.0	12378.4	26790.9	14539.5	0.6914174213536701	1.4964530952097235	0.8121294834366063	2.1643265688618887	1.1745863762683384	1.8426287011245228
A0A1D5PQI1	Galectin 3 OS=Gallus gallus OX=9031 GN=LGALS3 PE=1 SV=3	LGALS3	25.97	6	6	6.0	125921.0	180519.0	81897.9	0.9727688180834267	1.39455098253351	0.632680199383063	1.4335893139349276	0.6503911182408018	2.204195711977963
A0A1D5PQV3	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Gallus gallus OX=9031 GN=DLST PE=1 SV=2	DLST	5.7	3	3	1.0	20177.6	47544.5	7787.44	0.8016576448485846	1.8889467476559914	0.3093956074954237	2.356301046705257	0.3859448100864325	6.105279783857083
A0A1D5PR23	Epithelial splicing regulatory protein 2 OS=Gallus gallus OX=9031 GN=ESRP2 PE=3 SV=2	ESRP2	3.3	2	2	2.0	1827.2	4256.52		0.6006851071383956	1.3993148928616046		2.329531523642732		
A0A1D5PR40	Large ribosomal subunit protein uL22 OS=Gallus gallus OX=9031 GN=LOC107049046 PE=1 SV=1	LOC107049046	7.61	1	1	1.0	11832.2	35914.5		0.4956237813293904	1.5043762186706098		3.0353188756106215		
A0A1D5PRJ2	HECT-type E3 ubiquitin transferase OS=Gallus gallus OX=9031 GN=NEDD4L PE=1 SV=2	NEDD4L	17.33	17	17	5.0	59876.3	70373.6	50125.6	0.9958608569345616	1.170451641159692	0.8336875019057466	1.1753164440688553	0.8371525962693085	1.4039452894329445
A0A1D5PS27	Ectonucleoside triphosphate diphosphohydrolase 2 OS=Gallus gallus OX=9031 GN=ENTPD2 PE=3 SV=1	ENTPD2	4.23	1	1	1.0		3752.99			1.0				
A0A1D5PS29	Eukaryotic translation elongation factor 2 OS=Gallus gallus OX=9031 GN=EEF2 PE=1 SV=1	EEF2	28.09	25	25	1.0	124026.0	181107.0	85824.3	0.9517100716625576	1.3897195422620323	0.6585703860754103	1.4602341444535822	0.691986357699192	2.110206549893212
A0A1D5PSI3	Heterogeneous nuclear ribonucleoprotein K OS=Gallus gallus OX=9031 GN=HNRNPKL PE=1 SV=2	HNRNPKL	21.96	7	7	7.0	16016.7	31589.5	30518.8	0.61504128	1.2130368	1.17192192	1.972285177346145	1.9054362009652424	1.0350832929210847
A0A1D5PSK2	Rho GTPase activating protein 18 OS=Gallus gallus OX=9031 GN=ARHGAP18 PE=1 SV=1	ARHGAP18	2.3	2	2	2.0	20647.3	26046.1	18609.7	0.9485292428690216	1.1965480964915909	0.8549226606393878	1.261477287587239	0.901313973255583	1.399598059076718
A0A1D5PT25	Bactericidal permeability-increasing protein OS=Gallus gallus OX=9031 GN=BPIFCB PE=3 SV=2	BPIFCB	19.83	11	11	11.0	3769710.0	2442800.0	3812410.0	1.1281017703881926	0.731018302390443	1.1408799272213643	0.6480074064052672	1.0113271312647392	0.6407495521205746
A0A1D5PT95	small monomeric GTPase OS=Gallus gallus OX=9031 GN=KRAS PE=1 SV=1	KRAS	25.4	4	2	1.0	18052.6	23601.9	16356.9	0.9335716772910151	1.220548030214751	0.8458802924942338	1.3073961645413958	0.9060689318990063	1.4429323404801644
A0A1D5PTH8	protein-tyrosine-phosphatase OS=Gallus gallus OX=9031 GN=PTPRF PE=1 SV=2	PTPRF	36.12	44	6	1.0	702786.0	685928.0	869843.0	0.9334978041289195	0.911105630719083	1.1553965651519975	0.9760126126587609	1.2377067841419722	0.7885652928172096
A0A1D5PTT4	Carbohydrate sulfotransferase OS=Gallus gallus OX=9031 GN=CHST13 PE=3 SV=1	CHST13	4.71	2	1	1.0	12773.5	15230.2	18088.1	0.8313951722432189	0.991295631760964	1.1773091959958168	1.1923278662856698	1.4160645085528631	0.8420010946423341
A0A1D5PUL6	Heat shock protein HSP 90-alpha OS=Gallus gallus OX=9031 GN=HSP90AA1 PE=3 SV=1	HSP90AA1	38.87	33	33	33.0	487354.0	730824.0	306618.0	0.9588574471601448	1.4378789031450765	0.6032636496947789	1.4995752574104244	0.6291484218863496	2.3834999902158387
A0A1D5PV96	Phosphatidylinositol-5-phosphate 4-kinase type 2 beta OS=Gallus gallus OX=9031 GN=PIP4K2B PE=1 SV=1	PIP4K2B	1.9	1	1	1.0	9399.85	8173.16	8589.46	1.0778626788678591	0.9372005013288118	0.9849368198033288	0.869498981366724	0.9137869221317361	0.9515336237668027
A0A1D5PVG8	Prolylcarboxypeptidase OS=Gallus gallus OX=9031 GN=PRCP PE=1 SV=1	PRCP	2.48	1	1	1.0	25693.7	21030.8	23383.5	1.0994622582301592	0.8999315342043704	1.0006062075654705	0.8185197149495791	0.9100869084639426	0.8993863194132615
A0A1D5PVS5	5'-nucleotidase OS=Gallus gallus OX=9031 GN=NT5C3A PE=1 SV=1	NT5C3A	7.21	2	2	0.0	12014.2	12767.6	9283.0	1.058059932833893	1.1244099480989174	0.8175301190671895	1.0627091275324199	0.7726690083401307	1.3753743401917484
A0A1D5PWK2	ADP-ribosylation factor-like protein 6 OS=Gallus gallus OX=9031 GN=CRYBG3 PE=1 SV=2	CRYBG3	35.48	5	5	3.0	94681.9	39856.4	58195.8	1.4737698207011631	0.6203842495956866	0.9058459297031508	0.42095057239028794	0.6146454602199576	0.6848672928286921
A0A1D5PXH4	glutamine--fructose-6-phosphate transaminase (isomerizing) OS=Gallus gallus OX=9031 GN=GFPT1 PE=1 SV=1	GFPT1	32.31	19	19	19.0	66091.0	184569.0	70880.4	0.6166347992351816	1.7220448814519107	0.6613203193129074	2.792649528680153	1.0724667503896141	2.603949751976569
A0A1D5PXI1	Multifunctional fusion protein OS=Gallus gallus OX=9031 GN=ALDH4A1 PE=1 SV=1	ALDH4A1	4.36	2	2	2.0	17840.4	24290.2	26898.0	0.7753481890115111	1.0556580895454926	1.168993721442996	1.361527768435685	1.5077016210398868	0.9030485537958212
A0A1D5PY21	FUN14 domain-containing protein 2 OS=Gallus gallus OX=9031 GN=FUNDC2 PE=1 SV=2	FUNDC2	20.77	3	3	3.0	12166.3	15623.8	7150.2	1.044607516249145	1.341471023431396	0.6139214603194593	1.2841866467208602	0.5877053829019505	2.18508573186764
A0A1D5PYQ3	Eukaryotic peptide chain release factor GTP-binding subunit OS=Gallus gallus OX=9031 GN=GSPT2 PE=1 SV=1	GSPT2	4.69	3	3	3.0	16673.3	17200.0	7794.87	1.200434288330877	1.2383553201400492	0.5612103915290736	1.0315894274078916	0.4675061325592414	2.2065794554623746
A0A1D5Q032	Adenylyl cyclase-associated protein OS=Gallus gallus OX=9031 GN=CAP1 PE=1 SV=2	CAP1	20.9	9	9	9.0	62072.5	96553.3	34310.2	0.9651775718372932	1.5013263465605176	0.5334960816021893	1.5554923677957226	0.5527439687462241	2.8141281601389676
A0A1D6UPS9	Splicing factor 3B subunit 3 OS=Gallus gallus OX=9031 GN=SF3B3 PE=1 SV=1	SF3B3	2.22	2	2	2.0	4202.46	6811.38		0.763123488265673	1.236876511734327		1.6208078125669252		
A0A1I7Q3Z0	Tyrosine-protein kinase OS=Gallus gallus OX=9031 GN=SRC PE=3 SV=2	SRC	11.32	7	2	0.0	10901.2	12870.1	17212.8	0.7979582325828797	0.9420799773570725	1.2599617900600475	1.1806131435071368	1.5789821304076614	0.7477051961331103
A0A1I7Q422	Transthyretin OS=Gallus gallus OX=9031 GN=TTR PE=1 SV=1	TTR	47.02	6	6	6.0	409232.0	606448.0	341287.0	0.9047353399161513	1.3407429952239074	0.7545216648599413	1.4819173476169996	0.8339694843023028	1.7769443313105977
A0A1L1RIY4	Argininosuccinate lyase OS=Gallus gallus OX=9031 GN=ASL PE=3 SV=2	ASL	12.06	7	7	4.0	80374.2	111178.0	67494.7	0.9308067380848795	1.287542912113598	0.7816503498015224	1.3832548255534738	0.8397557922816029	1.6472108180346012
A0A1L1RMP9	ADP-ribosylation factor-like protein 1 OS=Gallus gallus OX=9031 GN=ARL1 PE=1 SV=2	ARL1	14.72	3	3	1.0	32455.0	26327.6	25990.6	1.1485351502597518	0.9316953942991416	0.9197694554411063	0.8112032044369126	0.8008195963641965	1.0129662262510293
A0A1L1RNI5	Atlastin-1 OS=Gallus gallus OX=9031 GN=ATL1 PE=1 SV=2	ATL1	1.79	1	1	1.0		2167.3			1.0				
A0A1L1RP76	SH3 domain containing ring finger 2 OS=Gallus gallus OX=9031 GN=SH3RF2 PE=3 SV=2	SH3RF2	1.71	1	1	1.0	779157.0	448064.0	1281840.0	0.9316118659530398	0.5357350817696341	1.532653052277326	0.5750625355352003	1.6451626565634396	0.3495475254321912
A0A1L1RQ37	Secreted frizzled-related protein 1 OS=Gallus gallus OX=9031 GN=SFRP1 PE=3 SV=1	SFRP1	5.21	1	1	1.0		9776.08			1.0				
A0A1L1RQ91	Glucose-6-phosphate isomerase OS=Gallus gallus OX=9031 GN=GPI PE=1 SV=2	GPI	11.39	6	6	6.0	43494.1	20914.7	21702.6	1.515273239083327	0.7286387168249501	0.756088044091723	0.48086292163764743	0.4989780223064737	0.9636955940762859
A0A1L1RR91	DnaJ homolog subfamily B member 11 OS=Gallus gallus OX=9031 GN=DNAJB11 PE=1 SV=2	DNAJB11	30.73	11	11	11.0	415725.0	284251.0	263604.0	1.2943139127005543	0.8849841217127795	0.8207019655866664	0.6837476697335979	0.6340826267364242	1.0783258220664331
A0A1L1RRM0	Vesicle trafficking 1 OS=Gallus gallus OX=9031 GN=VTA1 PE=1 SV=2	VTA1	4.35	2	2	2.0	175298.0	120471.0	152497.0	1.1731739636733547	0.8062467374282234	1.020579298898422	0.6872354504900227	0.869930061951648	0.7899893112651396
A0A1L1RRQ2	Mitotic checkpoint protein BUB3 OS=Gallus gallus OX=9031 GN=BUB3 PE=1 SV=1	BUB3	1.79	1	1	1.0		9844.74			1.0				
A0A1L1RRY6	THUMP domain containing 3 OS=Gallus gallus OX=9031 GN=THUMPD3 PE=1 SV=2	THUMPD3	1.61	1	1	1.0	5264.28	7512.18	4033.6	0.9394874259818229	1.3406579155577079	0.7198546584604696	1.4270099614762133	0.7662206417591769	1.8624008330027766
A0A1L1RSD2	Glucuronidase beta OS=Gallus gallus OX=9031 GN=GUSB PE=1 SV=2	GUSB	10.3	7	7	7.0	35439.6	24118.7	43188.7	1.0347630587754386	0.7042161814943502	1.261020759730211	0.6805579069741193	1.2186565311120894	0.5584493166036487
A0A1L1RT94	Large ribosomal subunit protein eL31 OS=Gallus gallus OX=9031 GN=RPL31 PE=1 SV=2	RPL31	5.11	1	1	1.0	71961.5	60216.3	73586.9	1.0491814193591031	0.8779392189233627	1.0728793617175347	0.8367849475066529	1.0225870778124413	0.8183018988434084
A0A1L1RTK2	Torsin family 1 member B OS=Gallus gallus OX=9031 GN=TOR1B PE=1 SV=2	TOR1B	31.95	12	12	12.0	604838.0	569760.0	545050.0	1.0551659409367498	0.9939708591525708	0.9508631999106794	0.9420043052850516	0.9011503906831251	1.045335290340336
A0A1L1RV27	microtubule-severing ATPase OS=Gallus gallus OX=9031 GN=SPAST PE=1 SV=2	SPAST	5.4	2	2	0.0	32597.5	32607.5	30736.3	1.0192951315022831	1.0196078226999217	0.9610970457977951	1.0003067719917171	0.9429035969016029	1.0608791559166197
A0A1L1RW56	Hexosyltransferase OS=Gallus gallus OX=9031 GN=CHPF2 PE=3 SV=2	CHPF2	25.13	17	16	16.0	95249.1	82118.5	115643.0	0.9752114769909349	0.8407733372103262	1.184015185798739	0.8621446291880972	1.214111209449748	0.7101035082106136
A0A1L1RWF6	Calponin OS=Gallus gallus OX=9031 GN=CNN3 PE=1 SV=2	CNN3	7.25	2	2	2.0	315559.0	62383.4		1.6698787963456865	0.33012120365431347		0.19769171533691007		
A0A1L1RWI9	Calcium/calmodulin dependent protein kinase IV OS=Gallus gallus OX=9031 GN=CAMK4 PE=1 SV=2	CAMK4	22.13	8	8	7.0	49060.9	26540.4	31461.7	1.3747298319680936	0.7436854935878876	0.881584674444019	0.5409684697997795	0.6412784926489322	0.8435780647581027
A0A1L1RWR0	Transthyretin OS=Gallus gallus OX=9031 GN=LOC112531842 PE=3 SV=2	LOC112531842	38.1	5	5	5.0	170285.0	265593.0	146129.0	0.8777471748621579	1.3690196166025494	0.7532332085352925	1.559696978594709	0.8581437002671992	1.8175242422790823
A0A1L1RWX8	Vacuolar protein sorting-associated protein 35 OS=Gallus gallus OX=9031 GN=VPS35 PE=1 SV=2	VPS35	7.29	5	5	5.0	32834.8	66639.2	40734.9	0.7025545453961911	1.425855277375402	0.8715901772284071	2.029529645376247	1.2406014350627992	1.6359239865569817
A0A1L1RX26	Eukaryotic peptide chain release factor subunit 1 OS=Gallus gallus OX=9031 GN=ETF1 PE=1 SV=1	ETF1	7.55	3	3	3.0	15695.9	24423.9	6387.84	1.0124723593800933	1.5754766313663735	0.4120510092535334	1.5560687822934653	0.40697506992271865	3.823499023143974
A0A1L1RX77	Decorin OS=Gallus gallus OX=9031 GN=DCN PE=3 SV=2	DCN	9.8	3	3	3.0	17525.4	21562.9	32403.9	0.7354116952618607	0.9048357722940403	1.3597525324440987	1.230379905736816	1.8489677839022218	0.665441505497795
A0A1L1RXA3	Ubiquitin carboxyl-terminal hydrolase OS=Gallus gallus OX=9031 GN=UCHL3 PE=1 SV=2	UCHL3	12.61	2	2	2.0	14088.0	25454.2		0.7125551941975915	1.2874448058024086		1.8068001135718341		
A0A1L1RZ23	Cilia- and flagella-associated protein 20 OS=Gallus gallus OX=9031 GN=CFAP20 PE=1 SV=2	CFAP20	16.39	4	4	4.0	184409.0	63819.9	131685.0	1.4561904684192917	0.5039555014965232	1.0398540300841848	0.3460780113768851	0.7140920453990858	0.4846406196605536
A0A1L1S0X5	Large ribosomal subunit protein eL34 OS=Gallus gallus OX=9031 GN=RPL34 PE=1 SV=2	RPL34	20.51	3	3	3.0	15777.8	51377.0	26973.8	0.5028588548007725	1.6374513166030302	0.859689828596197	3.2562841460786673	1.7096046343596698	1.9047001164092565
A0A1L4FLS3	Toll-like receptor 3 OS=Gallus gallus OX=9031 GN=TLR3 PE=1 SV=1	TLR3	3.79	3	3	2.0	6488.64	9405.93	9986.62	0.7521261580321461	1.090281783797422	1.157592058170432	1.4495996079301672	1.5390929378113134	0.9418531995810393
A0A3Q2TRY2	Serine/threonine-protein kinase TAO3 OS=Gallus gallus OX=9031 GN=TAOK3 PE=1 SV=1	TAOK3	3.56	3	3	2.0	9059.76	8817.67	7879.29	1.055230634956625	1.0270333334368662	0.9177360316065089	0.9732785415949208	0.8697018464065273	1.1190944869398132
A0A3Q2TU20	Trafficking protein particle complex subunit OS=Gallus gallus OX=9031 GN=TRAPPC3 PE=3 SV=1	TRAPPC3	4.08	1	1	1.0		25049.9	10272.4		1.4183617714588235	0.5816382285411764			2.4385635294575763
A0A3Q2TV39	40S ribosomal protein S27 OS=Gallus gallus OX=9031 GN=RPS27L PE=3 SV=1	RPS27L	9.52	1	1	0.0	39208.9	60513.5		0.7863609379637876	1.2136390620362125		1.5433613286779275		
A0A3Q2TVY6	exo-alpha-sialidase OS=Gallus gallus OX=9031 GN=NEU2 PE=3 SV=1	NEU2	2.18	1	1	1.0	5707.57	3478.9		1.2426035245311855	0.7573964754688145		0.609523842896364		
A0A3Q2TYT2	Ras-related protein Rab-3 OS=Gallus gallus OX=9031 GN=RAB3B PE=1 SV=1	RAB3B	12.16	3	1	1.0	125459.0	59668.6	139130.0	1.1607345517884546	0.5520481247008552	1.2872173235106905	0.4756023880311497	1.1089678699814285	0.42886940271688345
A0A3Q2TZD8	UV excision repair protein RAD23 OS=Gallus gallus OX=9031 GN=RAD23B PE=1 SV=1	RAD23B	4.16	2	2	2.0	27532.0	28696.5	16272.0	1.139247315535755	1.1874331901159303	0.6733194943483148	1.042296237105913	0.591021356966439	1.7635508849557524
A0A3Q2TZM7	Protein kinase C and casein kinase substrate in neurons 3 OS=Gallus gallus OX=9031 GN=PACSIN3 PE=1 SV=1	PACSIN3	13.97	6	6	0.0	93618.3	75079.0	79359.7	1.1322192076821054	0.9080050149763965	0.959775777341498	0.8019692731015197	0.8476943076300252	0.946059523914531
A0A3Q2TZS5	Formin-binding protein 1-like OS=Gallus gallus OX=9031 GN=FNBP1L PE=1 SV=1	FNBP1L	6.95	4	4	1.0	17768.0	15685.1	11072.7	1.1971486194520928	1.0568097597348054	0.7460416208131017	0.882772399819901	0.623182125168843	1.4165560342102648
A0A3Q2U035	Disco interacting protein 2 homolog B OS=Gallus gallus OX=9031 GN=DIP2B PE=1 SV=1	DIP2B	0.51	1	1	1.0	9479.73	2825.75	9967.97	1.27682016032541	0.38059887444468643	1.3425809652299039	0.29808338423140746	1.0515035765786578	0.2834829960363043
A0A3Q2U0S7	RNA helicase OS=Gallus gallus OX=9031 GN=DDX3X PE=1 SV=1	DDX3X	22.61	13	13	12.0	28780.6	50333.8	22742.5	0.8476774769308707	1.4824857226167303	0.6698368004523995	1.7488794535207748	0.7902024280244332	2.213204353083434
A0A3Q2U1A5	Catenin delta 1 OS=Gallus gallus OX=9031 GN=CTNND1 PE=1 SV=1	CTNND1	13.63	10	10	10.0	11372.3	20661.3	5964.93	0.8978478904315509	1.631218365552562	0.47093374401588695	1.8168092646166563	0.52451395056409	3.4637958869592764
A0A3Q2U1D7	dynamin GTPase OS=Gallus gallus OX=9031 GN=DNM1 PE=1 SV=1	DNM1	7.43	7	7	7.0	44909.4	41434.8	42428.2	1.0462505940714002	0.9653031239613457	0.9884462819672537	0.9226308968723698	0.9447509875438105	0.976586327018351
A0A3Q2U211	TNF receptor superfamily member 11b OS=Gallus gallus OX=9031 GN=TNFRSF11B PE=4 SV=1	TNFRSF11B	27.27	8	8	0.0	280925.0	282321.0	188063.0	1.1217421859714178	1.1273164570103644	0.7509413570182175	1.0049692978552993	0.669442021891964	1.501204383637398
A0A3Q2U2N6	ATPase 13A3 OS=Gallus gallus OX=9031 GN=ATP13A3 PE=3 SV=1	ATP13A3	1.34	2	2	2.0		5399.98	8985.29		0.7507651924503328	1.2492348075496673			0.6009800462756348
A0A3Q2U596	Lamin B2 OS=Gallus gallus OX=9031 GN=LMNB2 PE=1 SV=1	LMNB2	7.29	5	4	1.0	20684.0	15920.9	8961.43	1.3617949920478565	1.0482015997338385	0.5900034082183051	0.7697205569522335	0.4332542061496809	1.77660261810894
A0A3Q2U5L9	Ribosomal protein S6 kinase OS=Gallus gallus OX=9031 GN=RPS6KA1 PE=3 SV=1	RPS6KA1	9.59	5	1	1.0		5228.96			1.0				
A0A3Q2U7H6	Prostaglandin E synthase 3 OS=Gallus gallus OX=9031 GN=PTGES3 PE=3 SV=1	PTGES3	20.22	3	3	3.0	70546.5	107797.0	56982.3	0.8993467779563482	1.3742267103734482	0.7264265116702037	1.5280276129928487	0.8077268184814271	1.891762880754199
A0A3Q2U9P1	peptidylprolyl isomerase OS=Gallus gallus OX=9031 GN=FKBP4 PE=1 SV=1	FKBP4	30.82	11	11	11.0	26957.1	43615.5	24943.3	0.8466789298954414	1.3698923425314529	0.7834287275731056	1.6179596469946695	0.9252961186477775	1.748585792577566
A0A3Q2U9U9	Serine/threonine-protein kinase OSR1 OS=Gallus gallus OX=9031 GN=OXSR1 PE=1 SV=1	OXSR1	19.89	9	9	8.0	35771.0	58957.0	25348.7	0.8937037743375693	1.4729835180347228	0.633312707627708	1.6481786922367279	0.7086382824075368	2.3258391949094035
A0A3Q2UAA1	DnaJ heat shock protein family (Hsp40) member B1 OS=Gallus gallus OX=9031 GN=DNAJB1 PE=4 SV=1	DNAJB1	30.18	10	10	10.0	20221.1	20125.8	10122.2	1.2019889397671053	1.1963240874119019	0.6016869728209936	0.9952871010973686	0.5005761308731969	1.9882831795459486
