Protein accession	Protein description	Gene name	Coverage [%]	Peptides	Razor + unique peptides	Unique peptides	Intensity G1	Intensity G2	Intensity G3	G1	G2	G3	G2/G1 Ratio	G3/G1 Ratio	G2/G3 Ratio
Q5ZMH1	Septin-2 OS=Gallus gallus OX=9031 GN=SEPTIN2 PE=2 SV=1	SEPTIN2	3.15	1	1	1.0		4082.72			1.0				
Q5ZMJ6	ADP/ATP translocase OS=Gallus gallus OX=9031 GN=SLC25A4 PE=1 SV=1	SLC25A4	23.83	7	1	1.0		39909.4	6220.13		1.730318951873128	0.2696810481268723			6.41616815082643
Q5ZMP2	Syntaxin-7 OS=Gallus gallus OX=9031 GN=STX7 PE=1 SV=1	STX7	12.79	3	3	3.0	16657.3	15753.2	19075.1	0.970599546280902	0.9179187967120905	1.1114816570070079	0.9457234966050921	1.1451495740606221	0.8258515027444155
Q5ZMS3	Eukaryotic translation initiation factor 2 subunit 3 OS=Gallus gallus OX=9031 GN=EIF2S3 PE=1 SV=1	EIF2S3	10.81	5	5	0.0	12816.2	38999.3	15693.7	0.5695312638869962	1.7330660117435848	0.6974027243694193	3.0429690547900314	1.2245205287058567	2.4850290243855815
Q76KB2	Heparan-sulfate 6-O-sulfotransferase 1 OS=Gallus gallus OX=9031 GN=HS6ST1 PE=1 SV=4	HS6ST1	9.8	6	4	4.0	92054.3	36221.0	56242.4	1.496674302790464	0.5889028532222111	0.9144228439873248	0.3934742863722824	0.61096982976352	0.6440159025930614
Q76LW2	Heparan-sulfate 6-O-sulfotransferase 2 OS=Gallus gallus OX=9031 GN=HS6ST2 PE=1 SV=1	HS6ST2	23.57	11	11	11.0	294017.0	254989.0	248484.0	1.1060339314599557	0.9592182974081179	0.9347477711319264	0.8672593761585213	0.8451348051303156	1.0261787479274318
Q8AXV0	Endophilin-A2 OS=Gallus gallus OX=9031 GN=SH3GL1 PE=1 SV=1	SH3GL1	30.52	10	10	8.0	151004.0	77434.0	80589.4	1.4659282639662372	0.7517197504169533	0.7823519856168092	0.5127943630632301	0.5336904982649465	0.9608459673356547
Q90773	Protein CEPU-1 OS=Gallus gallus OX=9031 PE=1 SV=1	--	19.55	6	6	0.0	252879.0	242653.0	193656.0	1.1007693111313603	1.05625605785359	0.8429746310150495	0.9595616876055347	0.7658049897381751	1.2530104928326518
Q98932	Ras-related protein Rab-5C OS=Gallus gallus OX=9031 GN=RAB5C PE=1 SV=1	RAB5C	32.41	6	6	2.0	199074.0	166559.0	126208.0	1.2142582663909678	1.015931978017286	0.7698097555917461	0.8366687764348935	0.6339753056652301	1.3197182429006082
Q98953	Protein S100-A6 OS=Gallus gallus OX=9031 GN=S100A6 PE=3 SV=1	S100A6	16.3	2	2	2.0	86599.1	71833.6	27863.4	1.3945396602505367	1.1567649564322602	0.4486953833172031	0.829495918548807	0.32175161173730443	2.5780629786745335
Q98TQ8	CCN family member 2 OS=Gallus gallus OX=9031 GN=CCN2 PE=2 SV=1	CCN2	46.22	14	14	14.0	191599.0	203254.0	273154.0	0.8604655340438049	0.9128077999182643	1.2267266660379308	1.0608301713474497	1.4256546224145221	0.744100397577923
Q9DD78	Toll-like receptor 2 type-1 OS=Gallus gallus OX=9031 GN=TLR2-1 PE=2 SV=1	TLR2-1	8.45	6	6	6.0	25750.4	20723.5	23924.5	1.0973431214345781	0.8831237641764587	1.0195331143889634	0.8047836150118057	0.9290923636137691	0.8662041003991725
Q9I946	Platelet-derived growth factor C OS=Gallus gallus OX=9031 GN=PDGFC PE=2 SV=1	PDGFC	29.57	11	11	11.0	692934.0	423860.0	830220.0	1.0676872379962343	0.6530923763260049	1.279220385677761	0.611688847711326	1.198122764938652	0.5105393751053937
A0A0A0MQ32	Lysyl oxidase homolog OS=Gallus gallus OX=9031 GN=LOXL2 PE=3 SV=1	LOXL2	15.52	10	10	9.0	274627.0	199679.0	288090.0	1.080647065304645	0.7857294634284545	1.1336234712669007	0.7270916552269077	1.0490228564562114	0.693113263216356
A0A140T8F8	Beta-1,3-N-acetylglucosaminyltransferase OS=Gallus gallus OX=9031 GN=RFNG PE=3 SV=1	RFNG	14.78	5	5	5.0	38166.3	37892.2	46215.2	0.936414780938174	0.9296897043272592	1.1338955147345666	0.9928182716165831	1.2108902356267175	0.8199077359829667
A0A1D5NU82	Tubulin gamma chain OS=Gallus gallus OX=9031 GN=TUBG1 PE=1 SV=2	TUBG1	1.99	1	1	1.0	11098.9	17968.7	6802.23	0.9282647840817756	1.5028256336871404	0.5689095822310838	1.618962239501212	0.6128742487994305	2.641589596352961
A0A1D5NUH3	Mothers against decapentaplegic homolog OS=Gallus gallus OX=9031 GN=LOC769000 PE=3 SV=2	LOC769000	5.14	2	2	2.0	9947.32	8434.8	7333.65	1.1604536827013152	0.984003201148556	0.8555431161501289	0.8479469847154812	0.7372488268196861	1.1501503344173776
A0A1D5NWT4	Ribosomal protein S6 kinase OS=Gallus gallus OX=9031 GN=RPS6KA3 PE=1 SV=1	RPS6KA3	12.3	7	7	6.0	20383.5	28538.1	28650.5	0.7883053314271496	1.1036738724360948	1.1080207961367552	1.4000588711457795	1.4055731351338092	0.9960768572974295
