Protein accession	Gene name	ratio	type
A0A8V1AJ90	TRIM25	0.642354224144359	Down
A0A8V0ZG43	DRG1	0.6056056903437951	Down
A0A8V0ZG90	VTG3	0.5251003922082541	Down
A0A8V0ZH18	CCDC33	0.4848970550996613	Down
A0A8V0ZNT4	RSPRY1	0.6514655027263662	Down
A0A8V0XRC4	VCAN	0.3965801285174634	Down
A0A1D5PNG3	EIF6	0.5580157850508254	Down
A0A1D5PQV0	ACO1	0.5525787276201259	Down
A0A8V1A4P2	PGM1	0.4606404477747713	Down
A0A8V1A4K1	UFC1	0.6400886822266617	Down
A0A8V0ZWT8	MSMB	0.3636939232491699	Down
A0A8V1A4I0	HSPB11	0.4464305000540016	Down
A0A8V1A3Y6	MAATS1	0.6435757631547271	Down
A0A8V0ZXC9	EXTL2	0.6033231293336868	Down
A0A8V1A3S8	SRCIN1	0.3847239359050833	Down
A0A8V1A3H9	MST1	0.4628156575106655	Down
A0A8V0ZXI1	SNED1	0.5353147912657693	Down
A0A1D5PCU0	ATP6V0A4	0.4675628786022203	Down
A0A8V1A3H7	APOF	0.4186893322356325	Down
A0A8V1A3D7	--	0.4613284791752738	Down
A0A1D5PC37	SNX33	0.5668118123499265	Down
A0A1D5PBU5	KIF2A	0.5698322428659508	Down
A0A8V1A2Q3	MAB21L3	0.3772414400583875	Down
Q5ZJ58	PIP5K1B	0.5586696742922238	Down
A0A8V0ZYC3	RASSF7	0.17286556726855234	Down
A0A1D5P0D7	GDF6	0.4422376542420725	Down
Q76KB2	HS6ST1	0.6440159025930614	Down
A0A8V0ZZD4	--	0.27493983370345504	Down
A0A8V0ZZH6	--	0.3562636579859224	Down
A0A8V0ZZJ1	--	0.4164458209189274	Down
A0A8V0ZWC9	MGAT4C	0.5590816377571153	Down
A0A8V0ZW33	TIMELESS	0.4335844311847815	Down
A0A8V1A535	ANKS1A	0.6663720041847829	Down
A0A8V1A583	RPESL	0.4270290064740135	Down
A0A8V0XK27	DYNC2H1	0.6173758433212007	Down
A0A8V0ZQE9	FRRS1	0.3763292016248434	Down
A0A8V0ZQJ4	--	0.5013829429024965	Down
A0A8V0ZQS2	INPP5D	0.5459215143492171	Down
A0A8V1AAN6	TNC	0.5700358946666243	Down
A0A8V0ZRE1	CFAP57	0.6625722970973555	Down
A0A8V0XA92	ENPEP	0.4908231938316174	Down
A0A8V1AAH7	VAV2	0.22215261395689012	Down
A0A8V0ZRN1	THSD4	0.4454909955602478	Down
A0A8V0YJV4	AKR1B1	0.4114304243532344	Down
A0A8V1AA32	C4BPS	0.208917685035739	Down
A0A8V0ZDV9	LOC419409	0.4189633887556614	Down
A0A8V0ZRU9	PCSK9	0.6377054777107076	Down
A0A8V1A929	--	0.6321608151757667	Down
A0A8V1A8R6	C8G	0.10052218883220353	Down
A0A8V0X4D8	FURIN	0.4035629783529437	Down
A0A8V0ZT48	HYDIN	0.3653436397858305	Down
A0A8V0WZJ4	B3GAT3	0.5243230366848486	Down
A0A8V0ZTA5	PEBP1	0.3933129042842412	Down
A0A8V0ZTN5	--	0.5286532809515798	Down
A0A3Q2U2N5	ATP8A1	0.5852067306385407	Down
A0A8V0ZTX8	OVSTL	0.3884009068692401	Down
A0A8V1A635	C1orf228	0.6355534907293998	Down
A0A8V0ZVP0	--	0.5307801165389335	Down
A0A8V1A9L3	PRUNE1	0.549167364099455	Down
A0A8V1AP07	LOC123575613	0.4520525078438399	Down
Q9I946	PDGFC	0.5105393751053937	Down
E1BYF1	CTH	0.662473223306099	Down
F1NJI3	MPZL3	0.20943607789126809	Down
A0A8V0ZBA3	PLEK2	0.6131940855694992	Down
A0A3Q2TTB3	PRIMPOL	0.16196716127342714	Down
A0A8V0ZAP0	GOLGA3	0.1824913531454814	Down
A0A8V0ZTG6	PROC	0.6132508807658575	Down
A0A8V0ZCA3	PRADC1	0.6170902174318428	Down
A0A8V0ZBS5	CEP104	0.326986632081442	Down
R4GM80	C5orf49	0.25773119205268163	Down
A0A8V1AB67	RAB3A	0.41930442018148495	Down
F1NSM7	--	0.3838366873571306	Down
Q5ZKV5	ARRDC1	0.35433011111169266	Down
O12971	LFNG	0.3960834329947369	Down
A0A8V0Z888	MDGA2	0.3215298765569653	Down
A0A8V0ZUZ0	ST14	0.6542322086839069	Down
A0A8V0ZG46	NT5C2	0.5090646354306988	Down
A0A8V1A0M8	GGT5	0.15143548462146944	Down
E1BXC9	KCTD4	0.4336987415632075	Down
A0A8V0ZC57	CFAP43	0.6364771460423634	Down
A0A8V1A3N1	MST1R	0.6064080509203509	Down
A0A8V0Z9W5	TMC7	0.6006081391648693	Down
F1P4D6	SLC22A23	0.6237642585551331	Down
A0A8V1A6U2	THEM4	0.6578007494054775	Down
R4GH52	P3H4	0.556656067272269	Down
E1BQI2	RAP2A	0.5299516330262686	Down
A0A8V0ZAU8	BIN3	0.4655642830841931	Down
A0A8V0ZB91	SEMA7A	0.5029381621924516	Down
A0A8V0ZAS0	LOC100858647	0.6601226974994503	Down
A0A8V0ZA56	PCSK6	0.6383002290263653	Down
Q5ZIB0	SDF2L1	0.5827106965971535	Down
A0A8V0ZAP5	HMCN1	0.5971890517345062	Down
