G3vsG1	Protein accession	Gene name	G3	G1	Log2FC
1	A0A8V0Y9F9	AvBD11	0.026768608344441027	2.9119157087894365	-6.765
2	A0A8V0Y3U3	OvoDA1	0.02946197878586285	2.909573378178448	-6.626
3	A0A8V0XR98	CD163L	0.029206576356231542	2.8694911960940117	-6.618
4	A0A8V0YJ25	OVALY	0.034223543117962635	2.933073222469024	-6.421
5	A0A8V0YRT1	BPIFB2	0.03570466279183656	2.938669018343768	-6.363
6	O42273	TENP	0.038315889616566616	2.9303123417667134	-6.257
7	A0A8V0YPM0	SPINK7	0.04170961138927157	2.9202194943350626	-6.13
8	A0A8V1A2P1	--	0.049522564473532565	2.747275983134703	-5.794
9	A0A8V1AH71	ORM1	0.052172742163384765	2.8760612305075326	-5.785
10	A0A8V0Y614	OVALX	0.05390758691320656	2.921036104422707	-5.76
11	A0A8V1A1Z6	LOC395944	0.05602795902411117	2.1918640476383997	-5.29
12	A0A8V1A1T7	OVOA	0.08789153726415208	2.822572516225695	-5.005
13	A0A8V0ZKM2	OVST	0.09985729225798183	2.8339315304520367	-4.827
14	Q8QFM7	L-PGDS	0.10241587872870084	2.642186380969103	-4.689
15	R4GGQ4	TIMM13	1.7903912853418762	0.0742398764530014	4.592
16	P01875	--	2.7203679922272728	0.15455465718514005	4.138
17	A0A140T8H8	RBP	0.16141653669514347	2.651866231740704	-4.038
18	P01012	SERPINB14	0.18715259149983984	2.606624336007723	-3.8
19	F1NUX4	MTOR	0.18533090435686728	2.433493663254741	-3.715
20	F1NBR3	MOXD1	1.5354498543256598	0.11875340113475714	3.693
21	P00698	LYZ	0.2118268143068724	2.4735929865071307	-3.546
22	A0A146F047	KRT6A	0.17259837903511907	1.9786619985508016	-3.519
23	A0A8V0YW57	MSH2	2.3682196946461374	0.22820915629633004	3.375
24	A0A8V0XBS7	SGK3	0.2355574922643663	2.3160857242424915	-3.298
25	A0A8V0ZQ48	A2ML1	0.26573994629905945	2.55030209018104	-3.263
26	A0A8V0YZG8	SRBD1	2.003383753686524	0.2164495369643698	3.21
27	E1C5R1	--	0.2762441316492065	2.3970072461407064	-3.117
28	A0A8V0ZRF2	TRPM5	0.21096201453822988	1.7890379854617702	-3.084
29	A0A8V0YRF2	BIRC8	2.4086659779059962	0.2909536282893061	3.049
30	A0A0A8WJ47	OvoDB1	0.27832192459225674	2.2712432359605117	-3.029
