Protein accession	Gene name	ratio	type
A0A1D5NW85	EXFABP	0.38365070178490907	Down
A0A8V0YZ75	C4orf47	0.4975417558045965	Down
A0A8V0YYX3	ECI1	0.5538319861507023	Down
A0A8V0X0T6	--	0.4304757285304053	Down
A0A8V0X548	GPD1L	0.42393437441636617	Down
A0A8V0YY70	TTC8	0.6470121878581492	Down
A0A8V0YXU7	VDAC3	0.5648393316788295	Down
A0A8V0X207	EMILIN2	0.3643890992728202	Down
A0A8V0X6I8	ALDOA	0.5039552101567235	Down
A0A8V0X6J5	TPTE	0.6023942751904422	Down
A0A8V0X381	DCHS1	0.5105020080321285	Down
A0A8V0X6Y3	--	0.6502509222277316	Down
A0A8V0X7N6	LOC100859273	0.5433105229385953	Down
A0A8V0X7X5	ADGRG2	0.6144512012482674	Down
A0A8V0YW85	SPINK5	0.190847348301604	Down
A0A8V0X2V3	RASAL1	0.634966960352423	Down
A0A8V0ZJP1	RPLP0	0.4738318530161619	Down
A0A8V0X895	DDX1	0.2984141809582481	Down
A0A8V0YVP9	GAS6	0.5795854024748781	Down
A0A8V0YVE0	TXNDC9	0.6200663289808716	Down
A0A8V0X348	NAPG	0.6380321792810594	Down
A0A8V0ZJT8	GOT2	0.5814803927332588	Down
A0A8V0YV52	CFAP99	0.5086673757935177	Down
A0A8V0WZB7	MAP1A	0.4134814597301751	Down
A0A8V0X1D0	KPNA4	0.622170282746987	Down
A0A3Q2UJ64	UQCRB	0.5696913741310908	Down
A0A3Q2U1A5	CTNND1	0.52451395056409	Down
A0A8V0Z2F8	ALDH1A3	0.4668421148820294	Down
A0A3Q2U596	LMNB2	0.4332542061496809	Down
A0A8V0ZNX9	PSMB3	0.5517463006512636	Down
A0A8V0ZNT2	PITPNB	0.2634731977060916	Down
A0A3Q2UAA1	DNAJB1	0.5005761308731969	Down
A0A3Q2UD60	TPST1	0.1454193345676275	Down
A0A8V0ZNA1	RPL27	0.636182193276971	Down
A0A452J7Z2	SDC4	0.4808921078371637	Down
A0A8V0Z0W8	PPL	0.5664085315005628	Down
A0A3Q3ALT4	ADAP1L	0.5510224290736249	Down
A0A8V0Z0G8	PSME4	0.6135638881929559	Down
A0A8V0ZML0	COPZ1	0.391811198052322	Down
A0A8V0Z083	EFL1	0.3285022500083026	Down
A0A8V0ZLV3	AMY1A	0.5315752235733054	Down
A0A3Q3B012	LZTFL1	0.6606678302788513	Down
