G2vsG1	Protein accession	Gene name	G2	G1	Log2FC
1	A0A8V0Y614	OVALX	0.025056308664086317	2.921036104422707	-6.865
2	A0A8V0YRT1	BPIFB2	0.02562631886439606	2.938669018343768	-6.841
3	O42273	TENP	0.03137176861671995	2.9303123417667134	-6.545
4	A0A8V0YJ25	OVALY	0.03270323441301338	2.933073222469024	-6.487
5	A0A8V0YPM0	SPINK7	0.03807089427566597	2.9202194943350626	-6.261
6	A0A8V0Y3U3	OvoDA1	0.060964643035688874	2.909573378178448	-5.577
7	A0A8V0Y9F9	AvBD11	0.06131568286612205	2.9119157087894365	-5.57
8	A0A8V0ZKM2	OVST	0.06621117728998098	2.8339315304520367	-5.42
9	A0A8V1AH71	ORM1	0.07176602732908245	2.8760612305075326	-5.325
10	A0A8V1A1T7	OVOA	0.08953594651015286	2.822572516225695	-4.978
11	A0A8V0XR98	CD163L	0.10130222754975672	2.8694911960940117	-4.824
12	A0A8V0X8T4	FAM105A	0.08312048392955704	1.916879516070443	-4.527
13	A0A8V0YKJ3	AGK	0.11526106280829987	1.8847389371917005	-4.031
14	R4GGQ4	TIMM13	1.1353688382051226	0.0742398764530014	3.935
15	A0A8V0YVI8	SYNE2	2.5043934693159833	0.1748349831270702	3.84
16	A0A140T8H8	RBP	0.18671723156415296	2.651866231740704	-3.828
17	A0A8V0ZQ48	A2ML1	0.1839579635199014	2.55030209018104	-3.793
18	A0A8V0ZER3	--	0.1398084783778189	1.9201499864448632	-3.78
19	A0A1D5P1C0	LRRFIP2	0.13714595960829662	1.8628540403917035	-3.764
20	A0A8V1A2P1	--	0.20320145239176415	2.747275983134703	-3.757
21	P01012	SERPINB14	0.2062230724924371	2.606624336007723	-3.66
22	F1NBR3	MOXD1	1.345796744539583	0.11875340113475714	3.502
23	A0A8V0XK73	ZDHHC14	0.18123229172342395	2.0394443347136706	-3.492
24	A0A8V0Y218	LOC121108177	0.1170446391946961	1.3008433343950168	-3.474
25	A0A8V0X535	NDUFB11	2.3512662153225765	0.21976398849333292	3.419
26	Q8QFM7	L-PGDS	0.2553977403021958	2.642186380969103	-3.371
27	A0A8V1AFY1	GIMAP7L5	0.17483412810789406	1.6180153033822289	-3.21
28	A0A8V0YTD7	WFDC2	0.2774540961900371	2.3981715590805948	-3.112
29	A0A8V0Y986	CEP290	0.2147488277132349	1.785251172286765	-3.055
30	A0A8V1AEJ0	ANP32B	2.2180554684578597	0.2749662641591821	3.012
