Protein accession	Gene name	ratio	type
A0A1D5NW85	EXFABP	0.28363010804611577	Down
A0A8V0YR69	DTHD1	0.5188655787067789	Down
A0A8V0YR25	CEP135	0.3940603385633932	Down
A0A1L1RWF6	CNN3	0.19769171533691007	Down
A0A1L1RWI9	CAMK4	0.5409684697997795	Down
A0A8V0Z4J0	RPS27A	0.5208485903653857	Down
A0A8V0YQA1	FHL1	0.5057808310991958	Down
A0A8V0YQ88	VASN	0.5804333875367482	Down
A0A8V0YPT3	MPST	0.3407057766716252	Down
A0A1L1RZ23	CFAP20	0.3460780113768851	Down
A0A8V0YRA3	SYTL1	0.648598931263227	Down
A0A8V0YPQ6	DNAI7	0.5720673541733806	Down
A0A8V0YPM0	SPINK7	0.013036997509782995	Down
A0A3Q2TVY6	NEU2	0.6095238428963641	Down
A0A3Q2TYT2	RAB3B	0.4756023880311497	Down
A0A8V0Z490	CCDC39	0.5629041628536603	Down
A0A8V0YPA6	LOC101749216	0.33118933192282424	Down
A0A3Q2U035	DIP2B	0.29808338423140746	Down
A0A8V0YP15	PIH1D3	0.5997257905874639	Down
A0A8V0Z438	ZC3H14	0.19643982243053834	Down
A0A1L1RT39	RSPH3	0.5658207103582423	Down
A0A8V0YPP2	GPX3	0.5483248236732755	Down
A0A8V0YRQ0	BPIFB3	0.4289278078374769	Down
A0A1L1RLC7	HTATIP2	0.3088149455774468	Down
A0A8V0YRT1	BPIFB2	0.008720382834688557	Down
A0A8V0YW85	SPINK5	0.19644290145414187	Down
A0A8V0YVP9	GAS6	0.5087046299820484	Down
A0A1D5PT25	BPIFCB	0.6480074064052672	Down
A0A8V0YV52	CFAP99	0.4491332624206482	Down
A0A8V0Z6B9	DNAH3	0.5771114129488385	Down
A0A8V0Z637	ANXA4	0.5804349777394799	Down
A0A1D5PVR6	PTP4A2	0.572756483677045	Down
A0A1D5PXC2	DRC3	0.6366347633390962	Down
A0A8V0Z5L2	PDCD4	0.4785449895686116	Down
A0A1D5PXK6	STAMBP	0.6610073305843641	Down
A0A1D5PWK2	CRYBG3	0.420950572390288	Down
A0A8V0YTH9	--	0.5842802020048077	Down
A0A8V0YTE6	--	0.4913687938183926	Down
A0A8V0YTD8	NME5	0.5458245406018346	Down
A0A8V0YTD7	WFDC2	0.1156940149421198	Down
A0A1D5PZV7	CLDN23	0.5422510716472749	Down
A0A8V0YSE9	BMP7	0.5756631081132482	Down
A0A8V0Z4U2	RSPH9	0.5410655902072417	Down
A0A1L1RP76	SH3RF2	0.5750625355352003	Down
A0A1L1RQ91	GPI	0.4808629216376474	Down
A0A8V0Z4P8	STARD9	0.20961497816886526	Down
A0A8V0YNC1	LOC101748060	0.5106258091919084	Down
A0A1D5PQD0	IFT122	0.5173626834338885	Down
A0A8V0Z3H8	MESDC2	0.4854083944069316	Down
A0A8V0Z3C0	TRAIL-LIKE	0.21051706785205065	Down
A0A8V0YHC1	COL6A1	0.3691468907491016	Down
A0A8V0YGM5	TMEM2	0.6136121658673551	Down
A0A3Q2U3T5	OGFR	0.2860449094156673	Down
A0A8V0YGH2	RNF128	0.6330328968732958	Down
A0A8V0X852	SCIN	0.3809029037454107	Down
A0A3Q2U652	DIPK2A	0.6389359219767113	Down
A0A8V0YZM0	ABHD12	0.6654736710200218	Down
A0A8V0X8D5	BF1	0.5769382201884631	Down
A0A8V0YFU9	IQCA1	0.5574495208616523	Down
A0A8V0X6J5	TPTE	0.3625927766515831	Down
A0A8V0X8P6	TNX	0.2500002908211043	Down
A0A8V0YE66	--	0.5422400131627944	Down
A0A8V0X9Y5	ADGRL3	0.653600751154809	Down
A0A8V0XA12	PPIC	0.3524962886555479	Down
A0A8V0YDZ6	CCDC96	0.5891528570599708	Down
A0A8V0YDH5	RIBC1	0.619380248197964	Down
A0A8V0XAF8	WDR35	0.6296291155019669	Down
A0A3Q2UH76	CCDC166	0.5547775325826592	Down
A0A8V0XB58	CAMK2D	0.5508747104577696	Down
A0A8V0YZ27	PGD	0.4254574104876127	Down
A0A8V0YEQ1	WDR19	0.5146145371867895	Down
A0A8V0YHH6	--	0.5805646138550239	Down
A0A8V0X643	PPME1	0.4779551951208958	Down
A0A8V0YHL6	--	0.41851388253931776	Down
A0A3Q2UD60	TPST1	0.2183951924192215	Down
A0A8V0Z399	HBAD	0.4398236716352299	Down
A0A8V0YMC5	DAB2	0.533075625138305	Down
A0A3Q2UGT3	CDH2	0.6334910688329726	Down
A0A8V0Z2Q6	GLCE	0.5982494316169792	Down
A0A3Q3A7D8	TFPI2	0.501974699527662	Down
A0A3Q3AWM4	CSNK1G1	0.5881209809607868	Down
A0A8V0Z1C5	CRLS1	0.42064126218528897	Down
A0A8V0Z193	ARL3	0.4676250605348591	Down
A0A8V0X163	PFN2	0.5470374155904082	Down
A0A3Q2TSS2	SKAP2	0.6428005251294246	Down
A0A8V0YKR2	MYCBP	0.6217808320882018	Down
A0A8V0YKG4	CPNE3	0.4257045518687255	Down
A0A8V0X381	DCHS1	0.5517208835341366	Down
A0A8V0YKG1	IDUA	0.6371941195810437	Down
A0A8V0YKA1	AKR1B10	0.5593125655638451	Down
A0A3Q2TVX1	KY	0.35572326552159006	Down
A0A8V0X4Y4	IQCD	0.4784653059738179	Down
A0A8V0YJ25	OVALY	0.011149818614307968	Down
A0A3Q2TWG9	NTN3	0.5561947498440561	Down
A0A8V0YIE9	SPEF2	0.4839523116522604	Down
A0A1L1RWM1	FAM228	0.4111458084849536	Down
A0A8V0YWW6	VWA3A	0.5673870038813071	Down
A0A8V0YXI5	CLUAP1	0.6017108873520975	Down
A0A1D5PNL3	UBE2N	0.3591775860495067	Down
A0A8V0ZB91	SEMA7A	0.4776947845951082	Down
Q8QFM7	L-PGDS	0.09666151568328077	Down
A0A8V0ZAU8	BIN3	0.4158641609427845	Down
A0A8V0ZAS0	LOC100858647	0.5843258762716779	Down
Q90YI1	--	0.4912301807893667	Down
A0A1D5NZN4	FSTL3	0.3694554102585191	Down
A0A8V0ZAP0	GOLGA3	0.4214149341500085	Down
A0A8V0ZAD5	PIGQ	0.5529595524749042	Down
A0A1D5NZT1	IFT80	0.4131688358374316	Down
A0A1D5NYL9	LUZP2	0.3240449600093654	Down
A0A8V0ZA56	PCSK6	0.3633933855273242	Down
A0A146F047	KRT6A	0.4289462389411163	Down
A0A8V0Z9Z7	CENPF	0.5654627515710343	Down
A0A8V0ZDX0	DYNC2LI1	0.4744087115873375	Down
A0A1D5P1C0	LRRFIP2	0.0736214199473507	Down
A0A8V0ZDU4	SEMA4G	0.3479305382024071	Down
A0A8V0ZDK0	LMLN	0.4023521085948645	Down
A0A1D5P1F1	SPHK1	0.3848091229538987	Down
A0A1D5NVI1	RPL9	0.6574437033373941	Down
A0A1D5NVM6	MVB12A	0.6205518732665821	Down
A0A142EGP7	SLC7A5	0.5991964889404037	Down
A0A8V0ZBA3	PLEK2	0.6473361506705425	Down
A0A8V0ZE88	PPA1	0.4631891317832371	Down
Q5ZMG0	DDT	0.3750166512859608	Down
A0A8V0ZEJ3	SH2D6	0.4081761352515169	Down
A0A8V0ZEJ0	WDR63	0.3935470033092289	Down
R4GJC4	CMPK2	0.6617300867316925	Down
A0A8V0ZF60	RSPH10B	0.3941480112648397	Down
A0A8V0ZDV9	LOC419409	0.55577801735202	Down
