Protein.accession	Protein.description	Gene.name	G1	G2	G3	label
A0A8V0Y4G8	Leucine rich repeat and fibronectin type III domain containing 1 OS=Gallus gallus OX=9031 GN=LRFN1 PE=3 SV=1	LRFN1	1.01450127339178	0.792985299259299	1.19251342734893	A0A8V0Y4G8
A0A8V0Y969	Cadherin domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	1.03119139003406	0.783579892584919	1.18522871738102	A0A8V0Y969
A0A8V1AFC3	WW domain binding protein 2 OS=Gallus gallus OX=9031 GN=WBP2 PE=1 SV=1	WBP2	1.0266347309631	0.766521081770306	1.2068441872666	A0A8V1AFC3
A0A8V0XLN9	Solute carrier family 39 member 8 OS=Gallus gallus OX=9031 GN=SLC39A8 PE=1 SV=1	SLC39A8	1.04196626976148	0.759459631253073	1.19857409898545	A0A8V0XLN9
A0A8V0YU83	Phospholipid-transporting ATPase OS=Gallus gallus OX=9031 GN=ATP10A PE=3 SV=1	ATP10A	1.07316125714424	0.768330594637306	1.15850814821845	A0A8V0YU83
A0A8V0X370	Dynein axonemal heavy chain 5 OS=Gallus gallus OX=9031 GN=DNAH5 PE=1 SV=1	DNAH5	1.06558299265433	0.764782219297765	1.1696347880479	A0A8V0X370
A0A8V0YW12	Tyrosine-protein kinase OS=Gallus gallus OX=9031 GN=FRK PE=3 SV=1	FRK	1.05152935124485	0.770096603661251	1.17837404509389	A0A8V0YW12
A0A8V0ZBJ8	Exostosin glycosyltransferase 2 OS=Gallus gallus OX=9031 GN=EXT2 PE=3 SV=1	EXT2	1.06170704959679	0.757784575960772	1.18050837444244	A0A8V0ZBJ8
A0A8V0XJ84	Transforming growth factor beta-3 proprotein OS=Gallus gallus OX=9031 GN=TGFB3 PE=3 SV=1	TGFB3	1.06211230856495	0.753403289846852	1.1844844015882	A0A8V0XJ84
A0A8V1A929	SEA domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	1.05616781338323	0.752875898153591	1.19095628846318	A0A8V1A929
A0A8V0ZWH1	Polypeptide N-acetylgalactosaminyltransferase OS=Gallus gallus OX=9031 GN=GALNT6 PE=1 SV=1	GALNT6	1.07706268199614	0.752114832807247	1.17082248519661	A0A8V0ZWH1
A0A8V0XBI2	Calpain 5 OS=Gallus gallus OX=9031 GN=OMP PE=1 SV=1	OMP	1.08803640025701	0.748103203933488	1.1638603958095	A0A8V0XBI2
A0A8V0ZW46	UDP-glucose glycoprotein glucosyltransferase 1 OS=Gallus gallus OX=9031 GN=UGGT1 PE=1 SV=1	UGGT1	1.09940264638777	0.739119766498553	1.16147758711367	A0A8V0ZW46
A0A8V1ACS0	Ubiquitin-ribosomal protein eL40 fusion protein OS=Gallus gallus OX=9031 GN=UBA52 PE=1 SV=1	UBA52	1.0538933983519	0.744008782797709	1.20209781885039	A0A8V1ACS0
A0A1D5PA74	Hexosyltransferase OS=Gallus gallus OX=9031 GN=CHPF PE=3 SV=2	CHPF	1.05873945225573	0.738103045610311	1.20315750213396	A0A1D5PA74
A0A8V0ZKV3	Transmembrane protein 132A OS=Gallus gallus OX=9031 GN=TMEM132A PE=1 SV=1	TMEM132A	1.05364785407262	0.7367141405255	1.20963800540188	A0A8V0ZKV3
A0A8V0Y0V1	Semaphorin 4D OS=Gallus gallus OX=9031 GN=SEMA4D PE=3 SV=1	SEMA4D	1.06205114917413	0.731772354076349	1.20617649674952	A0A8V0Y0V1
A0A3Q2UEL1	Phosphopantothenoylcysteine synthetase OS=Gallus gallus OX=9031 GN=PPCS PE=1 SV=1	PPCS	1.07113194901023	0.731344160511571	1.1975238904782	A0A3Q2UEL1
A0A8V0XLH4	Cilia- and flagella-associated protein 206 OS=Gallus gallus OX=9031 GN=CFAP206 PE=3 SV=1	CFAP206	1.08199293446147	0.720960259488817	1.19704680604971	A0A8V0XLH4
A0A8V0Z9W5	Transmembrane channel-like protein OS=Gallus gallus OX=9031 GN=TMC7 PE=3 SV=1	TMC7	1.07907553476881	0.720802825069189	1.200121640162	A0A8V0Z9W5
A0A1D5PT25	Bactericidal permeability-increasing protein OS=Gallus gallus OX=9031 GN=BPIFCB PE=3 SV=2	BPIFCB	1.12810177038819	0.731018302390443	1.14087992722136	A0A1D5PT25
A0A8V1AM51	Dynein axonemal heavy chain 9 OS=Gallus gallus OX=9031 GN=DNAH9 PE=1 SV=1	DNAH9	1.12425144021548	0.728329024880637	1.14741953490389	A0A8V1AM51
A0A1D5NVM6	Multivesicular body subunit 12A OS=Gallus gallus OX=9031 GN=MVB12A PE=1 SV=1	MVB12A	1.14364333704468	0.709690015151923	1.1466666478034	A0A1D5NVM6
A0A8V0ZBA3	Pleckstrin 2 OS=Gallus gallus OX=9031 GN=PLEK2 PE=4 SV=1	PLEK2	1.1098716712857	0.718460055428365	1.17166827328594	A0A8V0ZBA3
A0A8V0XAF8	WD repeat-containing protein 35 OS=Gallus gallus OX=9031 GN=WDR35 PE=1 SV=1	WDR35	1.11880405949677	0.704431610400959	1.17676433010227	A0A8V0XAF8
Q8AWB4	GDP-fucose protein O-fucosyltransferase 1 OS=Gallus gallus OX=9031 GN=POFUT1 PE=1 SV=1	POFUT1	1.05629490459691	0.719621597635929	1.22408349776716	Q8AWB4
A0A8V0ZY61	Polypeptide N-acetylgalactosaminyltransferase OS=Gallus gallus OX=9031 GN=GALNT3 PE=1 SV=1	GALNT3	1.05952191914265	0.716473859327378	1.22400422152997	A0A8V0ZY61
F1NEZ4	SLIT and NTRK like family member 2 OS=Gallus gallus OX=9031 GN=LOC121106448 PE=1 SV=4	LOC121106448	1.0706514063621	0.702692396775451	1.22665619686245	F1NEZ4
A0A8V0YXG4	Heparan sulfate proteoglycan 2 OS=Gallus gallus OX=9031 GN=HSPG2 PE=1 SV=1	HSPG2	1.06778317817647	0.69873074539019	1.23348607643334	A0A8V0YXG4
A0A8V0Z249	Solute carrier family 22 member 7 OS=Gallus gallus OX=9031 GN=SLC22A7 PE=4 SV=1	SLC22A7	1.04496510719774	0.707202781346837	1.24783211145542	A0A8V0Z249
A0A8V0ZFH4	LARGE xylosyl- and glucuronyltransferase 2 OS=Gallus gallus OX=9031 GN=LARGE2 PE=3 SV=1	LARGE2	1.03786980145455	0.705684912944773	1.25644528560068	A0A8V0ZFH4
A0A1L1RSD2	Glucuronidase beta OS=Gallus gallus OX=9031 GN=GUSB PE=1 SV=2	GUSB	1.03476305877544	0.70421618149435	1.26102075973021	A0A1L1RSD2
Q5ZJ58	Phosphatidylinositol 4-phosphate 5-kinase type-1 beta OS=Gallus gallus OX=9031 GN=PIP5K1B PE=2 SV=1	PIP5K1B	1.03713201228929	0.703545361444804	1.25932262626591	Q5ZJ58
A0A3Q2U8T7	Cellular repressor of E1A stimulated genes 2 OS=Gallus gallus OX=9031 GN=CREG2 PE=3 SV=1	CREG2	1.02777647791684	0.706540866840767	1.26568265524239	A0A3Q2U8T7
A0A8V0X7F0	Ribonuclease K OS=Gallus gallus OX=9031 GN=RNASEK PE=3 SV=1	RNASEK	1.03522016243765	0.736267481177527	1.22851235638482	A0A8V0X7F0
A0A8V0Z2J4	Fibroblast growth factor receptor-like 1 OS=Gallus gallus OX=9031 GN=FGFRL1 PE=4 SV=1	FGFRL1	1.01034252308251	0.739175712589459	1.25048176432803	A0A8V0Z2J4
A0A8V0X783	Transcobalamin-2 OS=Gallus gallus OX=9031 GN=TCN2 PE=1 SV=1	TCN2	1.01808330494911	0.735081296164808	1.24683539888608	A0A8V0X783
R4GH52	Prolyl 3-hydroxylase family member 4 (inactive) OS=Gallus gallus OX=9031 GN=P3H4 PE=1 SV=2	P3H4	1.01218065882939	0.710838906658913	1.27698043451169	R4GH52
A0A8V0Y8G8	Dynein axonemal heavy chain 7 OS=Gallus gallus OX=9031 GN=DNAH7 PE=1 SV=1	DNAH7	1.01656692437917	0.708931517484554	1.27450155813627	A0A8V0Y8G8
A0A8V1AM71	Complement C5 OS=Gallus gallus OX=9031 GN=C5 PE=1 SV=1	C5	0.997442335547792	0.724801857056276	1.27775580739593	A0A8V1AM71
A0A8V0YEZ4	Somatostatin 1 OS=Gallus gallus OX=9031 GN=SST1 PE=3 SV=1	SST1		0.718937352156146	1.28106264784385	A0A8V0YEZ4
A0A8V1A4F4	Dynein axonemal heavy chain 1 OS=Gallus gallus OX=9031 GN=DNAH1 PE=1 SV=1	DNAH1	0.999152805553632	0.68274282694942	1.31810436749695	A0A8V1A4F4
A0A8V1AE66	SEA domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	1.00549923176859	0.680113188071354	1.31438758016005	A0A8V1AE66
A0A8V0ZG46	Cytosolic purine 5'-nucleotidase OS=Gallus gallus OX=9031 GN=NT5C2 PE=3 SV=1	NT5C2	0.979812787760309	0.681485631930565	1.33870158030913	A0A8V0ZG46
A0A1D5NYI4	Uncharacterized protein OS=Gallus gallus OX=9031 GN=HHIPL1 PE=3 SV=1	HHIPL1	0.96425561585699	0.706285806835932	1.32945857730708	A0A1D5NYI4
A0A8V0Y7C8	Alpha-mannosidase OS=Gallus gallus OX=9031 GN=MAN2A1 PE=1 SV=1	MAN2A1	0.977116674721036	0.698519658252948	1.32436366702602	A0A8V0Y7C8
A0A8V0YLN5	Arylsulfatase B OS=Gallus gallus OX=9031 GN=ARSB PE=1 SV=1	ARSB	0.974442318593449	0.696621129890318	1.32893655151623	A0A8V0YLN5
Q6JHU8	Prolyl 3-hydroxylase 1 OS=Gallus gallus OX=9031 GN=P3H1 PE=1 SV=1	P3H1	0.990547483557068	0.704502546217792	1.30494997022514	Q6JHU8
A0A8V0YIV5	MAM domain containing 2 OS=Gallus gallus OX=9031 GN=MAMDC2 PE=4 SV=1	MAMDC2		0.69790707921915	1.30209292078085	A0A8V0YIV5
A0A8V0YC57	Phosphodiesterase OS=Gallus gallus OX=9031 GN=PDE3A PE=1 SV=1	PDE3A	1.05671381598927	0.678860075529921	1.2644261084808	A0A8V0YC57
A0A8V1A9U7	Fibulin 2 OS=Gallus gallus OX=9031 GN=FBLN2 PE=1 SV=1	FBLN2	1.07353785911722	0.670498926104641	1.25596321477814	A0A8V1A9U7
A0A8V1AB05	protein-tyrosine-phosphatase OS=Gallus gallus OX=9031 GN=PTPRS PE=1 SV=1	PTPRS	1.08122813500631	0.662600895515109	1.25617096947858	A0A8V1AB05
Q9I946	Platelet-derived growth factor C OS=Gallus gallus OX=9031 GN=PDGFC PE=2 SV=1	PDGFC	1.06768723799623	0.653092376326005	1.27922038567776	Q9I946
A0A8V0Y7Y9	GABA type A receptor associated protein like 2 OS=Gallus gallus OX=9031 GN=GABARAPL2 PE=1 SV=1	GABARAPL2	1.03535253241962	0.692367384953136	1.27228008262725	A0A8V0Y7Y9
A0A8V0ZXI1	Sushi, nidogen and EGF like domains 1 OS=Gallus gallus OX=9031 GN=SNED1 PE=4 SV=1	SNED1	1.01527812265464	0.692008559766308	1.29271331757905	A0A8V0ZXI1
E1BQI2	small monomeric GTPase OS=Gallus gallus OX=9031 GN=RAP2A PE=1 SV=1	RAP2A	1.02361154142507	0.684590459271121	1.29179799930381	E1BQI2
A0A8V0YYB4	Tandem C2 domains, nuclear OS=Gallus gallus OX=9031 GN=TC2N PE=4 SV=1	TC2N	1.0276249132452	0.67060501565685	1.30177007109795	A0A8V0YYB4
A0A8V1ACQ8	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase OS=Gallus gallus OX=9031 GN=ST6GALNAC2 PE=3 SV=1	ST6GALNAC2	1.04160199404708	0.657049467706298	1.30134853824663	A0A8V1ACQ8
F1NB63	beta-N-acetylhexosaminidase OS=Gallus gallus OX=9031 GN=HEXDCL PE=3 SV=4	HEXDCL	1.01316234214538	0.660060624802232	1.32677703305238	F1NB63
A0A8V0ZNT4	Ring finger and SPRY domain containing 1 OS=Gallus gallus OX=9031 GN=RSPRY1 PE=4 SV=1	RSPRY1		0.788954418546287	1.21104558145371	A0A8V0ZNT4
A0A8V0YRA3	Synaptotagmin like 1 OS=Gallus gallus OX=9031 GN=SYTL1 PE=4 SV=1	SYTL1	1.21315133843227	0.786848661567726		A0A8V0YRA3
A0A8V0YGN8	Ras-related protein Rab-21 OS=Gallus gallus OX=9031 GN=RAB21 PE=1 SV=1	RAB21		0.777622611038982	1.22237738896102	A0A8V0YGN8
A0A8V1A9H8	SET nuclear proto-onco OS=Gallus gallus OX=9031 GN=SET PE=1 SV=1	SET	1.22374806211159	0.776251937888407		A0A8V1A9H8
Q98TH5	Small ribosomal subunit protein uS17 OS=Gallus gallus OX=9031 GN=cRPS11 PE=1 SV=1	cRPS11	1.24746106566736	0.752538934332642		Q98TH5
A0A3Q2U2N6	ATPase 13A3 OS=Gallus gallus OX=9031 GN=ATP13A3 PE=3 SV=1	ATP13A3		0.750765192450333	1.24923480754967	A0A3Q2U2N6
A0A8V0ZQS2	Inositol polyphosphate-5-phosphatase D OS=Gallus gallus OX=9031 GN=INPP5D PE=1 SV=1	INPP5D		0.70627326068236	1.29372673931764	A0A8V0ZQS2
A0A8V0Y9E4	Acetyl-CoA acyltransferase 2 OS=Gallus gallus OX=9031 GN=ACAA2 PE=1 SV=1	ACAA2	1.2975759839763	0.702424016023698		A0A8V0Y9E4
A0A8V0Z9Y8	AP-2 complex subunit mu OS=Gallus gallus OX=9031 GN=AP2M1 PE=1 SV=1	AP2M1	1.11484121759564	0.687822377028007	1.19733640537635	A0A8V0Z9Y8
A0A8V0XMA2	Beta 3-glucosyltransferase OS=Gallus gallus OX=9031 GN=B3GLCT PE=1 SV=1	B3GLCT	1.12185493228152	0.672947800848093	1.20519726687039	A0A8V0XMA2
A0A8V0XKU5	ADP ribosylation factor like GTPase 13B OS=Gallus gallus OX=9031 GN=ARL13B PE=4 SV=1	ARL13B	1.11169904689534	0.671968900153368	1.21633205295129	A0A8V0XKU5
A0A1D5NYG2	Teneurin transmembrane protein 3 OS=Gallus gallus OX=9031 GN=TENM3 PE=3 SV=2	TENM3	1.11289349025736	0.66537676417444	1.2217297455682	A0A1D5NYG2
A0A8V0YF22	Beta-secretase 2 OS=Gallus gallus OX=9031 GN=BACE2 PE=3 SV=1	BACE2	1.1574606364068	0.665814399514947	1.17672496407825	A0A8V0YF22
Q5ZHL0	V-type proton ATPase subunit d 2 OS=Gallus gallus OX=9031 GN=ATP6V0D2 PE=2 SV=1	ATP6V0D2	1.18019185769569	0.653825158461661	1.16598298384265	Q5ZHL0
A0A8V0ZWC9	MGAT4 family member C OS=Gallus gallus OX=9031 GN=MGAT4C PE=4 SV=1	MGAT4C	1.1816547578664	0.652052728580905	1.1662925135527	A0A8V0ZWC9
A0A8V0XSB0	AAA+ ATPase domain-containing protein OS=Gallus gallus OX=9031 GN=DNAH5L PE=1 SV=1	DNAH5L	1.14328103710964	0.65641003081266	1.2003089320777	A0A8V0XSB0
A0A8V0XZV7	Immunoglobulin superfamily member 3 OS=Gallus gallus OX=9031 GN=IGSF3 PE=1 SV=1	IGSF3	1.15667286515146	0.65207740529053	1.19124972955801	A0A8V0XZV7
A0A8V1AKH4	Complement C8 gamma chain OS=Gallus gallus OX=9031 GN=C8G PE=1 SV=1	C8G	1.15723972790284	0.646746162560333	1.19601410953682	A0A8V1AKH4
A0A1D5NWP2	Stromal interaction molecule 1 OS=Gallus gallus OX=9031 GN=STIM1 PE=1 SV=2	STIM1	1.1639888028223	0.645165465143032	1.19084573203467	A0A1D5NWP2
A0A8V0ZES4	Metal transporter OS=Gallus gallus OX=9031 GN=CNNM4 PE=1 SV=1	CNNM4	1.10187446182916	0.6615330825124	1.23659245565844	A0A8V0ZES4
A0A8V0Y4R7	CD99 molecule like 2 OS=Gallus gallus OX=9031 GN=CD99L2 PE=1 SV=1	CD99L2	1.09868750774905	0.644803728623542	1.25650876362741	A0A8V0Y4R7
A0A8V0ZVP0	Ig-like domain-containing protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	1.11738608780904	0.65277437361143	1.22983953857953	A0A8V0ZVP0
A0A8V0YPQ6	Dynein axonemal intermediate chain 7 OS=Gallus gallus OX=9031 GN=DNAI7 PE=3 SV=1	DNAI7	1.13345344339829	0.648411712443568	1.21813484415814	A0A8V0YPQ6
A0A8V0XFB5	DFNA5, deafness associated tumor suppressor OS=Gallus gallus OX=9031 GN=DFNA5 PE=1 SV=1	DFNA5	1.12760637258096	0.637038183358311	1.23535544406073	A0A8V0XFB5
A0A3Q3A4U3	Roundabout guidance receptor 1 OS=Gallus gallus OX=9031 GN=ROBO1 PE=1 SV=1	ROBO1	1.12664264029335	0.636703151766155	1.2366542079405	A0A3Q3A4U3
A0A8V0YHH6	Repulsive guidance molecule BMP co-receptor b OS=Gallus gallus OX=9031 PE=3 SV=1	--	1.0842245585932	0.629462412191797	1.286313029215	A0A8V0YHH6
A0A8V0X5K9	Glycoprotein M6B OS=Gallus gallus OX=9031 GN=GPM6B PE=1 SV=1	GPM6B	1.10830136167804	0.607984920909463	1.2837137174125	A0A8V0X5K9
A0A1D5PCU0	V-type proton ATPase subunit a OS=Gallus gallus OX=9031 GN=ATP6V0A4 PE=3 SV=1	ATP6V0A4	1.0823754789272	0.610951703824082	1.30667281724872	A0A1D5PCU0
A0A8V0YFU9	IQ motif containing with AAA domain 1 OS=Gallus gallus OX=9031 GN=IQCA1 PE=4 SV=1	IQCA1	1.08718340433686	0.606049867836322	1.30676672782682	A0A8V0YFU9
A0A8V0ZQP1	Unconventional myosin-Id OS=Gallus gallus OX=9031 GN=MYO1D PE=1 SV=1	MYO1D	1.1443053150393	0.616564539762888	1.23913014519782	A0A8V0ZQP1
A0A8V0YMS7	Connective tissue growth factor OS=Gallus gallus OX=9031 GN=CTGFL PE=3 SV=1	CTGFL	1.14504003086429	0.614097084939602	1.24086288419611	A0A8V0YMS7
A0A3Q3AST7	Bardet-Biedl syndrome 9 OS=Gallus gallus OX=9031 GN=BBS9 PE=1 SV=1	BBS9	1.17024506871854	0.60406821189472	1.22568671938674	A0A3Q3AST7
C7G540	Ovocalyxin-32 OS=Gallus gallus OX=9031 GN=OCX32 PE=1 SV=1	OCX32	1.16313930319329	0.602219688510484	1.23464100829623	C7G540
A0A8V0YR69	Death domain containing 1 OS=Gallus gallus OX=9031 GN=DTHD1 PE=1 SV=1	DTHD1	1.16064794742412	0.602220268915049	1.23713178366083	A0A8V0YR69
A0A8V0Y795	Isochorismatase domain-containing protein 1 OS=Gallus gallus OX=9031 GN=ISOC1 PE=1 SV=1	ISOC1	1.17682496864722	0.594117507867774	1.22905752348501	A0A8V0Y795
A0A8V0X5U3	Nuclear mitotic apparatus protein 1 OS=Gallus gallus OX=9031 GN=NUMA1 PE=1 SV=1	NUMA1	1.17203329707526	0.592051655188866	1.23591504773587	A0A8V0X5U3
Q5ZMG8	RHOG family member 2 OS=Gallus gallus OX=9031 GN=RHOG2 PE=1 SV=1	RHOG2	1.21997944951014	0.632159286422588	1.14786126406727	Q5ZMG8
A0A8V0YB43	Ras-related protein Rab-10 OS=Gallus gallus OX=9031 GN=RAB10 PE=3 SV=1	RAB10	1.23152699830923	0.63313283785364	1.13534016383713	A0A8V0YB43
A0A8V0YEQ1	WD repeat domain 19 OS=Gallus gallus OX=9031 GN=WDR19 PE=1 SV=1	WDR19	1.22779761662082	0.631842502236367	1.14035988114281	A0A8V0YEQ1
A0A8V0XN00	Cilia and flagella associated protein 69 OS=Gallus gallus OX=9031 GN=CFAP69 PE=1 SV=1	CFAP69	1.21298531600147	0.627954914014075	1.15905976998445	A0A8V0XN00
A0A8V0Z4J0	Ubiquitin-ribosomal protein eS31 fusion protein OS=Gallus gallus OX=9031 GN=RPS27A PE=3 SV=1	RPS27A	1.20457054721179	0.627398871510921	1.16803058127729	A0A8V0Z4J0
A0A8V0ZNH3	Transmembrane protease serine 4 OS=Gallus gallus OX=9031 GN=TMPRSS4 PE=4 SV=1	TMPRSS4	1.2572150267013	0.616169643192291	1.12661533010641	A0A8V0ZNH3
A0A8V0X643	Protein phosphatase methylesterase 1 OS=Gallus gallus OX=9031 GN=PPME1 PE=1 SV=1	PPME1	1.25568416998413	0.600160772474985	1.14415505754088	A0A8V0X643
A0A8V0ZH54	Vacuolar protein-sorting-associated protein 25 OS=Gallus gallus OX=9031 GN=RAMP2 PE=3 SV=1	RAMP2	1.26236921303426	0.638290991648994	1.09933979531675	A0A8V0ZH54
A0A1D5PC37	Sorting nexin OS=Gallus gallus OX=9031 GN=SNX33 PE=1 SV=1	SNX33	1.26562077717711	0.627431209569376	1.10694801325352	A0A1D5PC37
A0A8V0Z6L1	Cilia and flagella associated protein 61 OS=Gallus gallus OX=9031 GN=CFAP61 PE=1 SV=1	CFAP61	1.29354816535116	0.616388758126029	1.09006307652281	A0A8V0Z6L1
A0A8V0ZUM8	Dynein axonemal intermediate chain 4 OS=Gallus gallus OX=9031 GN=WDR78 PE=4 SV=1	WDR78	1.28036778302856	0.607992603246353	1.11163961372509	A0A8V0ZUM8
A0A8V0ZB91	Semaphorin 7A (John Milton Hagen blood group) OS=Gallus gallus OX=9031 GN=SEMA7A PE=1 SV=1	SEMA7A	1.23583782745237	0.590353284779346	1.17380888776828	A0A8V0ZB91
A0A8V0ZH18	Coiled-coil domain-containing protein 33 OS=Gallus gallus OX=9031 GN=CCDC33 PE=4 SV=1	CCDC33	1.2331963332237	0.576954403685318	1.18984926309098	A0A8V0ZH18
A0A8V0Y413	Thrombospondin 4 OS=Gallus gallus OX=9031 GN=THBS4 PE=1 SV=1	THBS4	1.24750505437759	0.562846627124747	1.18964831849766	A0A8V0Y413
A0A8V0ZYM1	1-phosphatidylinositol 4-kinase OS=Gallus gallus OX=9031 GN=PI4KA PE=1 SV=1	PI4KA	1.25461961622429	0.556185047903814	1.1891953358719	A0A8V0ZYM1
A0A8V0ZZU1	small monomeric GTPase OS=Gallus gallus OX=9031 GN=RAB5B PE=1 SV=1	RAB5B	1.28960824520312	0.552920668047581	1.1574710867493	A0A8V0ZZU1
A0A8V0ZWX9	Adenosine deaminase OS=Gallus gallus OX=9031 GN=ADA PE=1 SV=1	ADA	1.28222958212952	0.54742301458671	1.17034740328377	A0A8V0ZWX9
A0A8V0ZAU8	Bridging integrator 3 OS=Gallus gallus OX=9031 GN=BIN3 PE=4 SV=1	BIN3	1.29920088744426	0.54029108695313	1.16050802560261	A0A8V0ZAU8
A0A8V1AP07	Uncharacterized protein OS=Gallus gallus OX=9031 GN=LOC123575613 PE=4 SV=1	LOC123575613	1.3051949310481	0.527626155106338	1.16717891384557	A0A8V1AP07
A0A8V1A583	SMB domain-containing protein OS=Gallus gallus OX=9031 GN=RPESL PE=1 SV=1	RPESL	1.20244103286032	0.537907650323637	1.25965131681604	A0A8V1A583
A0A8V0YYD5	Cilia and flagella associated protein 65 OS=Gallus gallus OX=9031 GN=CFAP65 PE=4 SV=1	CFAP65	1.24980827565975	0.527766707813445	1.22242501652681	A0A8V0YYD5
A0A8V0ZI29	protein-tyrosine-phosphatase OS=Gallus gallus OX=9031 GN=PTPRF PE=1 SV=1	PTPRF	1.04972833203425	0.641617731238659	1.30865393672709	A0A8V0ZI29
A0A8V0YDG8	Prolyl endopeptidase OS=Gallus gallus OX=9031 GN=PREP PE=1 SV=1	PREP	1.06142125276774	0.629901308801831	1.30867743843043	A0A8V0YDG8
A0A8V0ZR84	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase OS=Gallus gallus OX=9031 GN=POMGNT1 PE=3 SV=1	POMGNT1	1.02089654836494	0.634762498996677	1.34434095263838	A0A8V0ZR84
A0A8V0XM58	Bardet-Biedl syndrome 7 OS=Gallus gallus OX=9031 GN=BBS7 PE=4 SV=1	BBS7	1.03142217812586	0.62987376242849	1.33870405944565	A0A8V0XM58
A0A8V0XTW4	Kinesin family member 13A OS=Gallus gallus OX=9031 GN=KIF13A PE=1 SV=1	KIF13A	1.03420320194859	0.62668266145149	1.33911413659992	A0A8V0XTW4
A0A8V1A6A3	NOP58 ribonucleoprotein OS=Gallus gallus OX=9031 GN=NOP58 PE=1 SV=1	NOP58	0.988763572973768	0.648709386092034	1.3625270409342	A0A8V1A6A3
A0A8V1A2F4	Polypeptide N-acetylgalactosaminyltransferase OS=Gallus gallus OX=9031 GN=GALNT11 PE=3 SV=1	GALNT11	0.988407783616564	0.623271093863289	1.38832112252015	A0A8V1A2F4
A0A8V0ZRN1	Thrombospondin type 1 domain containing 4 OS=Gallus gallus OX=9031 GN=THSD4 PE=4 SV=1	THSD4	0.982144438395656	0.621890060745408	1.39596550085894	A0A8V0ZRN1
A0A8V1A3D7	Ig-like domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	0.988768454232993	0.634928014816812	1.37630353095019	A0A8V1A3D7
A0A8V0Y513	Carbamoyl-phosphate synthase 1 OS=Gallus gallus OX=9031 GN=CPS1 PE=3 SV=1	CPS1		0.629542204527572	1.37045779547243	A0A8V0Y513
A0A8V0ZW33	Timeless circadian regulator OS=Gallus gallus OX=9031 GN=TIMELESS PE=4 SV=1	TIMELESS	0.997678019587218	0.605597841355294	1.39672413905749	A0A8V0ZW33
E1BXC9	Potassium channel tetramerization domain containing 4 OS=Gallus gallus OX=9031 GN=KCTD4 PE=4 SV=1	KCTD4	0.970955392255806	0.613792889289129	1.41525171845506	E1BXC9
A0A8V0ZZJ1	Ig-like domain-containing protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	0.986661589613092	0.591936772108401	1.42140163827851	A0A8V0ZZJ1
A0A8V0YTH9	WAP domain-containing protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	1.00190497959909	0.585393243869779	1.41270177653113	A0A8V0YTH9
A0A3Q2UNH8	Mitochondrial inner membrane protease subunit 2 OS=Gallus gallus OX=9031 GN=IMMP2L PE=4 SV=1	IMMP2L		0.590159487602482	1.40984051239752	A0A3Q2UNH8
A0A8V0X4D8	furin OS=Gallus gallus OX=9031 GN=FURIN PE=3 SV=1	FURIN	0.953637201334181	0.588385614722716	1.4579771839431	A0A8V0X4D8
A0A1D5PIZ5	LDL receptor related protein 12 OS=Gallus gallus OX=9031 GN=LRP12 PE=4 SV=2	LRP12	1.04622210524337	0.612306593220658	1.34147130153597	A0A1D5PIZ5
A0A8V0X2C5	Neutral alpha-glucosidase AB OS=Gallus gallus OX=9031 PE=4 SV=1	--	1.02939099466707	0.610874674499605	1.35973433083333	A0A8V0X2C5
A0A8V0X061	Leucine rich repeat containing 74B OS=Gallus gallus OX=9031 GN=C14ORF166B PE=4 SV=1	C14ORF166B	1.03738936687504	0.596808056457614	1.36580257666734	A0A8V0X061
A0A8V0ZYN6	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase OS=Gallus gallus OX=9031 GN=POMGNT1 PE=3 SV=1	POMGNT1	1.05694147916856	0.607231101468502	1.33582741936294	A0A8V0ZYN6
A0A8V0YKF2	Discoidin, CUB and LCCL domain-containing protein 1 OS=Gallus gallus OX=9031 GN=LOC419584 PE=4 SV=1	LOC419584	1.05795439179784	0.604476507878431	1.33756910032373	A0A8V0YKF2
A0A8V0Z9B8	ADAM metallopeptidase with thrombospondin type 1 motif 17 OS=Gallus gallus OX=9031 GN=ADAMTS17 PE=4 SV=1	ADAMTS17	1.06842436656651	0.599990435732105	1.33158519770139	A0A8V0Z9B8
A0A8V0XB58	calcium/calmodulin-dependent protein kinase OS=Gallus gallus OX=9031 GN=CAMK2D PE=3 SV=1	CAMK2D	1.07092424256561	0.589945082045539	1.33913067538885	A0A8V0XB58
A0A8V0XX49	Dmx like 1 OS=Gallus gallus OX=9031 GN=DMXL1 PE=1 SV=1	DMXL1	1.05869648524263	0.580509783057582	1.36079373169979	A0A8V0XX49
